,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_elalfa,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_greenscreen,hash_parati,hash_rd,hash_tiktok,hash_viral
2,US,7089869631866801451,1650738910,Toxic >,6701382841828574213,FATHA,"🤴❤️ 4 Mill+
444 💋
the only REAL jayllnn 
📤• Jayllnn@studio71creator.co",0,False,https://www.tiktok.com/@realjayllnn/video/7089869631866801451?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089869631866801451&source=h5_m,4817295,1264,977,2477,320109,6950455829438991109,6950455829438991109,72,6950455829438991109,Beatbox Freestyle (Contains music from: Beat Box (feat. Young M.A) [Freestyle] - SpotemGottem),"Contains music from: ""Beat Box (feat. Young M.A) [Freestyle]""",6238186.0,The Badde$t,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6950455992144481030.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d9d87b567516c84ea5a6a1f4353ccad0.json,False,False,SpotemGottem,Beat Box (feat. Young M.A) [Freestyle],Beatbox Freestyle (Contains music from: Beat Box (feat. Young M.A) [Freestyle] - SpotemGottem),"Contains music from: ""Beat Box (feat. Young M.A) [Freestyle]""",[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
3,US,7102517590811102507,1653683743,#flyysoulja #kodiyakredd #redd_4x #islandboys #FrunktheBeat￼ #katespadenycabana,6862584880335029253,Flyysoulja,Island Boys Click Link In Bio 🏝❤️‍🔥,0,False,https://www.tiktok.com/@flyysouljah/video/7102517590811102507?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102517590811102507&source=h5_m,2295019,1341,516,967,72186,7073876545902775046,7073876545902775046,10036,7073876545902775046,Whap Whap (feat. F.S.),Skillibeng,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16c8c26b1d7144b184b1b942fc6d0eb4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a76529d24f6f4094a8ae2c40b7ac3db6,False,True,,,,,[],0,0,Dominican Republic,#flyysoulja #kodiyakredd #redd_4x #islandboys #FrunktheBeat￼ #katespadenycabana,0,0,0,0,0,0,0,0,0,0
4,US,7098559469625330990,1652762171,9 more days guys 😱🥺 can’t wait to hold my baby boy !,23666843,Lynn Peats,"Mama of 5
4 on 🌍 1 in heaven
FOLLOW ME ON INSTA ⤴️",0,False,https://www.tiktok.com/@mamaevy3/video/7098559469625330990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098559469625330990&source=h5_m,5320202,569,1480,2694,328329,6913316051774081798,6913316051774081798,72,6913316051774081798,original sound - daddynewb,daddynewb,6.822053779748898e+18,daddynewb,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6913316030450338565.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/352913b3ed8568db07fb7dcda96d7034.json,False,False,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
5,TT,7102463179422272774,1653671075,#fyp #explore #couples,6864835588559340546,Alicia Singh-Lemo,"🇹🇹
IG @sxnd_nxdess",0,False,https://www.tiktok.com/@aliciasinghlemo/video/7102463179422272774?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102463179422272774&source=h5_m,2423388,3224,4878,7654,468735,7076262097558063914,7076262097558063914,72,7076262097558063914,XO,Basically nightcore,7.040300622462469e+18,Basically nightcore,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076262113718848302.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b059bc66418ad5dceaca18a775955b73.json,False,False,,,,,[],0,0,Dominican Republic,#fyp #explore #couples,0,0,0,1,0,0,0,0,0,0
6,US,7086929278322887982,1650054306,Responder a @powerblaack,6853406667243291653,Nathaly.barbie_,"NUEVA CUENTA 

Dominican Republic 🇩🇴",0,False,https://www.tiktok.com/@nathaly.barbie_/video/7086929278322887982?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086929278322887982&source=h5_m,866953,1369,721,2042,90648,7086929230851853099,7086929230851853099,72,7086929230851853099,original sound - nathaly.barbie_,Nathaly.barbie_,6.853406667243292e+18,Nathaly.barbie_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086929269020068654.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/ea139e7e737287b58965d6172640d41e.json,False,False,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
7,US,7086986650756058411,1650067664,For those of y’all that didn’t kno🤰🏽🥰,6786316709369775110,Cam & Nie,For All Business Inquiries💌: CamandNie@28thAve.com,0,False,https://www.tiktok.com/@camxnie/video/7086986650756058411?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086986650756058411&source=h5_m,5276337,5135,4197,3901,806921,7072935706494077739,7072935706494077739,72,7072935706494077739,Cause we did (Contains music from: WhenTheBeatdrop - Wolfpinkie),"Contains music from: ""WhenTheBeatdrop""",6210229.0,Mahj,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072935724592466731.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/cd89bfd67ac86d1ebaf86c7d4c74511d.json,False,False,Wolfpinkie,WhenTheBeatdrop,Cause we did (Contains music from: WhenTheBeatdrop - Wolfpinkie),"Contains music from: ""WhenTheBeatdrop""",[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
0,DO,7103445824549522693,1653899869,💔💔😭😭🥀#guancholaparanowiri #viral @guanchowa1,7102579694491026438,👽 Mabeibe👽,💔cuenta nueva💔,0,False,https://www.tiktok.com/@guanchowa1212/video/7103445824549522693?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103445824549522693&source=h5_m,677717,477,157,894,33097,6750990329060542465,6750990329060542465,10033,6750990329060542465,Yo Te Extrañare,tercer cielo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/728536c1ca7c46cc8dea578d1e320c57,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/449cfabf4fc54f94b209940abd084e7c,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1038541876', 'external_song_key': 'apple_song_id'}]",0,0,Dominican Republic,#guancholaparanowiri #viral,0,0,0,0,0,0,0,0,0,1
1,DO,7074287234630864133,1647110851,El fails  🤦🏻‍♀️ Instagram crishernandezs,6661404585654353925,Cristal,"Alone 🖤
Contac : freini28hernandezs@gmail.com 
Instagram -> crishernandezs",0,False,https://www.tiktok.com/@crishernandezs/video/7074287234630864133?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074287234630864133&source=h5_m,10391276,7225,6625,22295,1450754,7059848238517799685,7059848238517799685,72,7059848238517799685,original sound - bk.1120 (Contains music from: Fayahh (Ayo Girl & Love Me Back Beat) - Robinson),"Contains music from: ""Fayahh (Ayo Girl & Love Me Back Beat)""",7.053854912061081e+18,⚡️🇸🇳BK🇫🇷⚡️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7059848263666649861.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/03df265291c754ce2189635b8e596c13.json,False,False,Robinson,Fayahh (Ayo Girl & Love Me Back Beat),original sound - bk.1120 (Contains music from: Fayahh (Ayo Girl & Love Me Back Beat) - Robinson),"Contains music from: ""Fayahh (Ayo Girl & Love Me Back Beat)""",[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
2,US,7078404167072582955,1648069399,💀💀💀#parati #foryourpage,55920873588686848,goldenena,"🇩🇴Si quieres reírte llegaste al lugar correcto🤣
Página de broma 🤪",0,False,https://www.tiktok.com/@goldenena/video/7078404167072582955?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078404167072582955&source=h5_m,1899048,1774,2730,7553,163769,7078404148521093931,7078404148521093931,72,7078404148521093931,original sound - goldenena,goldenena,5.592087358868685e+16,goldenena,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078404162177780522.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51e1b9153f7c14e2e492159eb54a8e78.json,False,False,,,,,[],0,0,Dominican Republic,#parati #foryourpage,0,0,0,0,0,0,1,0,0,0
3,DO,7102923525215882501,1653778259,#foryoupage,6997156918917989381,ashley del jesús,"rd
222",0,False,https://www.tiktok.com/@ashhheeyy/video/7102923525215882501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102923525215882501&source=h5_m,1201840,345,1614,3265,189288,7096903387857292038,7096903387857292038,72,7096903387857292038,original sound - ngdu9,Ngdu92,6.983824028620785e+18,Ngdu92,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097293094281956101.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8ed833d5126c470de730ab49f9242ff3.json,False,False,,,,,[],0,0,Dominican Republic,#foryoupage,0,0,1,0,0,0,0,0,0,0
4,DO,7102608343205711109,1653704875,Toma😠🫶🏽#fypシ #virall #rd,7099539844409689093,Soy crismely😼🤙🏽,,0,False,https://www.tiktok.com/@pardo_665/video/7102608343205711109?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102608343205711109&source=h5_m,247965,60,23,274,34901,7081020423516736302,7081020423516736302,72,7081020423516736302,original sound - lahorny_69,Lahorny_69,6.80687485464386e+18,Lahorny_69,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081020440768039722.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2e887b6100ac63a69fb95a9a15def752.json,False,False,,,,,[],0,0,Dominican Republic,#fypシ #virall #rd,0,0,0,0,1,0,0,1,0,0
5,DO,7100734657406274821,1653268624,#carlosmontequieu #santiagodelos30caballeros🇩🇴 #republicadominicana🇩🇴 #elalfaeljefe #colombia #santodomingo🇩🇴 #badbonny #estdosunidos🇺🇲 #españa🇪🇸,6898292669543416838,El_piloto_tour,🌴 ⛱tour guide making great time while traveling around the country 🚎🚌,0,False,https://www.tiktok.com/@elpilototour/video/7100734657406274821?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100734657406274821&source=h5_m,2872100,416,678,401,254304,7100734619154369285,7100734619154369285,72,7100734619154369285,original sound - elpilototour,El_piloto_tour,6.898292669543417e+18,El_piloto_tour,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100734644974308102.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/40eeb63f03ea4b600a66796d98d591ee.json,False,False,,,,,[],0,0,Dominican Republic,#carlosmontequieu #santiagodelos30caballeros🇩🇴 #republicadominicana🇩🇴 #elalfaeljefe #colombia #santodomingo🇩🇴 #badbonny #estdosunidos🇺🇲 #españa🇪🇸,0,0,0,0,0,0,0,0,0,0
6,US,7102883604786793774,1653768962,Eso ta raro 😅😂😂🏃‍♂️ PERO MUYYYYY RARO,6804904772290855942,Djadoni,De donde salen todas las FRASES VIRALES 👇🏽,0,False,https://www.tiktok.com/@djadoni/video/7102883604786793774?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102883604786793774&source=h5_m,2031848,1542,7831,13281,135934,7102883570667473710,7102883570667473710,72,7102883570667473710,original sound - djadoni,Djadoni,6.804904772290856e+18,Djadoni,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102883607080897323.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/684bd22ed70dfa0740dd5a4bc48005ce.json,False,False,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
7,US,7073614625354370346,1646954247,😂😂😂👀,6727195598195901446,sam diggity❤️💎,"SAMI DIGGITI ❤️🌟

INSTAGRAM- SAMDIGGITI",0,False,https://www.tiktok.com/@samdiggity3/video/7073614625354370346?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073614625354370346&source=h5_m,2689603,4748,6925,10010,559504,7073614586791971627,7073614586791971627,72,7073614586791971627,original sound - samdiggity3,sam diggity❤️💎,6.727195598195901e+18,sam diggity❤️💎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073614622636444462.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2bcf96d087918529a1744bc8b4b03959.json,False,False,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
0,DO,7072795864368041222,1646763614,Oook🤣,6849400876790334469,Darli,"Tropical/DR🇩🇴
50k?🥰",0,False,https://www.tiktok.com/@darli_18/video/7072795864368041222?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072795864368041222&source=h5_m,2935199,4341,5729,180,360818,7057260992140512005,7057260992140512005,72,7057260992140512005,original sound - the_diggorys (Contains music from: Rocket - Beyoncé),"Contains music from: ""Rocket""",6.943104987326285e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7057261008544729861.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b568f637618570505cc524d91cd24b70.json,False,False,Beyoncé,Rocket,original sound - the_diggorys (Contains music from: Rocket - Beyoncé),"Contains music from: ""Rocket""",[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
1,DO,7091485537483115781,1651115148,"🍑🍑 a moverlas, ya fuiste a mi IG 😳❤️ y a mi azulito💙 #viral #santiagodeloscaballeros #republicadominicana🇩🇴 #venezolanas #sexy #eeuu #eeuu🇺🇸 #eeuu🇺🇸🇺🇸 #venezolanas🇻🇪",6784665713917346822,LaBlondeer,"💋Sígueme en Instagram 👆🏻
Ya fuiste 👇🏻😈",0,False,https://www.tiktok.com/@lablondeer/video/7091485537483115781?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091485537483115781&source=h5_m,6905334,3765,11949,54475,696433,7052376940078058245,7052376940078058245,72,7052376940078058245,original sound - f69v_ (Contains music from: Activate - Phuture Mafia),"Contains music from: ""Activate""",6.918049949934814e+18,✌︎︎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7052376985200249606.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fd9da5cdb25aa8adacbdb07d66376e85.json,False,False,Phuture Mafia,Activate,original sound - f69v_ (Contains music from: Activate - Phuture Mafia),"Contains music from: ""Activate""",[],0,0,Dominican Republic,#viral #santiagodeloscaballeros #republicadominicana🇩🇴 #venezolanas #sexy #eeuu #eeuu🇺🇸 #eeuu🇺🇸🇺🇸 #venezolanas🇻🇪,0,0,0,0,0,0,0,0,0,1
2,US,7099486939287686446,1652978115,Ok last one I promise😂 #part3 #curlyhairstyles,6718561201699259398,Ashlee,Check out MyHairToo MySkinToo ⤵️,0,False,https://www.tiktok.com/@ashleeswest/video/7099486939287686446?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099486939287686446&source=h5_m,4967984,4224,5974,19768,1156805,6727057748833419269,6727057748833419269,74,6727057748833419269,Bruh,Hovey Benjamin,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e48d06e80a5847a594a9a1c2379367f6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c29a795a2fa84a78b055011325545475,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1243818937', 'external_song_key': 'apple_song_id'}]",0,0,Dominican Republic,#part3 #curlyhairstyles,0,0,0,0,0,0,0,0,0,0
3,US,7099333305107025153,1652942345,@danilis_boom oops 😂 IG:marysenn,28852477,Mary Senn,"LA📍QUEEN OF POV👸🏽
🇸🇳🇺🇦
FAM @xoteam 💖
📧world.marysenn@gmail.com",0,False,https://www.tiktok.com/@marysenn/video/7099333305107025153?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099333305107025153&source=h5_m,5875945,16909,8579,8480,465886,7064884950239070977,7064884950239070977,72,7064884950239070977,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",7.042141458783487e+18,❤️‍🔥,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7064887206300666626.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8b0b64d91ba02c2dcb7c2850cc3026c2.json,False,False,Justin Bieber,Love Yourself,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
