,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,fyp_location,hashtags,hash_fiji,hash_fijitiktok,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_trending,hash_viral,hash_xyzbca
2,AU,7097541360072264961,1652525124,It really wasn’t me… @gabriellejohnsen #shereewaters #fyp #shaggy #itwasntme #mrbombastic,6742399580401828869,Renee Johnsen,Here to have a giggle,0,False,https://www.tiktok.com/@reneejohnsen/video/7097541360072264961?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097541360072264961&source=h5_m,871708,1306,2800,3443,45340,7097541362299570946,7097541362299570946,72,7097541362299570946,original sound - reneejohnsen,Renee Johnsen,6.742399580401829e+18,Renee Johnsen,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097541322545974017.mp3,,False,False,[],0,0,,,,,Fiji,#shereewaters #fyp #shaggy #itwasntme #mrbombastic,0,0,0,0,0,1,0,0,0,0
3,GB,7103147552836537605,1653830419,#foryou #movie,7090937370254410758,Orangemovies,"Original clip,thanks for your attention 😋
Updated daily 😋😋",0,False,https://www.tiktok.com/@orangemove/video/7103147552836537605?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103147552836537605&source=h5_m,8136259,2878,2067,6071,520293,6876302000137439246,6876302000137439246,10036,6876302000137439246,Paris,斌杨Remix,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/afa6612d4efa4b029fb656f468dd6442,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/02d15d9704e34920abe2d4ec983893f9,False,True,[],0,0,,,,,Fiji,#foryou #movie,0,0,1,0,0,0,0,0,0,0
4,US,7100267702379629870,1653159900,Kyius would never 😅 #fyp #foryou #son #comedy,5777337,The Trench Family❤️,"JOIN THE FAMILY❤️
Mgmt: trenchfamily@createfluence.com
👇🏽NEW VIDEO👇🏽",0,False,https://www.tiktok.com/@thetrenchfamily/video/7100267702379629870?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100267702379629870&source=h5_m,3198912,1117,4733,6326,167393,7043680768006458118,7043680768006458118,72,7043680768006458118,original sound - jasonmoments (Contains music from: Tum Par Marte Hain - Kaka),"Contains music from: ""Tum Par Marte Hain""",2.2245356847199027e+17,Jason Moments,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7043680877330615046.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7df030f082afbe22fd8ef3fc5a064e8e.json,False,False,[],0,0,Kaka,Tum Par Marte Hain,original sound - jasonmoments (Contains music from: Tum Par Marte Hain - Kaka),"Contains music from: ""Tum Par Marte Hain""",Fiji,#fyp #foryou #son #comedy,0,0,1,0,0,1,0,0,0,0
5,DE,7102499596974247173,1653679554,Y’all remember this scene 😭🤣 #goodgirls #netflix #rio #foryou,6870540850910168065,Manny Montana Posts,"𝗚𝗼𝗼𝗱 𝗚𝗶𝗿𝗹𝘀 𝗣𝗼𝘀𝘁𝘀
🎬 video clips & edits 
IG: @mannymontanaposts",0,False,https://www.tiktok.com/@goodgirlsposts/video/7102499596974247173?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102499596974247173&source=h5_m,2939063,1105,997,4035,471608,7102499597079055110,7102499597079055110,72,7102499597079055110,original sound - goodgirlsposts,Manny Montana Posts,6.870540850910168e+18,Manny Montana Posts,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102499594512255749.mp3,,False,False,[],0,0,,,,,Fiji,#goodgirls #netflix #rio #foryou,0,0,1,0,0,0,0,0,0,0
6,KR,7094540470184922370,1651826426,#틱톡뷰티 #애니메이션 #케어 #asmr #soonent #care,6850011529531802626,Smile Bam,"Make up & care animation
contact : soonent@soon-ent.co.kr
스마일밤 YouTube 바로가기!!👇",0,False,https://www.tiktok.com/@smile_bam/video/7094540470184922370?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094540470184922370&source=h5_m,175488818,40640,60169,14571,6369660,7094540484311649026,7094540484311649026,24,7094540484311649026,original sound - smile_bam,Smile Bam,6.850011529531803e+18,Smile Bam,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094540473280252674.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3ca9d1d8559b8b10ffa9840f46f4864a.json,False,False,[],0,0,,,,,Fiji,#틱톡뷰티 #애니메이션 #케어 #asmr #soonent #care,0,0,0,0,0,0,0,0,0,0
7,NZ,7090633063998213378,1650916662,Ia ole happy happy a🥰🥰🥰🥰,6965334464209994753,@saveafamily#forever..,"Be proud of what you do,never be a shame 🥰❤❤ 🇼🇸",0,False,https://www.tiktok.com/@saveafamily_forever/video/7090633063998213378?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090633063998213378&source=h5_m,1394032,1463,1195,1455,67138,7083222906855017262,7083222906855017262,72,7083222906855017262,original sound - alefafalefata,Alefa Falefata,7.066143902643963e+18,Alefa Falefata,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083222917458283307.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/68cd1ead45154a6e2d6fa13ca5f4d10e.json,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
0,FJ,7101070003990007042,1653346702,#fypシ 🤣🤟🏽,6729278917737743365,🖤,🕊,0,False,https://www.tiktok.com/@diizaaa679/video/7101070003990007042?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101070003990007042&source=h5_m,68730,24,26,142,5567,7101070001322363649,7101070001322363649,72,7101070001322363649,original sound - diizaaa679,🖤,6.729278917737743e+18,🖤,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101069857948551938.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ec4ae91d265556dce77aeb656a8f751e.json,False,False,[],0,0,,,,,Fiji,#fypシ,0,0,0,0,0,0,1,0,0,0
1,FJ,7098207301517069569,1652680177,One with my tau🙌🤣🤣🤜🏾🤛🏾 #fyp #viral #tiktok #tiktokfiji #vibe #pov #usgangfromfiji🇫🇯😉♥️,6545732000697816079,Ozni Delana,"BROKE COMEDIAN😂
I post alil about everything✌️
Fearless💯
Jesus is my Lord❤️",0,False,https://www.tiktok.com/@usgangfromfeegee/video/7098207301517069569?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098207301517069569&source=h5_m,91520,68,16,205,5212,7088870395763280641,7088870395763280641,72,7088870395763280641,original sound - junglemahn (Contains music from: Tetewai - VT1S),"Contains music from: ""Tetewai""",6.758388428700386e+18,Jungle Mahn,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7088886513756277505.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1dca1886263360fe6570012038c3ae4b.json,False,False,[],0,0,VT1S,Tetewai,original sound - junglemahn (Contains music from: Tetewai - VT1S),"Contains music from: ""Tetewai""",Fiji,#fyp #viral #tiktok #tiktokfiji #vibe #pov #usgangfromfiji🇫🇯😉♥️,0,0,0,0,0,1,0,0,1,0
2,MX,7075078134395096325,1647294997,#yanstrang,6678870771882099717,sara bedolla,fan page #pdf,0,False,https://www.tiktok.com/@bedoufanpage/video/7075078134395096325?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075078134395096325&source=h5_m,66997142,81040,110332,162909,9993543,7061271396685056774,7061271396685056774,72,7061271396685056774,Baby (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",7.060564211961742e+18,Spe3d_up_songs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7061271416649304837.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7b182c7614667851fe872d5217f0532f.json,False,False,[],0,0,Justin Bieber,Baby,Baby (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",Fiji,#yanstrang,0,0,0,0,0,0,0,0,0,0
3,US,7099155803084573998,1652901016,She has really said this before… @voozhydrate #voozhydrate,6665446095621619718,Tony Lopez,"Yeah I’m Here (:
Business: tonylopezbuissness@gmail.com",0,False,https://www.tiktok.com/@tonylopez/video/7099155803084573998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099155803084573998&source=h5_m,8440257,3646,23257,15737,958967,6856519789666503429,6856519789666503429,72,6856519789666503429,original sound - akandrose,Ak & Rose,6.794973595246249e+18,Ak & Rose,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6856519742514105094.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d20eaee6b9f56cd77f11d21657d1db2e.json,False,False,[],0,0,,,,,Fiji,#voozhydrate,0,0,0,0,0,0,0,0,0,0
4,US,7102089281170345262,1653584020,Yktv 🤪 #4meonlylol #fypplsssssssssssssss #tiktokchallenge #thisoneforyall #formeonlypagepauplslmfao #hustlecheck,6801783227902002181,Lessy Toa,"insta; yOuNgLb>😋
  snap; 🅱️💰",0,False,https://www.tiktok.com/@notsogo_odatit/video/7102089281170345262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102089281170345262&source=h5_m,141799,50,39,1408,13309,7098278801607592705,7098278801607592705,72,7098278801607592705,original sound - evander_911,ꪜꫀꪀᛕꪖ ✨,6.773205796295804e+18,ꪜꫀꪀᛕꪖ ✨,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098278779021183746.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1d9d6f9c896cdd735509260d9670a91f.json,False,False,[],0,0,,,,,Fiji,#4meonlylol #fypplsssssssssssssss #tiktokchallenge #thisoneforyall #formeonlypagepauplslmfao #hustlecheck,0,0,0,0,0,0,0,0,0,0
5,US,7092817946116115758,1651425368, ,6802034531514024965,Drea,Follow me on Instagram @drea 😁,0,False,https://www.tiktok.com/@dreachannel/video/7092817946116115758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092817946116115758&source=h5_m,17653966,7039,68696,40449,1036360,6865736631723232006,6865736631723232006,72,6865736631723232006,original sound - roro_2smoove,roro_2smoove,6.776431989937505e+18,roro_2smoove,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6865736562580261637.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2c67a4da248d56d960afe463ab4e7a19.json,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
6,NZ,7093290124267801902,1651535306,"It’s the end for me 🤣 I have never done a tiktok dance in my life. Honestly, it’s hard to believe I came third on Dancing with the Stars 🤣 but this song has been stuck in my head so I had to… #jigglejiggle #bodydiversity #thisismysong #noonecanstopme",6531098926735430671,Jess Quinn,"✨ Normalising different ✨
hello@jessicaemilyquinn.com

I’M AN AUTHOR 👇🏼",0,False,https://www.tiktok.com/@jessicaemilyquinn/video/7093290124267801902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093290124267801902&source=h5_m,29330511,10556,41639,5333,919732,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Fiji,#jigglejiggle #bodydiversity #thisismysong #noonecanstopme,0,0,0,0,0,0,0,0,0,0
7,TR,7102706677232831745,1653727769,And we’re done :) 🎓🤍 #senior2022 #fyp #foryou #graduation #graduate,6716130357937587206,Rahaf_Sufian,Just for fun :))),0,False,https://www.tiktok.com/@rahaf_sufian/video/7102706677232831745?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102706677232831745&source=h5_m,16273440,4603,8558,23424,1304637,6941350506287647493,6941350506287647493,10036,6941350506287647493,Body,Russ Millions & Tion Wayne,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3ace056400954199b0e748ba874b7e5a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/db991c6c85574d75b681939edadd1714,True,True,[],0,0,,,,,Fiji,#senior2022 #fyp #foryou #graduation #graduate,0,0,1,0,0,1,0,0,0,0
0,FJ,7092499836888550657,1651351304,Fjiji fashion week models at fjfw launch. 🤩✨ Suva was kinda good to me. 🥲,73331614021230592,Shrea prasad,FIJI 🥂,0,False,https://www.tiktok.com/@shreashimranprasad/video/7092499836888550657?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092499836888550657&source=h5_m,126826,40,26,17,8988,7074693721287215918,7074693721287215918,72,7074693721287215918,Janrah (Contains music from: Wasa Pa Rido - Dayin),"Contains music from: ""Wasa Pa Rido""",6.576281784202772e+18,$avannah Hannah,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7074693759929305899.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/92aa81045fbc1826e583a8ae8d326bb4.json,False,False,[],0,0,Dayin,Wasa Pa Rido,Janrah (Contains music from: Wasa Pa Rido - Dayin),"Contains music from: ""Wasa Pa Rido""",Fiji,,0,0,0,0,0,0,0,0,0,0
1,FJ,7100102411267689729,1653121416,DUA LIPA🤣🤣💀 @shermont22 #fyp #viral #tiktokfj,75178170244558848,ﹰDelanie,"Kailoma🌺🇫🇯
23
Aries♈
Thank you all for 20k😍❤
please follow my Instagram 👇",0,False,https://www.tiktok.com/@dee_tiktokfj/video/7100102411267689729?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100102411267689729&source=h5_m,72535,27,8,42,3579,7081309149551676203,7081309149551676203,72,7081309149551676203,original sound - addywallace_ (Contains music from: One Kiss - Calvin Harris & Dua Lipa),"Contains music from: ""One Kiss""",6.725231966700946e+18,Addisyn Wallace,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081309181378054954.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5e460e513f9fc8f797b8665fa8cf843f.json,False,False,[],0,0,Calvin Harris & Dua Lipa,One Kiss,original sound - addywallace_ (Contains music from: One Kiss - Calvin Harris & Dua Lipa),"Contains music from: ""One Kiss""",Fiji,#fyp #viral #tiktokfj,0,0,0,0,0,1,0,0,1,0
2,NZ,7097477178522094850,1652510182,Yeah na this trend doesn’t work for me 😂🥲 #4moreweeks #bumpupdate #twinies,6773885509103584262,Dhys Faleafaga,🌶 vibeeeeez,0,False,https://www.tiktok.com/@dhysfaleafaga/video/7097477178522094850?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097477178522094850&source=h5_m,327861,74,23,167,26223,6754930161952623365,6754930161952623365,72,6754930161952623365,original sound - winningnhlbettorr (Contains music from: Pop - Jungleboy),"Contains music from: ""Pop""",6.748416766835279e+18,WinningNHLBettor,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1649152562554949.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d64ef50011fd9de344bb73f22a5e4be9.json,False,False,[],0,0,Jungleboy,Pop,original sound - winningnhlbettorr (Contains music from: Pop - Jungleboy),"Contains music from: ""Pop""",Fiji,#4moreweeks #bumpupdate #twinies,0,0,0,0,0,0,0,0,0,0
3,IE,7082464917726579974,1649014866,At least I tried 🙈  #PetsOfTikTok #petlover #foryou #music #fyp,146357806185472000,Lizardthebuddy,"Buddy & DragonDad
 Ireland 🇮🇪 Latvia 🇱🇻 
📧 lizardthebuddy@gmail.com",0,False,https://www.tiktok.com/@lizardthebuddy/video/7082464917726579974?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082464917726579974&source=h5_m,69333430,12246,15396,63771,3656360,7034461623180200706,7034461623180200706,24,7034461623180200706,original sound - dkawn.me (Contains music from: Laka Da Mar - Kashif Swabi),"Contains music from: ""Laka Da Mar""",6.925754997703624e+18,𝘿𝙆𝙖𝙬𝙣ッ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7034461585712155393.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c0c2e8dde4c4fbaa437358763ec991a2.json,False,False,[],0,0,Kashif Swabi,Laka Da Mar,original sound - dkawn.me (Contains music from: Laka Da Mar - Kashif Swabi),"Contains music from: ""Laka Da Mar""",Fiji,#PetsOfTikTok #petlover #foryou #music #fyp,0,0,1,0,0,1,0,0,0,0
