,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypage,hash_fypシ,hash_protebe,hash_trend,hash_viral
2,CZ,7090609030581734661,1650911066, ,6686119553678902278,SKS 🔴⚪ Anti Sparta,Hrdý slávista,0,False,https://m.tiktok.com/v/7090609030581734661.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090609030581734661&source=h5_m,488515,1049,2757,6,46333,7090609003130080006,7090609003130080006,72,7090609003130080006,original sound - pepaoje,SKS 🔴⚪ Anti Sparta,6.686119553678902e+18,SKS 🔴⚪ Anti Sparta,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090609027540962054.mp3,,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
3,PL,7100080804545481989,1653250495,#ad ✨Me vs art teacher…✨ #drawing #art #colourpencil #fyp #honkaiimpact3rd #TheThirteenFlameChasers #aponia @honkaiimpact3rden,6815820521784787973,Franek Bielak,fredziownik123@gmail.com,0,False,https://m.tiktok.com/v/7100080804545481989.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100080804545481989&source=h5_m,6337560,2807,443,198,507855,7060598220120034053,7060598220120034053,72,7060598220120034053,middle of the night (Contains music from: MIDDLE OF THE NIGHT - Elley Duhé),"Contains music from: ""MIDDLE OF THE NIGHT""",7.043108937957672e+18,</3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7060598252340906758.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/791b661c27f2b3e1a5cbaac4305bc5ec.json,False,False,Elley Duhé,MIDDLE OF THE NIGHT,middle of the night (Contains music from: MIDDLE OF THE NIGHT - Elley Duhé),"Contains music from: ""MIDDLE OF THE NIGHT""",[],0,0,Czech Republic,#ad #drawing #art #colourpencil #fyp #honkaiimpact3rd #TheThirteenFlameChasers #aponia,0,0,0,0,1,0,0,0,0,0
4,CZ,7100881310989831430,1653302771,Těhotenská masáž v Praze. #thajskemasaze #masaz #kamvpraze #goldhandthaimassage #thaimassage #tehotenstvi #praha,6856803136141935618,Gold Hand Thai Massage v Praze,"thajské masáže 🇹🇭
salony Praha 1 a Praha 6
mobilní masaže po Praze a okolí",0,False,https://m.tiktok.com/v/7100881310989831430.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100881310989831430&source=h5_m,387187,117,72,98,11753,7048987493232184069,7048987493232184069,72,7048987493232184069,Tohle je ten nejlepší pocit,Buď safe online,6.81553459412594e+18,Buď safe online,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7048987510772402950.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/afc14a9e965831d96cf934c9187075f1.json,False,False,,,,,[],0,0,Czech Republic,#thajskemasaze #masaz #kamvpraze #goldhandthaimassage #thaimassage #tehotenstvi #praha,0,0,0,0,0,0,0,0,0,0
5,US,7096612608995855662,1652308882,Life of a middle child 😂 #foryou #fyp,2114049,Marrkadams,Business only: Mjadams1994@gmail.com,0,False,https://m.tiktok.com/v/7096612608995855662.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096612608995855662&source=h5_m,2370201,2640,1276,4810,230596,7096612578952055594,7096612578952055594,72,7096612578952055594,original sound - marrkadams,Marrkadams,2114049.0,Marrkadams,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7096612606257056558.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4b3f24b56aacefc67c7a003f16a1b543.json,False,False,,,,,[],0,0,Czech Republic,#foryou #fyp,1,0,0,0,1,0,0,0,0,0
6,SK,7103208969132395781,1653844718,Napíš svoj výsledok do komentára 🤘 btw @dualipaofficial si môžeš pozrieť LIVE na #lovestream festivale už 11.6.,6741338591442158597,Televízia Markíza,"🤪 Oficiálny TikTok #tvmarkiza
Info o ochrane os. údajov: bit.ly/markiza-socia",0,False,https://m.tiktok.com/v/7103208969132395781.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103208969132395781&source=h5_m,91776,144,52,0,7484,6941921463985392389,6941921463985392389,72,6941921463985392389,Baja un dedo. Dua Lipa,Baja un dedo🦩,6.843250672692512e+18,Baja un dedo🦩,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6941921709184322310.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c0f9e2a71ac4f412733c1175df9f89f1.json,False,False,,,,,[],0,0,Czech Republic,#lovestream,0,0,0,0,0,0,0,0,0,0
7,SK,7102457394503896325,1653669728,Reply to @vendy.11 😂😂😂,6831548451928851461,crazydeya,Čekuj viac vtipných príbehov na mojom Instagrame 👉 @crazydeya,0,False,https://m.tiktok.com/v/7102457394503896325.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102457394503896325&source=h5_m,362688,650,104,229,31831,7102457364757990149,7102457364757990149,72,7102457364757990149,original sound - crazydeya,crazydeya,6.831548451928851e+18,crazydeya,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102457385276558086.mp3,,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
0,CA,7097643802936036613,1652548976,gunna redo this not rolled outta bed,6636387148403376134,Ashley Matheson🎰,"BLM
snapchat - ashley-matheson 
queer
business - ash@palettemgmt.com
777",0,False,https://www.tiktok.com/@smashedely/video/7097643802936036613?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097643802936036613&source=h5_m,11579381,6341,9445,24178,1608715,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",6.92775759039221e+18,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,El Alfa & Chael Produciendo,Gogo Dance,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
1,CZ,7099871984200224006,1653067765,"Nesmíte rušit Andyho, když zrovna jede do restaurace! (Video je FAKE) #milošzeman #andrejbabiš #babiš #imitace #politika #komedie #satira #fyp",7062092260284072965,Předseda Hnutí - Andrej Babiš,"Imitující Profil Pana Předsedy.
„ℤ𝔸 𝔹𝔸𝔹𝕀Š𝔼 𝔹𝕐𝕃𝕆 𝕃Íℙ“ Andrej Babiš.",0,False,https://www.tiktok.com/@cesta.kolem.andreje/video/7099871984200224006?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099871984200224006&source=h5_m,723598,429,1568,3687,67105,7099871981667322630,7099871981667322630,72,7099871981667322630,original sound - cesta.kolem.andreje,Předseda Hnutí - Andrej Babiš,7.062092260284073e+18,Předseda Hnutí - Andrej Babiš,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099871965443279622.mp3,,False,False,,,,,[],0,0,Czech Republic,#milošzeman #andrejbabiš #babiš #imitace #politika #komedie #satira #fyp,0,0,0,0,1,0,0,0,0,0
2,FR,7099138622498032902,1652897017,#art #fyp #streetphotography #photography #photographer,7073204963028288517,Jean Black,"Exclusive content 
on YouTube
🔽🔽🔽",0,False,https://www.tiktok.com/@jinnoir/video/7099138622498032902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099138622498032902&source=h5_m,3152980,1817,988,74,471564,7099138609882237701,7099138609882237701,72,7099138609882237701,original sound - jinnoir,Jean Black,7.073204963028289e+18,Jean Black,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099138605323782918.mp3,,False,False,,,,,[],0,0,Czech Republic,#art #fyp #streetphotography #photography #photographer,0,0,0,0,1,0,0,0,0,0
3,CZ,7096898517150502150,1652375451,"caukyy, v prvni rade vam chci podekovat za aktivitu, OPET <3 video jen na “my dog stepped on a bee” chystam a brzy snad vydam, takze dekuju a enjoy 👌🏼 [btw proti adel nic nemam, video neni mysleno zle] #fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #fyfyfyfy #fy #fyp #fypシ #fypage #fypシ゚viral #foryou #foryoupage #foryourpage #shopaholicadel #amberheard #cesko #johnnydepp",239502748608794624,cosetotamobjevilo,58🦎,0,False,https://www.tiktok.com/@mxoonlightts/video/7096898517150502150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096898517150502150&source=h5_m,341452,716,982,1662,46130,7096898498863336198,7096898498863336198,72,7096898498863336198,original sound - mxoonlightts,cosetotamobjevilo,2.3950274860879462e+17,cosetotamobjevilo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096898500831218437.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/539a0486d7592f21181e9253a956482d.json,False,False,,,,,[],0,0,Czech Republic,#fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #fyfyfyfy #fy #fyp #fypシ #fypage #fypシ゚viral #foryou #foryoupage #foryourpage #shopaholicadel #amberheard #cesko #johnnydepp,1,1,0,1,1,1,2,0,0,1
4,CA,7100274243081964806,1653161424,If you say so 🤭.. #fyp,6781453305577276421,Jake Andrich / Jakipz,"My Instagram & YouTube 👆
Full-time weirdo 😛🍁
Twitter: @Jakipz",0,False,https://www.tiktok.com/@jakeandrich/video/7100274243081964806?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100274243081964806&source=h5_m,1967524,1303,878,1270,167333,6974203692983601925,6974203692983601925,72,6974203692983601925,Saturday Night Lights TCvsChanze Remix (Contains music from: Wonder Woman 1984 - Cool Peoples),"Contains music from: ""Wonder Woman 1984""",6.734105438117365e+18,Akintoye,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6974203835996752645.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30a738d4d49c76fd2ac1418b61755b2e.json,False,False,Cool Peoples,Wonder Woman 1984,Saturday Night Lights TCvsChanze Remix (Contains music from: Wonder Woman 1984 - Cool Peoples),"Contains music from: ""Wonder Woman 1984""",[],0,0,Czech Republic,#fyp,0,0,0,0,1,0,0,0,0,0
5,CZ,7088607683242151174,1650445092,BAHHAHA#FYP #PROTEBE #IPHONE#PRANK#SOFTIE #EMO,6925734753904460806,</3,ja nevim co sem napsat??,0,False,https://www.tiktok.com/@nykcolew/video/7088607683242151174?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088607683242151174&source=h5_m,286106,741,162,649,40414,6944358627331328770,6944358627331328770,72,6944358627331328770,original sound - sahan_.s (Contains music from: 摆臀吧印度风 - 7妹&琦妹儿),"Contains music from: ""摆臀吧印度风""",6.942790389401732e+18,Sahan Sulakshana,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6970419150447594242.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/458396d98db598d56da91f2596d6472c.json,False,False,7妹&琦妹儿,摆臀吧印度风,original sound - sahan_.s (Contains music from: 摆臀吧印度风 - 7妹&琦妹儿),"Contains music from: ""摆臀吧印度风""",[],0,0,Czech Republic,#FYP #PROTEBE #IPHONE#PRANK#SOFTIE #EMO,0,0,0,0,1,0,0,1,0,0
6,CZ,7071307113665957126,1646416987,#fyp #trendy #pov Která z vás sní o takom muži ?😉 | Instagram: Dejviiiiii💕,6821208053125514245,siflik2001,,0,False,https://www.tiktok.com/@dejviiiiiiik/video/7071307113665957126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071307113665957126&source=h5_m,417652,285,748,1168,34508,7033449348478274309,7033449348478274309,72,7033449348478274309,hello ily (Contains music from: All The Things She Said - t.A.T.u.),"Contains music from: ""All The Things She Said""",6.958045031047792e+18,<3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7033449371983153926.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f63a5d7cdeac3ae209d92d4f5405d21e.json,False,False,t.A.T.u.,All The Things She Said,hello ily (Contains music from: All The Things She Said - t.A.T.u.),"Contains music from: ""All The Things She Said""",[],0,0,Czech Republic,#fyp #trendy #pov,0,0,0,0,1,0,0,0,0,0
7,VN,7101693100766137626,1653491776,xem đến cuối có bất ngờ #supercar4888,7068841101352748033,Dream Car,DUC AN CAR,0,False,https://www.tiktok.com/@supercar4888/video/7101693100766137626?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101693100766137626&source=h5_m,8323345,5951,19050,3315,1340589,7101693107535678234,7101693107535678234,24,7101693107535678234,original sound - supercar4888,Dream Car,7.068841101352748e+18,Dream Car,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7101693111382592283.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d0b03b3d50ca03efce99497fc2902145.json,False,False,,,,,[],0,0,Czech Republic,#supercar4888,0,0,0,0,0,0,0,0,0,0
0,GB,7103530355189107973,1653919547,Thank you for being here ❤️ #art #drawing #pencilportrait #pencildrawing #pencilart #hyperrealism #hyperrealistic #eteportraits #artcollector #mememtomori #skull,6847508761369822213,Emma Towers-Evans,Prints of my latest drawing now available:,0,False,https://www.tiktok.com/@eteportraits/video/7103530355189107973?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103530355189107973&source=h5_m,131048,159,80,63,13756,6964785562949093377,6964785562949093377,10033,6964785562949093377,Polozhenie - Izzamuzzic Remix,Скриптонит,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/261416699b6e41c9817bf879750696b6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f58299ebc28a480e8aeed7580009e2b9,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1568740601', 'external_song_key': 'apple_song_id'}]",0,0,Czech Republic,#art #drawing #pencilportrait #pencildrawing #pencilart #hyperrealism #hyperrealistic #eteportraits #artcollector #mememtomori #skull,0,0,0,0,0,0,0,0,0,0
1,US,7097413441912196394,1652495342,I noticed him at the end @samdezz,6732675975610074118,Brooke Monk,"❤️Jesus forever❤️
 19
I’m not funny 
My YouTube is cool too 👇",0,False,https://www.tiktok.com/@brookemonk_/video/7097413441912196394?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097413441912196394&source=h5_m,9405605,3979,2513,11025,1401766,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
2,CZ,7074872694457634054,1647247167,#fyp #foryou #tiktok #2022 #madisonpettis #❤️ 🔥🔥😍🥰,6729998649630540805,Jemmy🇨🇿,,0,False,https://www.tiktok.com/@jemmy222/video/7074872694457634054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074872694457634054&source=h5_m,4824458,1803,6234,58,497462,6995180782411156230,6995180782411156230,72,6995180782411156230,original sound - mangaeurope_officiel (Contains music from: INDUSTRY BABY - Lil Nas X & Jack Harlow),"Contains music from: ""INDUSTRY BABY""",6.837547342259504e+18,mangaeurope,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6995180894696819461.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1de8087a1dc7ea9e723f254c5f7114e0.json,False,False,Lil Nas X & Jack Harlow,INDUSTRY BABY,original sound - mangaeurope_officiel (Contains music from: INDUSTRY BABY - Lil Nas X & Jack Harlow),"Contains music from: ""INDUSTRY BABY""",[],0,0,Czech Republic,#fyp #foryou #tiktok #2022 #madisonpettis #❤️,1,0,0,0,1,0,0,0,0,0
3,CZ,7098710076592098565,1652797239,#ad Královna vyrazila na pořádný kus umění od @mcdonaldsczsk  Meastro burgery tentokrát ve variantách – Classic a Fresh Beef & Classic a Fresh Chicken. #maestro #mcdczsk #placenaspoluprace,70336374331060224,tadeas,⚔️💗KRÁLOVSTVÍ TADEÁŠ VSTUPENKY💗⚔️,0,False,https://www.tiktok.com/@tadeaskubenka/video/7098710076592098565?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098710076592098565&source=h5_m,137391,71,44,57,19594,7096780762426526470,7096780762426526470,72,7096780762426526470,original sound - mcdonaldsczsk,McDonald's CZ&SK,6.974091679024694e+18,McDonald's CZ&SK,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096780802213546757.mp3,,False,False,,,,,[],0,0,Czech Republic,#ad #maestro #mcdczsk #placenaspoluprace,0,0,0,0,0,0,0,0,0,0
