,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_ad,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
3,KR,7083317526771305729,1649213383,🐿️ 🐥 🐱 아미가 #좋아요 💜See you soon💜 #Like by #BTS #방탄소년단 #jhope #Jimin #SUGA,6737188750352401410,BTS,"This is Official TikTok for BTS.
방탄소년단 공식 틱톡입니다.",0,False,https://www.tiktok.com/@bts_official_bighit/video/7083317526771305729?_r=1&u_code=0&region=US&mid=7043506537691745071&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083317526771305729&source=h5_t,65383000,491327,638086,1180551,12956705,7043506537691745071,7043506537691745071,72,7043506537691745071,like by bts (Contains music from: Like  - BTS),"Contains music from: ""Like """,7.007101643544397e+18,I KNOW PLEASE I KNOW BTS USED,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7043506548538690351.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3e0a0751c3a3a40ca1786867e10ccba2.json,False,False,BTS,Like ,like by bts (Contains music from: Like  - BTS),"Contains music from: ""Like """,[],0,0,Cambodia,#좋아요 #Like #BTS #방탄소년단 #jhope #Jimin #SUGA,0,0,0,0,0,0,0,0,0,0
4,DO,7071031197811461382,1646352746,IG: gregoryrd08//10 años de suerte si copias el enlace 🍀💘#foryou #gregoryrd08,240816309301604352,Gregory🧠🫀,Instagram: gregoryrd08,0,False,https://www.tiktok.com/@gregoryrd08/video/7071031197811461382?_r=1&u_code=0&region=US&mid=7058106609343417094&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071031197811461382&source=h5_t,74254708,61227,76971,362345,5388994,7058106609343417094,7058106609343417094,72,7058106609343417094,gay si no me sigues jaja (Contains music from: Wiggle (feat. Snoop Dogg) - Jason Derulo),"Contains music from: ""Wiggle (feat. Snoop Dogg)""",6.966448704066094e+18,Luis Padilla,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7058106622643686150.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/85e2aa8c6f7d7210579cf18d7019b4eb.json,False,False,Jason Derulo,Wiggle (feat. Snoop Dogg),gay si no me sigues jaja (Contains music from: Wiggle (feat. Snoop Dogg) - Jason Derulo),"Contains music from: ""Wiggle (feat. Snoop Dogg)""",[],0,0,Cambodia,#foryou #gregoryrd08,0,0,1,0,0,0,0,0,0,0
5,ME,7095307275098787078,1652004962,#shangelnyc #foru #foryou #shangelnyc #foru #couples #foryou #foru #couples #foryoupage #forupage #fyp#foryou#blinddate #couple #newyork #viral#foryoupage #foryou #blowthisup #couples #foryoupage #couples #fyp #foryoupage #nyc,6963980839190807558,💙,,0,False,https://www.tiktok.com/@_lyricsgirl._/video/7095307275098787078?_r=1&u_code=0&region=US&mid=7067700865674545967&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095307275098787078&source=h5_t,11510698,4308,14391,507,1619872,7067700865674545967,7067700865674545967,72,7067700865674545967,if yall keep doing corny stuff im deleting this (Contains music from: Rackz got më - Yeat),"Contains music from: ""Rackz got më""",6.845751341198394e+18,The lyric man,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7067700871676644142.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1ea8f92cb96b1847b3bf4b92393fd276.json,False,False,Yeat,Rackz got më,if yall keep doing corny stuff im deleting this (Contains music from: Rackz got më - Yeat),"Contains music from: ""Rackz got më""",[],0,0,Cambodia,#shangelnyc #foru #foryou #shangelnyc #foru #couples #foryou #foru #couples #foryoupage #forupage #fyp#foryou#blinddate #couple #newyork #viral#foryoupage #foryou #blowthisup #couples #foryoupage #couples #fyp #foryoupage #nyc,0,0,4,4,0,2,0,0,0,1
6,KH,7099659848031178010,1653018373,កុំខូចចិត្តអីណា babe🤣,6814750151749108738,👸🥀Ñìçh Ñìçh👸🥀,Real acc❤️👌,0,False,https://www.tiktok.com/@nichnich463/video/7099659848031178010?_r=1&u_code=0&region=US&mid=7086722822915083034&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099659848031178010&source=h5_t,812605,382,562,24,194109,7086722822915083034,7086722822915083034,24,7086722822915083034,original sound - Jeffery || Theary,Jeffery || Theary,6.585118223510241e+18,Jeffery || Theary,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7086722835665783578.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2ea8b24f09968d3bde2c34b2c049ce1c.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
7,KH,7099794138358385947,1653049639,Behind the seen🤣🤣🤣@Vann Dy #foryou #viral #fyp,6546025960448770049,Justin__IN🇰🇭,"IG: justin__in  
FB: phearin reber
Tel:085633590☎️(contact for work)",0,False,https://www.tiktok.com/@phearinreber8/video/7099794138358385947?_r=1&u_code=0&region=US&mid=6997257992437517058&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099794138358385947&source=h5_t,353404,67,56,1,56319,6997257992437517058,6997257992437517058,24,6997257992437517058,original sound - Sereyvong #Singer (Contains music from: Green - Ansome),"Contains music from: ""Green""",6.639599567020065e+18,Sereyvong #Singer,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6997257942177188609.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/548ce1993448a1fb9bb285c9fe2a5fbf.json,False,False,Ansome,Green,original sound - Sereyvong #Singer (Contains music from: Green - Ansome),"Contains music from: ""Green""",[],0,0,Cambodia,#foryou #viral #fyp,0,0,1,0,0,1,0,0,0,1
0,KH,7092085735204900123,1651254888,Still want you btw💔 #pain #foryou,6591706447057256449,Ycj Jimmy,,0,False,https://www.tiktok.com/@ycjjimmyy/video/7092085735204900123?_r=1&u_code=0&region=US&mid=7084741928104905499&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092085735204900123&source=h5_t,62979,181,505,1442,9750,7084741928104905499,7084741928104905499,24,7084741928104905499,original sound - favspdsongs (Contains music from: Delusional - Joeski),"Contains music from: ""Delusional""",6.899064074207921e+18,favspdsongs,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7084741988389587739.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a4d77552fb7ab5f181290ae38f9f000f.json,False,False,Joeski,Delusional,original sound - favspdsongs (Contains music from: Delusional - Joeski),"Contains music from: ""Delusional""",[],0,0,Cambodia,#pain #foryou,0,0,1,0,0,0,0,0,0,0
1,KH,7092411761483173147,1651330796,បងប្អូនកូនក្មួយឃេីញវីដេអូម៉ោងប៉ុន្មានដែរ? 😂,7038969084780921882,Pu Nith E Ka - ពូនិត អុីកា,"IG: la_phanith_skin7
FB: La Phanith
ពូនិត អុីកា ជាម្ចាស់ប្រេនSkin7 Cambodia",0,False,https://www.tiktok.com/@punith_eka_skin7/video/7092411761483173147?_r=1&u_code=0&region=US&mid=7064972766742661915&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092411761483173147&source=h5_t,1737325,635,284,436,144473,7064972766742661915,7064972766742661915,24,7064972766742661915,original sound - Soth sreylin,Soth sreylin,6.993265942861071e+18,Soth sreylin,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7064972751307606810.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d0f477ec5809fa25f5f36422cb3dc583.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,KH,7102789647213841691,1653747086,Once again with sound of bong Mean sonyta 😆 #cambodia #meansonyta #khmer #fyp,6555039867125612546,marie,"Random, don’t take it too seriously 
 Instagram: daa.marie",0,False,https://www.tiktok.com/@mayriamerry/video/7102789647213841691?_r=1&u_code=0&region=US&mid=7094868055578282779&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102789647213841691&source=h5_t,649908,59,61,52,37752,7094868055578282779,7094868055578282779,24,7094868055578282779,original sound - Mean Sonyta,Mean Sonyta,1.2376084745730048e+17,Mean Sonyta,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7094868067271838491.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/13afaa1ad7703fd7e6b4672be3d5ab0b.json,False,False,,,,,[],0,0,Cambodia,#cambodia #meansonyta #khmer #fyp,0,0,0,0,0,1,0,0,0,0
3,KH,7103049776123350299,1653807652,គ្រូណមបង្ហាត់ស្បែកគង់,6773472264873673730,Pou Norm,No bio yet,0,False,https://www.tiktok.com/@pounorm/video/7103049776123350299?_r=1&u_code=0&region=US&mid=7103049785837439771&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103049776123350299&source=h5_t,219950,153,95,366,29220,7103049785837439771,7103049785837439771,24,7103049785837439771,original sound - Pou Norm,Pou Norm,6.773472264873674e+18,Pou Norm,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7103049792473090843.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
4,GB,7096495367776144646,1652281586, ,7076845261302006790,income10x,10x Your Income Today 📈,0,False,https://www.tiktok.com/@income10x/video/7096495367776144646?_r=1&u_code=0&region=US&mid=6750650399448893441&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096495367776144646&source=h5_t,5621984,1344,9062,31002,383817,6750650399448893441,6750650399448893441,10033,6750650399448893441,Never Gonna Give You Up,Rick Astley,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/42043b7c9d044547a2b4e60cca317f12,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ef96e77ba0b04ce88cca3c658779fc0f,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1478168518', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
5,KH,7095339675979762971,1652012504,ញ៉ាំអត់ទាន់ភ្ញៀវទេ,6783963327564497922,Selena,,0,False,https://www.tiktok.com/@selenaselena965/video/7095339675979762971?_r=1&u_code=0&region=US&mid=7095339668174097178&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095339675979762971&source=h5_t,66026,16,5,4,1629,7095339668174097178,7095339668174097178,24,7095339668174097178,original sound - Selena,Selena,6.783963327564498e+18,Selena,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7095339695186037531.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
6,KH,7103195202571013403,1653841512, ,7010467940773921794,REACHNY,srolanhbongonly1ddad,0,False,https://www.tiktok.com/@rearchny/video/7103195202571013403?_r=1&u_code=0&region=US&mid=7103195199836801818&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103195202571013403&source=h5_t,1053466,0,752,21,125663,7103195199836801818,7103195199836801818,24,7103195199836801818,original sound - REACHNY,REACHNY,7.010467940773922e+18,REACHNY,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7103195218677222171.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
7,KH,7101596214424128794,1653469218,អ្នកទាំងអស់គ្នាមេីលកម្ពស់កែវទាន់ទេ👸🇰🇭💪🥰🥰💐💐,6825546569870803969,miiounphors,,0,False,https://www.tiktok.com/@miiounphors/video/7101596214424128794?_r=1&u_code=0&region=US&mid=7101596216781196058&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101596214424128794&source=h5_t,69815,114,210,1,15987,7101596216781196058,7101596216781196058,24,7101596216781196058,original sound - miiounphors,miiounphors,6.825546569870804e+18,miiounphors,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7101596224935004955.mp3,,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
0,KH,7091201918806002970,1651049108,I’m so husband,6673652884096435201,Teacher Michael,Only positive vibes here. Any negativity or “first” “early” comments = blocked❗️,0,False,https://www.tiktok.com/@michaelincambodia/video/7091201918806002970?_r=1&u_code=0&region=US&mid=7089694014085090074&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091201918806002970&source=h5_t,91024,74,29,1,7010,7089694014085090074,7089694014085090074,24,7089694014085090074,original sound - PL,PL,6.603255337293709e+18,PL,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7089694025044757274.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ea77ad5b649f539c9c214660d5260326.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7099051951983201562,1652876836,🥲♥️ #i1fun #fyp #miki #haradamiki #oppi #viral,6512717496348753921,Hãradä Mïki,FB : Hãradä Mïki | IG haradamikii | 2♥️♥️Year CEO Pink Bee ♥️,0,False,https://www.tiktok.com/@bee1207/video/7099051951983201562?_r=1&u_code=0&region=US&mid=7094643926748924698&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099051951983201562&source=h5_t,196111,42,86,193,32159,7094643926748924698,7094643926748924698,24,7094643926748924698,original sound - ꧁༺Böth༻꧂【 Väłëntïnë 】 (Contains music from: Nice Dance Disco - Higher),"Contains music from: ""Nice Dance Disco""",6.572874230639297e+18,꧁༺Böth༻꧂【 Väłëntïnë 】,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7094643936454511387.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/890ae6118d0fd766f15066e56af42a40.json,False,False,Higher,Nice Dance Disco,original sound - ꧁༺Böth༻꧂【 Väłëntïnë 】 (Contains music from: Nice Dance Disco - Higher),"Contains music from: ""Nice Dance Disco""",[],0,0,Cambodia,#i1fun #fyp #miki #haradamiki #oppi #viral,0,0,0,0,0,1,0,0,0,1
2,CA,7092223949479693573,1651287070,blocking my vision bruh,6680252662716564486,mikayla,"beauty-relatable-satisfying 👁
21 🇨🇦
mikaylaggrace@gmail.com
⇩ my candle shop",0,False,https://www.tiktok.com/@mikaylaadiorr/video/7092223949479693573?_r=1&u_code=0&region=US&mid=7080712382540647173&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092223949479693573&source=h5_t,45479309,24295,18219,9825,2969913,7080712382540647173,7080712382540647173,10036,7080712382540647173,Pizzazz,Akintoye,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8d7589f3e3c0468e845b5c2e08adb209,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d20edabf8855437797bf11d4060f3306,False,True,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
