,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_angola,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_tiktok,hash_tiktokangola,hash_truthbetold,hash_viral
2,US,7075821166577110318,1647467997,When your man catches you slipping 👀 #AllAmericanHomecoming,6690989296075555845,The CW,Official TikTok account for The CW | Stream free only on The CW App!,2,False,https://www.tiktok.com/@thecwofficial/video/7075821166577110318?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075821166577110318&source=h5_m,6374991,1502,4126,28369,375670,7075821135367195438,7075821135367195438,72,7075821135367195438,original sound - thecwofficial,The CW,6.690989296075556e+18,The CW,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075821160310623018.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d2dc801360724aaf0b17e40a5d59e384.json,False,False,,,,,[],0,0,Angola,#AllAmericanHomecoming,0,0,0,0,0,0,0,0,0,0
3,BR,7100340831101537541,1653176929, ,6946431075213345797,thalitaKarter,as modelos mais lindas 😍,0,False,https://www.tiktok.com/@thalita_karter/video/7100340831101537541?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100340831101537541&source=h5_m,8267837,5396,23466,21971,810908,7100340800529861381,7100340800529861381,72,7100340800529861381,original sound - thalita_karter (Contains music from: Khula Mera Hai - Dev Kohli),"Contains music from: ""Khula Mera Hai""",6.946431075213346e+18,thalitaKarter,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100340795990936325.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c4b03047160347df5e7c84d7e6336550.json,False,False,Dev Kohli,Khula Mera Hai,original sound - thalita_karter (Contains music from: Khula Mera Hai - Dev Kohli),"Contains music from: ""Khula Mera Hai""",[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
4,AO,7095165472974327045,1652479201,Speaker:#steveharvey #truthbetold #steveharveymotivation #believer #god #motivational #inspirational #LifeAdvice #lifegoal #change #truestory,7028210671867560966,Truth Be Told,"Road To 1 Million
Just One More Step.",0,False,https://www.tiktok.com/@truth.be.told0/video/7095165472974327045?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095165472974327045&source=h5_m,721783,469,7078,48203,81564,7097344103259671302,7097344103259671302,72,7097344103259671302,original sound - truth.be.told0,Truth Be Told,7.028210671867561e+18,Truth Be Told,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097344109992102662.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dff72e0f3b8c0dc82ec2ca81b10c74fe.json,False,False,,,,,[],0,0,Angola,#steveharvey #truthbetold #steveharveymotivation #believer #god #motivational #inspirational #LifeAdvice #lifegoal #change #truestory,0,0,0,0,0,0,0,0,1,0
5,BR,7097613634033028358,1652541953,Acho que CONSEGUI !! 💪🏻😂 #fy #humor #casal,6797495349432222726,Damares Frois,"- Perfil Reserva: damfroiss 
Aula de Dança - Aprenda os SEGREDOS 💃⬇️",0,False,https://www.tiktok.com/@damfrois/video/7097613634033028358?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097613634033028358&source=h5_m,7765486,2136,2927,6554,301623,6870071427203484418,6870071427203484418,24,6870071427203484418,original sound - nicoalmaria (Contains music from: Hips Don't Lie (i never really knew that she could dance like this) (feat. Wyclef Jean) - Shakira),"Contains music from: ""Hips Don't Lie (i never really knew that she could dance like this) (feat. Wyclef Jean)""",6.746439126931654e+18,Nico Almaria,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6977767650218806018.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9590750c7a36c5466a4671714e6d6868.json,False,False,Shakira,Hips Don't Lie (i never really knew that she could dance like this) (feat. Wyclef Jean),original sound - nicoalmaria (Contains music from: Hips Don't Lie (i never really knew that she could dance like this) (feat. Wyclef Jean) - Shakira),"Contains music from: ""Hips Don't Lie (i never really knew that she could dance like this) (feat. Wyclef Jean)""",[],0,0,Angola,#fy #humor #casal,0,0,0,1,0,0,0,0,0,0
6,AO,7081403566132382982,1648767751,🤣😂🤣😂🤣,7038115910067094529,Nelson Libera687,No bio yet,0,False,https://www.tiktok.com/@nelsonlibera687/video/7081403566132382982?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081403566132382982&source=h5_m,932151,449,6787,44786,44435,7081403528720042758,7081403528720042758,24,7081403528720042758,original sound - nelsonlibera687,Nelson Libera687,7.038115910067095e+18,Nelson Libera687,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081403568820996870.mp3,,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
7,CO,7091143165515746565,1651035434, ,7089265253490213893,beckywiththegoodhair170,47😎,0,False,https://www.tiktok.com/@beckywiththegoodhair170/video/7091143165515746565?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091143165515746565&source=h5_m,13592306,5513,8745,19223,460136,6811968697339579141,6811968697339579141,72,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6.601044405204779e+18,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
0,AO,7097255329003621637,1652458528, ,6888305455291925510,Leandramatos03,,0,False,https://m.tiktok.com/v/7097255329003621637.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097255329003621637&source=h5_m,74206,56,54,486,3632,7097255334015683333,7097255334015683333,72,7097255334015683333,original sound - leandramatos03,Leandramatos03,6.888305455291926e+18,Leandramatos03,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097255309693029126.mp3,,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
1,BR,7100310590521969926,1653169887,socorro haaaa🔥#luisasonza #rebecca #show #TrendAbsurda #FestivalNoTikTok #foryou #fyy #fypシ゚viral #viral #fy #foyo,6750299219560727558,anitta_patroaa,amor de fã não se mede ♥️,0,False,https://m.tiktok.com/v/7100310590521969926.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100310590521969926&source=h5_m,7301696,2487,4273,11035,377596,7100314578810063621,7100314578810063621,72,7100314578810063621,original sound - anitta_patroaa,anitta_patroaa,6.750299219560728e+18,anitta_patroaa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100314601610349318.mp3,,False,False,,,,,[],0,0,Angola,#luisasonza #rebecca #show #TrendAbsurda #FestivalNoTikTok #foryou #fyy #fypシ゚viral #viral #fy #foyo,0,1,0,1,0,1,0,0,0,2
2,US,7088062500033334570,1650318155,Y’all looking with your man or not ? #fyp #foryou #deedessy,6774924968901067781,officialdeedessy,"Twitter: @deedesssyyy
Snap👻: @deedesssyyy
  DEEDESSY",0,False,https://m.tiktok.com/v/7088062500033334570.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088062500033334570&source=h5_m,30383954,42948,91762,130044,3722834,7037375238900075311,7037375238900075311,72,7037375238900075311,original sound - zaqrihh (Contains music from: Act Like You Know - Drippppp._),"Contains music from: ""Act Like You Know""",7.004682759428523e+18,Zaq 🦖,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7037374892249123631.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/98522c051c0d013c5c49c598d4e4eca9.json,False,False,Drippppp._,Act Like You Know,original sound - zaqrihh (Contains music from: Act Like You Know - Drippppp._),"Contains music from: ""Act Like You Know""",[],0,0,Angola,#fyp #foryou #deedessy,0,1,0,0,1,0,0,0,0,0
3,AO,7072534443646373125,1646702749,Ala cinema 😳 #humor #fy,6916999456354239494,baptistamiranda,Seja bem vindo 🥰,0,False,https://m.tiktok.com/v/7072534443646373125.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072534443646373125&source=h5_m,144204,212,307,740,20504,7031772519728286470,7031772519728286470,72,7031772519728286470,original sound - improvedcape619,RJ,7.02677954977525e+18,RJ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7031772751819983622.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f7bd75bbd0ffe785bd1cb4b263d16bc5.json,False,False,,,,,[],0,0,Angola,#humor #fy,0,0,0,1,0,0,0,0,0,0
4,AO,7102340236105075974,1653642453,Responder @ivonaldomesquita cá tens Inovaldo 🤣🤣🤣,6903264179044008966,Euclénia Daniel,"Paz de espírito 🥰
Instagram:Euclénia Daniel Naval",0,False,https://m.tiktok.com/v/7102340236105075974.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102340236105075974&source=h5_m,175093,362,494,2207,11247,7102340213574142725,7102340213574142725,72,7102340213574142725,original sound - euclenia_kelly,Euclénia Daniel,6.903264179044009e+18,Euclénia Daniel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102340213640284934.mp3,,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
5,BR,7079347292456668422,1648288988,Envolver do teteco …,6893991363055256581,Fabyanna Colins,Pra lá com sua maldade,0,False,https://m.tiktok.com/v/7079347292456668422.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079347292456668422&source=h5_m,16974740,2592,9688,8736,93767,7028498814554130433,7028498814554130433,10033,7028498814554130433,Envolver,Anitta,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b9da595ac92742758a78fa7efd992747,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/64d77a1ed52b41a39d8a5009811e2209,True,True,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
6,AO,7099105978167086341,1652889416,Quando tentam me burlar um 11 Pro Max em Viana😂😂🖕🏿😂,6891976690723259397,Newton Clássico,"ANGOLA 🇦🇴
Mídia 
Entretenimento
Coisas de Angola😂😂
Segui-me🙏🥺💔TikT",0,False,https://m.tiktok.com/v/7099105978167086341.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099105978167086341&source=h5_m,73553,38,112,736,1888,7099105958362352390,7099105958362352390,72,7099105958362352390,original sound - newtonclassico,Newton Clássico,6.891976690723259e+18,Newton Clássico,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099105973457652485.mp3,,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
7,DE,7099480913985211654,1652976713,THIS ONE WAS CRAZYY😭🤣🤣🔥,6602305457589895174,KOOLKIDNELLY⚡️,"📍BERLIN
📧 nellzusmik@gmail.com",0,False,https://m.tiktok.com/v/7099480913985211654.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099480913985211654&source=h5_m,2747303,661,1583,1706,152371,6990766058684664581,6990766058684664581,10036,6990766058684664581,Armadilha,Guélcio Smith,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/35440ce1dd0a4ab4a203a68152c5fe9d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81545c4a0de84d91b3886b25cdf4aa2b,False,True,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
0,AO,7101699477370670341,1653493262, ,7037055337262400517,Fátima Viana,Amor incondicional ❤️😍🥰,0,False,https://www.tiktok.com/@vianafatima28/video/7101699477370670341?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101699477370670341&source=h5_m,280888,172,143,1079,11337,7101699465484028678,7101699465484028678,72,7101699465484028678,original sound - vianafatima28,Fátima Viana,7.037055337262401e+18,Fátima Viana,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101699460174072582.mp3,,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
1,AO,7091620021339688198,1651146457, ,7078730518921626630,Maura Melaço816,,0,False,https://www.tiktok.com/@mauramelaco93/video/7091620021339688198?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091620021339688198&source=h5_m,457155,344,1473,8017,14954,7091619997801515781,7091619997801515781,72,7091619997801515781,original sound - mauramelaco93,Maura Melaço816,7.078730518921627e+18,Maura Melaço816,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091620000246565637.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ffda756672b6fd3eea720301a5b440a5.json,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
2,DE,7084296309724712197,1649441270,Will smith and Chris Rock in public 😂,6746572655757837317,isaacmik,"📍Berlin
📧 info@isaacmik.com",0,False,https://www.tiktok.com/@isaacmik/video/7084296309724712197?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084296309724712197&source=h5_m,42939929,12557,37431,16103,4390183,7051562618380634886,7051562618380634886,72,7051562618380634886,original sound - championsleague (Contains music from: Drip or Drown Remix (feat. Lil Yachty) - Gunna),"Contains music from: ""Drip or Drown Remix (feat. Lil Yachty)""",6.941075248162932e+18,Champions League,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7051562642284317445.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/336faf2bb13d43f2131d327667e04dfd.json,False,False,Gunna,Drip or Drown Remix (feat. Lil Yachty),original sound - championsleague (Contains music from: Drip or Drown Remix (feat. Lil Yachty) - Gunna),"Contains music from: ""Drip or Drown Remix (feat. Lil Yachty)""",[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
3,AO,7101412981887487238,1653426557,Só porque fiquei 5anos sem te ligar 📱 estás a pensar que acabou? Era falta de saldo!!✅ #depica #todosbubassãonosso #namoro,6895313945994871813,Gaju Mau,Sigam o meu YouTube pra mais vídeos ⬇️⬇️,0,False,https://www.tiktok.com/@gajumau/video/7101412981887487238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101412981887487238&source=h5_m,363602,420,1384,14712,31137,7101412986640419589,7101412986640419589,72,7101412986640419589,original sound - gajumau,Gaju Mau,6.895313945994872e+18,Gaju Mau,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101412989278636805.mp3,,False,False,,,,,[],0,0,Angola,#depica #todosbubassãonosso #namoro,0,0,0,0,0,0,0,0,0,0
4,BR,7102420813743230214,1653661212,#ad Minha casa da Barbie em tamanho real! 🏠 🎀 Minha cor favorita é...? 🤔🤭 #barbie #barbiegirl #pink #barbiedreamhouse #resso #paid #ads,6566785090558246917,Bruna Barbie,📩 Collabs: contato@brunabarbie.com,0,False,https://www.tiktok.com/@brunabarbieoficial/video/7102420813743230214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102420813743230214&source=h5_m,6197223,14213,25412,33184,530298,6847230154561816577,6847230154561816577,10033,6847230154561816577,Life in the Dreamhouse (From the TV Series),Barbie,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/313e2c0ff13b4c928b11d781bb252a07,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/3df6dd5fd4474e99bcb1a3e8291c173a,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1522982109', 'external_song_key': 'apple_song_id'}]",0,0,Angola,#ad #barbie #barbiegirl #pink #barbiedreamhouse #resso #paid #ads,0,0,0,0,0,0,0,0,0,0
5,AO,7078341955100429573,1648054914,#fyp #pravoce #fypシ #foryou  😂😂😂💔,6617853342604820485,Londrina_kelly,"Sigam o meu/ Follow my Insta
 ✨iamlondrinakelly✨
🇦🇴🇵🇹🇨🇻🇨🇺",0,False,https://www.tiktok.com/@londrina_kelly/video/7078341955100429573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078341955100429573&source=h5_m,468253,196,200,2768,23716,7076362710732016390,7076362710732016390,72,7076362710732016390,original sound - memes_dodavinci,Nãotenhocabeçapara_isso _Memes,6.747190244217341e+18,Nãotenhocabeçapara_isso _Memes,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076362715459078917.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7ef3b8646dd31dacf7366ddf48755cdf.json,False,False,,,,,[],0,0,Angola,#fyp #pravoce #fypシ #foryou,0,1,0,0,1,1,0,0,0,0
6,AO,7102820886515961094,1653754361, ,6980267760720266245,Simaocativa,,0,False,https://www.tiktok.com/@simaocativa/video/7102820886515961094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102820886515961094&source=h5_m,88691,163,559,2670,3342,7102820871085378309,7102820871085378309,24,7102820871085378309,original sound - simaocativa,Simaocativa,6.980267760720266e+18,Simaocativa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102820869700979462.mp3,,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
