,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_belize,hash_belizean,hash_belizeantiktokers,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_trending,hash_viral
2,US,7091152562631544110,1651037622,My voice is hoarse but you get the message! 🗣,6680251181162251269,SHENYENGofficial,Artiste 🎶 ALPHA  march 11 🐉 TRUST GOD 🙏🏼,0,False,https://www.tiktok.com/@shenseea/video/7091152562631544110?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091152562631544110&source=h5_m,1526986,1318,4244,16133,158609,7091152514359233323,7091152514359233323,72,7091152514359233323,original sound - shenseea,SHENYENGofficial,6.680251181162251e+18,SHENYENGofficial,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7091152546479246122.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/865bb22e1637567c547892be50b657ca.json,False,False,,,,,[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
3,AU,7100968370425662721,1653323038,Girls do it better 🫣 #fyp#lgbt🌈,6813377552263267333,AARI_X_,"📷 - AARI_X
👻 - ARI_LOECHES
R❤️",0,False,https://www.tiktok.com/@aari_x_/video/7100968370425662721?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100968370425662721&source=h5_m,6144309,5087,7167,2860,706069,7091847048575585070,7091847048575585070,72,7091847048575585070,original sound - zoootedglaze,//,6.84646775844502e+18,//,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7091847058348591918.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/84a03a50a6ca9cf99be438fe56df74e1.json,False,False,,,,,[],0,0,Belize,#fyp#lgbt🌈,0,0,0,0,0,0,1,0,0,0
4,BZ,7091305381170875654,1651073198,biggest snook ever #fishing #tideporthondurasmarinereserve #belize,6984398833846666245,belizeangirls,belize ekyash6312262    https://www.gofundme.com/w3u6nr-a-family-restaurant,0,False,https://www.tiktok.com/@belizeangirls/video/7091305381170875654?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091305381170875654&source=h5_m,192939,279,119,70,12886,7091305375643028230,7091305375643028230,72,7091305375643028230,original sound - belizeangirls,belizeangirls,6.984398833846666e+18,belizeangirls,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091305370853493510.mp3,,False,False,,,,,[],0,0,Belize,#fishing #tideporthondurasmarinereserve #belize,1,0,0,0,0,0,0,0,0,0
5,AU,7101845904616951041,1653527358,HES SO YUMMY #chrishemsworth #steponmythroat #fyp,4072498,dom.skii,"Welcome to my colourful world! 🌈
 x follow me on insta for more looks 💕🇵🇭",0,False,https://www.tiktok.com/@dom.skii/video/7101845904616951041?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101845904616951041&source=h5_m,4197555,7620,10983,157,809099,7101845851231750913,7101845851231750913,72,7101845851231750913,original sound - dom.skii,dom.skii,4072498.0,dom.skii,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101845777915431681.mp3,,False,False,,,,,[],0,0,Belize,#chrishemsworth #steponmythroat #fyp,0,0,0,0,0,0,1,0,0,0
6,US,7075117720378920238,1647304213,Winnie🥰 #monday #california #socal #tiktokpets #fyp #foryoupage #cutenessoverloaded #cutepuppies #puppylove #cutepuppycheck #viral #puppydog #englishbulldog #puppy #pups #dog #doggo #dogsofttiktok #puppyvideo #viraltiktok #adorable #PetsOfTikTok #adorabull #Winnie,6743021930917463046,gonzalezempirebullie,"☀️California☀️
Email gonzalezempirebullies@yahoo.com 
English & French Bulldogs",0,False,https://www.tiktok.com/@geb_carla1/video/7075117720378920238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075117720378920238&source=h5_m,97635252,71994,687640,928620,7276828,7075117708727028523,7075117708727028523,72,7075117708727028523,original sound - geb_carla1,gonzalezempirebullie,6.743021930917463e+18,gonzalezempirebullie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075117713844374318.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7c21f01e4965f6fa56c256581e0f5330.json,False,False,,,,,[],0,0,Belize,#monday #california #socal #tiktokpets #fyp #foryoupage #cutenessoverloaded #cutepuppies #puppylove #cutepuppycheck #viral #puppydog #englishbulldog #puppy #pups #dog #doggo #dogsofttiktok #puppyvideo #viraltiktok #adorable #PetsOfTikTok #adorabull #Winnie,0,0,0,0,1,0,1,0,0,1
7,DE,7102454315415047430,1653669012,Had to hit it with @DENNISMIK💫 #fyp #fürdich #fy,6770280819560711174,noelgoescrazy,"Dancer🇳🇬🇩🇪
God first
Instagram: noelmoves 
📩: noel@labs.management",0,False,https://www.tiktok.com/@noelgoescrazy/video/7102454315415047430?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102454315415047430&source=h5_m,6954394,613,1239,1167,470348,6990766058684664581,6990766058684664581,10036,6990766058684664581,Armadilha,Guélcio Smith,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/35440ce1dd0a4ab4a203a68152c5fe9d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81545c4a0de84d91b3886b25cdf4aa2b,False,True,,,,,[],0,0,Belize,#fyp #fürdich #fy,0,0,0,0,0,0,1,0,0,0
0,BZ,7099996751523810565,1653096817, ,7037250460302099462,Sweet_syrupjames,"New account
Real sweet syrup",0,False,https://www.tiktok.com/@sweet_syrupjames/video/7099996751523810565?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099996751523810565&source=h5_m,38437,16,13,1,1692,7086264752310684421,7086264752310684421,72,7086264752310684421,"original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",6.893700174443906e+18,OTP Control,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086264749293619974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/614543879cadfc6e569b382661515aca.json,False,False,1Biggs Don,"Bwoii Affi"" Watch Eh Style","original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
1,BZ,7087679524904733957,1650228987,Happy Easter y’all 🦋 #fypシ゚viral #viral #instagram #dance #Love #bathingsuit #belizean🇧🇿,6684104821488534533,Jessamyn Cantun,"FOLLOW ME ON THE GRAM🥺🦋
Ig: jessamyn__cantun 🤍",0,False,https://www.tiktok.com/@jessamyn_cantun/video/7087679524904733957?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087679524904733957&source=h5_m,296100,223,212,29,24891,7066179418099550210,7066179418099550210,10033,7066179418099550210,"Culo Chapa (feat. La Perversa, Quimico Ultra Mega & Haraca Kiko)",Malu Trevejo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/73afd5fadede4701baeac8cfb9cf8030,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bb84b0cc72254753930143a99191aa96,False,True,,,,,[],0,0,Belize,#fypシ゚viral #viral #instagram #dance #Love #bathingsuit #belizean🇧🇿,0,1,0,0,0,0,0,1,0,2
2,MX,7099808253655223558,1653052928, ,7098341000285045766,Pati Moltiel Lal,,0,False,https://www.tiktok.com/@patimoltiellal/video/7099808253655223558?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099808253655223558&source=h5_m,19922249,40923,62577,2892,537461,7092772414186146603,7092772414186146603,72,7092772414186146603,original sound - marthafuentes077 (Contains music from: Por Siempre Mi Amor - Banda Sinaloense MS de Sergio Lizarraga),"Contains music from: ""Por Siempre Mi Amor""",6.818086518491563e+18,Martha Fuentes,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092772438072806190.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1720c3c49f4a42b0623e93c9ded64eb6.json,False,False,Banda Sinaloense MS de Sergio Lizarraga,Por Siempre Mi Amor,original sound - marthafuentes077 (Contains music from: Por Siempre Mi Amor - Banda Sinaloense MS de Sergio Lizarraga),"Contains music from: ""Por Siempre Mi Amor""",[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
3,US,7075779493767630126,1647458295,Hispanic Wedding Traditions! @monicavera14 #AerieREAL #SmoothLikeNitroPepsi #weddingtiktok #hispanicweddingsbelike #hispanicwedding #weddingcontent,7062902993574036526,riseupmanagement01,Let us help you market your business or capture your special day! ✨ 956 ✨,0,False,https://www.tiktok.com/@riseupmanagement01/video/7075779493767630126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075779493767630126&source=h5_m,6655764,6591,25070,826,1090259,6716031638268053505,6716031638268053505,10033,6716031638268053505,La Chona,Los Tucanes De Tijuana,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/4a6a8ddea4a143e99ed91876bf008c3d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7cb44478444147d4a3622fbf8bd28e02,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1301513530', 'external_song_key': 'apple_song_id'}]",0,0,Belize,#AerieREAL #SmoothLikeNitroPepsi #weddingtiktok #hispanicweddingsbelike #hispanicwedding #weddingcontent,0,0,0,0,0,0,0,0,0,0
4,IT,7082835587446607109,1649101169,Hahahahahahahahahaha,6592959826816450565,Giuseppe Mannarino,"Ciao ragazzi 👋😜
Tanti conoscono il mio nome...ma pochi la mia storia
KR 🔴🔵",0,False,https://www.tiktok.com/@cobragym87/video/7082835587446607109?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082835587446607109&source=h5_m,40627697,28305,189089,143811,2309417,6780105155212740610,6780105155212740610,10033,6780105155212740610,Laughing,Gianluca Marino,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8737cfed1275419995af77c0f6f22195,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/3138c37d97094ba99dff97a80603d76f,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1390061916', 'external_song_key': 'apple_song_id'}]",0,0,Belize,,0,0,0,0,0,0,0,0,0,0
5,MX,7103307356280343814,1653867627, ,21401120,Sofia,"Dm me on insta 
Snap: xophied",0,False,https://www.tiktok.com/@xo.phiee/video/7103307356280343814?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103307356280343814&source=h5_m,159300,141,62,96,32815,7069521979740834606,7069521979740834606,72,7069521979740834606,original sound - 1shaee._,Tyshae Freeman,249599.0,Tyshae Freeman,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7069522006693268270.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8e0633422682b4ebbda85439ed1ffa42.json,False,False,,,,,[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
6,US,7070318266354289966,1646186753,No me quiso 😢 #fyp #CorollaCrossStep #parati #foryoupage #mexican #mexicantiktok #mexicanmemes #hispanic #relatable #mexico #mexicanlife,93563482045898752,Jz,"🇲🇽🥑
North Carolina 
jztiktok@yahoo.com
Subscribe to my YouTube ⬇️",0,False,https://www.tiktok.com/@jzgarcia/video/7070318266354289966?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070318266354289966&source=h5_m,2553649,2390,5942,559,392131,6916354767979563782,6916354767979563782,72,6916354767979563782,original sound - japanalcantara,Japaan Alcántara,6.802059444018415e+18,Japaan Alcántara,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6990818697237580549.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/aec666272c5aa4751c71fca26dbfbe38.json,False,False,,,,,[],0,0,Belize,#fyp #CorollaCrossStep #parati #foryoupage #mexican #mexicantiktok #mexicanmemes #hispanic #relatable #mexico #mexicanlife,0,0,0,0,1,0,1,0,0,0
7,US,7070549319870369067,1646240551,We out here. 25. Let’s get it.,139911303976050688,Becky G,ESQUEMAS ALBUM YA DISPONIBLE 💜,0,False,https://www.tiktok.com/@iambeckyg/video/7070549319870369067?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070549319870369067&source=h5_m,3986538,2566,3772,952,467458,6915091373666372358,6915091373666372358,72,6915091373666372358,original sound - averagefashionblogger,Averagefashionblogge,6.765899451015415e+18,Averagefashionblogge,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6915091399469697798.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/741648919d2e4e40a7e977a52750e1c4.json,False,False,,,,,[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
0,BZ,7086292062705945861,1649905944,#fyp,6809462595490268165,Selvi Jian Tate,"Repin🇧🇿501
 Caribbean Queen 👑 
Athlete🏀🏐🥎
I Run Shit Here!😎😘",0,False,https://www.tiktok.com/@queen_selviche23/video/7086292062705945861?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086292062705945861&source=h5_m,56064,17,144,264,1627,7086292027105250053,7086292027105250053,72,7086292027105250053,original sound - queen_selviche23,Selvi Jian Tate,6.809462595490268e+18,Selvi Jian Tate,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086292018388880133.mp3,,False,False,,,,,[],0,0,Belize,#fyp,0,0,0,0,0,0,1,0,0,0
1,BZ,7080666730040757509,1648596193,Mfr u good😂,6813428653017596933,Pple_business2,We outside lurking 😂😂,0,False,https://www.tiktok.com/@pplebusiness2/video/7080666730040757509?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080666730040757509&source=h5_m,80193,43,90,160,2960,7080666689024985862,7080666689024985862,72,7080666689024985862,original sound - pplebusiness2,Pple_business2,6.813428653017597e+18,Pple_business2,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080666721584958213.mp3,,False,False,,,,,[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
2,US,7071451134254419246,1646450520,Make me laugh for $200😂🔥#djmer,6672558378680042501,Dj Merr,"Blessed by 2.6 million💕🙏🏽
Support me on IG
BLM",0,False,https://www.tiktok.com/@dj.merr/video/7071451134254419246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071451134254419246&source=h5_m,9605386,3873,1163,2012,1060034,7071451107310226222,7071451107310226222,72,7071451107310226222,original sound - dj.merr,Dj Merr,6.672558378680042e+18,Dj Merr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7071451133599894315.mp3,,False,False,,,,,[],0,0,Belize,#djmer,0,0,0,0,0,0,0,0,0,0
3,ES,7087143568627731717,1650104201,#english #dialogue #presentperfect #pastsimple #mikethechameleon,6806938509736182790,Mike from Chameleon Theatre,"Californian in Spain 
I ❤️ playing, laughing and learning.
⬇️MY ENGLISH COURSE⬇️",0,False,https://www.tiktok.com/@mikethechameleon/video/7087143568627731717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087143568627731717&source=h5_m,20947057,10516,6166,28604,2544418,7087143551947033350,7087143551947033350,72,7087143551947033350,original sound - mikethechameleon,Mike from Chameleon Theatre,6.806938509736183e+18,Mike from Chameleon Theatre,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087143574894136070.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7efd65f0f9e1e63ea0b2f82e82ba6035.json,False,False,,,,,[],0,0,Belize,#english #dialogue #presentperfect #pastsimple #mikethechameleon,0,0,0,0,0,0,0,0,0,0
4,FR,7093062083708734725,1651482214, ,6816032957377479685,Deborah yowa,☝️☝️ my content offers asmr videos following emojis,0,False,https://www.tiktok.com/@deborahyowa/video/7093062083708734725?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093062083708734725&source=h5_m,150823625,124212,105536,25044,6661906,7093062040796891909,7093062040796891909,72,7093062040796891909,original sound - deborahyowa,Deborah yowa,6.81603295737748e+18,Deborah yowa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093062060661312262.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b1a620dc3f1fd65afde38670dda73c8.json,False,False,,,,,[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
