,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_satisfying,hash_tiktok,hash_viral
2,VN,7098361178803473691,1652716003,Thank you for 3 million followers #ytietofficial #singtobirthday #soytietnumbersong,6795887138875720706,Ytiet Official,Contact book page & Sing number song birthday Cameo:  📩 soytiet41@gmai.com,0,False,https://www.tiktok.com/@ytietofficial/video/7098361178803473691?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098361178803473691&source=h5_m,2251892,2285,6494,8012,149950,7098361173230258971,7098361173230258971,24,7098361173230258971,original sound - ytietofficial,Ytiet Official,6.795887138875721e+18,Ytiet Official,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7098361185740868379.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/21889be83738e18e2540fe40ee699943.json,False,False,,,,,[],0,0,French Guiana,#ytietofficial #singtobirthday #soytietnumbersong,0,0,0,0,0,0,0,0,0,0
3,US,7078699142851218730,1648138079,What song are you listening to? Part 🖐🏾 #fyp #whatsongareyoulisteningto #music #school,6752987475725091846,sancenooo,not lil uzi,0,False,https://www.tiktok.com/@lasaantv/video/7078699142851218730?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078699142851218730&source=h5_m,6449811,2628,1048,4831,909070,7078699098244664106,7078699098244664106,72,7078699098244664106,original sound - lasaantv (Contains music from: Stuck On You - Giveon),"Contains music from: ""Stuck On You""",6.752987475725092e+18,sancenooo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078699132419902250.mp3,,False,False,Giveon,Stuck On You,original sound - lasaantv (Contains music from: Stuck On You - Giveon),"Contains music from: ""Stuck On You""",[],0,0,French Guiana,#fyp #whatsongareyoulisteningto #music #school,0,0,0,1,0,0,0,0,0,0
4,FR,7103076689361587462,1653813922,#texasdad #rire_tiktok,6817932875032380421,Diaki''S 💯,Diakitemama237@gmail.com,0,False,https://www.tiktok.com/@diakki/video/7103076689361587462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103076689361587462&source=h5_m,3504370,916,2179,434,386749,7103076669363538694,7103076669363538694,72,7103076669363538694,original sound - diakki,Diaki''S 💯,6.81793287503238e+18,Diaki''S 💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103076695367813894.mp3,,False,False,,,,,[],0,0,French Guiana,#texasdad #rire_tiktok,0,0,0,0,0,0,0,0,0,0
5,US,7103194702844824875,1653841395,only for doja 😝 #fyp #4u #military @Doja Cat,2442158,Jelenny Tejada,"23🇩🇴🏳️‍🌈
Made a new tiktok! @iamjelenny
CLICK THE LINK TO STREAM MY MUSIC 🎶",0,False,https://www.tiktok.com/@jelennytejada/video/7103194702844824875?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103194702844824875&source=h5_m,295224,159,152,233,36121,7081281124546202374,7081281124546202374,72,7081281124546202374,original sound - tvdoja (Contains music from: Like That (feat. Gucci Mane) - Doja Cat feat. Gucci Mane),"Contains music from: ""Like That (feat. Gucci Mane)""",7.072573220955882e+18,Doja Cat Fan Account,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081281128996637446.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/18bdc87bd659ce90aa02839579649990.json,False,False,Doja Cat feat. Gucci Mane,Like That (feat. Gucci Mane),original sound - tvdoja (Contains music from: Like That (feat. Gucci Mane) - Doja Cat feat. Gucci Mane),"Contains music from: ""Like That (feat. Gucci Mane)""",[],0,0,French Guiana,#fyp #4u #military,0,0,0,1,0,0,0,0,0,0
6,ZA,7102923466097102086,1653778244,CGI in Avatar #avatar #movie #movieclips #viral #moviescene #fyp #foryoupage #behindthescenes #hashtag,6974295894548169734,gamblingdemon,,0,False,https://www.tiktok.com/@gamblingdemon/video/7102923466097102086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102923466097102086&source=h5_m,330177,77,89,1650,23636,6833934234948732941,6833934234948732941,25,6833934234948732941,Get You The Moon,Kina,,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7bb0a250720f4a7f9be6a49574d518ab,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9bf325e67b3a484893faf2054ca32e51,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1470415871', 'external_song_key': 'apple_song_id'}]",0,0,French Guiana,#avatar #movie #movieclips #viral #moviescene #fyp #foryoupage #behindthescenes #hashtag,0,1,0,1,0,0,0,0,0,1
7,DE,7090213159167872261,1650818895,Reply to @nour_fadila  can’t believe they jumped like that🤣😭🔥 Part 5 ??,6790738042664829958,DENNISMIK💫,"📍Berlin | London
📧 Mgmt@dennismik.com",0,False,https://www.tiktok.com/@dennismik/video/7090213159167872261?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090213159167872261&source=h5_m,17344423,3997,16799,55510,861238,7052401622646818818,7052401622646818818,10033,7052401622646818818,Afro Tropical,IVANN,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/518b2fa6fbe340d9be6b62fd809e2a74,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/4b5da97fdff740e1992c5ae8427aa13c,False,True,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
0,ZA,7101995054234930438,1653562083,They need to take this sound away from me #jessicamashaba20 follow my ig (Jessicamashaba20)🤣🤣❤️,6696736251507033093,Jessica Mashaba,🤎 Email: businessabove20@gmail.com,0,False,https://m.tiktok.com/v/7101995054234930438.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101995054234930438&source=h5_m,3328093,1351,2860,10104,432495,7073573619531516678,7073573619531516678,72,7073573619531516678,original sound - iconikfa (Contains music from: Hold - Echover),"Contains music from: ""Hold""",7.046776083106366e+18,flopera💨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073573640876411654.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/928dd395974028dab54b3e34334dc0e2.json,False,False,Echover,Hold,original sound - iconikfa (Contains music from: Hold - Echover),"Contains music from: ""Hold""",[],0,0,French Guiana,#jessicamashaba20,0,0,0,0,0,0,0,0,0,0
1,DE,7096387034880756998,1652256378,Yt Husband vibing on #buga @neraebella,6808267028756677637,Mr&Mrs LIPT,"Our King is Jesus🙏🏽
Follow IG: @pamsty.lipt
Current interest:Make u smile 😊",0,False,https://m.tiktok.com/v/7096387034880756998.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096387034880756998&source=h5_m,1477732,742,1729,877,78795,7093949567481285381,7093949567481285381,10036,7093949567481285381,Buga (Lo Lo Lo),Kizz Daniel & Tekno,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1e5583a1ea154f6ba01499ffe3936b4a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53a160ccc5714d6c986cc822daeb6ddd,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1621384034', 'external_song_key': 'apple_song_id'}]",0,0,French Guiana,#buga,0,0,0,0,0,0,0,0,0,0
2,US,7080914605131795755,1648653906,I guess I’m ready dah go. #fypシ,6794963052712510470,Tyrie Brooks,"Opening up a whole new view on
my comedy 🤣. ( Original Creator )",0,False,https://m.tiktok.com/v/7080914605131795755.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080914605131795755&source=h5_m,5622002,12395,7667,177,653789,7080914580746013482,7080914580746013482,72,7080914580746013482,Same peace of hair for a year,Tyrie Brooks,6.79496305271251e+18,Tyrie Brooks,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080914589038250794.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/9bc0cba0048fa91eb32c9d8285f5a626.json,False,False,,,,,[],0,0,French Guiana,#fypシ,0,0,0,0,1,0,0,0,0,0
3,ES,7072489552602025221,1646692296,Making of Avatar ❤ #behindthescenes #specialeffects #camera #disney #marvel,6840208537047221254,Mauro,"🇪🇨 Behind The Scenes 🇪🇨 
Sígueme en Instagram Reels 😎 
🎥 @mauro_mt2 ⚡",0,False,https://m.tiktok.com/v/7072489552602025221.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072489552602025221&source=h5_m,3002628,177,587,4932,110955,6853558248600324870,6853558248600324870,72,6853558248600324870,original sound - tvd_editzxox,𝓮𝓭𝓲𝓽𝓼𝓼🤩,6.838698790427395e+18,𝓮𝓭𝓲𝓽𝓼𝓼🤩,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6853558223576828677.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1297631bf5d76c57796cfd9ead76e707.json,False,False,,,,,[],0,0,French Guiana,#behindthescenes #specialeffects #camera #disney #marvel,0,0,0,0,0,0,0,0,0,0
4,GB,7099854532741532934,1653063703,😁😁😁 #fyp #foryoupage,6809625969490756613,Lucy,,0,False,https://m.tiktok.com/v/7099854532741532934.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099854532741532934&source=h5_m,2465851,2169,2923,319,195743,7073709565941925889,7073709565941925889,10033,7073709565941925889,Snatched,Big Boss Vette,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/619cbe5f8f48417eb2fb4e8a610f6be1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/113d83b5f26b4004b77e842630ba5834,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1614925186', 'external_song_key': 'apple_song_id'}]",0,0,French Guiana,#fyp #foryoupage,0,1,0,1,0,0,0,0,0,0
5,FR,7096213659982089478,1652215996,#humour 🤣🤣,6820466142927979525,E N Z O 💥,Insta: e_nzo69,0,False,https://m.tiktok.com/v/7096213659982089478.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096213659982089478&source=h5_m,539778,182,434,13,65460,7096213632573803270,7096213632573803270,72,7096213632573803270,original sound - e_nzo69,E N Z O 💥,6.82046614292798e+18,E N Z O 💥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096213629242067717.mp3,,False,False,,,,,[],0,0,French Guiana,#humour,0,0,0,0,0,1,0,0,0,0
6,US,7079938167394159914,1648426561,Take notes ladies 😂,6701382841828574213,FATHA,"🤴❤️ 4 Mill+
444 💋
the only REAL jayllnn 
📤• Jayllnn@studio71creator.co",0,False,https://m.tiktok.com/v/7079938167394159914.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079938167394159914&source=h5_m,16955624,7610,7288,10349,2110553,7076519022287948590,7076519022287948590,72,7076519022287948590,original sound - vs.edits._z (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",7.044932123037304e+18,Zaniya<3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076519052264426282.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/dc226c7f56adde4e6e100a4001d1ee96.json,False,False,Joseline Hernandez,Vegas (I Wanna Ride),original sound - vs.edits._z (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
7,GB,7101744471406038278,1653503738, ,7008917718074147845,Money| Investing,All You Need To Join The 1% Club 🚀,0,False,https://m.tiktok.com/v/7101744471406038278.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101744471406038278&source=h5_m,3285635,965,24581,69786,172823,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
0,US,7077238703168425259,1647798044,Part two omg😍😍,6885471048713602054,ᎻᎧᎮᏋ💖,Mama to Jasmyn 12-24-21🥰💕,0,False,https://www.tiktok.com/@jasmynsmama/video/7077238703168425259?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077238703168425259&source=h5_m,21522865,28292,50405,1396,3311302,7052892187797015343,7052892187797015343,72,7052892187797015343,work rihanna,brando,6.808995208592688e+18,brando,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7052918297972476718.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b74b0635e5e75f707f9d49acbb61c74b.json,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
1,JP,7093862764795448578,1651668634, ,6971777008489464834,Mr.ENIKI/エニキ,"Recommended material site here
↓↓↓↓↓↓↓↓↓↓↓",0,False,https://www.tiktok.com/@eniki1gou/video/7093862764795448578?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093862764795448578&source=h5_m,38790642,20601,11217,24958,1478173,6839151901200615427,6839151901200615427,25,6839151901200615427,Mask Off - AOQER x Dogii x LonTonCosMoS,AOQER x Dogii x LonTonCosMoS,,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a0a61936c4144df993a36e05e03f4b2f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f1dc4b4a91454ede863a9296d86ea55a,True,True,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
2,FR,7103543015611927814,1653922495,😇😇😇 goodvibes ONLY !!! 💚💚💚💚 un peu de bonheur dans no Life non ?,200795113302814720,JAPAN SAB 🐉,"😇🌴💚
 📥 pro.influence.contact@gmail.com
J’accepte les 1000 premiers👇🏼👇🏼",0,False,https://www.tiktok.com/@japansab/video/7103543015611927814?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103543015611927814&source=h5_m,681254,68,28,45,50825,7100969010371627781,7100969010371627781,72,7100969010371627781,original sound - matrix_off (Contains music from: At My Worst - Pink Sweat$),"Contains music from: ""At My Worst""",6.713893226980591e+18,⚜️🇮🇹L’ITALIEN 🇮🇹⚜️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100969027232893701.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0c89e421b95f583ea72d20a5859d0438.json,False,False,Pink Sweat$,At My Worst,original sound - matrix_off (Contains music from: At My Worst - Pink Sweat$),"Contains music from: ""At My Worst""",[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
3,FR,7101270333541371142,1653393345,#duo avec @deborahyowa Non franchement Déborah t'es trop forte 😭 #tiktokantillais #deborahyowa #gwadaboyhumour #humour #reaction #creole,6960275025997202437,GwadaBoy,"Antillaisement Drôle

Kéby enchanté 👋🏽

Mail pro 👇🏾",0,False,https://www.tiktok.com/@gwadaboooooy/video/7101270333541371142?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101270333541371142&source=h5_m,428078,773,271,32,40042,7098262976053955334,7098262976053955334,72,7098262976053955334,original sound - deborahyowa,Deborah yowa,6.81603295737748e+18,Deborah yowa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098262962862902021.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/83416eda4020fa4c1c0210be0eb5fa82.json,False,False,,,,,[],0,0,French Guiana,#duo #tiktokantillais #deborahyowa #gwadaboyhumour #humour #reaction #creole,0,0,0,0,0,1,0,0,0,0
4,US,7081341107065408811,1648753209,🤣🤣 #fyp #funny #prank #comedy #xyzbca #viral,6809267050004153349,The Buckner familia,Hello Go Follow Us On All Our Social Media Accounts Below❗❗🔥🔥 👇🏾👇🏾👇🏾👇🏾,0,False,https://www.tiktok.com/@tkm_familia/video/7081341107065408811?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081341107065408811&source=h5_m,42129611,29891,200552,155679,3033262,7081341067949394731,7081341067949394731,72,7081341067949394731,original sound - tkm_familia,The Buckner familia,6.809267050004153e+18,The Buckner familia,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081341103294679851.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/da38701295b116571989c2f7f564cd57.json,False,False,,,,,[],0,0,French Guiana,#fyp #funny #prank #comedy #xyzbca #viral,0,0,1,1,0,0,0,0,0,1
