,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_comedia,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_guatemala,hash_humor,hash_parati,hash_viral
2,CA,7103560982349368582,1653926678,MORNINGGGG,59072127164784640,Nidal,"222
🇨🇦🇸🇸
💌 nidalkabashi18@icloud.com",0,False,https://m.tiktok.com/v/7103560982349368582.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103560982349368582&source=h5_m,737757,855,200,184,115822,7089828122854197249,7089828122854197249,10033,7089828122854197249,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/62d497a35bcf407598da8ac1d741359b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/38418ae73d084e45a86fb6cbbd0149fe,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
3,EC,7085032667623738630,1649612717,Confirman?😅 #fyp #viral #parati,7046978776655496198,Gabriela 3⭐❤,"Colombiana🇨🇴
✨Tercera cuenta✨",0,False,https://m.tiktok.com/v/7085032667623738630.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085032667623738630&source=h5_m,48357105,27180,192367,241602,4439710,7085032647923829510,7085032647923829510,72,7085032647923829510,original sound - gabrielaaa0622,Gabriela 3⭐❤,7.046978776655496e+18,Gabriela 3⭐❤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085032644890643206.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b9541876b2e3a7bfa3791dcf77ff05d.json,False,False,,,,,[],0,0,Guatemala,#fyp #viral #parati,0,0,0,0,1,0,0,0,1,1
4,US,7098871189430439210,1652834749,GRACIAS UN MILLÓN DE VECESSSSSSSS!!!!! ❤️,7047450743465477126,Bad Bunny,.,0,False,https://m.tiktok.com/v/7098871189430439210.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098871189430439210&source=h5_m,28966374,74106,58409,178151,7136905,7098871160075209514,7098871160075209514,72,7098871160075209514,original sound - badbunny,Bad Bunny,7.047450743465477e+18,Bad Bunny,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098871205662346026.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b251e86c4ea74f2004b0a2fc617e2820.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
5,GT,7084049518865517830,1649383811, ,6957905186292909061,María Xujur,,0,False,https://m.tiktok.com/v/7084049518865517830.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084049518865517830&source=h5_m,18394607,42376,135570,135979,583463,7052532019716311855,7052532019716311855,72,7052532019716311855,original sound - josue5719,🌌toxico✨💫,6.885527873941456e+18,🌌toxico✨💫,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7052532036552149807.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f52ede732dc9b272928ddf853c3e88c2.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
6,GT,7092975321984601350,1651462013,🤦‍♀️🤦‍♀️,6863127264579437573,Alexis_wen13,,0,False,https://m.tiktok.com/v/7092975321984601350.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092975321984601350&source=h5_m,10113227,99,20074,324,826578,7092975269027252998,7092975269027252998,72,7092975269027252998,original sound - santos_wen13_,Alexis_wen13,6.863127264579438e+18,Alexis_wen13,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092975298311916293.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/147800b472befd3fb508f055829dcd2f.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
7,US,7095133628824440107,1651964532, ,6727355212598264837,WASIL🦋 كن من أنت,"CEO OF “PERFECTT” 
Biz: Wasil@greenlightgroup.co",0,False,https://m.tiktok.com/v/7095133628824440107.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095133628824440107&source=h5_m,43102080,5091,1939,14356,1273896,7095133557546404651,7095133557546404651,72,7095133557546404651,original sound - wasildaoud,WASIL🦋 كن من أنت,6.727355212598265e+18,WASIL🦋 كن من أنت,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095133610105424686.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/ddbe9cac21d6011a3d9f3a64857d5a7f.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
0,US,7073865116973862186,1647012569,🤪🤪🤪,158438610466201600,Karol G,,0,False,https://m.tiktok.com/v/7073865116973862186.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073865116973862186&source=h5_m,77920450,93679,62608,178724,10926048,7073865077404830510,7073865077404830510,72,7073865077404830510,original sound - karolg,Karol G,1.584386104662016e+17,Karol G,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073865101308169003.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/857687de68e8edd539b3c33e779286fd.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
1,AR,7085375889143368966,1649692630,Qué tal nos salió del 1 al 10? @babysalomerivas13,192830514221719552,Emir Abdul Gani,Instagram : @emirabdulgani TRIPLE TTT PARTE II COMPLETO LINK Acá abajo 👇,0,False,https://m.tiktok.com/v/7085375889143368966.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085375889143368966&source=h5_m,98814365,62793,276813,105343,7843169,7053505294643170053,7053505294643170053,10036,7053505294643170053,Jordan,Ryan Castro,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/96671f3ce8884b808a2edf088abcb19e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/702d3d8cc2844491961243fd6e32619d,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1564505115', 'external_song_key': 'apple_song_id'}]",0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
2,US,7092552210072128814,1651363497,Una rica botana de camarones con chile rojo y unas ricas micheladas😋😋👍🏻🔥🦐🌶🍻#parati #fyp,6791627128313316358,Raquel,"pues todo está muy rico bienvenidos 😜❤️😘
email:anaraquelhzl@gmail.com",0,False,https://m.tiktok.com/v/7092552210072128814.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092552210072128814&source=h5_m,24613080,12332,217811,169302,2101913,6817460220852176897,6817460220852176897,10036,6817460220852176897,Sound effect for 5 minutes reflecting the image of outer space,Kaw,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0b31d59c52f84a8cb80d09191e581cd9,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/486b89d77c414b938d65db82a123b9ec,False,True,,,,,[],0,0,Guatemala,#parati #fyp,0,0,0,0,1,0,0,0,1,0
3,US,7100988715551427883,1653327774,"Tortillas no pueden hacer, pero buscar marido eso si pueden😂😂😂😂 #omarvelasquez #omarvelasquezoficial #fyp #foryou",7073256815732229163,omarvelasquezoficiall,"Facebook: Omar Velasquez. Publicidad, Negocios y Colaboraciones en el link 👇🏻",0,False,https://m.tiktok.com/v/7100988715551427883.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100988715551427883&source=h5_m,5408331,5974,24610,20402,466456,7100988680365542186,7100988680365542186,72,7100988680365542186,original sound - omarvelasquezoficiall,omarvelasquezoficiall,7.073256815732229e+18,omarvelasquezoficiall,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100988690234755883.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1d79861b47f5afe7c0398715cb4df90e.json,False,False,,,,,[],0,0,Guatemala,#omarvelasquez #omarvelasquezoficial #fyp #foryou,0,1,0,0,1,0,0,0,0,0
4,CO,7102259793414475013,1653623724,me culpan de la desaparición de eimy y aunque e hecho asta lo imposible por encontrarla y tengo pruebas de lo que sucedió. no es suficiente y perderé mi libertad. hoy volví a esa casa donde todo sucedió para poder encontrar una prueba de que esto es real.,7010890743120872454,diiegospyckerzs,"me suspendieron mi cuenta principal
con 900k.
síganme en esta muchachos.",0,False,https://m.tiktok.com/v/7102259793414475013.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102259793414475013&source=h5_m,13641804,7273,36242,39828,928295,7102259752704461574,7102259752704461574,72,7102259752704461574,original sound - diiegospyckerzss,diiegospyckerzs,7.010890743120872e+18,diiegospyckerzs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102259732949371654.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/22ac80cff33bb55e9db9db1af50b0d35.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
5,GT,7096603884461804805,1652306852,La britany es loca 😂,6828355114006250502,Yosoyelprimasooficial,"✨Bienvenidos pasen adelanten✨
Basura el que no se ría 😂 SIGANMEEEE❤️",0,False,https://m.tiktok.com/v/7096603884461804805.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096603884461804805&source=h5_m,2687814,348,1698,7647,163832,7096603871330061061,7096603871330061061,72,7096603871330061061,original sound - elprimasooficial,Yosoyelprimasooficial,6.82835511400625e+18,Yosoyelprimasooficial,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096603862735325957.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5c34d38603b21604aae39b481fa41590.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
6,GT,7103006053268294918,1653797477,ESPERO QUE LES SIRVA #viral,7050869197798114310,0% Zero___,💦ALONZO♥️,0,False,https://m.tiktok.com/v/7103006053268294918.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103006053268294918&source=h5_m,98264,19,1651,2085,3270,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Guatemala,#viral,0,0,0,0,0,0,0,0,0,1
7,US,7096972591658994990,1652392697,#🇩🇴,6680860150209135621,Miketoks,"🇩🇴
Bang Energy elite ⭐️
Miketoks.contact@gmail.com",0,False,https://m.tiktok.com/v/7096972591658994990.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096972591658994990&source=h5_m,30044541,7780,13857,25975,4107377,7087744357444471557,7087744357444471557,10036,7087744357444471557,Gogo Dance,El Alfa & Chael Produciendo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6877039427674a0699970fc9520959ab,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81ec85a194e74eb28259e0335a98b13f,False,True,,,,,[],0,0,Guatemala,#🇩🇴,0,0,0,0,0,0,0,0,0,0
0,US,7101476393040579842,1653441325,⚠️fake body⚠️  auch..,6642278666289135622,zavali,"team@wow-media.ru
Cooperation
TRANSITION QUEEN 
I’m here
⬇️⬇️⬇️",0,False,https://www.tiktok.com/@za_vali/video/7101476393040579842?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101476393040579842&source=h5_m,8695388,2020,9472,11844,982286,7101476393292221185,7101476393292221185,72,7101476393292221185,original sound - za_vali (Contains music from: Party - Bad Bunny & Rauw Alejandro),"Contains music from: ""Party""",6.642278666289136e+18,zavali,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101476314271501058.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/15bb5fe482c94a92231caff4e6a88908.json,False,False,Bad Bunny & Rauw Alejandro,Party,original sound - za_vali (Contains music from: Party - Bad Bunny & Rauw Alejandro),"Contains music from: ""Party""",[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
1,US,7091466935359294766,1651110812,Haci si .. ig:marlener3131,7008613417461220357,marlenysantana,"Sigueme en insta 👆🏼
Cuenta secundaria loves ❤️",0,False,https://www.tiktok.com/@marleneb3131/video/7091466935359294766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091466935359294766&source=h5_m,20031316,14417,91384,2350,2365357,7086105249684966149,7086105249684966149,72,7086105249684966149,original sound - elizagaldamez10,Tik Toker,6.945169540587898e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086105244781841158.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/78bb84e8375bd5757974d7a3977d9cb9.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
2,US,7093321198171360554,1651542541, ,6746733952927958021,Edith Galvéz,"food + vlogs🫶🏻
edithxbella@gmail.com",0,False,https://www.tiktok.com/@edithxbella/video/7093321198171360554?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093321198171360554&source=h5_m,15107574,3595,21254,43376,1345151,7093321197760318250,7093321197760318250,72,7093321197760318250,original sound - edithxbella,Edith Galvéz,6.746733952927958e+18,Edith Galvéz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093321216123063082.mp3,,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
3,ES,7102107369806531845,1653588232,#madrid #strangerthings #netflix #callao #serie #foryou #foryoupage #fyp #fypシ #viral #quarantine,6778193752516887558,Antón_Martínn__,"Marvel
🇭🇳 🇪🇦
🔴🔺️🔻🟥🔻🔺️🔴🔺️🔻🟥🔻🔺️🔴🔺️🔻🟥🔻🔺️🔴",0,False,https://www.tiktok.com/@antonmarthing/video/7102107369806531845?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102107369806531845&source=h5_m,77260468,28871,171192,198236,4921743,6818218513426024449,6818218513426024449,10033,6818218513426024449,Stranger Things,Kyle Dixon & Michael Stein,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6cb6a6aebe3e4ac6a99e553c9a03af12,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/999ae6f0ddb24918a685a763f9fde36e,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1143131699', 'external_song_key': 'apple_song_id'}]",0,0,Guatemala,#madrid #strangerthings #netflix #callao #serie #foryou #foryoupage #fyp #fypシ #viral #quarantine,0,1,1,0,1,1,0,0,0,1
4,US,7098074113238928646,1652649166,Qlo si no Mauricio #cabareteando,6875046638752285701,Franco Escamilla,"El Amo del Sarcasmo
Contacto francoescamillainfo@gmail.com",0,False,https://www.tiktok.com/@francoescamillaofficial/video/7098074113238928646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098074113238928646&source=h5_m,39280360,10230,45508,90614,6234355,7098074117462559494,7098074117462559494,72,7098074117462559494,original sound - francoescamillaofficial,Franco Escamilla,6.875046638752286e+18,Franco Escamilla,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098074119757581061.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e9a69deb90b5367a9eb80ee9bd355432.json,False,False,,,,,[],0,0,Guatemala,#cabareteando,0,0,0,0,0,0,0,0,0,0
5,GT,7070684352300059930,1646271989,😅 me trabo 😅 ♥️🇬🇹 @deanna_melillo #hello🇺🇸mucha🇬🇹 #josydeanna #guatemala #usa,6610293488385638405,Josy Esteban Chigua Canales,"🇬🇹IG: @josyesteban
🇺🇸IG: @deanna_melillo 
😲 “750K” 😲❓",0,False,https://www.tiktok.com/@josyestebanchigua/video/7070684352300059930?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070684352300059930&source=h5_m,3133506,630,436,2791,182079,7070684355928099611,7070684355928099611,72,7070684355928099611,original sound - josyestebanchigua,Josy Esteban Chigua Canales,6.610293488385638e+18,Josy Esteban Chigua Canales,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7070684349926116122.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/10930f13a3c2b545a3a7d2c53f36bf15.json,False,False,,,,,[],0,0,Guatemala,#hello🇺🇸mucha🇬🇹 #josydeanna #guatemala #usa,0,0,0,0,0,0,1,0,0,0
