,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_honduras,hash_humor,hash_parati,hash_tiktok,hash_viral,hash_xyzbca
3,HN,7102691992592715013,1653724353,Bachlorette fun 🤭😝#roatan #bachlorette #hotdogchallenge #fyp #foryou #girlsjustwannahavefun,6791686834210391045,Nish95🍒,IG: @nish_roa14,0,False,https://m.tiktok.com/v/7102691992592715013.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102691992592715013&source=h5_m,192466,79,296,8,7390,6.988966981944774e+18,6.988966981944774e+18,72.0,6.988966981944774e+18,original sound - mikhaileryklief (Contains music from: Candy Shop - Instrumental - The Hit Crew),"Contains music from: ""Candy Shop - Instrumental""",6.948475719609992e+18,mikhaileryklief,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6988966910016686850.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4f568fed1c6a7fead38ca2671f0ff74e.json,False,False,The Hit Crew,Candy Shop - Instrumental,original sound - mikhaileryklief (Contains music from: Candy Shop - Instrumental - The Hit Crew),"Contains music from: ""Candy Shop - Instrumental""",[],0.0,0,Honduras,#roatan #bachlorette #hotdogchallenge #fyp #foryou #girlsjustwannahavefun,1,0,1,0,0,0,0,0,0,0
4,IT,7099733266311253254,1653035473,La prima protesi della piccola Agata ❤️ #rogaenna #protesi #baby #kids #amputee #disability #kidsoftiktok,6877452959321064450,rogaenna,"L'eccellenza dell'ortopedia 
💪Seguici per entrare nel nostro mondo",0,False,https://m.tiktok.com/v/7099733266311253254.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099733266311253254&source=h5_m,39915596,15640,13036,19735,1818545,6.706089102212598e+18,6.706089102212598e+18,10033.0,6.706089102212598e+18,Another Love,Tom Odell,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e884318077b843b5ab730f55583b0023,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1e31d1416c77438cadec7afbfc88b319,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '608400089', 'external_song_key': 'apple_song_id'}]",0.0,0,Honduras,#rogaenna #protesi #baby #kids #amputee #disability #kidsoftiktok,0,0,0,0,0,0,0,0,0,0
5,HN,7080518627090369797,1648561710,#dog #willsmith,6838077059731538950,David HN,🫀,0,False,https://m.tiktok.com/v/7080518627090369797.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080518627090369797&source=h5_m,1473767,801,12819,179,65607,7.080518594932854e+18,7.080518594932854e+18,72.0,7.080518594932854e+18,original sound - elcheletierno,David HN,6.838077059731539e+18,David HN,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080518605691636485.mp3,,False,False,,,,,[],0.0,0,Honduras,#dog #willsmith,0,0,0,0,0,0,0,0,0,0
6,HN,7101383777951304966,1653419758,Esto se va a descontrolar ❤️❤️🎉🥰 #feriatepabril #fyp #2022,6577519639088136197,Jamil Matute,"Honduras 🇭🇳 🏳️‍🌈
Diversión ❤️🥰🏳️‍🌈
Full Fitness🏋️💪 🏳️‍🌈",0,False,https://m.tiktok.com/v/7101383777951304966.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101383777951304966&source=h5_m,623691,1493,4335,145,66611,7.101383764110708e+18,7.101383764110708e+18,72.0,7.101383764110708e+18,original sound - jamilmatute96,Jamil Matute,6.577519639088136e+18,Jamil Matute,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101383776189680390.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cdc5a3e051ace4abae7ad8af8852449f.json,False,False,,,,,[],0.0,0,Honduras,#feriatepabril #fyp #2022,0,0,1,0,0,0,0,0,0,0
7,HN,7080297298286218501,1648510178,pije reflejos,7032441860815864837,adri moon,dku,0,False,https://m.tiktok.com/v/7080297298286218501.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080297298286218501&source=h5_m,51619,95,66,0,6829,7.076278610289544e+18,7.076278610289544e+18,72.0,7.076278610289544e+18,I WANNA RIDE (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",6.971310566104417e+18,♡︎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076278638555056942.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/199e1472b8ac1256a43e0bb853b41ad9.json,False,False,Joseline Hernandez,Vegas (I Wanna Ride),I WANNA RIDE (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
0,US,7081679822832880942,1648832073,Como cuidar la batería 🔋 de tu iPhone 📲 #tips #iphone #iphonetips #iphonetricks #trucosdeiphone #bateria #batery #iphonebattery #AprendeEnTikTok #lopeztips,6810836048693888006,Lopeztips 📲,⬇️ Ordena tu funda/cobertor personalizado ⬇️,0,False,https://www.tiktok.com/@lopeztips/video/7081679822832880942?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081679822832880942&source=h5_m,5153550,895,27920,209,138729,6.795407744489753e+18,6.795407744489753e+18,10033.0,6.795407744489753e+18,Just a Cloud Away,Pharrell Williams,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a9dc60e62f334229af15a0b1650029ff,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/988a63de74c749a8907746e2d8e4b798,False,True,,,,,[],0.0,0,Honduras,#tips #iphone #iphonetips #iphonetricks #trucosdeiphone #bateria #batery #iphonebattery #AprendeEnTikTok #lopeztips,0,0,0,0,0,0,0,0,0,0
1,GB,7090876818684710150,1650973416, ,7057586112973898758,CLOVER CLIPS,"BEST CLIPS ON TIKTOK /
POSTING DAILY",0,False,https://www.tiktok.com/@clover.clips/video/7090876818684710150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090876818684710150&source=h5_m,50673612,12211,54808,74788,2353865,7.052845982941335e+18,7.052845982941335e+18,72.0,7.052845982941335e+18,original sound - tyb_x_duke (Contains music from: Ay Miguel - DJ FLAJ),"Contains music from: ""Ay Miguel""",6.797556379172308e+18,☔️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7052846006630927151.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e5ddc4153738181508f7d90cfe3e018e.json,False,False,DJ FLAJ,Ay Miguel,original sound - tyb_x_duke (Contains music from: Ay Miguel - DJ FLAJ),"Contains music from: ""Ay Miguel""",[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
2,CR,7087578329993235718,1650205426,video mas buscado                               #viral,7087576751010268166,Crazzybunny,videos más buscados,0,False,https://www.tiktok.com/@01crazzybunny/video/7087578329993235718?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087578329993235718&source=h5_m,17635398,7005,49849,59216,708092,7.087578315799662e+18,7.087578315799662e+18,72.0,7.087578315799662e+18,original sound - 01crazzybunny,Crazzybunny,7.087576751010268e+18,Crazzybunny,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087578318291208966.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bf173337ecde34a79ee301982d239f4a.json,False,False,,,,,[],0.0,0,Honduras,#viral,0,0,0,0,0,0,0,0,1,0
3,US,7075486070753758507,1647389976, ,6852325759952962566,Melanee Macias,"16🥷🏼
🇭🇳❤️
Aquí se baila y goza🔥comedia y mas😂 
Ig:melanee_macias",0,False,https://www.tiktok.com/@melaneemacias2/video/7075486070753758507?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075486070753758507&source=h5_m,245059,455,696,1769,29245,7.065137417753349e+18,7.065137417753349e+18,72.0,7.065137417753349e+18,original sound - jowellf1 (Contains music from: Muevelo - REMIX - La Oveja Negra),"Contains music from: ""Muevelo - REMIX""",6.89886631889753e+18,JowellF,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7065137407792089862.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/df36e232ba59416d0e415e3d9f03d930.json,False,False,La Oveja Negra,Muevelo - REMIX,original sound - jowellf1 (Contains music from: Muevelo - REMIX - La Oveja Negra),"Contains music from: ""Muevelo - REMIX""",[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
4,US,7102409838373801262,1653658656,😡🤬🤯🤬😡😡🤬🤬🤬😡😡,6616531874678751238,THE UNICORN FAMILY,"💖 FOLLOW MY IG: 👆
💌 BUSINESS: team@theunicorn.family
🎂 RODEOs #1 BIRTHDAY:👇",0,False,https://www.tiktok.com/@theunicorn.family/video/7102409838373801262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102409838373801262&source=h5_m,12382651,2453,469,2679,407958,7.083178065446046e+18,7.083178065446046e+18,10033.0,7.083178065446046e+18,Gogo Dance,El Alfa & Chael Produciendo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/4b3c5e3f160e4e65b438c55eecf9c5ed,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/6302af0aec1f4b06ab20656a3f19c2db,False,True,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
5,HN,7087993117114240261,1650302001,#villamarparkcomayagua💙🏖 Buenas ❤️🔥,6980058712506467333,darwinsuazo_oficial,"Sígueme en Instagram 👆👆
60k?? 🥺
 Ig + 60k ❤️
Face Darwin Suazo
Licenciado📚",0,False,https://www.tiktok.com/@elprof_suazo/video/7087993117114240261?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087993117114240261&source=h5_m,1516336,223,349,1943,82247,7.087993107001708e+18,7.087993107001708e+18,72.0,7.087993107001708e+18,original sound - elprof_suazo (Contains music from: Pai - Las Chicas Rolands),"Contains music from: ""Pai""",6.980058712506467e+18,darwinsuazo_oficial,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087993113398397702.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1a87f565b1d69db9594b4a3ce142e99b.json,False,False,Las Chicas Rolands,Pai,original sound - elprof_suazo (Contains music from: Pai - Las Chicas Rolands),"Contains music from: ""Pai""",[],0.0,0,Honduras,#villamarparkcomayagua💙🏖,0,0,0,0,0,0,0,0,0,0
6,HN,7079722079913807110,1648376250,#fyp #kiss,6778272214371451910,cesia.aleman,"🖤🕷🐍
síganme en insta
20
🇭🇳
Contenido hot dm⬇️",0,False,https://www.tiktok.com/@cesia.aleman7/video/7079722079913807110?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079722079913807110&source=h5_m,423475,286,654,827,20947,7.079722061785992e+18,7.079722061785992e+18,72.0,7.079722061785992e+18,original sound - cesia.aleman7,cesia.aleman,6.778272214371452e+18,cesia.aleman,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079722042878200582.mp3,,False,False,,,,,[],0.0,0,Honduras,#fyp #kiss,0,0,1,0,0,0,0,0,0,0
7,US,7098477778865081643,1652743151,Responder a @oscaritohernande3 ahí esta y gracias por a pollar,6998687453083468805,Alex fwo,❤️A٨ـﮩﮩ❤٨ـﮩﮩـD❤️,0,False,https://www.tiktok.com/@fwo502/video/7098477778865081643?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098477778865081643&source=h5_m,1370851,1181,1416,669,39805,7.098477744220753e+18,7.098477744220753e+18,72.0,7.098477744220753e+18,original sound - fwo502,Alex fwo,6.998687453083469e+18,Alex fwo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098477773211159342.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b27b41cd685eba7185a05d7be72e52d2.json,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
0,EC,7101917699587984646,1653544077, ,7101914689941144582,Tamina,...,0,False,https://www.tiktok.com/@kalinadebulina52/video/7101917699587984646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101917699587984646&source=h5_m,11705250,543,7616,22561,116125,7.101786256668986e+18,7.101786256668986e+18,72.0,7.101786256668986e+18,Original sound,Tik Toker,7.098776356730209e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101786253691013894.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5ad27a14b7f2ba1ddfe427e90aab0da3.json,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
1,HN,7091835870474439942,1651196714,Pov: le cae agua a tu celular,6635054259006717957,Habacuc,☁️,0,False,https://www.tiktok.com/@habacucc/video/7091835870474439942?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091835870474439942&source=h5_m,3491367,6095,12074,43843,563706,7.09183582720192e+18,7.09183582720192e+18,72.0,7.09183582720192e+18,original sound - habacucc,Habacuc,6.635054259006718e+18,Habacuc,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091835835812776710.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b96e222533d16fa5d0fc86a5d923c33f.json,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
2,DO,7097782765768297734,1652581333,"ESTA VEZ SÍ TE CAMBIARON POR ALGO MEJOR, Y MUCHO MAS RICO. 😍😍♥️#yailinlamasviral #chivirika #realhastalamuerte #Yailinlamasviralusatour #anuelaa #anuel #situmebuscas #bicholloronas #lasleyendasnuncamueren💥🤴 #YailinUsatour #chivirica #domi #yailin #NOMASHATEAYAILIN #viral #yailinyanuel #pr #karolg #Bichota @yailinlamasviraloficial_ @anuel @yailinlamaviralroficial",6896848541722805254,Yailin La Más Viral,"SÍGUENOS EN INSTAGRAM ""Yailinlamasviralnews"".
TEAM VIRAL ♥️🔥",0,False,https://www.tiktok.com/@yailinlamaviralofiacial_/video/7097782765768297734?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097782765768297734&source=h5_m,14403568,7762,3470,17624,475512,5.000000001460003e+18,5.000000001460003e+18,71.0,5.000000001460003e+18,Culpables,KAROL G & Anuel AA,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d3c08ab95cdb44acb1c05b0859ae2787,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e6018c605fdc49a09e9cf0850b51465e,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1460002999', 'external_song_key': 'apple_song_id'}]",0.0,0,Honduras,#yailinlamasviral #chivirika #realhastalamuerte #Yailinlamasviralusatour #anuelaa #anuel #situmebuscas #bicholloronas #lasleyendasnuncamueren💥🤴 #YailinUsatour #chivirica #domi #yailin #NOMASHATEAYAILIN #viral #yailinyanuel #pr #karolg #Bichota,0,0,0,0,0,0,0,0,1,0
3,HN,7100971364265233670,1653323735,#volvera #parati #juanorlandohernandez #foryou #VOLVERA #honduras,7091082210749481990,Daniela Hernández,"Hija de Juan O. Hernández & Ana García
#VOLVERA",0,False,https://www.tiktok.com/@danielahernandezgarcia99/video/7100971364265233670?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100971364265233670&source=h5_m,1035334,2446,950,1334,45351,7.100971338692578e+18,7.100971338692578e+18,72.0,7.100971338692578e+18,original sound - danielahernandezgarcia99 (Contains music from: 12x3 - DEKKO),"Contains music from: ""12x3""",7.091082210749482e+18,Daniela Hernández,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100971360553929477.mp3,,False,False,DEKKO,12x3,original sound - danielahernandezgarcia99 (Contains music from: 12x3 - DEKKO),"Contains music from: ""12x3""",[],0.0,0,Honduras,#volvera #parati #juanorlandohernandez #foryou #VOLVERA #honduras,1,0,0,0,1,0,1,0,0,0
