,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_0324mytest,hash_bhutanesemuser,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_tiktok,hash_viral,hash_xyzbca
2,PH,7098216380574469402,1652682289,Hala yung tawa talaga ehh☺️☺️,6829636955304821761,Kim Jenneth Gumahin,"YT. Kim jenneth Gumahin
Gmail: gkimjenneth@gmail.com",0,False,https://m.tiktok.com/v/7098216380574469402.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098216380574469402&source=h5_m,5470623,1465,1412,3322,273174,7082370286401702683,7082370286401702683,24,7082370286401702683,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",6.508494589473112e+18,Duckhead Dj Kasur,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082370305552829210.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/241863689ab47c011269273c5f206d17.json,False,False,WILLOW,Wait a Minute!,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",[],0,0,Bhutan,,0,0,0,0,0,0,0,0,0,0
3,US,7093607252606864686,1651609143,Reply to @.jungwonii  UNSTOPPABLE 💪🏽 @Sia #singwithme #karaoke #singingduet  #popcornduet #unstoppable,6776441469923279877,Jerrica Alyssa,"Sing With Me 💕
✉️:info@jerricaalyssa.com 
LISTEN to my new single “You Get Me”",0,False,https://m.tiktok.com/v/7093607252606864686.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093607252606864686&source=h5_m,2047917,705,837,15011,157278,7093607201595558698,7093607201595558698,72,7093607201595558698,unstoppable sia duet,Jerrica Alyssa,6.77644146992328e+18,Jerrica Alyssa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093607247799995182.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2d5155af6b82669f760ac4334baed20b.json,False,False,,,,,[],0,0,Bhutan,#singwithme #karaoke #singingduet #popcornduet #unstoppable,0,0,0,0,0,0,0,0,0,0
4,FR,7102131048351272198,1653593745,"🧡  wow , beautiful woman 💞💞💞❤️‍🔥#iu #korea #kpop #festivaldecannes #kdrama #broker",218628658779803649,Laïmin ♡,"⟬⟭ ⟭⟬  ♡
All the videos are taken by me. 🦋",0,False,https://m.tiktok.com/v/7102131048351272198.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102131048351272198&source=h5_m,2823635,2485,2352,93,433846,7102131036423490309,7102131036423490309,72,7102131036423490309,original sound - _laimin_,Laïmin ♡,2.1862865877980365e+17,Laïmin ♡,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102131020954209029.mp3,,False,False,,,,,[],0,0,Bhutan,#iu #korea #kpop #festivaldecannes #kdrama #broker,0,0,0,0,0,0,0,0,0,0
5,US,7076946707514199339,1647730059,Did you get them right?! #colorguessing #guessthecolor #asmrsounds #asmr #OscarsAtHome #VenmoSpringBreak #macysownyourstyle,6727776726905226245,Dalton James,"@Daltonjames.sand @m.satisfying both me!
💙⬇️Subscribe to my youtube channel⬇️💙",0,False,https://m.tiktok.com/v/7076946707514199339.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076946707514199339&source=h5_m,2921960,509,219,2834,75947,7076946689726221102,7076946689726221102,72,7076946689726221102,original sound - daltonjamesyt,Dalton James,6.727776726905226e+18,Dalton James,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076946713340300078.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/07b22668f353ebc30ddf8072d24f450e.json,False,False,,,,,[],0,0,Bhutan,#colorguessing #guessthecolor #asmrsounds #asmr #OscarsAtHome #VenmoSpringBreak #macysownyourstyle,0,0,0,0,0,0,0,0,0,0
6,US,7086599247801552174,1649977465,#distorted #gobestfriend 🥰😘❤️,6745258125916308485,Andrea❤️‍🔥,"🇺🇸
Welcome to Gary’s world 
I just live in it",0,False,https://m.tiktok.com/v/7086599247801552174.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086599247801552174&source=h5_m,2683717,4633,11937,14072,152687,7035450902429371142,7035450902429371142,72,7035450902429371142,original sound - jessicakocher87 (Contains music from: TWINNEM - Remix - Coi Leray),"Contains music from: ""TWINNEM - Remix""",6.84055809340883e+18,Jessica Kocher 🖤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7035451006204775174.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd9b299144c55cb50d7c6c5d52ed7c63.json,False,False,Coi Leray,TWINNEM - Remix,original sound - jessicakocher87 (Contains music from: TWINNEM - Remix - Coi Leray),"Contains music from: ""TWINNEM - Remix""",[],0,0,Bhutan,#distorted #gobestfriend,0,0,0,0,0,0,0,0,0,0
7,GB,7071309672426360070,1646417583,Hey mom #LinkBudsNeverOff #fyi #fyp,6806401967319008261,Olivia Velosa,"IG @oliviavelosa
Backup: oliviavelosabackup
Enquires: KMCcreative2@hotmail.com",0,False,https://m.tiktok.com/v/7071309672426360070.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071309672426360070&source=h5_m,180610,71,39,434,6535,6811968697339579141,6811968697339579141,72,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6.601044405204779e+18,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0,0,Bhutan,#LinkBudsNeverOff #fyi #fyp,0,0,0,0,0,1,0,0,0,0
0,BT,7071269114924256513,1646408140,sorry ashim 🙊 #0324mytest #fypシ #tiktokbhutan #pindapanda,8421383,Rika,🇧🇹🕊,0,False,https://www.tiktok.com/@jitshenn/video/7071269114924256513?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071269114924256513&source=h5_m,197996,62,38,411,8370,7007003401980545794,7007003401980545794,72,7007003401980545794,original sound - fhdkpkp (Contains music from: Pandemia - SIRO),"Contains music from: ""Pandemia""",6.963696746041476e+18,فهد ابن الموصل,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7007003416094345985.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dedbf9cd2840bc75e948079776eb444a.json,False,False,SIRO,Pandemia,original sound - fhdkpkp (Contains music from: Pandemia - SIRO),"Contains music from: ""Pandemia""",[],0,0,Bhutan,#0324mytest #fypシ #tiktokbhutan #pindapanda,1,0,0,0,0,0,1,0,0,0
1,BT,7090480053997423873,1650881037,Where’s my Nyingthuenma?👩🏻‍🦯 #fyp #viral #mephamleledolma #bhutanesetiktoker #nyingthuenma,6882398909453927429,Mepham Lele Dolma,New✨,0,False,https://www.tiktok.com/@mephamleledolma0/video/7090480053997423873?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090480053997423873&source=h5_m,79070,89,35,3,6365,7086888705562741505,7086888705562741505,72,7086888705562741505,original sound - yeshilhendupfilms (Contains music from: Nyingthuenma - Sonam Wangchen),"Contains music from: ""Nyingthuenma""",6.613291614608703e+18,yeshilhendupfilms,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7086888709366221569.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d92c89f703040cc2a5d55c74b1a159fe.json,False,False,Sonam Wangchen,Nyingthuenma,original sound - yeshilhendupfilms (Contains music from: Nyingthuenma - Sonam Wangchen),"Contains music from: ""Nyingthuenma""",[],0,0,Bhutan,#fyp #viral #mephamleledolma #bhutanesetiktoker #nyingthuenma,0,0,0,0,0,1,0,0,1,0
2,GB,7092796936092175621,1651420477,Wtf?#fyp #funny #fashion,7077542301593322502,Huck Johnnetta,What what what what’s what fffff oooo llllll oooo wwww.  Mmmmm eeeee,0,False,https://www.tiktok.com/@freshclothe/video/7092796936092175621?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092796936092175621&source=h5_m,671167,81,174,2731,28919,7092796940404345606,7092796940404345606,72,7092796940404345606,original sound - freshclothe (Contains music from: 戏子多秋(快手版) - 静哥),"Contains music from: ""戏子多秋(快手版)""",7.077542301593322e+18,Huck Johnnetta,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092796924239170310.mp3,,False,False,静哥,戏子多秋(快手版),original sound - freshclothe (Contains music from: 戏子多秋(快手版) - 静哥),"Contains music from: ""戏子多秋(快手版)""",[],0,0,Bhutan,#fyp #funny #fashion,0,0,0,0,1,1,0,0,0,0
3,AU,7102452865888816385,1653668673,Sunflowers 🌻,6730861597299311622,Kundrag Mitsam Wangpo,In the making,0,False,https://www.tiktok.com/@crying_free_man/video/7102452865888816385?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102452865888816385&source=h5_m,62255,84,631,5,1934,7102452860588493570,7102452860588493570,72,7102452860588493570,original sound - crying_free_man,Kundrag Mitsam Wangpo,6.730861597299312e+18,Kundrag Mitsam Wangpo,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102452377604999938.mp3,,False,False,,,,,[],0,0,Bhutan,,0,0,0,0,0,0,0,0,0,0
4,TR,7089007578818104577,1650538199,#penivoleybol #volleyballworld #volleyballeurope #volleyball #voleybol #pallavolo #tiktoksports #voleibol #BeUnlimited #volleyballgirls #volei,6814393259705205766,Penivo Menajerlik,"Volleyball Consulting Agency 
TVF & FIVB Licensed Agent
www.penivo.org",0,False,https://www.tiktok.com/@penivo/video/7089007578818104577?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089007578818104577&source=h5_m,5214085,3162,2698,58,390614,7071399735059335941,7071399735059335941,72,7071399735059335941,Cool For The Summer (Contains music from: Cool for the Summer - Demi Lovato),"Contains music from: ""Cool for the Summer""",6.90350637288766e+18,"Bre, a hibryda",False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7071397571624749830.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bacb209ca531cf5632e145e302fceb4c.json,False,False,Demi Lovato,Cool for the Summer,Cool For The Summer (Contains music from: Cool for the Summer - Demi Lovato),"Contains music from: ""Cool for the Summer""",[],0,0,Bhutan,#penivoleybol #volleyballworld #volleyballeurope #volleyball #voleybol #pallavolo #tiktoksports #voleibol #BeUnlimited #volleyballgirls #volei,0,0,0,0,0,0,0,0,0,0
5,FR,7095784030917987589,1652115965,Try this hairstyle 💕#weddingtiktok #foryou #fyp #hairhackstiktok #foryourpage #easy #women #momlife #hairtok,7023833661296509958,BJKhair,Easy hairstyle tutorials/ Idées coiffures simple à reproduire 💞,0,False,https://www.tiktok.com/@bjkhair/video/7095784030917987589?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095784030917987589&source=h5_m,152223,5,71,19,4969,7072167424199723777,7072167424199723777,24,7072167424199723777,original sound - buqicrew_official (Contains music from: Sea Shanty Medley - Home Free),"Contains music from: ""Sea Shanty Medley""",6.575710664488354e+18,buqicrew_official,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072167398815714050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a5ef2e16f5acdfe37db3fda872370ffa.json,False,False,Home Free,Sea Shanty Medley,original sound - buqicrew_official (Contains music from: Sea Shanty Medley - Home Free),"Contains music from: ""Sea Shanty Medley""",[],0,0,Bhutan,#weddingtiktok #foryou #fyp #hairhackstiktok #foryourpage #easy #women #momlife #hairtok,0,0,1,0,0,1,0,0,0,0
6,US,7093692023319924011,1651628880,Can you zoom out too much? 🤔 (🎵&DC: @Jessi),99017789314609152,Merrick,"🤖 Merrick Hanna 🤖
Biz: 4mhbiz@gmail.com
Twitter.com/itsMerrickHanna",0,False,https://www.tiktok.com/@merrickhanna/video/7093692023319924011?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093692023319924011&source=h5_m,24222508,13303,8242,46484,2780957,7084201528721950722,7084201528721950722,10033,7084201528721950722,ZOOM,Jessi,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a21f6b2234c40bcacb6b20b16bafea4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0178575dfdbc44dca2d9734720d2f8d5,False,True,,,,,[],0,0,Bhutan,,0,0,0,0,0,0,0,0,0,0
7,VN,7090448630091386138,1650873719,Something just like this • Romy Wave cover #phenhac #music #nybatman #hangphuong2896,6919639844319527938,PHÊ NHẠC !,"Business : DM my IG ⤴️
Mail : phuongnhanbmt12@gmail.com
All of us ⤵️",0,False,https://www.tiktok.com/@phenhac.official/video/7090448630091386138?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090448630091386138&source=h5_m,14684432,8064,27652,229361,1812888,7090448624416590618,7090448624416590618,24,7090448624416590618,Something just like this Romy Wave cover (Contains music from: Something Just Like This - Remix - GLEZZ),"Contains music from: ""Something Just Like This - Remix""",6.919639844319528e+18,PHÊ NHẠC !,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7090448654556826394.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a15fe43653372db413e553ad44ba2d47.json,False,False,GLEZZ,Something Just Like This - Remix,Something just like this Romy Wave cover (Contains music from: Something Just Like This - Remix - GLEZZ),"Contains music from: ""Something Just Like This - Remix""",[],0,0,Bhutan,#phenhac #music #nybatman #hangphuong2896,0,0,0,0,0,0,0,0,0,0
0,BT,7088547766967831809,1650431142,#Love this song #nyingthuenma❤️ #0324mytest #abcxyz #trend#fypシ #bhutanesetiktoker ♥️♥️♥️@kuenleey @nak.sarwa @chimyomtashi19976,6598125186196275205,@seday23,"Follow my insta @ it’s me sedray✌️

             Snap- pem_seday21😜",0,False,https://www.tiktok.com/@sedray23/video/7088547766967831809?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088547766967831809&source=h5_m,1572,7,0,2,145,7086391852412865282,7086391852412865282,72,7086391852412865282,original sound - yeshilhendupfilms,yeshilhendupfilms,6.613291614608703e+18,yeshilhendupfilms,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7086391825237740290.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f6e589e961d7cc2f998ee6bd09f761c6.json,False,False,,,,,[],0,0,Bhutan,#Love #nyingthuenma❤️ #0324mytest #abcxyz #trend#fypシ #bhutanesetiktoker,1,0,0,0,0,0,1,0,0,0
1,BT,7088662757062495490,1650457917,What a coincidence,6171987,lhadorje,"Artist from Bhutan 🇧🇹 🧿 
I hope my videos make you smile✨
Active on Instagram",0,False,https://www.tiktok.com/@lhadorje/video/7088662757062495490?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088662757062495490&source=h5_m,161357,39,12,169,9756,7072391091261229870,7072391091261229870,72,7072391091261229870,original sound - adyriusleo,adyrv,6.760683404507956e+18,adyrv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072391122609244970.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bdde9183c28a644e65c04b424a296ef8.json,False,False,,,,,[],0,0,Bhutan,,0,0,0,0,0,0,0,0,0,0
