,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_duet,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_movie,hash_trending,hash_viral,hash_xyzbca
4,US,7078446289775643946,1648079206,Vid got tooken down so reposting,6747933878554870789,ℂ𝕙𝕒𝕔𝕙𝕒.𝕓𝕦𝕟𝕟𝕪,"Snap:🔥🥴LiLchacha🥴🔥
 Insta:chacha.tagovailoa
 📍AK ❄️🥶",0,False,https://www.tiktok.com/@fw.chacha/video/7078446289775643946?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078446289775643946&source=h5_m,504152,2645,961,3213,90117,7078446266090408750,7078446266090408750,72,7078446266090408750,original sound - fw.chacha,ℂ𝕙𝕒𝕔𝕙𝕒.𝕓𝕦𝕟𝕟𝕪,6.747933878554871e+18,ℂ𝕙𝕒𝕔𝕙𝕒.𝕓𝕦𝕟𝕟𝕪,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078446286806076203.mp3,,False,False,,,,,[],0,0,Cook Islands,,0,0,0,0,0,0,0,0,0,0
5,AU,7100482018617593090,1653209799,no.1 supporter ♥️ #fyp #tongantiktok,5127445,Meliami,🤠,0,False,https://www.tiktok.com/@meliami/video/7100482018617593090?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100482018617593090&source=h5_m,399068,453,178,286,79618,6901920877743573766,6901920877743573766,72,6901920877743573766,original sound - officialkidd671,Tracc.____,6.789408980919666e+18,Tracc.____,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6901919910981569285.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/29d8122c2a8bdc7ec3d1cb20702671d0.json,False,False,,,,,[],0,0,Cook Islands,#fyp #tongantiktok,0,0,0,0,1,0,0,0,0,0
6,AU,7103110235539131650,1653821729,How do we think the Top 4 did? #TheVoiceAU,6781577490822398981,The Voice Australia,#TheVoiceAU now streaming on 7plus 🎤✌️,0,False,https://www.tiktok.com/@thevoiceau/video/7103110235539131650?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103110235539131650&source=h5_m,247459,555,19,126,31985,7103110227112856322,7103110227112856322,72,7103110227112856322,original sound - thevoiceau,The Voice Australia,6.781577490822399e+18,The Voice Australia,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103110221563808514.mp3,,False,False,,,,,[],0,0,Cook Islands,#TheVoiceAU,0,0,0,0,0,0,0,0,0,0
7,US,7099974218355592494,1653091568,</3 #greenscreenvideo,6557637461504393221,eliza,"🇹🇴:)
hate bios",0,False,https://www.tiktok.com/@eliza.liavaa/video/7099974218355592494?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099974218355592494&source=h5_m,182169,257,40,2,39295,7074499495601507073,7074499495601507073,72,7074499495601507073,original sound - ur_uncoasf,✝️,6.864724131738011e+18,✝️,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7074499501909740289.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cfc837d021c7c732da0073c8ecb0cb36.json,False,False,,,,,[],0,0,Cook Islands,#greenscreenvideo,0,0,0,0,0,0,0,0,0,0
0,CK,7086702189506350337,1650001435,The love I have for my husbands culture is unreal 😍 this papaa tried her best 😂 #wedding #fyp #cookislands #rarotonga #mrandmrs,86517733172908032,Maddie Spraggs,,0,False,https://m.tiktok.com/v/7086702189506350337.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086702189506350337&source=h5_m,341643,487,127,362,44083,7086702187337763586,7086702187337763586,72,7086702187337763586,original sound - maddiespraggs,Maddie Spraggs,8.651773317290803e+16,Maddie Spraggs,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7086702173052029697.mp3,,False,False,,,,,[],0,0,Cook Islands,#wedding #fyp #cookislands #rarotonga #mrandmrs,0,0,0,0,1,0,0,0,0,0
1,CK,7092316130206960898,1651308532,#draft 101 🥥,6799084943370912774,Senpai🀄,"•trust the process🤍•
🇨🇰🇵🇫",0,False,https://m.tiktok.com/v/7092316130206960898.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092316130206960898&source=h5_m,3616,4,0,0,219,7075806762464529194,7075806762464529194,72,7075806762464529194,original sound - niahs.thoughtss (Contains music from: Don't Judge Me - Chris Brown),"Contains music from: ""Don't Judge Me""",7.059723559116244e+18,quotes && lyrics 🦋 !.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075806792395000622.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b70de94bc07a21addd4eee0c2d77b65d.json,False,False,Chris Brown,Don't Judge Me,original sound - niahs.thoughtss (Contains music from: Don't Judge Me - Chris Brown),"Contains music from: ""Don't Judge Me""",[],0,0,Cook Islands,#draft,0,0,0,0,0,0,0,0,0,0
2,US,7084110133919223041,1649397924,#duet with @anees Song has been on repeat!! SUN AND MOON lehgo! 🌞🌝 #openversechallenge #sunandmoon #islandertiktok,6621494146732179462,straightupjed,"I make music and I’m from Guam 🇬🇺
GIVEAWAY AT 5K",0,False,https://m.tiktok.com/v/7084110133919223041.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084110133919223041&source=h5_m,646818,1229,1487,4903,91060,7083631712265063210,7083631712265063210,72,7083631712265063210,sun and moon open verse challenge (Contains music from: sun and moon - anees),"Contains music from: ""sun and moon""",6.676452273622009e+18,anees,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083631722759326510.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/62e22bea62a493eeb1b13e1ac19aa8ab.json,False,False,anees,sun and moon,sun and moon open verse challenge (Contains music from: sun and moon - anees),"Contains music from: ""sun and moon""",[],0,0,Cook Islands,#duet #openversechallenge #sunandmoon #islandertiktok,1,0,0,0,0,0,0,0,0,0
3,ZA,7103279016949386501,1653861028,#lucifermorningstar #trixiemorningstar #foryou #cool #hot #foryou #bestmoments #fyyyyyyyyyyyyyyyy #lucifer #foryoupage 😈😈,7030112979195397126,LUCIFER,😈IM THE DEVEL OF MY WORD😈,0,False,https://m.tiktok.com/v/7103279016949386501.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103279016949386501&source=h5_m,74466,44,64,1098,7118,7103279003024640773,7103279003024640773,72,7103279003024640773,original sound - lucifer_m0rningstar_1,LUCIFER,7.030112979195397e+18,LUCIFER,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103278997022493445.mp3,,False,False,,,,,[],0,0,Cook Islands,#lucifermorningstar #trixiemorningstar #foryou #cool #hot #foryou #bestmoments #fyyyyyyyyyyyyyyyy #lucifer #foryoupage,0,2,1,0,0,0,0,0,0,0
4,US,7091193153583189290,1651047073,😂😂🥴,6943704395088233477,.shyboe99,Welcome,0,False,https://m.tiktok.com/v/7091193153583189290.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091193153583189290&source=h5_m,159915,411,538,1029,26352,7091193029121313579,7091193029121313579,72,7091193029121313579,original sound - .shyboe99,.shyboe99,6.943704395088233e+18,.shyboe99,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7091193136042527531.mp3,,False,False,,,,,[],0,0,Cook Islands,,0,0,0,0,0,0,0,0,0,0
5,DE,7101643601662315782,1653480254,FAMILY AFFAIR💿🎧Dancetutorial‼️Dc:@bronxsistas #familyaffair #maryjblige #hiphop #dancecrew #dancetutorial #fypシ,6915455219325584386,BlackfootSenpai,"‼️DANCETUTORIALS‼️
👟HIPHOP-BASICS👟",0,False,https://m.tiktok.com/v/7101643601662315782.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101643601662315782&source=h5_m,315841,107,333,5,33214,7055576493233146650,7055576493233146650,24,7055576493233146650,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",6.806190479093941e+18,♡🆂🅴🆈 Y-THR3E♡,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7055576499734219546.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed38b24bb516fc7ca2d72dd0197cb9c9.json,False,False,Mary J. Blige,Family Affair,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",[],0,0,Cook Islands,#familyaffair #maryjblige #hiphop #dancecrew #dancetutorial #fypシ,0,0,0,0,0,1,0,0,0,0
6,AU,7103182101452705026,1653838462,Battle scars🥰 #guysebastion #woo_editzz #onlygoats #woosquad🕊,7003338730481157122,Woo💙🐐,"🎯goal: 240k🎯
woosquad🕊
⬇️FREE EDITS IN TELEGRAM⬇️",0,False,https://m.tiktok.com/v/7103182101452705026.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103182101452705026&source=h5_m,108355,47,38,375,14657,7103182093303712514,7103182093303712514,72,7103182093303712514,original sound - woo_editzz,Woo💙🐐,7.003338730481157e+18,Woo💙🐐,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103182068632275714.mp3,,False,False,,,,,[],0,0,Cook Islands,#guysebastion #woo_editzz #onlygoats #woosquad🕊,0,0,0,0,0,0,0,0,0,0
7,AU,7094704476770094338,1651864611,These two are undefeated 🤣 TOMASI AND JR #tonga #nz #kainow #oua #slap #fyp #foryou #foryoupage,7052298325273838594,alldayeveryday,Editor from the hood 🫡 AKL 🇹🇴,0,False,https://m.tiktok.com/v/7094704476770094338.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094704476770094338&source=h5_m,1432740,2794,7481,5560,178643,7094704453089086209,7094704453089086209,72,7094704453089086209,original sound - ad3krs_,alldayeveryday,7.052298325273839e+18,alldayeveryday,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094704458189720321.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c55cad26673ac64c216861d021aaa931.json,False,False,,,,,[],0,0,Cook Islands,#tonga #nz #kainow #oua #slap #fyp #foryou #foryoupage,0,1,1,0,1,0,0,0,0,0
0,AU,7102586368571821314,1653699759,My baby sister didn’t come to play at my wedding 😂❤️ look at all her proud older brothers behind #samoan #tongan #wedding #foryou #fyp #xyzbca #victoriapark #brisbane #Melbourne,6771345286482904070,Will Tui,🇼🇸🇦🇺🥥 • Lia ❤️‍🔥,0,False,https://www.tiktok.com/@daztuimaseve/video/7102586368571821314?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102586368571821314&source=h5_m,143393,104,60,385,18187,7087872970202352385,7087872970202352385,72,7087872970202352385,Long as youre here with me 685 NUNU (Contains music from: Long As You Love Me - Stylah Matrix),"Contains music from: ""Long As You Love Me""",6.806754710083651e+18,Faafetai Petana,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7087882178889796353.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2ed844923a19db186ffd98096a560a7a.json,False,False,Stylah Matrix,Long As You Love Me,Long as youre here with me 685 NUNU (Contains music from: Long As You Love Me - Stylah Matrix),"Contains music from: ""Long As You Love Me""",[],0,0,Cook Islands,#samoan #tongan #wedding #foryou #fyp #xyzbca #victoriapark #brisbane #Melbourne,0,1,0,0,1,0,0,0,0,1
1,US,7097789179731463466,1652582824,Why me? #cheating #nolove #cheater #military #militarylife #militarytiktok #militaryhomecoming #militarywife #LENOVOJUSTBEYOU #marriage #marriageadvice #wellthatsyou #mentalhealth #army,6811213361122411526,Edwin Sarti,"There’s only one thing you need to do in life, that’s to CLOCK IN",0,False,https://www.tiktok.com/@itssarti/video/7097789179731463466?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097789179731463466&source=h5_m,4589106,29818,4955,2725,495228,6990321489178381062,6990321489178381062,72,6990321489178381062,original sound - ima.ostrich (Contains music from: Line Out - Legacy Hits),"Contains music from: ""Line Out""",6.962070323425134e+18,Hi I guess,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6990321577472625413.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c9df4a517c9708f87bd34427feb3cbea.json,False,False,Legacy Hits,Line Out,original sound - ima.ostrich (Contains music from: Line Out - Legacy Hits),"Contains music from: ""Line Out""",[],0,0,Cook Islands,#cheating #nolove #cheater #military #militarylife #militarytiktok #militaryhomecoming #militarywife #LENOVOJUSTBEYOU #marriage #marriageadvice #wellthatsyou #mentalhealth #army,0,0,0,0,0,0,0,0,0,0
2,AU,7099229998107659521,1652918294,I give my siblings a certain amount of food so it teaches them how to portion their food😅👍🏾This creates a healthy well balanced diet for them✅❤️ 135/365,6755340305643799557,Ashirah🌺💛,Vibes,0,False,https://www.tiktok.com/@ashirahscanlan/video/7099229998107659521?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099229998107659521&source=h5_m,814539,671,134,525,118981,6696824864386320385,6696824864386320385,10033,6696824864386320385,I Smile,Kirk Franklin,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a6283d2a654f44c9ae784b7e8876e18e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d28aae3f39e049cc991fd200368aede2,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '425770368', 'external_song_key': 'apple_song_id'}]",0,0,Cook Islands,,0,0,0,0,0,0,0,0,0,0
3,US,7083333998512180526,1649217216,#poly #tongan #grandmashouse,6808649043767706630,Brianna Rolf,,0,False,https://www.tiktok.com/@briannarolf/video/7083333998512180526?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083333998512180526&source=h5_m,211144,536,169,9,35626,6729959230851254274,6729959230851254274,10033,6729959230851254274,Che La Luna,Louis Prima,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1de1f9fae2d74986b60bc778451b18c5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f2fd034403fe4bb09327e4657188b3fa,False,True,,,,,[],0,0,Cook Islands,#poly #tongan #grandmashouse,0,0,0,0,0,0,0,0,0,0
