,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_balkan,hash_croatia,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_hrvatska,hash_srbija,hash_viral
2,GE,7080911886492929286,1648653273,————————————————————-Cold shower challenge DAY 8💜⚡️“Self-Care is how you take your POWER back” if you are stressed try this! Stress and anxiety goes away instantly 💪💫✨#pwrcoldshower #selflove #SelfCare #selfmade #selfawareness #selfworth #mentalhealth #stress #mentalhealthmatters #mentalfitness #healing #motivation #reels  #reelsinstagram #reelsviral #viral #selfmade #life #quotes #advice #coldshower #coldwater #healthadvice #stressfreeskincare  #anxiety #anxietytips #stress,6775608451513254917,Natia Fedotoviene,Join our PWR programs 👇,0,False,https://www.tiktok.com/@pwrprograms/video/7080911886492929286?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080911886492929286&source=h5_m,18187931,20183,24549,35191,2617842,7080911874229537542,7080911874229537542,72,7080911874229537542,original sound - pwrprograms,Natia Fedotoviene,6.775608451513255e+18,Natia Fedotoviene,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080911876774873862.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8a629f3765a5b147383542b467e269da.json,False,False,,,,,[],0,0,Croatia,#pwrcoldshower #selflove #SelfCare #selfmade #selfawareness #selfworth #mentalhealth #stress #mentalhealthmatters #mentalfitness #healing #motivation #reels #reelsinstagram #reelsviral #viral #selfmade #life #quotes #advice #coldshower #coldwater #healthadvice #stressfreeskincare #anxiety #anxietytips #stress,0,0,0,0,0,0,0,0,0,1
3,GB,7103175551161994501,1653836937,#movie #fyp #film #moving,7088312556977521669,potate1314,"Follow me,watch movies",0,False,https://www.tiktok.com/@potate1314/video/7103175551161994501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103175551161994501&source=h5_m,9542086,1863,1078,4382,886339,7103175568632007429,7103175568632007429,72,7103175568632007429,original sound - potate1314,potate1314,7.088312556977522e+18,potate1314,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103175575719693061.mp3,,False,False,,,,,[],0,0,Croatia,#movie #fyp #film #moving,0,0,0,0,0,1,0,0,0,0
4,RS,7103520363971218694,1653917222,"pov: Treniraš sa bratom kao plaćeni ubica, ali ti nikada ne mašiš😎 #balkan #srbija #pov #adamsfamily #malavestica",6539845122980544517,T A Š A 🔮,📩 malavestica.biznis@gmail.com,0,False,https://www.tiktok.com/@maalavestica/video/7103520363971218694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103520363971218694&source=h5_m,140028,89,11,101,11388,7054990760986888965,7054990760986888965,72,7054990760986888965,original sound - addamsfaml (Contains music from: Tongue - Maribou State & Holly Walker),"Contains music from: ""Tongue""",7.05428144721771e+18,addamsfaml.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7054990792011991814.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/38945671c160581ba3f5538c362a167f.json,False,False,Maribou State & Holly Walker,Tongue,original sound - addamsfaml (Contains music from: Tongue - Maribou State & Holly Walker),"Contains music from: ""Tongue""",[],0,0,Croatia,#balkan #srbija #pov #adamsfamily #malavestica,1,0,0,0,0,0,0,0,1,0
5,HR,7100465447224528134,1653205943,Tko još spava u 22 @lukas #pritisaknatlak,6917963772393178118,PRITISAK NA TLAK,"🇭🇷Zagreb, Croatia
📧anoroz@outlook.com
🎓univ.spec.rel.publ./FPZG",0,False,https://www.tiktok.com/@pritisaknatlak/video/7100465447224528134?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100465447224528134&source=h5_m,857177,138,1447,8,68945,7100465382229641989,7100465382229641989,72,7100465382229641989,original sound - pritisaknatlak,PRITISAK NA TLAK,6.917963772393178e+18,PRITISAK NA TLAK,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100465401082989317.mp3,,False,False,,,,,[],0,0,Croatia,#pritisaknatlak,0,0,0,0,0,0,0,0,0,0
6,HR,7103117759583718661,1653823483,"Evo idemo...' Oko 2.30h Luka Modrić je krenuo sa stadiona, davao izjave, a da je doista vrijeme za ići kući napomenula su mu i djeca 😎😁😉❤️🤗 #lukamodric #urlam24h #realmadrid #hallamadrid",6735133765725160453,🀄️🀄️🀄️,IG/@urlam24h/50k,0,False,https://www.tiktok.com/@urlam24h/video/7103117759583718661?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103117759583718661&source=h5_m,569475,171,773,1347,53185,7103117744329018118,7103117744329018118,72,7103117744329018118,original sound - urlam24h,🀄️🀄️🀄️,6.73513376572516e+18,🀄️🀄️🀄️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103117741619563269.mp3,,False,False,,,,,[],0,0,Croatia,#lukamodric #urlam24h #realmadrid #hallamadrid,0,0,0,0,0,0,0,0,0,0
7,IL,7085412800285117698,1649701224,End of relationship😡,162683527011057664,G R I N C E S S,📍Israel 🇮🇱,0,False,https://www.tiktok.com/@grincesslera/video/7085412800285117698?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085412800285117698&source=h5_m,5645523,1582,489,3244,1102329,7039290066157521669,7039290066157521669,72,7039290066157521669,"people actually use this sound (Contains music from: NEW MAGIC WAND - Tyler, The Creator)","Contains music from: ""NEW MAGIC WAND""",7.014704562557928e+18,luis,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7039290098835327749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ef38f05a48b9a2a021e36a532cf0c91d.json,False,False,"Tyler, The Creator",NEW MAGIC WAND,"people actually use this sound (Contains music from: NEW MAGIC WAND - Tyler, The Creator)","Contains music from: ""NEW MAGIC WAND""",[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
0,CA,7075403449067654405,1647370740,I will never stop posting my body hair 🥰🥰🥰👋 #girls #relatable #teenager #bodyhair #bodyimage,26439349,spencer barbosa🧚🏻,"treat yourself like someone you love 
💕SHOP MY CLOTHING BRAND💕",0,False,https://www.tiktok.com/@spencer.barbosa/video/7075403449067654405?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075403449067654405&source=h5_m,42642348,31420,16627,29012,5811317,6978616194643282694,6978616194643282694,72,6978616194643282694,original sound - yodamnmomma (Contains music from: Woman - Doja Cat),"Contains music from: ""Woman""",6.695746330431653e+18,lesley gonzalez 💞,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6990507250594941701.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/455597e9c01ff0aec6092bfd2ead7dcd.json,False,False,Doja Cat,Woman,original sound - yodamnmomma (Contains music from: Woman - Doja Cat),"Contains music from: ""Woman""",[],0,0,Croatia,#girls #relatable #teenager #bodyhair #bodyimage,0,0,0,0,0,0,0,0,0,0
1,GB,7102458266059459845,1653669937,She’s still stuck in the ocean 😂 #fyp,6648426019056189446,Jimbo Hall,Jamesmarkhall98@gmail.com,0,False,https://www.tiktok.com/@jimbo.h/video/7102458266059459845?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102458266059459845&source=h5_m,2819575,254,758,407,118206,118053679,118053679,74,118053679,Pink Panther Intro,Henry Mancini,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d82c2f079d334932ab7492eb7192c7a3,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1aa691dc1693419cb666528d982003ab,False,True,,,,,[],0,0,Croatia,#fyp,0,0,0,0,0,1,0,0,0,0
2,DE,7093975199007264005,1651694813,which other words should we try?😂 | ig-luisortner_ #foryou #fyp #fypシ #viral,6910376586392110082,Luis,"I‘m even better on Instagram trust me 🤫
IG: luisortner_",0,False,https://www.tiktok.com/@luisortner_/video/7093975199007264005?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093975199007264005&source=h5_m,17651006,8181,3622,466,2535161,7093975180263394053,7093975180263394053,72,7093975180263394053,original sound - luisortner_,Luis,6.91037658639211e+18,Luis,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093975193567218437.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6d54e4b9b1d7f2d0e8bbeb2d86da8199.json,False,False,,,,,[],0,0,Croatia,#foryou #fyp #fypシ #viral,0,0,1,0,0,1,1,0,0,1
3,US,7084652498773986602,1649524202, ,6954541019103052806,Siri,"Have a question for Siri? Put it in the Q&A!

💼 enlightenedsiri@gmail.com",0,False,https://www.tiktok.com/@enlightenedsiri/video/7084652498773986602?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084652498773986602&source=h5_m,5931760,2572,3176,9620,531391,7084652474623216430,7084652474623216430,72,7084652474623216430,original sound - enlightenedsiri,Siri,6.954541019103053e+18,Siri,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7084652495808793390.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7c5cc16ac785a77df726db7c2c6fec8b.json,False,False,,,,,[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
4,US,7098982928268561710,1652860772,#fyp,6825107286387491846,Typicalacc,Follow 👆for more content,0,False,https://www.tiktok.com/@typicalacc/video/7098982928268561710?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098982928268561710&source=h5_m,4611842,3163,16441,1261,543948,7098982667630283563,7098982667630283563,72,7098982667630283563,original sound - typicalacc,Typicalacc,6.825107286387492e+18,Typicalacc,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098982860031576878.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6649746a927cb1e991435b45e8a6301a.json,False,False,,,,,[],0,0,Croatia,#fyp,0,0,0,0,0,1,0,0,0,0
5,HR,7098013288302136582,1652635004,***FAKE*** #montenegro #adult,6807902866126111750,Nika,mostly sarcastic,0,False,https://www.tiktok.com/@nika.elez/video/7098013288302136582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098013288302136582&source=h5_m,385506,273,724,812,38573,6918412291469888261,6918412291469888261,72,6918412291469888261,original sound - vuleticcm,marko vuleticc,6.865984430688962e+18,marko vuleticc,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6918412303645887238.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2fe888940de9cad3da7f10c81c7b089b.json,False,False,,,,,[],0,0,Croatia,#montenegro #adult,0,0,0,0,0,0,0,0,0,0
6,HR,7096181983411244294,1652208623,#foryoupage #foryou #fyp #balkan #balkantiktok #hrvatska #croatia #srbija #bosna #crnagora #slovenija #makedonija #viral #europa #peakyblinders #quote,6864280917264368646,Branko Buzov,"Pravilo Broj 1
Voli život koji živiš, živi život koji voliš. 🦁
 Link knjige
👇",0,False,https://www.tiktok.com/@brankobuzov/video/7096181983411244294?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096181983411244294&source=h5_m,248045,249,1224,101,30094,7096181983012719366,7096181983012719366,72,7096181983012719366,original sound - brankobuzov,Branko Buzov,6.864280917264369e+18,Branko Buzov,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096181984812141317.mp3,,False,False,,,,,[],0,0,Croatia,#foryoupage #foryou #fyp #balkan #balkantiktok #hrvatska #croatia #srbija #bosna #crnagora #slovenija #makedonija #viral #europa #peakyblinders #quote,1,1,1,1,0,1,0,1,1,1
7,US,7094692482755169578,1651861818,LMAOOOOOO,6744499972438623237,Aisha Mian,"🇦🇱🇵🇰
Follow me on ig! @aishamian",0,False,https://www.tiktok.com/@itsaishamian/video/7094692482755169578?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094692482755169578&source=h5_m,17666972,9116,8613,14344,2840229,7089705887647976197,7089705887647976197,72,7089705887647976197,хабиби (Contains music from: Don't Stop Now - Chunda Munki),"Contains music from: ""Don't Stop Now""",6.971676576509953e+18,♡,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089705882170198790.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0cecf04f8e63ae07ac76a67a049bb1e1.json,False,False,Chunda Munki,Don't Stop Now,хабиби (Contains music from: Don't Stop Now - Chunda Munki),"Contains music from: ""Don't Stop Now""",[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
0,US,7099864545627262214,1653066034, ,28849410,ELÈNA HAZINAH,"Follow my Instagram: @elenahazinah

An Italian living in an American college🇺🇸",0,False,https://www.tiktok.com/@elenahazinah/video/7099864545627262214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099864545627262214&source=h5_m,4662090,1693,929,1202,367786,7099864544343755526,7099864544343755526,72,7099864544343755526,original sound - elenahazinah,ELÈNA HAZINAH,28849410.0,ELÈNA HAZINAH,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099864550967872261.mp3,,False,False,,,,,[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
1,AU,7097541360072264961,1652525124,It really wasn’t me… @gabriellejohnsen #shereewaters #fyp #shaggy #itwasntme #mrbombastic,6742399580401828869,Renee Johnsen,Here to have a giggle,0,False,https://www.tiktok.com/@reneejohnsen/video/7097541360072264961?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097541360072264961&source=h5_m,640323,979,2223,2750,35040,7097541362299570946,7097541362299570946,72,7097541362299570946,original sound - reneejohnsen,Renee Johnsen,6.742399580401829e+18,Renee Johnsen,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097541322545974017.mp3,,False,False,,,,,[],0,0,Croatia,#shereewaters #fyp #shaggy #itwasntme #mrbombastic,0,0,0,0,0,1,0,0,0,0
2,SA,7071337317725719809,1646424020,#𝘸𝘩𝘦𝘯 𝘢 𝘤𝘢𝘯𝘤𝘦𝘳 𝘱𝘢𝘵𝘪𝘦𝘯𝘵 𝘴𝘢𝘺𝘴 𝘪𝘵𝘴 𝘰𝘬𝘢𝘺 𝘵𝘰 𝘣𝘦 𝘯𝘰𝘵 𝘰𝘬𝘢𝘺🤍😢#optimistic🌷me #nuraisa🌼 #deepquotesofpositivity❤️,6796644728496620549,💛نور-عيسا💛,"Repost Random Videos/ CTTO
🌼Positve Mindset  Positive Life🌼",0,False,https://www.tiktok.com/@na710_/video/7071337317725719809?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071337317725719809&source=h5_m,6470508,1392,1100,6829,885583,7071337330962975490,7071337330962975490,72,7071337330962975490,original sound - na710_,💛نور-عيسا💛,6.796644728496621e+18,💛نور-عيسا💛,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7071337325649152769.mp3,,False,False,,,,,[],0,0,Croatia,#𝘸𝘩𝘦𝘯 #optimistic🌷me #nuraisa🌼 #deepquotesofpositivity❤️,0,0,0,0,0,0,0,0,0,0
3,HR,7096102889143192837,1652190205,#zadruga #zola #miljanakulic #foryoupage #fypシ #srbija #tiktokbalkan,6965530963611370501,mprka16,😊,0,False,https://www.tiktok.com/@mprka1606/video/7096102889143192837?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096102889143192837&source=h5_m,1307219,619,6961,4355,60310,7096117839161084677,7096117839161084677,72,7096117839161084677,original sound - mprka1606,mprka16,6.96553096361137e+18,mprka16,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096117862082906886.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4d5af0020f3073319620b620afb37519.json,False,False,,,,,[],0,0,Croatia,#zadruga #zola #miljanakulic #foryoupage #fypシ #srbija #tiktokbalkan,0,0,0,1,0,0,1,0,1,0
4,GB,7097280655104527621,1652464425,HE’S JUST PERFECT 🥺 tag them 🥰 #fyp #viral,6939539608548180997,EllaAndBenn,"Follow the insta and youtube ^^💗
✨•20 and 18•✨
•ellaandbenn@uglymngmt.com• ✉️",0,False,https://www.tiktok.com/@ellaandbenn/video/7097280655104527621?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097280655104527621&source=h5_m,3499271,2736,4178,5383,454299,6791078591724521474,6791078591724521474,10033,6791078591724521474,You Are The Reason,Calum Scott,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/334c8ccdb3fd4adcaf391f29b799c543,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ccd1c6ce78444e39935fb778b1e9f80d,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1306439125', 'external_song_key': 'apple_song_id'}]",0,0,Croatia,#fyp #viral,0,0,0,0,0,1,0,0,0,1
