,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_pov,hash_trending,hash_viral,hash_xyzbca
2,GB,7077529178291195137,1647865675,#fyp #foryou #foryoupage #fypシ #pounds #uk #england,6577577480880816134,Raad,,0,False,https://www.tiktok.com/@alfagurrahmanrehad/video/7077529178291195137?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077529178291195137&source=h5_m,7216787,3676,13657,8,402780,6911471687234013953,6911471687234013953,72,6911471687234013953,original sound - burstfully.kai,Olu Oyelami Bourne,6.812260868807575e+18,Olu Oyelami Bourne,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6911471596091738882.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6c79abcc759a3561715794f3363dcfb3.json,False,False,,,,,[],0,0,Jersey,#fyp #foryou #foryoupage #fypシ #pounds #uk #england,0,1,1,0,1,1,0,0,0,0
3,US,7071054388294356266,1646358145,Answer The Riddle!! 🤔 Can you do it? @joshvanbatenburg #challenge #foryou,6615741982961041414,The Card Guy,"everyone needs a little magic
business: evan@cardguy.co",0,False,https://www.tiktok.com/@thecardguy/video/7071054388294356266?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071054388294356266&source=h5_m,2656141,1767,251,982,140881,7071054375086525226,7071054375086525226,72,7071054375086525226,original sound - thecardguy,The Card Guy,6.615741982961041e+18,The Card Guy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7071054389171047211.mp3,,False,False,,,,,[],0,0,Jersey,#challenge #foryou,0,1,0,0,0,0,0,0,0,0
4,GB,7099022037259209990,1652869874,#fypシ #viral #initials,7070470277566972933,Initial <3,Initial TikTok’s 💕,0,False,https://www.tiktok.com/@lover_anitials/video/7099022037259209990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099022037259209990&source=h5_m,1150357,11650,4559,3738,49048,6906531308856789762,6906531308856789762,72,6906531308856789762,original sound - suneysounds,Alisa,6.728714004757874e+18,Alisa,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6906531257946049281.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3380e804063dad5ce5b4b315e477994b.json,False,False,,,,,[],0,0,Jersey,#fypシ #viral #initials,0,0,0,0,0,1,0,0,1,0
5,JE,7087489853264366853,1650184828,#tiktokpoll #fyppppppppppppppppppppppp #LiveForTheChallenge #comedancewithme #foryourpage #foryou #trending #zxycba #preppy #Lifestyle #OOTD #Love #happy #easter,7045624820810580993,M E L I S 💗🦚💐🍉🥥,"💐Guernsey
2.4k🛍
🥂Flw for free drunk elephant",0,False,https://www.tiktok.com/@skincaremelis/video/7087489853264366853?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087489853264366853&source=h5_m,7499,26,0,0,386,7084736064623037227,7084736064623037227,72,7084736064623037227,original sound - sped.up.audiozzz,♡︎,6.792418172694218e+18,♡︎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7084736093978889003.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/70e09deac87e43bf5c1f988c8e4edf4b.json,False,False,,,,,[],0,0,Jersey,#tiktokpoll #fyppppppppppppppppppppppp #LiveForTheChallenge #comedancewithme #foryourpage #foryou #trending #zxycba #preppy #Lifestyle #OOTD #Love #happy #easter,0,1,0,0,0,0,0,1,0,0
6,JE,7078008647233686790,1647977309,( the other guy fell- )[ creds: @aqquisa ] #gacahtrend #trend #pov #fyp #foryoupage #edit #gachaclub #gachaedit #gachalife,6995124182066922502,🏝 ࣪˖ ୨ 𝑠𝑒𝑎 𝑎𝑟𝑚𝑦 ୧ ࣪˖🏝,"ꕤ˚🏝˳⊹𝘃𝗶𝗰𝘁𝗼𝗿˚ ˳🎋⊹ ꕤ
╰ 𝑡ℎ𝑒𝑦/𝑡ℎ𝑒𝑚
𝚂𝚙𝚊𝚖=🚫
<✦࣪ ▸ 189ᴋ ᴛʏsᴍ! ▸ ✦࣪ >",0,False,https://www.tiktok.com/@.vivt0r/video/7078008647233686790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078008647233686790&source=h5_m,459757,296,134,2629,80150,7078008627751029509,7078008627751029509,72,7078008627751029509,original sound - .vivt0r,🏝 ࣪˖ ୨ 𝑠𝑒𝑎 𝑎𝑟𝑚𝑦 ୧ ࣪˖🏝,6.995124182066922e+18,🏝 ࣪˖ ୨ 𝑠𝑒𝑎 𝑎𝑟𝑚𝑦 ୧ ࣪˖🏝,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078008643576498950.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/428f0a64f54bf6ba49aa3a2192250a32.json,False,False,,,,,[],0,0,Jersey,#gacahtrend #trend #pov #fyp #foryoupage #edit #gachaclub #gachaedit #gachalife,0,0,1,0,1,0,1,0,0,0
7,AU,7077003747515321601,1647743341, ,12476506,Sadaf.bunmum,"Full time bun mum 🐰

Coupon Code: ‘Nepte10’ (10% off)",0,False,https://www.tiktok.com/@sadaf.bunmum/video/7077003747515321601?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077003747515321601&source=h5_m,33515291,32258,89852,46406,7361676,6590643178271935238,6590643178271935238,74,6590643178271935238,Mission Impossible Theme (Movie Trailer Mix),Dominik Hauser,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3b17f7ee4a0346b69b3e477b8b35ab28,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/4aee719e320545ffaec44c176d6298a5,False,True,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
0,US,7096111951712947499,1652192315,"Hey, @boomer_the_landcloud ☁️✨🥰",6728209180111979525,Hamilton,Disney+. Broadway. London. Australia. Tour. TikTok.,2,False,https://www.tiktok.com/@hamiltonmusical/video/7096111951712947499?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096111951712947499&source=h5_m,2416910,2641,17901,2738,394024,7027169310653352709,7027169310653352709,72,7027169310653352709,original sound - thebernerbunch (Contains music from: A Winter's Ball - Leslie Odom Jr. & Lin-Manuel Miranda & Original Broadway Cast of Hamilton),"Contains music from: ""A Winter's Ball""",6.780150409896445e+18,TheBernerBunch,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7027169366160902918.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/88a78fdc21ba4e14b00291cdcf1b211c.json,False,False,Leslie Odom Jr. & Lin-Manuel Miranda & Original Broadway Cast of Hamilton,A Winter's Ball,original sound - thebernerbunch (Contains music from: A Winter's Ball - Leslie Odom Jr. & Lin-Manuel Miranda & Original Broadway Cast of Hamilton),"Contains music from: ""A Winter's Ball""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
1,GB,7098041441686965510,1652641559,Je m’appelle 🇫🇷 MusicAD,6827983806046913542,Toby Aromolaran,"🔗 BoohooMAN Brand Ambassador 
🏝 Love Island UK
I’m here for bants 👍🏽",0,False,https://www.tiktok.com/@tobyaromolaran/video/7098041441686965510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098041441686965510&source=h5_m,5073956,1822,1006,1905,443038,7094281731130624773,7094281731130624773,72,7094281731130624773,original sound - therealbenz0 (Contains music from: Je M'appelle - Benzz),"Contains music from: ""Je M'appelle""",7.008189019604878e+18,Benzz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094281756362148614.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0b94f5431721145af37ba2c2ab5439ee.json,False,False,Benzz,Je M'appelle,original sound - therealbenz0 (Contains music from: Je M'appelle - Benzz),"Contains music from: ""Je M'appelle""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
2,GB,7083556339179392262,1649268982, ,6624975712279904261,joeleggettx,"You’ve clicked on the profile you might aswell follow…
Insta - joeleggettx📸",0,False,https://www.tiktok.com/@joeleggett/video/7083556339179392262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083556339179392262&source=h5_m,1023508,3386,932,2413,189626,7083556338269244166,7083556338269244166,72,7083556338269244166,original sound - joeleggett,joeleggettx,6.624975712279904e+18,joeleggettx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083556322368637702.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
3,GB,7103619882771565829,1653940391,Who agrees pineapple isn’t meant for pizza ?,6782266438800540677,Grandadjoe,"Business enquiries: sashastuff1506@aol.com
U.K. based Family friendly content",0,False,https://www.tiktok.com/@grandadjoe1933/video/7103619882771565829?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103619882771565829&source=h5_m,104796,331,57,67,16231,6883165746361273093,6883165746361273093,72,6883165746361273093,adammcg sound,Why Thais,6.807925646469268e+18,Why Thais,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6883165662580116229.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0d09da89caefd73921189cd36cde04ea.json,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
4,GB,7103500541380152581,1653912607,#swashbuckler,7103172240019883013,Xxriv.diorXx,"Wassup I’m River- 
Besties:Leo,araya-may,hannah,Lilly,ciara
Leos: 1❤️",0,False,https://www.tiktok.com/@xxriv.5/video/7103500541380152581?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103500541380152581&source=h5_m,92002,369,7,20,6258,7101200568412113670,7101200568412113670,72,7101200568412113670,Iconic sound,lily🫶,7.07580207830796e+18,lily🫶,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101200541329541893.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0872d94ecc67ea6bf5f1d79e67f7c83c.json,False,False,,,,,[],0,0,Jersey,#swashbuckler,0,0,0,0,0,0,0,0,0,0
5,US,7094989702255611179,1651931020,Can’t get enough of these two vibin 💃🏼 #ElizabethOlsen #BenedictCumberbatch #MCU #multiverseofmadness,6794875144873149445,The Late Late Show,✨ The Late Late Show ✨,0,False,https://www.tiktok.com/@latelateshow/video/7094989702255611179?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094989702255611179&source=h5_m,4548798,543,2247,25,232946,6886525136611199750,6886525136611199750,72,6886525136611199750,original sound - johnnysibilly01,Johnny Sibilly,6.5320340261511e+18,Johnny Sibilly,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6886525027605367558.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/aedc26f7125c0e1ceac5b8b7613a7453.json,False,False,,,,,[],0,0,Jersey,#ElizabethOlsen #BenedictCumberbatch #MCU #multiverseofmadness,0,0,0,0,0,0,0,0,0,0
6,GB,7103129672833142021,1653826256,Reply to @itz_tayyab_yt These are the best looking humidifiers🤩 #musthave,7100432625563616262,humidionshop,"Free world wide shipping 🚚
Start breathing better today 💨
Shop now 
⬇️",0,False,https://www.tiktok.com/@humidionshop/video/7103129672833142021?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103129672833142021&source=h5_m,599343,392,203,436,50883,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Jersey,#musthave,0,0,0,0,0,0,0,0,0,0
7,GB,7098953182813916421,1652853843, ,6921548970498327558,Rossi,"rossidwoods@gmail.com
..There I’ve Said It..",0,False,https://www.tiktok.com/@rossidwoods/video/7098953182813916421?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098953182813916421&source=h5_m,4275717,2944,69809,8084,471319,7098953102271384326,7098953102271384326,72,7098953102271384326,original sound - rossidwoods,Rossi,6.921548970498328e+18,Rossi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098953133769952006.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed5b8b865ee879a8171b4f28e419b2c6.json,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
0,US,7080317772843994411,1648514944,"Honestly, maturity is the real flex ❤️✨ #foryoupage #share #relatable #relationshipgoals #relationships",6785969990086378501,B.Byrd,"Barry
Faith 🙏🏼✨ | Fitness 💪🏼 | Golf ⛳️🏌🏻
📍Texas
IG: @bbyrd21",0,False,https://www.tiktok.com/@bbyrd21/video/7080317772843994411?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080317772843994411&source=h5_m,18684869,17342,77776,19874,2330946,6962255970365901573,6962255970365901573,72,6962255970365901573,I love you,ᴊᴏʀᴅᴀɴᴀᴜᴅɪᴏᴢᴢ 🦋,27585682.0,ᴊᴏʀᴅᴀɴᴀᴜᴅɪᴏᴢᴢ 🦋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6962256084920847109.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/71689126306320280391955a7d84c5ac.json,False,False,,,,,[],0,0,Jersey,#foryoupage #share #relatable #relationshipgoals #relationships,0,0,1,0,0,0,0,0,0,0
1,GB,7103263338787867910,1653857377,screaming crying throwing up x #fyp,27682581,jacquelynne hudson,transformer 😏,0,False,https://www.tiktok.com/@jacquelynnehud/video/7103263338787867910?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103263338787867910&source=h5_m,1740853,1111,537,934,373486,7055460854933801775,7055460854933801775,72,7055460854933801775,original sound - zootedcam (Contains music from: She Ain't You - Chris Brown),"Contains music from: ""She Ain't You""",6.962623169845216e+18,cam,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7055460866376043311.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/41c831b3fdfa625a6416ecac44feb074.json,False,False,Chris Brown,She Ain't You,original sound - zootedcam (Contains music from: She Ain't You - Chris Brown),"Contains music from: ""She Ain't You""",[],0,0,Jersey,#fyp,0,0,0,0,1,0,0,0,0,0
2,GB,7102894484832210182,1653771497, ,6566950854028656646,Jack Bean,"📩jack.bean@outreachagency.co.uk📩
INSTAGRAM: JACKBEANUK 🎯",0,False,https://www.tiktok.com/@jackbeantok/video/7102894484832210182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102894484832210182&source=h5_m,167715,129,86,184,18243,6669805615763770117,6669805615763770117,72,6669805615763770117,original sound - wigofellas,wigofellas,6.622888224762315e+18,wigofellas,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1628425911654406.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c36ce50f9130485016ad230295c0f84c.json,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
3,GB,7084567512985242885,1649504416,Roman meets and trains with Jack Grealish. Who’s seen the video 😍,6746217176459412485,The Wingrove’s,Welcome to the Wingrove’s TikTok 😊💙,0,False,https://www.tiktok.com/@thewingroves/video/7084567512985242885?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084567512985242885&source=h5_m,11728077,5411,4288,6405,971653,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
