,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_couples,hash_cyprus,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_greece,hash_viral
2,DE,7099203437404884229,1652912107,feel free to #duet #amberheard #johnnydepp #amberturd #johnnydepptrial #foryou,259122333146112000,Laura-Leah,📍london,0,False,https://m.tiktok.com/v/7099203437404884229.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099203437404884229&source=h5_m,13163394,15536,13951,86,1866624,7098474546306550530,7098474546306550530,72,7098474546306550530,original sound - news.com.au,News.com.au,6.743464067279259e+18,News.com.au,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098474532398271234.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5afd7b6b4e5908a548172c3116a9da77.json,False,False,,,,,[],0,0,Cyprus,#duet #amberheard #johnnydepp #amberturd #johnnydepptrial #foryou,0,0,1,0,0,0,0,0,0,0
3,CY,7101379094541241601,1653418667,my money don’t jiggle jiggle.@ifi_pier,17112510,Antigoni Neophytou,Dancer,0,False,https://m.tiktok.com/v/7101379094541241601.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101379094541241601&source=h5_m,455779,376,142,222,45248,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
4,CA,7102186718534700294,1653606708,Skaya plays truth or dare using her talking buttons! (part 4),6804571170093990918,Skaya,"Part-time Wolf 🐺
Full-time Snow Princess ❄👑
Looks even better in 16:9 videos ⬇",0,False,https://m.tiktok.com/v/7102186718534700294.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102186718534700294&source=h5_m,6724488,3357,8178,8019,682174,7102186692244818693,7102186692244818693,72,7102186692244818693,original sound - skaya.siberian,Skaya,6.804571170093991e+18,Skaya,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102186714432670469.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/102ad1cf24a39f1f173da5ff0317339a.json,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
5,CY,7092382573300567301,1651324001,Insta: romeo18_private #fyp #firsttime,6933583250645337093,Romeo,"he/him 
All the links on Insta😜",0,False,https://m.tiktok.com/v/7092382573300567301.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092382573300567301&source=h5_m,2678411,2127,1600,2175,282007,6872754197712866050,6872754197712866050,72,6872754197712866050,If you use my sound plz follow,Elliott Shek,6.608558758069289e+18,Elliott Shek,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6872754164385581826.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/f1fcfbd23ccaacb29d50c26a524a51dd.json,False,False,,,,,[],0,0,Cyprus,#fyp #firsttime,0,0,0,0,0,0,1,0,0,0
6,GR,7102719238208605482,1653730719,Random draft,6862026917681349638,MadelynClinesHusband,"Spotify-Theofanis23

Account deleted at 3 billion

Madelyn Cline Hmu",0,False,https://m.tiktok.com/v/7102719238208605482.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102719238208605482&source=h5_m,304796,655,122,318,46447,7098758785535118122,7098758785535118122,10036,7098758785535118122,United In Grief,Kendrick Lamar,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2cfb61943db841c89735f9f95cae67a3,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/157bdd8872924bd19b1a9e0c10273ec6,False,True,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
7,CY,7096918176994299138,1652380028,OMG,78650062888714240,andppa_,"5’1
𝘑𝘶𝘴𝘵 𝘮𝘦𝘴𝘴𝘪𝘯𝘨 𝘸𝘪𝘵𝘩 𝘵𝘩𝘪𝘴 𝘢𝘱𝘱
🌶",0,False,https://m.tiktok.com/v/7096918176994299138.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096918176994299138&source=h5_m,78433,23,4,8,4050,7006754590947379973,7006754590947379973,72,7006754590947379973,original sound - 2010sa5 (Contains music from: Cosmo and Wanda - Young Menice),"Contains music from: ""Cosmo and Wanda""",7.004679111801669e+18,MyMusic,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7006754632831683333.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/337be4d895257674f8fa93994c02663a.json,False,False,Young Menice,Cosmo and Wanda,original sound - 2010sa5 (Contains music from: Cosmo and Wanda - Young Menice),"Contains music from: ""Cosmo and Wanda""",[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
0,US,7081494150788500782,1648788842,Did you laugh? 😂#dadjokes,6789054862825260038,Giannis Antetokounmpo,I’m ME and I’m okay with ME 😎,0,False,https://m.tiktok.com/v/7081494150788500782.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081494150788500782&source=h5_m,4578095,1892,4638,2327,651280,7081494075966491438,7081494075966491438,72,7081494075966491438,original sound - giannis_an34,Giannis Antetokounmpo,6.78905486282526e+18,Giannis Antetokounmpo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081494139975551790.mp3,,False,False,,,,,[],0,0,Cyprus,#dadjokes,0,0,0,0,0,0,0,0,0,0
1,GR,7094685811119033606,1651860266,Σαγαπαω γιατί με ηρεμείς ❤️,7001235280281011205,theswagi3stmf,"13κ?!
IG:// Iwannisvv //",0,False,https://m.tiktok.com/v/7094685811119033606.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094685811119033606&source=h5_m,253025,620,336,500,29626,7089356902240389894,7089356902240389894,72,7089356902240389894,original sound - xatzikoko (Contains music from: Miami - Bloody Hawk),"Contains music from: ""Miami""",6.992157267772671e+18,☮️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089356933093673734.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6a25c5327133ee08f49382e955c2c6d3.json,False,False,Bloody Hawk,Miami,original sound - xatzikoko (Contains music from: Miami - Bloody Hawk),"Contains music from: ""Miami""",[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
2,BE,7095742501239196933,1652106296,🇬🇷🇬🇷🇬🇷 #fyp #tiktokgreece #foryoupage #funny,6797074421045904389,Andreas,"CEO of In Dubai we don’t say..
Ready to hear my summer song? 🔥🎤
IG : imagreek",0,False,https://m.tiktok.com/v/7095742501239196933.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095742501239196933&source=h5_m,492086,527,210,314,46287,7095742464614615813,7095742464614615813,72,7095742464614615813,original sound - mynameisandreas,Andreas,6.797074421045904e+18,Andreas,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095742460877376262.mp3,,False,False,,,,,[],0,0,Cyprus,#fyp #tiktokgreece #foryoupage #funny,0,0,0,1,1,0,1,0,0,0
3,AU,7093868144435023105,1651669889,WATCH UNTIL THE END! 😱🔥 #foryou #foryoupage #fyp #facts,7034466983405421574,Zane,FOLLOW ME ON INSTAGRAM FOR A COOKIE! 🍪⤵️,0,False,https://m.tiktok.com/v/7093868144435023105.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093868144435023105&source=h5_m,15176425,26608,11994,16845,1337631,7093868154111150850,7093868154111150850,72,7093868154111150850,original sound - zaneholmestiktok,Zane,7.034466983405422e+18,Zane,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7093868154945850114.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f87c6907199509d83eff40b0657c8bb.json,False,False,,,,,[],0,0,Cyprus,#foryou #foryoupage #fyp #facts,0,0,1,1,0,0,1,0,0,0
4,GB,7090761184965577989,1650946495,#streamfab #streamfabdownloader ##fypシ #viral #movie,7089370775094428678,Captial Teemo,Click the link below to watch more Movies!! 👇👇👇👇👇,0,False,https://m.tiktok.com/v/7090761184965577989.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090761184965577989&source=h5_m,17864634,3303,1251,4251,1289735,6754855766764554241,6754855766764554241,10033,6754855766764554241,Silence 3 Minutes,"Silent Meditation, No Sound Pause Breaks",,,False,True,,https://sf16-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/c5db10e159ed41b6b2d7ec7935d60fd8?x-expires=1653962271&x-signature=QPsCj9tGxlvaZmMshsYXB4x0CKY%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '478202862', 'external_song_key': 'apple_song_id'}]",0,0,Cyprus,#streamfab #streamfabdownloader ##fypシ #viral #movie,0,0,0,0,0,0,0,1,0,1
5,CY,7082794279264947458,1649091552,Her body her choice 😑 #fyp #women #abortion #trend #pregnancy,6652756837023170565,Christina,"19
Insta: tioannou0
Ur gf's favorite account",0,False,https://m.tiktok.com/v/7082794279264947458.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082794279264947458&source=h5_m,53097,41,2,7,3719,6977441748125633286,6977441748125633286,72,6977441748125633286,original sound - elfenlies (Contains music from: My Mom - Album Version (Edited) - Eminem),"Contains music from: ""My Mom - Album Version (Edited)""",6.918482875865548e+18,michelle 🧸,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6977441814248835845.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/93b5d96efe64ae0e5beb9f304d498c87.json,False,False,Eminem,My Mom - Album Version (Edited),original sound - elfenlies (Contains music from: My Mom - Album Version (Edited) - Eminem),"Contains music from: ""My Mom - Album Version (Edited)""",[],0,0,Cyprus,#fyp #women #abortion #trend #pregnancy,0,0,0,0,0,0,1,0,0,0
6,CY,7087253357152259333,1650129762,Ughhhh 😫🤪😆 #foryourpage #fypシ #lol,6780032291785507846,Jessica PEZSI,"🇫🇮➡️🌍
Good Vibez ✌🏻
📸 Instagram: @pezsiii
🎶 YouTube: Jessica PEZSI",0,False,https://m.tiktok.com/v/7087253357152259333.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087253357152259333&source=h5_m,52385,0,7,0,1649,7040516581180721926,7040516581180721926,72,7040516581180721926,The Vibe With Ky I Wanna Date You,Kyrus Keenan Westcott,25829309.0,Kyrus Keenan Westcott,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7040516586888792838.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e6143589be9369d3e80b3e9d528c691b.json,False,False,,,,,[],0,0,Cyprus,#foryourpage #fypシ #lol,0,0,0,0,0,0,0,1,0,0
7,US,7089922002206739755,1650751105,🫦👸🏻 #prettyprincess #daddyissues #fyp,6867717236296221701,Lamila Petschart,three-headed monster,0,False,https://m.tiktok.com/v/7089922002206739755.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089922002206739755&source=h5_m,28855570,38516,33548,30334,5757821,7089921993604107050,7089921993604107050,72,7089921993604107050,original sound - blondebrunetteredhead,Lamila Petschart,6.867717236296222e+18,Lamila Petschart,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7089922006707227435.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/30964e2579194b2eab18ef6eb8f171fb.json,False,False,,,,,[],0,0,Cyprus,#prettyprincess #daddyissues #fyp,0,0,0,0,0,0,1,0,0,0
0,US,7082538894683639082,1649032090,Make me laugh for $200😂🔥she snapped #djmer,6672558378680042501,Dj Merr,"Blessed by 2.6 million💕🙏🏽
Support me on IG
BLM",0,False,https://www.tiktok.com/@dj.merr/video/7082538894683639082?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082538894683639082&source=h5_m,21619281,15556,16255,6571,3154253,7082538863436122922,7082538863436122922,72,7082538863436122922,original sound - dj.merr,Dj Merr,6.672558378680042e+18,Dj Merr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7082538891974314798.mp3,,False,False,,,,,[],0,0,Cyprus,#djmer,0,0,0,0,0,0,0,0,0,0
1,US,7084374300198718766,1649459429, ,6705477230526546949,EU Drip,YOUTUBE - EuDrip,0,False,https://www.tiktok.com/@eudrip/video/7084374300198718766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084374300198718766&source=h5_m,7334904,35221,25996,60904,1312785,7084374305848445739,7084374305848445739,72,7084374305848445739,original sound - eudrip,EU Drip,6.705477230526547e+18,EU Drip,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7084374316967611178.mp3,,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
2,AR,7100663429391846662,1653252039, ,7099854950109791237,user5333318821549,😘⤵️,0,False,https://www.tiktok.com/@leiiabbe/video/7100663429391846662?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100663429391846662&source=h5_m,2661496,591,3366,2228,52214,7099474627231091498,7099474627231091498,72,7099474627231091498,Mý. pÖŘŇÖ._VîÍĎ.Ë0 ón ĺink in._BÍö,Tik Toker,6.986212536140678e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099474690552531758.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/388d833decf9a5665ff68764937a4978.json,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
3,CY,7099778230353153285,1653045939,Lets confuse the girls                                           #fyp#viral#gay#foryou,7050047097060213766,HiltonlBenjamin,"He/him 
Just smile ✨
Link in my Insta Bio😜
IG: Benjaminlhilton 🍬",0,False,https://www.tiktok.com/@hiltonlbenjamin/video/7099778230353153285?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099778230353153285&source=h5_m,157599,462,178,290,16191,6586947002464996102,6586947002464996102,10036,6586947002464996102,Oh No,Kreepa,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9d4ba025fbb541578bca83b158770608,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9e4e254988e6486096f2d252e72885d2,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1491237429', 'external_song_key': 'apple_song_id'}]",0,0,Cyprus,#fyp#viral#gay#foryou,0,0,1,0,0,0,1,0,0,1
4,AU,7087186398477815042,1650114172,Hell nah I’m done 😭 #twitchstreamer #twitchclips #twitchmoments #pickupline #jokes #texttospeech #twitch #GamerGirl #tts,6869210267949433861,Mikaylah,"I’m dumb 
YouTube: Mikaylah",0,False,https://www.tiktok.com/@mikaylahau/video/7087186398477815042?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087186398477815042&source=h5_m,6221864,9723,13699,18991,970876,6770511259797293058,6770511259797293058,10033,6770511259797293058,Quirky,Oleg Kirilkov,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d2f7bde01e0247c885eb6555b6da1d31,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8ddc88fbb66c48e8b846be489b7c2940,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1491623902', 'external_song_key': 'apple_song_id'}]",0,0,Cyprus,#twitchstreamer #twitchclips #twitchmoments #pickupline #jokes #texttospeech #twitch #GamerGirl #tts,0,0,0,0,0,0,0,0,0,0
5,GB,7076488948087803142,1647623477,"I’ve counted 30,000 frog eggs so far and that’s only the tiniest bit! #fyp #frogarmy",6744269737578415110,Baby Frogs,"📩 babyfrogsbiz@gmail.com
The Frog Army is Coming 🐸 
Full journey egg - frog",0,False,https://www.tiktok.com/@.baby.frogs/video/7076488948087803142?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076488948087803142&source=h5_m,24026660,10622,4245,5150,1277257,7030869625311086594,7030869625311086594,10033,7030869625311086594,Sunroof,Nicky Youre & dazy,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/986dfec9a96747239819231f7dc93931,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a118c1899d5b40d1a5c6c65c307b0e2d,True,True,,,,,[],0,0,Cyprus,#fyp #frogarmy,0,0,0,0,0,0,1,0,0,0
6,CY,7073845853059927301,1647008085,I never post my drafts so I’m always 10 years behind on trends!#thingsinmyhousethatjustmakesense #cypriottiktok,6805676353385972741,,"Using this account as an experiment 
Instagram: Keishacamps_

📍 Cyprus | UK",0,False,https://www.tiktok.com/@keishacampss/video/7073845853059927301?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073845853059927301&source=h5_m,154679,172,131,157,12871,6729959230851254274,6729959230851254274,10033,6729959230851254274,Che La Luna,Louis Prima,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1de1f9fae2d74986b60bc778451b18c5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f2fd034403fe4bb09327e4657188b3fa,False,True,,,,,[],0,0,Cyprus,#thingsinmyhousethatjustmakesense #cypriottiktok,0,0,0,0,0,0,0,0,0,0
7,FR,7096140429552291077,1652198945,"Keep LOOKING, you'll Find it! 😂😂😂😂😂😂 #prank #fun #speaker #laugh #lyon #blasting",6805698237816964101,Yescyrille,"🔥FOLLLOW and ENJOY 😎
Let’s GO for 3 Millions 🥰
YouTube 
⬇️",0,False,https://www.tiktok.com/@yescyrille/video/7096140429552291077?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096140429552291077&source=h5_m,28235948,3311,12939,460,1198457,6784769978773014530,6784769978773014530,10033,6784769978773014530,"My Neck, My Back (Lick It) (Explicit)",Khia,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/da6fe8cf82e4457a83555531fbfcdbc6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/946c89ca58f64f859a3925e599b94023,False,True,,,,,[],0,0,Cyprus,#prank #fun #speaker #laugh #lyon #blasting,0,0,0,0,0,0,0,0,0,0
0,CY,7103451521974668545,1653901192,Teliaaa xalaros 7 to prwi🙇🏻‍♀️,6784575511948919813,Stefos Athanasiou,🇨🇾,0,False,https://www.tiktok.com/@stefosath/video/7103451521974668545?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103451521974668545&source=h5_m,65084,69,61,45,2960,7103451535337622273,7103451535337622273,72,7103451535337622273,original sound - stefosath (Contains music from: Nisi - Fy & FY & Mc Daddy & Display),"Contains music from: ""Nisi""",6.78457551194892e+18,Stefos Athanasiou,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103451529276852993.mp3,,False,False,Fy & FY & Mc Daddy & Display,Nisi,original sound - stefosath (Contains music from: Nisi - Fy & FY & Mc Daddy & Display),"Contains music from: ""Nisi""",[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
1,GR,7103488370436787462,1653909772,Έχουν ζορίσει τα πράγματα  😂 #foryoupage #fyp #funny #fypシ #comedу,6788855606041740293,Ilias Gkotsis,,0,False,https://www.tiktok.com/@iliasgkotsis/video/7103488370436787462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103488370436787462&source=h5_m,185373,53,325,120,16585,6795407744489752577,6795407744489752577,10033,6795407744489752577,Just a Cloud Away,Pharrell Williams,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a9dc60e62f334229af15a0b1650029ff,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/988a63de74c749a8907746e2d8e4b798,False,True,,,,,[],0,0,Cyprus,#foryoupage #fyp #funny #fypシ #comedу,0,0,0,1,1,0,1,1,0,0
2,US,7079590995016420650,1648345729,Things you didn’t know the purpose of! #fyp #foryoupage #facts #viral #wow #crazy #insane #edutok #LearnOnTikTok #woah #learn #wtf #omg #cool #todayilearned #todayyearsold#a,6807929851464008710,LuvLiam,"Subscribe to my YouTube!👆
📧: LuvLiamBusiness@gmail.com
⬇️CLICK HERE!⬇️",0,False,https://www.tiktok.com/@luvvliam/video/7079590995016420650?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079590995016420650&source=h5_m,23684081,3323,6407,33273,1703026,6839324086548563969,6839324086548563969,10033,6839324086548563969,Blade Runner 2049,Synthwave Goose,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0c6424fc0d0e4b339a2397dfcf461556,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/4a940f3cd9a0466baddec886617c5134,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1388979332', 'external_song_key': 'apple_song_id'}]",0,0,Cyprus,#fyp #foryoupage #facts #viral #wow #crazy #insane #edutok #LearnOnTikTok #woah #learn #wtf #omg #cool #todayilearned #todayyearsold#a,0,0,0,1,0,0,1,0,0,1
3,GB,7103545353290419461,1653923039,Dinner time with the gorillas #gorilla #food #dinner #asmr #mukbang #eating #fruit,6902526948372890630,GorillaBoy,Videos taken whilst volunteering at a zoo. Was blessed to have the opportunity.,0,False,https://www.tiktok.com/@therealgorillaboy/video/7103545353290419461?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103545353290419461&source=h5_m,274847,492,3000,41,16588,7103545340753742597,7103545340753742597,72,7103545340753742597,original sound - therealgorillaboy,GorillaBoy,6.902526948372891e+18,GorillaBoy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103545358373882630.mp3,,False,False,,,,,[],0,0,Cyprus,#gorilla #food #dinner #asmr #mukbang #eating #fruit,0,0,0,0,0,0,0,0,0,0
4,CY,7087991550591978753,1650301636,Giant pickle😳 IG: stephani.p_✨ IB:@Πετρίδης Γιώργος,253810407021387776,Stephh💠,"Keep this smile,u shine baby!❤️
BeFreeBeYou💎
CroesFam💠
✨insta:stephani.p_✨",0,False,https://www.tiktok.com/@stephani.p/video/7087991550591978753?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087991550591978753&source=h5_m,528484,648,125,217,70331,7087991560591166210,7087991560591166210,72,7087991560591166210,original sound - stephani.p,Stephh💠,2.5381040702138778e+17,Stephh💠,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7087991501820627714.mp3,,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
5,CY,7079327542011776257,1648284390,#συρραφή με @mynameisandreas #fyp #fy,125425216855371776,NANA,lamne rwta🤣🤣🤣🤣❤❤❤,0,False,https://www.tiktok.com/@nana.el3/video/7079327542011776257?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079327542011776257&source=h5_m,589823,1295,1927,1468,42382,7079327533821414145,7079327533821414145,72,7079327533821414145,original sound - nana.el3,NANA,1.2542521685537178e+17,NANA,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7079327532994071297.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a18cfedc2754a1ff0cb9501c82ef64ef.json,False,False,,,,,[],0,0,Cyprus,#συρραφή #fyp #fy,0,0,0,0,0,1,1,0,0,0
6,GB,7102814828045143302,1653752951, ,6877635665245897733,Samuel toci,✨You should all follow me now I might be hot and famous one day ✨,0,False,https://www.tiktok.com/@samueltoci/video/7102814828045143302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102814828045143302&source=h5_m,428464,934,1714,2032,55751,7102814813721545478,7102814813721545478,72,7102814813721545478,original sound - samueltoci,Samuel toci,6.877635665245898e+18,Samuel toci,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102814829173426950.mp3,,False,False,,,,,[],0,0,Cyprus,,0,0,0,0,0,0,0,0,0,0
7,CY,7089477456767274241,1650647600,#fyp #foryou #foryoupage,6708629393973134341,Nɪᴄᴏʟᴇ🧡,Cʏᴘʀᴜs/Lᴀʀɴᴀᴄᴀ📍,0,False,https://www.tiktok.com/@itz.nicolee.__/video/7089477456767274241?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089477456767274241&source=h5_m,65149,70,253113,90,7828,7079148803948858158,7079148803948858158,72,7079148803948858158,original sound - vsmb.marky,Him/He,6.975210380684658e+18,Him/He,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079148820398869290.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7e2506d4fcab655b23fc78f5cab2b388.json,False,False,,,,,[],0,0,Cyprus,#fyp #foryou #foryoupage,0,0,1,1,0,0,1,0,0,0
0,CA,7085802151901007109,1649791877,Reply to @boredavocado1234  ask and you shall receive 💁‍♀️💃 #egirl #dancing #kitana #gaming,124868834544521216,Dessyyc,"Check my Insta 📸💙🔥🔓
⬇️MY OTHER SOCIALS💕⬇️",0,False,https://www.tiktok.com/@dessyyc/video/7085802151901007109?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085802151901007109&source=h5_m,26015437,27776,23516,38582,2062883,7067549981984541441,7067549981984541441,72,7067549981984541441,original sound - namiooka (Contains music from: Around the World - Daft Punk),"Contains music from: ""Around the World""",7.023428586733274e+18,🌬️,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7067549985868483330.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/06d7be2f0ab40bdd3b970bd40bc908bb.json,False,False,Daft Punk,Around the World,original sound - namiooka (Contains music from: Around the World - Daft Punk),"Contains music from: ""Around the World""",[],0,0,Cyprus,#egirl #dancing #kitana #gaming,0,0,0,0,0,0,0,0,0,0
