,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_duet,hash_explore,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_viral,hash_اكسبلور
2,SA,7102433081763597569,1653664067,كوارتر باوندر اللذيذ صار أسخن، أطرى، وأطعم والباقي على خبرك 😉. #اكسبلور  #fypシ  #fyp,6620790426130038789,ماكدونالدز السعودية,"حساب ماكدونالدز السعودية 
 الوسطى والشرقية والشمالية 🇸🇦",2,False,https://www.tiktok.com/@mcdonaldsksa/video/7102433081763597569?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102433081763597569&source=h5_m,2668680,1209,440,1144,74045,7073109627914734342,7073109627914734342,72,7073109627914734342,original sound - aboelsidproduction (Contains music from: Play - Blazy),"Contains music from: ""Play""",7.067948637422913e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073109636060121861.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1031314a1847df10f8c90d8b30fe633d.json,False,False,Blazy,Play,original sound - aboelsidproduction (Contains music from: Play - Blazy),"Contains music from: ""Play""",[],0,0,Egypt,#اكسبلور #fypシ #fyp,0,0,0,0,1,1,0,0,0,1
3,EG,7098760569716493573,1652808994,كملـــوه للاخـــــر صدقوني هتموتو ضحك 😂💔#asturi_elnemr #team___x3,7089395145644246022,Rainbow_line2,"الفنون والحِرف,التعليم والتدريب 🧬",0,False,https://www.tiktok.com/@rainbow_line2/video/7098760569716493573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098760569716493573&source=h5_m,18124951,4096,7042,57370,817632,7098760553556527877,7098760553556527877,72,7098760553556527877,original sound - rainbow_line2,Rainbow_line2,7.089395145644246e+18,Rainbow_line2,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098760567069969157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/04c7defe71a4ac9f93224affa363a5c9.json,False,False,,,,,[],0,0,Egypt,#asturi_elnemr #team___x3,0,0,0,0,0,0,0,0,0,0
4,DE,7099857730004995333,1653064448, ,7092035796870022149,SelinaFox.official,"✨ New Account ✨
Instagram: selinafox_official",0,False,https://www.tiktok.com/@selinafox.official/video/7099857730004995333?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099857730004995333&source=h5_m,1226226,69,92,39,22777,6742199989981678342,6742199989981678342,72,6742199989981678342,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",2381819.0,molly 💛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1646046236596230.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/300aaff96976f5891d3ce79259304b7f.json,False,False,Andre Swilley & Cookie Cutters,Pistol,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
5,EG,7092905417960967430,1651445736,يا ليتني كنت طقس 😩#bimbo #viral #foryou #fyp #fypシ,6989515147187422214,☹ ⲂⲒⲘⲂⲞ ☹,"𝙸'𝚅𝙴 𝙽𝙴𝚅𝙴𝚁 𝙷𝙰𝚃𝙴𝙳 𝙰𝙽𝚈𝙾𝙽𝙴 ♡
30k______________🏃",0,False,https://www.tiktok.com/@b..i..m..b..o/video/7092905417960967430?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092905417960967430&source=h5_m,2347957,690,6119,67501,126748,7092905399749184262,7092905399749184262,72,7092905399749184262,original sound - b..i..m..b..o (Contains music from: Journey - Mark Eliyahu),"Contains music from: ""Journey""",6.989515147187422e+18,☹ ⲂⲒⲘⲂⲞ ☹,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093130540378819333.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/aa06075511815568319266ae511aa54b.json,False,False,Mark Eliyahu,Journey,original sound - b..i..m..b..o (Contains music from: Journey - Mark Eliyahu),"Contains music from: ""Journey""",[],0,0,Egypt,#bimbo #viral #foryou #fyp #fypシ,0,0,1,0,1,1,0,0,1,0
6,MX,7100904234329083141,1653308106,😂🫶🏽,6890592109931594753,Camiso & Kassandra 👨🏽‍🦱👩🏻,"IG:Camisandra_off
camisandra@bts-agency.com",0,False,https://www.tiktok.com/@camisandra_/video/7100904234329083141?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100904234329083141&source=h5_m,5668036,365,2591,2948,64942,6726375562752903942,6726375562752903942,72,6726375562752903942,original sound - boroda59 (Contains music from: Ozmodiar - Miracle),"Contains music from: ""Ozmodiar""",6.682785956758685e+18,Кирилл,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1642181963988022.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/59ad7caae3718fcd8a11731c5634baa5.json,False,False,Miracle,Ozmodiar,original sound - boroda59 (Contains music from: Ozmodiar - Miracle),"Contains music from: ""Ozmodiar""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
7,EG,7095069752237821190,1651949659,🔥😂#viral #foryoupage #fyp #fypシ #foryou,6737072102769230854,丂卄2卂山卄🇹🇷,بًسِيِطِهّهّ مً تٌسِتٌبًصّطِهّاشُ  } ~🍺,0,False,https://www.tiktok.com/@sh2awh/video/7095069752237821190?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095069752237821190&source=h5_m,6134394,3412,29428,197665,541986,7095069747389483781,7095069747389483781,72,7095069747389483781,original sound - sh2awh,丂卄2卂山卄🇹🇷,6.737072102769231e+18,丂卄2卂山卄🇹🇷,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095069756008483589.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/301ff40d444752d7b6cc812c1b0d33e6.json,False,False,,,,,[],0,0,Egypt,#viral #foryoupage #fyp #fypシ #foryou,0,0,1,1,1,1,0,0,1,0
0,SA,7103587696324431105,1653932897,#stitch with @informa180,6897917494598779905,هتان,"✉️ : hattanad@outlook.com 
ضيفوني في سناب شات ارجع اضيفكم 😉",0,False,https://www.tiktok.com/@hattan/video/7103587696324431105?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103587696324431105&source=h5_m,211802,231,135,217,27834,7103587703970614017,7103587703970614017,72,7103587703970614017,original sound - hattan,هتان,6.89791749459878e+18,هتان,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103587654213585666.mp3,,False,False,,,,,[],0,0,Egypt,#stitch,0,0,0,0,0,0,0,0,0,0
1,AE,7075763958921121026,1647454678,0 to 100 😂,6767649555930481670,Reem و Barbary,Young married couple who wants to change marriage perspective in the world.,0,False,https://www.tiktok.com/@reemandbarbary/video/7075763958921121026?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075763958921121026&source=h5_m,3332602,1287,1097,2393,203972,7072533799778650922,7072533799778650922,72,7072533799778650922,original sound - clint_stafford90 (Contains music from: My Favourite Curse Word - Young Adon),"Contains music from: ""My Favourite Curse Word""",6.716248483681207e+18,random videos,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072533820301478699.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/abdc0939ce8a51643e3a2f6a09c1f54a.json,False,False,Young Adon,My Favourite Curse Word,original sound - clint_stafford90 (Contains music from: My Favourite Curse Word - Young Adon),"Contains music from: ""My Favourite Curse Word""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
2,ES,7079733296330050822,1648378862,#fyp #spidermancostume #spiderman,6800802588838282246,GabyGab,"🇮🇨🇨🇱
shadowbaneada por ser géminis✨
subo cosas random y a veces me disfrazo",0,False,https://www.tiktok.com/@gabritriguero/video/7079733296330050822?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079733296330050822&source=h5_m,8824423,4129,9008,27849,722167,6978793967794080514,6978793967794080514,72,6978793967794080514,Panda Transition (Contains music from: Panda - Desiigner),"Contains music from: ""Panda""",6.813533796643407e+18,𝚈𝚊𝚜𝚜𝚎𝚛 || بن سويلم 📸,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6978794043493141250.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b59462655ae2a71df5c98b908b7bb6d5.json,False,False,Desiigner,Panda,Panda Transition (Contains music from: Panda - Desiigner),"Contains music from: ""Panda""",[],0,0,Egypt,#fyp #spidermancostume #spiderman,0,0,0,0,1,0,0,0,0,0
3,MX,7085837647725202694,1649800141,Only on occasions #frenchie #bras,6723435295138563078,Samia Oz,"A time line of videos I find on my phone
💌: samiaozbusiness@gmail.com",0,False,https://www.tiktok.com/@samiaoz/video/7085837647725202694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085837647725202694&source=h5_m,2464751,456,384,1845,77782,7052430047688428334,7052430047688428334,72,7052430047688428334,original sound - bobsburgersvids,bobsburgersvids,7.051435339379115e+18,bobsburgersvids,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7052430074837994287.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1b32c7b041f8c311f6c7f256dd63417c.json,False,False,,,,,[],0,0,Egypt,#frenchie #bras,0,0,0,0,0,0,0,0,0,0
4,EG,7080613969152527621,1648583908,عشان انت خنزير😂#fypシ #اكسبلورexplore #m_3oda2,6973221753200362501,؏ــۏدۃ,"كلنا بشر ..لا تسوي ماركه👑
200k..🏃..150k
18year
اللهم اني برئ من ذنب هذه الصفحه",0,False,https://www.tiktok.com/@m.3oda2/video/7080613969152527621?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080613969152527621&source=h5_m,4092271,992,2949,923,137134,7080613941139458821,7080613941139458821,72,7080613941139458821,original sound - m.3oda2,؏ــۏدۃ,6.973221753200362e+18,؏ــۏدۃ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080613959270763270.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2bf4c45a48e1d5e5c633a184418e4cfb.json,False,False,,,,,[],0,0,Egypt,#fypシ #اكسبلورexplore #m_3oda2,0,0,0,0,0,1,0,0,0,0
5,EG,7095415809001917701,1652030231,Reply to @abdurhmannasr اي خدعة,6579695503045885958,Omar Tyson,بتاع تكيفات اللي عايز يسال عن حاجة يسيب كومنت و هرد عليه,0,False,https://www.tiktok.com/@omartyson10/video/7095415809001917701?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095415809001917701&source=h5_m,4817457,13650,3030,19252,142905,7095415782624070406,7095415782624070406,72,7095415782624070406,original sound - omartyson10,Omar Tyson,6.579695503045886e+18,Omar Tyson,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095415796037470982.mp3,,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
6,US,7100609125779885355,1653239394,so advanced,7064470359649207343,fgewjkhrtwje3tr,,0,False,https://www.tiktok.com/@passionflame1/video/7100609125779885355?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100609125779885355&source=h5_m,10746336,2111,22042,39547,899192,7100609088765348654,7100609088765348654,72,7100609088765348654,original sound - passionflame1,fgewjkhrtwje3tr,7.064470359649207e+18,fgewjkhrtwje3tr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100609125112924974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/97005d19e5af4f5c4e4e22c541581a8e.json,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
7,MX,7080768301206424838,1648619844,#lgbyt #tiktok #paratii #couples @luci_69666 @tere_nzt @teree_nzt @luci69xtere #colombia #españa #mexico #brazil #fyp #🏳️‍🌈 #fypシ #fyyyyyyyyyyyyyyyy,6863596083403539457,Juliantina,"Sigueme para llegar a 350k ❤️
. 🇲🇽
Instagram @luciacevedoarias69 y @tere_nzt",0,False,https://www.tiktok.com/@juliantina_bb/video/7080768301206424838?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080768301206424838&source=h5_m,3631436,909,1160,4300,102095,7018543928358062853,7018543928358062853,72,7018543928358062853,original sound - carolinaabreu98 (Contains music from: ICE - MORGENSHTERN),"Contains music from: ""ICE""",6.800586233208735e+18,Carolina Abreu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7018543987636095749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/df44688ffc3b8ee0ca5f09ecbd7d3b0a.json,False,False,MORGENSHTERN,ICE,original sound - carolinaabreu98 (Contains music from: ICE - MORGENSHTERN),"Contains music from: ""ICE""",[],0,0,Egypt,#lgbyt #tiktok #paratii #couples #colombia #españa #mexico #brazil #fyp #🏳️‍🌈 #fypシ #fyyyyyyyyyyyyyyyy,0,0,0,0,1,1,1,0,0,0
0,LB,7097635365615357186,1652547012,#LearnOnTikTok #drsandrineatallah #د_ساندرين_عطاالله #podcast,6879737101656818694,د. ساندرين عطاالله,"👩🏻‍⚕️ طب وعلاج نفسي جنسي
🎧Podcaster | بودكاست حكي صريح
استمعوا الى الحلقات👇",0,False,https://www.tiktok.com/@drsandrineatallah/video/7097635365615357186?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097635365615357186&source=h5_m,11696267,12294,19255,1029,271256,7084264587712891690,7084264587712891690,72,7084264587712891690,original sound - sickickmusic,Sickickmusic,1.2827297219213722e+17,Sickickmusic,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7084264620973624106.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fcc8d1f870b9c2db0b11594e70b1a1ec.json,False,False,,,,,[],0,0,Egypt,#LearnOnTikTok #drsandrineatallah #د_ساندرين_عطاالله #podcast,0,0,0,0,0,0,0,0,0,0
1,EG,7070580220314569989,1646247744,عمرك جربت تحب حد وهو مبيحبكش 🖤🎧 #fypシ #تصميمي,6877287153450091526,𝑺𝑨𝑺𝑨 🖤🎧,"𝘌𝘓𝘔𝘚𝘐𝘙𝘠  
𝘝𝘐𝘋𝘌𝘖 𝘊𝘙𝘌𝘈𝘛𝘖𝘙",0,False,https://www.tiktok.com/@mostafa_elmsiry/video/7070580220314569989?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070580220314569989&source=h5_m,9454421,6908,70259,9128,666291,7070757675931290374,7070757675931290374,72,7070757675931290374,original sound - mostafa_elmsiry (Contains music from: Mesh Nadman - Muslim - مُسلِم),"Contains music from: ""Mesh Nadman""",6.877287153450092e+18,𝑺𝑨𝑺𝑨 🖤🎧,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070757698635123461.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fcb77b6ac1456243fbd5a576a96b7c43.json,False,False,Muslim - مُسلِم,Mesh Nadman,original sound - mostafa_elmsiry (Contains music from: Mesh Nadman - Muslim - مُسلِم),"Contains music from: ""Mesh Nadman""",[],0,0,Egypt,#fypシ #تصميمي,0,0,0,0,0,1,0,0,0,0
2,TR,7093944145328311553,1651687582,hhhhh🤣🤣🤣🤣🤣,7086051407652160513,𝐌𝐫_𝐯𝐢𝐨🖤,"my☺💫
dream💭
1m🎉♥️🎊",0,False,https://www.tiktok.com/@khaludi_0/video/7093944145328311553?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093944145328311553&source=h5_m,11363655,1222,5483,23128,266213,7084951997350251266,7084951997350251266,72,7084951997350251266,original sound - orici4 (Contains music from: Paul Aussaresses - K3t Savage),"Contains music from: ""Paul Aussaresses""",7.084321733624808e+18,orici4,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084951974914902786.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/efcdf9d32fde9c3062dc4c6a641e0b58.json,False,False,K3t Savage,Paul Aussaresses,original sound - orici4 (Contains music from: Paul Aussaresses - K3t Savage),"Contains music from: ""Paul Aussaresses""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
