,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_duet,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_movie,hash_tiktok,hash_viral,hash_xyzbca
2,GB,7089462715110018305,1650644168,🤣🖤#ffffyyyyyppppppppp,7009274283860886534,🦋,"🦥
ig:sendycorreia",0,False,https://m.tiktok.com/v/7089462715110018305.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089462715110018305&source=h5_m,337111,238,343,175,28250,6938675047435389697,6938675047435389697,72,6938675047435389697,original sound - ateyjs,🥥🇳🇿🇼🇫,6.527129830205429e+18,🥥🇳🇿🇼🇫,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6990661775297448706.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5095ca82332e4a2529dfb616c6ca5fc8.json,False,False,,,,,[],0,0,Kiribati,#ffffyyyyyppppppppp,0,0,0,0,0,0,0,0,0,0
3,SE,7087511091097521413,1650189771,How far do you get? 🤐🎶 #2015 #nostalgia #avicii #twentyonepilots,230912596260851712,Arc North,"💎Platinum Awarded Artist💎
👇🎶Remixes & TikTok Playlist🎶👇",0,False,https://m.tiktok.com/v/7087511091097521413.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087511091097521413&source=h5_m,13375925,15463,8053,77960,1508207,7087511097867045638,7087511097867045638,72,7087511097867045638,original sound - arcnorth (Contains music from: Shut Up and Dance - WALK THE MOON),"Contains music from: ""Shut Up and Dance""",2.309125962608517e+17,Arc North,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087511096345168646.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b9b87b5441beb9df0d5b1127cfa82d26.json,False,False,WALK THE MOON,Shut Up and Dance,original sound - arcnorth (Contains music from: Shut Up and Dance - WALK THE MOON),"Contains music from: ""Shut Up and Dance""",[],0,0,Kiribati,#2015 #nostalgia #avicii #twentyonepilots,0,0,0,0,0,0,0,0,0,0
4,US,7084326448323972394,1649448289,Who do you see in here 🤔😂 @mckenzibrooke  #BigComfy #EasyWithAdobeExpress #foryoupage #fyp  #dancing #mclennanboyz,6807463197618258950,Ethan Blake Devin,"Insta - @mclennanboyz
Actors•Models•Creators",0,False,https://m.tiktok.com/v/7084326448323972394.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084326448323972394&source=h5_m,707472,850,78,142,71042,7066125789452241670,7066125789452241670,72,7066125789452241670,ur dad,NR⏳🤍,7.024577694205543e+18,NR⏳🤍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7066126724324723461.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ee3bb86827a68d456d2a056c466d912.json,False,False,,,,,[],0,0,Kiribati,#BigComfy #EasyWithAdobeExpress #foryoupage #fyp #dancing #mclennanboyz,0,0,1,0,1,0,0,0,0,0
5,IT,7096065378572340486,1652181473,#fact,6815599891152258054,Kelvin Kas272,"Content creator
Here To Inspire U
follow, like, share, comment  for more
🇮🇹☎",0,False,https://m.tiktok.com/v/7096065378572340486.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096065378572340486&source=h5_m,188125,228,878,8934,6851,7088791487093213958,7088791487093213958,72,7088791487093213958,original sound - skybeauty32,Janet Victor,6.927183872019465e+18,Janet Victor,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088791493338942214.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2e155172ea45f301df631214d4b4f0a5.json,False,False,,,,,[],0,0,Kiribati,#fact,0,0,0,0,0,0,0,0,0,0
6,US,7091361664456756526,1651086302,😜,6916762001214194694,Zay,"Insta ~ KingZ.a.y ^^
✨Show some love✨
Snap ~ Zayyfu",0,False,https://m.tiktok.com/v/7091361664456756526.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091361664456756526&source=h5_m,2616216,622,793,5171,312253,7069833959022103339,7069833959022103339,72,7069833959022103339,original sound - breeeee02,bre💞,6.795384245752088e+18,bre💞,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7069833988420061998.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8747f36cbfb0b653c60f39919268782f.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
7,SE,7082727244866587909,1649075945, ,6730235152208905221,Elvir Aljicevic,"Love you all! ❤️‍🔥
Snap: Elviraljiceevic
Twitter: EAljicevic
🇧🇦/🇲🇪",0,False,https://m.tiktok.com/v/7082727244866587909.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082727244866587909&source=h5_m,1720011,909,1098,3682,107952,6912384033099942661,6912384033099942661,72,6912384033099942661,Direction Dance  (Contains music from: Canciones Para Bailar Tik Tok Mix 7 - Dj Morant),"Contains music from: ""Canciones Para Bailar Tik Tok Mix 7""",6.565057854611456e+18,Marianny Holguín,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6912383984718580486.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/de7e623b04845c6c75ebbebdba8d2987.json,False,False,Dj Morant,Canciones Para Bailar Tik Tok Mix 7,Direction Dance  (Contains music from: Canciones Para Bailar Tik Tok Mix 7 - Dj Morant),"Contains music from: ""Canciones Para Bailar Tik Tok Mix 7""",[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
0,GB,7076488587570662661,1647623393,Which transition is best? 👀,7835848,JeremyLynch,"For more content follow me on Facebook, YouTube, Insta & Snapchat",0,False,https://m.tiktok.com/v/7076488587570662661.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076488587570662661&source=h5_m,28712210,39003,39958,69383,6193411,7076488591681112837,7076488591681112837,72,7076488591681112837,original sound - jeremylynch (Contains music from: Infinity - Jaymes Young),"Contains music from: ""Infinity""",7835848.0,JeremyLynch,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076488601428577030.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7811caa95ceefd8b756c29a376da1620.json,False,False,Jaymes Young,Infinity,original sound - jeremylynch (Contains music from: Infinity - Jaymes Young),"Contains music from: ""Infinity""",[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
1,DE,7070527805439626502,1646235540,Shout out to my bro @bboybart_ ready for #flyingdreams #breakdance #bboy,6614140170706075653,killasebi,Sebi Jaeger pro dancer/actor Berlin Germany 🇩🇪 2x Breakdance World Champion 🏆,0,False,https://m.tiktok.com/v/7070527805439626502.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070527805439626502&source=h5_m,4353798,906,3872,938,219403,6788860787835341573,6788860787835341573,72,6788860787835341573,original sound - shtutqart_mkr (Contains music from: Still D.R.E. - Dr. Dre),"Contains music from: ""Still D.R.E.""",6.64369369253154e+18,Ştutqart Mikrorayon Filialı,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6840510145618070277.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0d8718a36e1c50d85cedf2003888b3e3.json,False,False,Dr. Dre,Still D.R.E.,original sound - shtutqart_mkr (Contains music from: Still D.R.E. - Dr. Dre),"Contains music from: ""Still D.R.E.""",[],0,0,Kiribati,#flyingdreams #breakdance #bboy,0,0,0,0,0,0,0,0,0,0
2,AU,7076425434367331586,1647608690,What would u do in this situation #fyp #foryou,6809901348139582469,Von Artini,"Sexy creative joker
Email: VonArtini@gmail.com
Add me on Insta & snap @Vonartini",0,False,https://m.tiktok.com/v/7076425434367331586.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076425434367331586&source=h5_m,4031548,1694,2658,21729,348481,7076425429904591618,7076425429904591618,72,7076425429904591618,original sound - vonartini,Von Artini,6.809901348139582e+18,Von Artini,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7076425430894545666.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/205c911ac906ae9e94dce3f53533abd8.json,False,False,,,,,[],0,0,Kiribati,#fyp #foryou,0,1,0,0,1,0,0,0,0,0
3,GB,7080222255879376134,1648492706,Best run ever.,6977855353962759174,leona6959,All things funny 😉,0,False,https://m.tiktok.com/v/7080222255879376134.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080222255879376134&source=h5_m,1017969,232,393,97,85411,7080222253069929221,7080222253069929221,72,7080222253069929221,original sound - leona6959,leona6959,6.977855353962759e+18,leona6959,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080222242239892230.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b6cb8c27ef626f1a77d9a7e0cf5182cc.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
4,US,7074938594116357422,1647262509,She learned the moonwalk 😍 @dytto,293950129769013248,⚜ RAMPAGE ⚜,"🌙 👟

📩 rampage.dances@gmail.com",0,False,https://m.tiktok.com/v/7074938594116357422.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074938594116357422&source=h5_m,4819643,1060,4978,43798,214624,6754222613943290637,6754222613943290637,25,6754222613943290637,Friendships,Pascal Letoublon,,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/701c478b5d354a48a3e90c73818d4e00,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5f4ed2e404204088953ddf8b2f84e6ce,True,True,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
5,NG,7096224731334069509,1652218574,Stay focused #drill #stayfocoused #tiktok #viral #despeve,6989218717318890502,Stay focused,"The world needs focus 🧘‍♀️ without it you, all get confused # stay focused",0,False,https://m.tiktok.com/v/7096224731334069509.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096224731334069509&source=h5_m,684121,18830,1764,30744,100292,7096224714774842118,7096224714774842118,72,7096224714774842118,original sound - despeve,Stay focused,6.98921871731889e+18,Stay focused,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096224717807307526.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d1c5f098f5178bff3032da22cf6c075e.json,False,False,,,,,[],0,0,Kiribati,#drill #stayfocoused #tiktok #viral #despeve,0,0,0,0,0,0,0,1,1,0
6,IT,7094310565983603974,1651772897,Momento de relax y un video para todos ustedes ❤️❤️ ig : Fredisterrer 🇨🇺,7000883059868582918,Fredisterrer,"Cuenta oficial 🇨🇺
Si quieres ver mas de mi contenido ⤵️⤵️",0,False,https://m.tiktok.com/v/7094310565983603974.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094310565983603974&source=h5_m,2250065,2929,3044,10919,160459,6976990870470298373,6976990870470298373,72,6976990870470298373,original sound - jonathanviatge (Contains music from: Lento - Daniel Santacruz),"Contains music from: ""Lento""",6.671210921099362e+18,Jonathanviatge,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6976990962426432262.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e28238499f8aba5bd7805002d615907b.json,False,False,Daniel Santacruz,Lento,original sound - jonathanviatge (Contains music from: Lento - Daniel Santacruz),"Contains music from: ""Lento""",[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
7,GB,7095303488028101893,1652004088, ,7059770183048774662,Kyle Hume,Hi,0,False,https://m.tiktok.com/v/7095303488028101893.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095303488028101893&source=h5_m,612702,650,6438,9542,39058,7095303494227217157,7095303494227217157,72,7095303494227217157,original sound - officialkylehume,Kyle Hume,7.059770183048775e+18,Kyle Hume,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095303510589229830.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/817003e5437b559ddc78b6ea01002398.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
0,PH,7103411938427800858,1653891974,@nianaguerrero @andreebonifacioo,6609609355947130885,BjDapatSy,"Pinoy🇵🇭
IG: @gforcetweens_bj
📩:bjdapatsy1@gmail.com
hope you smile 🤓",0,False,https://www.tiktok.com/@bjdapatsyy/video/7103411938427800858?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103411938427800858&source=h5_m,4433379,1976,1908,11694,646369,7055576493233146650,7055576493233146650,24,7055576493233146650,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",6.806190479093941e+18,♡🆂🅴🆈 Y-THR3E♡,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7055576499734219546.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed38b24bb516fc7ca2d72dd0197cb9c9.json,False,False,Mary J. Blige,Family Affair,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
1,AU,7097917906020830465,1652612796,Growing up on country is a flex 🔥 FOR A LAUGH 😂😂😂 #forlaugh #funnyvideo  #aboriginaltiktok #deadly #fyp #foryou #explore #gangster #babyticktok #babiesoftiktok #aboriginal #auntie #chubbybaby,6977318703835366405,littlebushboy,"Jalmarra. Our little bush boy, living his best life on Nyikina country 🖤💛❤️",0,False,https://www.tiktok.com/@littlebushboy/video/7097917906020830465?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097917906020830465&source=h5_m,309991,140,56,1234,21666,6966173950116186882,6966173950116186882,10036,6966173950116186882,Grillz,Nelly,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c008815c3c204630a0ec0ec2c3eba405,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/85a72751c27f43808b9efcaf9cbecb93,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1447439127', 'external_song_key': 'apple_song_id'}]",0,0,Kiribati,#forlaugh #funnyvideo #aboriginaltiktok #deadly #fyp #foryou #explore #gangster #babyticktok #babiesoftiktok #aboriginal #auntie #chubbybaby,0,1,0,0,1,0,0,0,0,0
2,FR,7074526698967944454,1647166606,#twilight #taylorlautner #robertpattinson #rob #kristenstewart #triste #mavie,6998197742346699781,Kit Connor ✨,"Compte fan Twilight ET Rob Pattinson 😎
Go les 4000abo licke les épingles stp !",0,False,https://www.tiktok.com/@chloe_pattinson_cullen/video/7074526698967944454?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074526698967944454&source=h5_m,416423,80,106,74,22033,6990441958090999809,6990441958090999809,10033,6990441958090999809,Unstoppable,Sia,,,False,False,,https://sf19-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/5c6ffe5a760b4ddab5229012fd23f3f9?x-expires=1653985084&x-signature=i4hc8K0ENvafCde0xD%2F3rzeVwsU%3D,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1162482538', 'external_song_key': 'apple_song_id'}]",0,0,Kiribati,#twilight #taylorlautner #robertpattinson #rob #kristenstewart #triste #mavie,0,0,0,0,0,0,0,0,0,0
3,ID,7094429855927897370,1651800670,@yanno082 😂😂 hahahaha Sio ade sedih parah 😂😊😊❣️,6842173482638787590,Ditha S Yeblo,"😎#Suka_Nyani_Olahraga_#😎
😌#NyamanKalauDekatz 😁#😌
😉#46_50😉
😎#Tambrauw",0,False,https://www.tiktok.com/@ditha18022000/video/7094429855927897370?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094429855927897370&source=h5_m,424171,137,106,376,32492,7031712822207761179,7031712822207761179,24,7031712822207761179,original sound - yusufbanu4,user8624001911401,6.922452248682857e+18,user8624001911401,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7031712751353482011.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/264810edfd042b2bbe342e1b2ed44ce0.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
