,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
4,GB,7076592223676042502,1647647523,##fyp #ladybarber #crazy #respect,6868206640703144965,Georgiana Loredana G,,0,False,https://www.tiktok.com/@loredanag30/video/7076592223676042502?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076592223676042502&source=h5_m,50364720,16305,41648,3563,1741008,7058328368642902785,7058328368642902785,72,7058328368642902785,original sound - oksyvahag (Contains music from: Аса хоса - Окси Авдалян),"Contains music from: ""Аса хоса""",6.815267795837699e+18,Vahagn Avagyan,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7058328368647129858.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a23b148981aced6a9ebe17e671ac259c.json,False,False,Окси Авдалян,Аса хоса,original sound - oksyvahag (Contains music from: Аса хоса - Окси Авдалян),"Contains music from: ""Аса хоса""",[],0,0,French Southern Territories,##fyp #ladybarber #crazy #respect,0,0,0,0,0,1,0,0,0,0
5,GB,7103470784949095686,1653905680,#question from @yellthomas666 When the trivial becomes a unique selling point #heatshrinktube  #useful #tools #home,7080356179163677701,Yell Thomas685,"🎉Get it in my TikTok shop🎉
🎁click here，Enter now🎁
👇
👇
👇",0,False,https://www.tiktok.com/@yellthomas666/video/7103470784949095686?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103470784949095686&source=h5_m,4393,0,0,3,48,7083821418252617730,7083821418252617730,10033,7083821418252617730,Low Down,venbee & Dan Fable,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0e1dc0ebf2c84a21ad441224b9c85a49,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b00468d996b64559aa07b1655130cd20,False,True,,,,,[],0,0,French Southern Territories,#question #heatshrinktube #useful #tools #home,0,0,0,0,0,0,0,0,0,0
6,PH,7103081668822453531,1653815077,🦋🦋*not my idea:)#fyp,186862218825666560,Mar😵‍💫,"18
18-4=¿
Spam=block
🇵🇭/🇳🇱
engene",0,False,https://www.tiktok.com/@lilac.marie/video/7103081668822453531?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103081668822453531&source=h5_m,1505733,5777,4137,13541,289862,7075301651015322414,7075301651015322414,72,7075301651015322414,Sweetest pie dua lip and megan thee stallion (Contains music from: Reliable - Artwork),"Contains music from: ""Reliable""",7.044109716095583e+18,Moon 🫧 ⭑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075301713351052075.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5872911bcbc89a3533196a8a071c3d5f.json,False,False,Artwork,Reliable,Sweetest pie dua lip and megan thee stallion (Contains music from: Reliable - Artwork),"Contains music from: ""Reliable""",[],0,0,French Southern Territories,#fyp,0,0,0,0,0,1,0,0,0,0
7,FR,7101674010861194501,1653487336,love love love 🤍,6835896479540331525,𝒀 ‘,🤍🦢☁️🕯,0,False,https://www.tiktok.com/@y1mrd/video/7101674010861194501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101674010861194501&source=h5_m,1536110,1685,967,42,204591,7097769259157211906,7097769259157211906,72,7097769259157211906,original sound - as_il72,as_il67,7.077663774522344e+18,as_il67,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097769179922647810.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2fd7b6dbf19b288f4bb6561e065cf7e9.json,False,False,,,,,[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
0,US,7070613645843074346,1646255527,I forgot how to control my face,6813900387314254854,Neda,"IG: @hijabiluscious
🇮🇷 🇺🇸",0,False,https://www.tiktok.com/@hijabiluscious/video/7070613645843074346?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070613645843074346&source=h5_m,10176154,42646,55545,49294,553555,7070613605380721454,7070613605380721454,72,7070613605380721454,original sound - hijabiluscious,Neda,6.813900387314255e+18,Neda,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7070613641187347243.mp3,,False,False,,,,,[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
1,AE,7089522864478555398,1650658173,Thank you guys for the messages ❤️ Will be back stronger 🙏🏻💪🏻,6660915534395572230,Football Freestyle champion,Football match with Ronaldinho 🔥⚽️,0,False,https://www.tiktok.com/@seanfreestyle/video/7089522864478555398?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089522864478555398&source=h5_m,13328390,1473,850,3735,470521,5000000001472346288,5000000001472346288,71,5000000001472346288,Ramenez la coupe à la maison,Vegedream,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/79b9140ded9e47d48a4645bbd8cf1df1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9728f991f1b64978be1d0c6edd45c5e0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1413378395', 'external_song_key': 'apple_song_id'}]",0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
2,FR,7086902877918186758,1650048160,The best @nekpower #vrial #fy #fypシ #fypage #fypシ゚viral #pourtoi #fyp #fyy,6922205415666222082,NekPower👑,"300K🥺🎉??
Subscribe my YouTube channel🙏🔥
🇦🇪🇩🇪🇸🇾🇵🇸🇮🇶🇦🇫🇹🇷🇮🇳🇫🇷",0,False,https://www.tiktok.com/@nekpower/video/7086902877918186758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086902877918186758&source=h5_m,37128411,12500,7424,3268,1652977,7023985056045746949,7023985056045746949,72,7023985056045746949,original sound - nekpower (Contains music from: ja ljublju tebja davno - Rauf & Faik),"Contains music from: ""ja ljublju tebja davno""",6.922205415666222e+18,NekPower👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7023985204469582597.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ba8c654c8eca4a55555f1e577e831ee0.json,False,False,Rauf & Faik,ja ljublju tebja davno,original sound - nekpower (Contains music from: ja ljublju tebja davno - Rauf & Faik),"Contains music from: ""ja ljublju tebja davno""",[],0,0,French Southern Territories,#vrial #fy #fypシ #fypage #fypシ゚viral #pourtoi #fyp #fyy,0,0,0,0,1,1,2,0,0,1
3,US,7074788865755614510,1647227646,In an alternate universe this would be my version. A small parody of the song PS5 by @salem  #fortnite #nintendo #salemilese #meortheps5 #fortnitebattlepass #fnaf #beatbox #harharhar #purpleguy #jonesy #3ds,6781581342314005510,Abdul Cisse,Merch is out down below,0,False,https://www.tiktok.com/@adbul_cisse/video/7074788865755614510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074788865755614510&source=h5_m,31405680,33345,53281,119044,4524372,7074788824290741035,7074788824290741035,72,7074788824290741035,original sound - adbul_cisse (Contains music from: The Legend of Zeld - Legacy Hits),"Contains music from: ""The Legend of Zeld""",6.781581342314006e+18,Abdul Cisse,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7074788863708793642.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6fc3606637206ffd97960ebe658579ce.json,False,False,Legacy Hits,The Legend of Zeld,original sound - adbul_cisse (Contains music from: The Legend of Zeld - Legacy Hits),"Contains music from: ""The Legend of Zeld""",[],0,0,French Southern Territories,#fortnite #nintendo #salemilese #meortheps5 #fortnitebattlepass #fnaf #beatbox #harharhar #purpleguy #jonesy #3ds,0,0,0,0,0,0,0,0,0,0
4,US,7100467363295874350,1653206390,#,7057206276069032965,schanelle,"🚀Don't hesitate
You must be looking for these...👀
⬇️Click Below to Shop Now⬇️",0,False,https://www.tiktok.com/@schanelle09/video/7100467363295874350?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100467363295874350&source=h5_m,951462,490,143,292,180951,7100467221603814190,7100467221603814190,72,7100467221603814190,original sound - schanelle09 (Contains music from: Canciones Para Bailar Tik Tok Mix 2 - Dj Morant),"Contains music from: ""Canciones Para Bailar Tik Tok Mix 2""",7.057206276069033e+18,schanelle,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100467322447547178.mp3,,False,False,Dj Morant,Canciones Para Bailar Tik Tok Mix 2,original sound - schanelle09 (Contains music from: Canciones Para Bailar Tik Tok Mix 2 - Dj Morant),"Contains music from: ""Canciones Para Bailar Tik Tok Mix 2""",[],0,0,French Southern Territories,#,0,0,0,0,0,0,0,0,0,0
5,GB,7073951736083385605,1647032737,Too quick 😮‍💨🔥 #UnitedOnTikTok #MUFC #ManUtd #CristianoRonaldo #Ronaldo,6769222452972422149,Manchester United,The home of Manchester United on TikTok 📱,0,False,https://www.tiktok.com/@manutd/video/7073951736083385605?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073951736083385605&source=h5_m,44877021,11190,10890,56341,3778322,7073951710552574725,7073951710552574725,72,7073951710552574725,original sound - manutd,Manchester United,6.769222452972422e+18,Manchester United,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073951728307358470.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/04831f35f9450e3f67d4c6985a69e461.json,False,False,,,,,[],0,0,French Southern Territories,#UnitedOnTikTok #MUFC #ManUtd #CristianoRonaldo #Ronaldo,0,0,0,0,0,0,0,0,0,0
6,US,7102398524012186881,1653656021,🍀,6759953756664628230,✨Platon✨,No bio yet,0,False,https://www.tiktok.com/@_plat0n__/video/7102398524012186881?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102398524012186881&source=h5_m,5549322,2343,2737,317,314414,7092335571913198363,7092335571913198363,24,7092335571913198363,i wanna ride,카를로,7.008193138298062e+18,카를로,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7092335586136066842.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e5ee012e6b5702c46aa09f7a0786e117.json,False,False,,,,,[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
7,US,7085918290907811114,1649818917,first post ! 🏝 #foryou #preppy #aesthetic #preppyaudios #growmyaccount #chalkart #art #fyp #fy #foryoupage #preppyvideo #preppyvlog,7085844409952601134,🌺🌴🌊🏄‍♀️,"hi guyss !! 🌊🏄‍♀️🌺☀️
tysm for 123.4K followers !! 💕💗
byeee !!",0,False,https://www.tiktok.com/@preppyvscoari/video/7085918290907811114?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085918290907811114&source=h5_m,13632209,39069,105491,5843,1530542,6913042444171299590,6913042444171299590,72,6913042444171299590,small aesthetic accounts use this sound,daddy,6.913039305121514e+18,daddy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6966077897450736390.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0e597319860a013ce329ab38f9d5ca7f.json,False,False,,,,,[],0,0,French Southern Territories,#foryou #preppy #aesthetic #preppyaudios #growmyaccount #chalkart #art #fyp #fy #foryoupage #preppyvideo #preppyvlog,0,1,1,0,1,1,0,0,0,0
0,US,7076516910761807146,1647629988, ,6765239797907194886,Ü,🥜🥛🥜,0,False,https://www.tiktok.com/@jcollins.20/video/7076516910761807146?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076516910761807146&source=h5_m,89144445,339898,183464,214953,10145452,6963806461927393281,6963806461927393281,10033,6963806461927393281,Laboratory,Dville Santa,,,False,False,,https://sf16-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/13cdef7235354175a6490b6b3016aaf7?x-expires=1653969559&x-signature=tJBfF7yVZGeQv71EzOKJ2j5F7oc%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1568051106', 'external_song_key': 'apple_song_id'}]",0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
1,FR,7081615453390441734,1648817085,"Без болю в серці та сліз неможливо дивитися!😭🇺🇦 Тримайся Рідна, скоро настане Твоя весна!🙏🏼🥺🌻 #paris #performance #ukraine #війнавукраїні #росіяворог #оркиублюдки #путінхуйлооо #росіяокупант #війнатриває #нівійні🇺🇦💙💛 #ukreinian🇺🇦 #українапонадусе #європазукраїною #українцівпарижі #українцізакордоном #українціразом #перемогазанами💙💛💪 #світзукраїною #допоможітьукраїні #росіявбиває⚡☠😠⚡🇵🇱🇺🇦 #росіяниякдіагноз #непробачимо😓 #українотримайся🇺🇦🥺🤞",6741365155093529606,@olesya_blk,"Ukraine, Ivano-Frankivsk
@olesya_blk
Українка🇺🇦🌻💫",0,False,https://www.tiktok.com/@olesyablk/video/7081615453390441734?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081615453390441734&source=h5_m,11835172,41601,23569,786,997876,7073157867041245958,7073157867041245958,72,7073157867041245958,original sound - ana_imbieras23 (Contains music from: Einaudi: Experience - Ludovico Einaudi & Daniel Hope & I Virtuosi Italiani),"Contains music from: ""Einaudi: Experience""",6.782974253081593e+18,Anastasiia 💎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073157877233470214.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/952cd23cfab04d9453dd362b9184e02e.json,False,False,Ludovico Einaudi & Daniel Hope & I Virtuosi Italiani,Einaudi: Experience,original sound - ana_imbieras23 (Contains music from: Einaudi: Experience - Ludovico Einaudi & Daniel Hope & I Virtuosi Italiani),"Contains music from: ""Einaudi: Experience""",[],0,0,French Southern Territories,#paris #performance #ukraine #війнавукраїні #росіяворог #оркиублюдки #путінхуйлооо #росіяокупант #війнатриває #нівійні🇺🇦💙💛 #ukreinian🇺🇦 #українапонадусе #європазукраїною #українцівпарижі #українцізакордоном #українціразом #перемогазанами💙💛💪 #світзукраїною #допоможітьукраїні #росіявбиває⚡☠😠⚡🇵🇱🇺🇦 #росіяниякдіагноз #непробачимо😓 #українотримайся🇺🇦🥺🤞,0,0,0,0,0,0,0,0,0,0
