,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_colombia,hash_elecciones2022,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humor,hash_parati,hash_tiktok,hash_viral
6,US,7100031216769977643,1653104839,beginner's eyebrow thrush tutorial#foryou #foryoupage #beauty #makeup #makeuphacks #eyebrows #eyebrowtutorial #beginner,7083667971521381419,Beauty Researcher,Become beautiful link please click,0,False,https://www.tiktok.com/@beautyresearcher1/video/7100031216769977643?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100031216769977643&source=h5_m,15607742,954,41648,93183,308530,7052051703935748870,7052051703935748870,72,7052051703935748870,original sound - gabweeb (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",7.020532641716422e+18,o gab,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7052051726308117253.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6513228fb1ec1b76b466e37c1b90784d.json,False,False,WILLOW,Wait a Minute!,original sound - gabweeb (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",[],0,0,Colombia,#foryou #foryoupage #beauty #makeup #makeuphacks #eyebrows #eyebrowtutorial #beginner,0,0,1,1,0,0,0,0,0,0
7,US,7095817498674613509,1652123757,creo que se me ven los cucos pero no importa 🥹 ig: sofiaalcastro,228504740299706368,sofiaalcastro,Dale PRE SAVE a mi nueva canción 👇🏻,0,False,https://www.tiktok.com/@sofiaalcastro/video/7095817498674613509?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095817498674613509&source=h5_m,5430752,1563,785,3901,808035,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
0,CO,7088129985369656581,1650333869,Te amo @veronicalcocerg ❤️ #amor❤️ #colombia #enamorado #gustavopetro #foryou,6891272227842278401,Gustavo Petro,"Candidato presidencial
Haremos de Colombia una potencia mundial de la vida",0,False,https://www.tiktok.com/@gustavopetrooficial/video/7088129985369656581?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088129985369656581&source=h5_m,3344617,5026,6574,10475,249626,7084666038268349190,7084666038268349190,10036,7084666038268349190,Dime Como Te Olvido,Binomio De Oro De América,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0c4c795ded0840b5944bd92166113e29,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/42ed48f918d94e9ebee3c19659213478,False,True,,,,,[],0,0,Colombia,#amor❤️ #colombia #enamorado #gustavopetro #foryou,1,0,1,0,0,0,0,0,0,0
1,CO,7102517804905139462,1653683794,"Nada personal, solo humor 😂",13255654,luisafernandaw,Twitter: luisafernandaw,0,False,https://www.tiktok.com/@luisafernandaw/video/7102517804905139462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102517804905139462&source=h5_m,1547112,0,1451,2792,70303,6792127897671863046,6792127897671863046,72,6792127897671863046,original sound - besperon,Brian Esperon,5.439342288256614e+16,Brian Esperon,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1658241060628486.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a03ff20c86dcd6ac71a5c44e4c8158e8.json,False,False,,,,,[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
2,DE,7074349484917918981,1647125345,😂 #foryou #animal #pet #fail #funny #animals #pets #dog #cat #tiktok #viral,6910135297574568961,Funny Vids 2k21,"#1 for Wee Videos 😂
DM for Credits/Removal",0,False,https://www.tiktok.com/@funnyvids2k21/video/7074349484917918981?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074349484917918981&source=h5_m,86458714,83211,411801,18736,4626301,7037816296729774894,7037816296729774894,72,7037816296729774894,original sound - cute__cheese (Contains music from: Everything I Do It For You - GUN SHOT),"Contains music from: ""Everything I Do It For You""",6.958383884019975e+18,cute_cheese,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7037816327892929327.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/96ef2ff1b72754e0e5a96e4f030c6c86.json,False,False,GUN SHOT,Everything I Do It For You,original sound - cute__cheese (Contains music from: Everything I Do It For You - GUN SHOT),"Contains music from: ""Everything I Do It For You""",[],0,0,Colombia,#foryou #animal #pet #fail #funny #animals #pets #dog #cat #tiktok #viral,0,0,1,0,0,0,0,0,1,1
3,US,7085479020300832046,1649716642,Wtf😳 #fyp #viral #discover #explore #tiktok #discoverme #trending #fypシ #lifesyle #coconut #southbeach #miami #vacation #morelife #wtf,6915834283030807558,Kandi Merrick,"Follow my new page.Entrepreneur , Love to travel & get money 🤑 follow my IG 👆",0,False,https://www.tiktok.com/@kandimerrick/video/7085479020300832046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085479020300832046&source=h5_m,34444300,46678,200788,72079,961852,7085478989657115438,7085478989657115438,72,7085478989657115438,original sound - kandimerrick,Kandi Merrick,6.915834283030808e+18,Kandi Merrick,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7085479018950101802.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4fa79e260ddd1b9231b7c210ef523e0f.json,False,False,,,,,[],0,0,Colombia,#fyp #viral #discover #explore #tiktok #discoverme #trending #fypシ #lifesyle #coconut #southbeach #miami #vacation #morelife #wtf,0,0,0,0,1,1,0,0,1,1
4,US,7091372213500235050,1651088758,Disney baby 🥹,6716859375102870533,Wren & Jacquelyn,tiktokwren@gmail.com💗,0,False,https://www.tiktok.com/@wren.eleanor/video/7091372213500235050?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091372213500235050&source=h5_m,85188521,74730,131969,4908,10243416,7064509319307365126,7064509319307365126,72,7064509319307365126,original sound - speedaudiios_ (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",7.037058424858052e+18,Molly,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7064509291939597061.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51cb25c03d7b685a28e8848473fa3eef.json,False,False,WILLOW,Wait a Minute!,original sound - speedaudiios_ (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
5,BO,7098892366479756550,1652839683,#fobia ##fobia #talasofia #funny #fyp #tiktok #parati #fypage #video #fyppppppppppppppppppppppp #fy #dúo #has #pourtoi,7092191123142624261,Marina Loayza🕷,,0,False,https://www.tiktok.com/@marina.loayza/video/7098892366479756550?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098892366479756550&source=h5_m,9840500,5092,11668,22956,751745,7072270831774141211,7072270831774141211,24,7072270831774141211,original sound - tony_1602,1 9 9 7 🍁,6.548675821840695e+18,1 9 9 7 🍁,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7072270830788463387.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/15950e7ee3bb18dc05ac815661f9e83c.json,False,False,,,,,[],0,0,Colombia,#fobia ##fobia #talasofia #funny #fyp #tiktok #parati #fypage #video #fyppppppppppppppppppppppp #fy #dúo #has #pourtoi,0,0,0,0,1,0,0,1,1,0
6,AU,7101087732725828865,1653350832,Wendigo: You're next. #Animation  #Wendigo #Nightmare,6783597335659185158,Shortest Blockbusters,"Artist / Filmmaker
I Create Dreams & Nightmares
👁
YouTube👇🏼",0,False,https://www.tiktok.com/@shortestblockbusters/video/7101087732725828865?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101087732725828865&source=h5_m,5257406,3651,6589,361,541848,7101087701344078594,7101087701344078594,72,7101087701344078594,original sound - shortestblockbusters,Shortest Blockbusters,6.783597335659185e+18,Shortest Blockbusters,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101087618280065794.mp3,,False,False,,,,,[],0,0,Colombia,#Animation #Wendigo #Nightmare,0,0,0,0,0,0,0,0,0,0
7,GB,7072543819132079366,1646704931,🍄 m u s h r o o m s🍄#smallmua  #makeupideas #makeuplooks #creativemakeup,6689851407174714373,🌸Daisy🌸,"HEY 
🤍TYSM FOR 100K!!🤍
Daisy15 for £ off DUcare
🤍please don’t spam🤍",0,False,https://www.tiktok.com/@daisysartistryy/video/7072543819132079366?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072543819132079366&source=h5_m,20757708,8674,4438,12787,2375907,6604064037363780357,6604064037363780357,10009,6604064037363780357,Runaway,AURORA,,,True,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ceb8efac859f4a8cb5de82ce888d037a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/92ed7f1e82d846a49ace2dc9198e77fa,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '967980420', 'external_song_key': 'apple_song_id'}]",0,0,Colombia,#smallmua #makeupideas #makeuplooks #creativemakeup,0,0,0,0,0,0,0,0,0,0
0,US,7103390205083716866,1653886917, ,6806648197319820294,XO Team,"XO TEAM FAMILY 
INST: @the_xo_team 
✉️ xoteam@xoagency.co
OUR REALITY 👇🏼",0,False,https://www.tiktok.com/@xoteam/video/7103390205083716866?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103390205083716866&source=h5_m,697170,362,117,810,89629,7072479175814187782,7072479175814187782,72,7072479175814187782,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",6.831674564565763e+18,Iconicfatma,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072479167769873157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d203808dc93f54480af65167e04b08e8.json,False,False,Myriam Fares,Goumi - Sped Up Version,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
1,US,7079142820417703211,1648241380,Do I spy a robot?#HaloSilverTeam #OscarsAtHome #robotchallenge #contortionist,6737645167359050757,Emerald Gordon Wulf,"15 year old contortionist 🎪
AGT🌟 The Conjuring 3
🏆Guinness World Record 🏆",0,False,https://www.tiktok.com/@theemeraldgordonwulf/video/7079142820417703211?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079142820417703211&source=h5_m,83633392,48446,178135,290398,3201724,6622301854824925957,6622301854824925957,72,6622301854824925957,Robot Challenge (Contains music from: Beat Efeito Robo Robot dj - DJ Hey Bo & Pointhits),"Contains music from: ""Beat Efeito Robo Robot dj""",5.275946040164352e+16,KATJA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1616773030383621,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1b4c38a131a75e95d72f893f3ff64b9d.json,False,False,DJ Hey Bo & Pointhits,Beat Efeito Robo Robot dj,Robot Challenge (Contains music from: Beat Efeito Robo Robot dj - DJ Hey Bo & Pointhits),"Contains music from: ""Beat Efeito Robo Robot dj""",[],0,0,Colombia,#HaloSilverTeam #OscarsAtHome #robotchallenge #contortionist,0,0,0,0,0,0,0,0,0,0
2,CO,7081587348877724934,1648810542,Espero les guste y les sirva la verdad los tenia de mi hija quedan blanquitos 👌 feliz día para todos!! #limpieza #limpiezadecasa #limpiezadezapatos #limpiezadetenis #tipscaseros,6815757419853399046,Sammy Quiceno makeup,Hola soy locutora de Radio tengo una tienda de maquillaje y amo cocinar 🧑‍🍳,0,False,https://www.tiktok.com/@sammyquiceno/video/7081587348877724934?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081587348877724934&source=h5_m,15589813,3389,62850,277672,1361531,6729959230851254274,6729959230851254274,10033,6729959230851254274,Che La Luna,Louis Prima,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1de1f9fae2d74986b60bc778451b18c5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f2fd034403fe4bb09327e4657188b3fa,False,True,,,,,[],0,0,Colombia,#limpieza #limpiezadecasa #limpiezadezapatos #limpiezadetenis #tipscaseros,0,0,0,0,0,0,0,0,0,0
3,UA,7090584333047696646,1650905316,🥹🦋,6755680369733026821,🦊Лиса&Стас🐺,"Inst: 🦊alice.de.ze⬆️😏 
📨 Cooperation: lattetiktok@gmail.com",0,False,https://www.tiktok.com/@two.latte/video/7090584333047696646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090584333047696646&source=h5_m,41642128,37394,163970,327555,4291549,6831374666167356165,6831374666167356165,72,6831374666167356165,original sound - williamsheats,William Sheats,23725306.0,William Sheats,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/4cf4054a9d007f36d7ada599de53dc56.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/244a37b0ae2d9e0e949e67d0cb14d202.json,False,False,,,,,[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
