,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_trending,hash_viral,hash_xyzbca
2,US,7103204104662519082,1653843584,Goodmorning #n64 #asmr #asmrvideo #satisfying,7018192562080105478,LadiezMan,"YouTube YouTube ⬆️
P.O. Box 7432
Moreno Valley CA 92552
Ladiezman2one7@gmail.com",0,False,https://www.tiktok.com/@ladiiezman/video/7103204104662519082?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103204104662519082&source=h5_m,1065228,120,51,12,51474,6878744350931634950,6878744350931634950,10036,6878744350931634950,Mayonaka no Door / Stay With Me,Miki Matsubara,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0f70bd30651741dab1c62f3df0d73913,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/56d3ce56ab1d404f9e3356c4b82baee0,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#n64 #asmr #asmrvideo #satisfying,1,0,0,0,0,0,1,0,0,0
3,AU,7103141046577646850,1653828903,Reply to @hypie.fp lol why?! 😂😂😂 It’s so frustrating to open theseeee!!! #unboxing #bruh,6745220068491674630,Hannah Pengilly,"✝️🎨
Born Bred Talent
Personal: @hannahpengilly
📍Canberra, AU 🇦🇺",0,False,https://www.tiktok.com/@pengoart/video/7103141046577646850?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103141046577646850&source=h5_m,1806570,2508,187,527,85613,7103141042987322114,7103141042987322114,72,7103141042987322114,original sound - pengoart,Hannah Pengilly,6.745220068491675e+18,Hannah Pengilly,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103141030253447937.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#unboxing #bruh,0,0,0,0,0,0,0,0,0,0
4,DE,7074916305400384773,1647257319,Behind the scenes @movlogs #yzfamily,6717651461067604997,YZ,"Spreading good vibes, love and happiness since 1998 ✨💝
📧younes@totallymgmt.com",0,False,https://www.tiktok.com/@youneszarou/video/7074916305400384773?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074916305400384773&source=h5_m,41985547,4968,1914,6195,1125996,7074916238476675845,7074916238476675845,72,7074916238476675845,original sound - youneszarou,YZ,6.717651461067605e+18,YZ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074916274823826182.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/26c6ffc9bea36666f56e07a3201afd75.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#yzfamily,0,0,0,0,0,0,0,0,0,0
5,AU,7101604186600557826,1653471075,#fyp#polytok#samoa#samoan#polynesian#skit#comedy,6680309980023948294,Safar Bros,📧 safarbrothers@gmail.com,0,False,https://www.tiktok.com/@safarbrosofficial/video/7101604186600557826?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101604186600557826&source=h5_m,2085756,716,1142,2525,205170,7101604172075649793,7101604172075649793,72,7101604172075649793,original sound - safarbrosofficial,Safar Bros,6.680309980023948e+18,Safar Bros,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101604173594053378.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp#polytok#samoa#samoan#polynesian#skit#comedy,0,0,0,0,1,0,0,0,0,0
6,US,7097702831083392302,1652562719,That’s just my baby doggy🥰 #fyp #dog #cute,6567509719773396998,Coco & Cici,"Follow us on Instagram!🤍
COCO PLUSHIE LINK🧸🤎",0,False,https://www.tiktok.com/@cocothemaltesedog/video/7097702831083392302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097702831083392302&source=h5_m,1479600,1061,5328,3215,134762,6911742826904553474,6911742826904553474,10033,6911742826904553474,That’s Just My Baby Doge,Chicky Milky,,,False,False,,https://sf16-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/17a22afb170d4d7a8547a086ef7e9311?x-expires=1653914186&x-signature=o9gFQo8o7sT7GxmeIPLqCtCkMvg%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1546695476', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",#fyp #dog #cute,0,0,0,0,1,0,0,0,0,0
7,AE,7102437441914653954,1653665083,Easy way to draw side face #fyp #foryou,6719883467868718085,Uzma,Contact: 💌 TeamUzma@fanfluencer.com,0,False,https://www.tiktok.com/@uzmarahil724/video/7102437441914653954?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102437441914653954&source=h5_m,4367931,455,1820,25575,228706,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - stirflex (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",6.92775759039221e+18,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,Leiner,Fury,original sound - stirflex (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp #foryou,0,1,0,0,1,0,0,0,0,0
0,US,7081344390496554286,1648753973, ,6725503402786259974,Jack Harlow,"Come Home The Kids Miss You - May 6th

LOUISVILLE, KY ⛲️",0,False,https://www.tiktok.com/@missionaryjack/video/7081344390496554286?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081344390496554286&source=h5_m,67259679,41268,189152,92236,5727425,7081344356355001131,7081344356355001131,10036,7081344356355001131,First Class,Jack Harlow,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b0ef0fd6ebb14db5b4bf031c3e284c41,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e4b682e6a6cf4c58ad80e9a8330f53ef,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1618136917', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
1,ZA,7100985176410311941,1653326951,Background video kills me but i miss him #fyp #j #fypp,6830106577971119110,Ur mom,"15 - 🇿🇦
discord; ‘kitty! #8378
rblx; cyb3rluvvss
im famous now 🤷🏻‍♀️",0,False,https://www.tiktok.com/@.rec0rding/video/7100985176410311941?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100985176410311941&source=h5_m,1083442,3017,1724,3974,221518,7073629178255526702,7073629178255526702,72,7073629178255526702,worldstar money,🕸🎧,7.070650706318951e+18,🕸🎧,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073629198472121134.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6e29b71c2900783d5cc6b24cec76e01d.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp #j #fypp,0,0,0,0,1,0,0,0,0,0
2,GB,7100583707102153989,1653233476,Reply to @hh_verslaafde_ Part 5? Make sure to follow for more football content. #maddison #chunkz #football #footballtiktok #promise #leicester #prem #premierleague #like#follow#comment#share#viral#trend#trending#makemeviral#blowthisup,7078782838129394694,football.god54,,0,False,https://www.tiktok.com/@football.god54/video/7100583707102153989?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100583707102153989&source=h5_m,1615117,337,79,919,114959,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,"Bonaire, Sint Eustatius and Saba",#maddison #chunkz #football #footballtiktok #promise #leicester #prem #premierleague #like#follow#comment#share#viral#trend#trending#makemeviral#blowthisup,0,0,0,0,0,0,0,1,1,0
3,US,7100384936225508650,1653187195,This was too cool not to try💯 dc: @jayjoseph.j2x #fyp,6739614095547581445,Tracy Joseph,"🇳🇬
TX 
 ✉️: mgmt@odysseyentgroup.com",0,False,https://www.tiktok.com/@tracy.oj/video/7100384936225508650?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100384936225508650&source=h5_m,287538,198,70,442,55122,7069378306608565019,7069378306608565019,24,7069378306608565019,original sound - jayjoseph.j2x (Contains music from: GOODMORNINGTOKYO! - Tokyo's Revenge),"Contains music from: ""GOODMORNINGTOKYO!""",6.545007682037596e+18,jayjoseph.j2x,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7069378298995837722.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/08bbbbf109287fd49894fc973e82c7c9.json,False,False,Tokyo's Revenge,GOODMORNINGTOKYO!,original sound - jayjoseph.j2x (Contains music from: GOODMORNINGTOKYO! - Tokyo's Revenge),"Contains music from: ""GOODMORNINGTOKYO!""",[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp,0,0,0,0,1,0,0,0,0,0
4,GB,7100134815717936389,1653128962,Colour matching a cucumber🥒🎨 #colour #colourmatch #cucumber #art #painting #oilpainting #fyp,6921634991533310982,Matt Herbert,"Young artist🎨🎨
Follow my instagram: mattherbart
Website: mattherbertart.com",0,False,https://www.tiktok.com/@mattherbart/video/7100134815717936389?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100134815717936389&source=h5_m,12232078,5432,5491,6179,1709609,6999399629070551041,6999399629070551041,10033,6999399629070551041,Shadow Of Heaven,Attitude,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3f0931155d0549c1966729ad840affbe,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9fd1e4a7703e44a2873233edf187679a,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#colour #colourmatch #cucumber #art #painting #oilpainting #fyp,0,0,0,0,1,0,0,0,0,0
5,US,7098782068150275374,1652813999,Season 2 quick change! #fyp #foryoupage #xyzbca #transitiontiktok #transition #sway #thatgirllaylay #gabynevaeh,6767858577681679365,Gabrielle Nevaeh,"Catch me on Nickelodeon & Netflix🤩
CLICK THE LINK TO STREAM “IM ON IT”🔥
⬇️",0,False,https://www.tiktok.com/@gabriellenevaeh/video/7098782068150275374?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098782068150275374&source=h5_m,298124,841,39,215,32067,7038982678271544069,7038982678271544069,10036,7038982678271544069,Sway (Sped Up Version),Michael Bublé,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8d38123e3caf473081c33fe9eb11d06b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f97f2b3227bb4a0eb8dd03c8e1e5c693,False,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp #foryoupage #xyzbca #transitiontiktok #transition #sway #thatgirllaylay #gabynevaeh,0,0,1,0,1,0,0,0,0,1
6,DE,7093106333016198406,1651492515,Danke für die 50k🫶🏻,6627827217471913990,†𝔏𝔲𝔦𝔰-𝔫𝔬𝔞𝔥†,Weiß nicht was ich hier hinschreiben soll 🤠,0,False,https://www.tiktok.com/@luis.waveeee/video/7093106333016198406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093106333016198406&source=h5_m,8453972,16315,2840,37,969634,7066015011319466758,7066015011319466758,72,7066015011319466758,original sound - songspzed (Contains music from: What You Know Bout Love - Pop Smoke),"Contains music from: ""What You Know Bout Love""",7.022729571162637e+18,:),False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7066015025181346565.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fd6f87a6a8b64e40d0cb8270bccc03ef.json,False,False,Pop Smoke,What You Know Bout Love,original sound - songspzed (Contains music from: What You Know Bout Love - Pop Smoke),"Contains music from: ""What You Know Bout Love""",[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
7,US,7103069481303362818,1653812241,🥺💔,6781769642391372806,Elsarca,"Inst: elsarca 
Member of @xoteam ❤️",0,False,https://www.tiktok.com/@elsarca/video/7103069481303362818?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103069481303362818&source=h5_m,119100,110,15,86,17808,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Leiner,Fury,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
0,GB,7091015650482605317,1651005740,Still have a long way to go but Alhamdulilah always 🙏🏼💛 #jawsurgery #surgery #recovery #fyp #foryou #tiktok,13204110,rukiih,"Yes, it’s Rukiih from @jamalihaa 💛
Insta: @rukiih_",0,False,https://www.tiktok.com/@rukiih._/video/7091015650482605317?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091015650482605317&source=h5_m,4312000,2475,916,305,233185,6762092669565963014,6762092669565963014,72,6762092669565963014,Celebrate the Good Times,Mason,6.618548489873228e+18,Mason,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1650920311654405.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c1b3bbd2a40bf63daa09efc2ee0e664e.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#jawsurgery #surgery #recovery #fyp #foryou #tiktok,0,1,0,0,1,0,0,0,0,0
1,CA,7101369163322559750,1653416355,My first time drinking black balls #fidhiqo #blackchina119 #teamblackchina,6639586645237350406,Bishaar Bk,"One love to my fans.  Insatgram bishar_bk
6,2 feet tall🇸🇴",0,False,https://www.tiktok.com/@blackchina119/video/7101369163322559750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101369163322559750&source=h5_m,2689374,15180,19590,26684,484752,7101369153365281541,7101369153365281541,72,7101369153365281541,original sound - blackchina119,Bishaar Bk,6.63958664523735e+18,Bishaar Bk,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101369184420219654.mp3,,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#fidhiqo #blackchina119 #teamblackchina,0,0,0,0,0,0,0,0,0,0
2,US,7073187787423616302,1646854866,😈😈,676286,SwagBoyQ on IG,❗️❗️PART 2 ON IG: SwagBoyQ ❗️❗️,0,False,https://www.tiktok.com/@swagboyq/video/7073187787423616302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073187787423616302&source=h5_m,41655598,12379,12045,46580,4229854,7073187748965862186,7073187748965862186,72,7073187748965862186,original sound - swagboyq,SwagBoyQ on IG,676286.0,SwagBoyQ on IG,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073187780183984942.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/ee952ddc024374792d0537d0a3707f4d.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
3,US,7082907727516781866,1649117966,Things don’t always work out.,6794556243614778374,Erica Seng Drake,business: ericasengdrake@gmail.com,0,False,https://www.tiktok.com/@ricasaurus.rex/video/7082907727516781866?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082907727516781866&source=h5_m,113584126,55959,51485,57239,16851132,7030869625311086594,7030869625311086594,10033,7030869625311086594,Sunroof,Nicky Youre & dazy,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/986dfec9a96747239819231f7dc93931,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a118c1899d5b40d1a5c6c65c307b0e2d,True,True,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
