,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_ai,hash_foryou,hash_fyp,hash_fypシ,hash_imparacontiktok,hash_italy,hash_neiperte,hash_parati,hash_perte,hash_viral
2,IT,7083430800292678917,1649239755,🇮🇹 VS 🇺🇸,6707294502405784581,☀️ M a r t i n a ☀️,"✨💕💕✨ 
🇮🇹 in 🇺🇸
Instagram: @martinaragozza
YouTube: iPantellas",0,False,https://www.tiktok.com/@martinaragozza/video/7083430800292678917?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083430800292678917&source=h5_m,12060110,3724,5016,7448,857922,7083430731959094022,7083430731959094022,72,7083430731959094022,original sound - martinaragozza,☀️ M a r t i n a ☀️,6.707294502405785e+18,☀️ M a r t i n a ☀️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083430738690935558.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/563ec17cd99a57c23330b8d019705732.json,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
3,IT,7095779048273480965,1652114804,CHE FASTIDIOOOO 🙄       INSTA: danidanycabrass,6692774830314161158,Daniele Cabras,"IG: @danidanycabrass
📍Sardinia
Info e Collab: d.cabras@isoladegliartisti.it",0,False,https://www.tiktok.com/@danythegaggio/video/7095779048273480965?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095779048273480965&source=h5_m,3762067,3136,25052,14299,489246,7095779037900966662,7095779037900966662,72,7095779037900966662,original sound - danythegaggio,Daniele Cabras,6.692774830314161e+18,Daniele Cabras,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095779040298339078.mp3,,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
4,IT,7098302030724222214,1652702233,#ai#monti#lattari#😋😋😋😋😋neiperteeeeeeee #viraletiktokkkkk,6990634271836767238,Donato,"via pignasecca 10 
3896279596",0,False,https://www.tiktok.com/@donatodecaprio3/video/7098302030724222214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098302030724222214&source=h5_m,5055356,3282,2434,547,173875,7098302020406889222,7098302020406889222,72,7098302020406889222,original sound - donatodecaprio3,Donato,6.990634271836767e+18,Donato,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098301995819305733.mp3,,False,False,[],0,0,,,,,Italy,#ai#monti#lattari#😋😋😋😋😋neiperteeeeeeee #viraletiktokkkkk,1,0,0,0,0,0,0,0,0,0
5,IT,7085797472232066309,1649790787,È da lì fu amore a prima vista  @samuelllfortuna #fyp #neiperte #perte,6768523517979231238,Gaiaandronico,"📍MILAN
🙅🏻‍♀️20 y.o.
📸 @gaiaandronico
Profilo principale 150k disabilitato",0,False,https://www.tiktok.com/@mignon.gaiaandronico/video/7085797472232066309?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085797472232066309&source=h5_m,2244645,458,3984,1354,85061,7050975577356143406,7050975577356143406,72,7050975577356143406,original sound - lilzboy7,Tik Toker,7.002469011608028e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7050975603960990510.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/138d816a9eda6cbde66035f3d328379b.json,False,False,[],0,0,,,,,Italy,#fyp #neiperte #perte,0,0,1,0,0,0,1,0,1,0
6,GB,7080157443124137222,1648477616,Ronny with the moves 🕺🏾 #fyp #fypシ #viral #blowthisup #football #edit #velocity #ronaldo #cristianoronaldo #cr7 #goat #xyzbca #aftereffects #foryou,7002702844688237574,ftbl.nss,"21
After Effects 
GGMU 🔴⚪️⚫️
Don’t spam like please",0,False,https://www.tiktok.com/@ftbl.nss/video/7080157443124137222?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080157443124137222&source=h5_m,5183702,3295,9543,30728,459854,7078035017804434222,7078035017804434222,72,7078035017804434222,original sound - ianasher,Ian Asher,6.738968252019541e+18,Ian Asher,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078035046740921131.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/556e13713a9799c4dbb0c495d3f38f52.json,False,False,[],0,0,,,,,Italy,#fyp #fypシ #viral #blowthisup #football #edit #velocity #ronaldo #cristianoronaldo #cr7 #goat #xyzbca #aftereffects #foryou,0,1,1,1,0,0,0,0,0,1
7,US,7083609226836200706,1649281298,?,6692533216942179334,Kissme,"Di 🦋
20 ❤️
Follow my Instagram: sheloveeeeeee 🚁👇",0,False,https://www.tiktok.com/@shelovee/video/7083609226836200706?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083609226836200706&source=h5_m,13132799,2274,4384,3897,771030,6726375562752903942,6726375562752903942,72,6726375562752903942,original sound - boroda59 (Contains music from: Ozmodiar - Miracle),"Contains music from: ""Ozmodiar""",6.682785956758685e+18,Кирилл,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1642181963988022.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/59ad7caae3718fcd8a11731c5634baa5.json,False,False,[],0,0,Miracle,Ozmodiar,original sound - boroda59 (Contains music from: Ozmodiar - Miracle),"Contains music from: ""Ozmodiar""",Italy,,0,0,0,0,0,0,0,0,0,0
0,IT,7093193912088546566,1651512905, ,6760612393031795717,Nonna Luigina,"✉️davidemoia.dm@gmail.com

“Bevi il caffè che diventa freddo”",0,False,https://www.tiktok.com/@nonnaluigina/video/7093193912088546566?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093193912088546566&source=h5_m,4645751,2839,7135,6053,617686,7093193890190117637,7093193890190117637,72,7093193890190117637,original sound - nonnaluigina,Nonna Luigina,6.760612393031796e+18,Nonna Luigina,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093193895726598918.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b8828b33ab81cfdac9eb0231a690764f.json,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
1,IT,7103255793708862725,1653855620, ,6839302573611959302,Mary,"Ama sempre ciò che fai...!!!
               ❤️❤️❤️",0,False,https://www.tiktok.com/@mariaassunta97/video/7103255793708862725?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103255793708862725&source=h5_m,619027,154,1861,1007,9666,6882643761122298625,6882643761122298625,72,6882643761122298625,original sound - bugs_therabbit,Bugs Bunny,6.757073238209938e+18,Bugs Bunny,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6882643679874501378.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/37b446ae4ea9e74f709bdeee916c0724.json,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
2,CO,7078741783143861509,1648148006, ,7054602942694982661,Camila Villamizar883,,0,False,https://www.tiktok.com/@camilavillamizar1500/video/7078741783143861509?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078741783143861509&source=h5_m,2709283,4039,20919,11291,103144,6709413378747533314,6709413378747533314,10033,6709413378747533314,Mission Impossible (Main Theme),Favorite Movie Songs,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/139a502b6e6f498dbfcb55f5deefd358,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/76f7dea5be974e2190ec112dafabf21a,False,True,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
3,IT,7102526183048318214,1653685745,@charli d’amelio perdonami 🤣🤣#perte #arte #viral,6958343667091424262,giuseppesantarsia,Per info e commissioni su ig: Gsantarsiart o fb: Giuseppe Santarsia,0,False,https://www.tiktok.com/@gsantarsiart/video/7102526183048318214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102526183048318214&source=h5_m,683665,1937,445,268,40335,7027438135478962949,7027438135478962949,72,7027438135478962949,original sound - housedelban2.0,House del Ban,7.018953496025056e+18,House del Ban,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7027438309194337030.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cb738612a20fef6e5632843882c4e9b6.json,False,False,[],0,0,,,,,Italy,#perte #arte #viral,0,0,0,0,0,0,0,0,1,1
4,IT,7098407959826320645,1652726896,Like e follow per la prossima parte!❤️ #iene,6946166356770587654,Ciro Esposito,Napoletan monkey⚪️🔵,0,False,https://www.tiktok.com/@ciruzzoinfermabbile/video/7098407959826320645?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098407959826320645&source=h5_m,4365783,2040,5001,2669,234287,7098408005746248454,7098408005746248454,72,7098408005746248454,original sound - ciruzzoinfermabbile,Ciro Esposito,6.946166356770588e+18,Ciro Esposito,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098408012108303109.mp3,,False,False,[],0,0,,,,,Italy,#iene,0,0,0,0,0,0,0,0,0,0
5,IT,7102880924538244357,1653768339,KIT KATS 😂😂 #fyp #italy #americans #americansinitaly #italian,7087899551911052293,meganandsigi,"american girl meets Italian while studying abroad
🇺🇸🧍🏻‍♀️+ 🇮🇹🧍🏽‍♂️🤍",0,False,https://www.tiktok.com/@meganitalyy/video/7102880924538244357?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102880924538244357&source=h5_m,1821791,971,3856,2221,271027,7102880913726032645,7102880913726032645,72,7102880913726032645,original sound - meganitalyy,meganandsigi,7.087899551911052e+18,meganandsigi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102880926246112006.mp3,,False,False,[],0,0,,,,,Italy,#fyp #italy #americans #americansinitaly #italian,0,0,1,0,0,1,0,0,0,0
6,IT,7092003090265607429,1651235647, ,6927228189183001605,verde,"smettetela di chiedermi
se mi chiamo veramente verde

ig ve.bassetti",0,False,https://www.tiktok.com/@ve.bassettiii/video/7092003090265607429?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092003090265607429&source=h5_m,1748350,4176,3020,2532,292229,7090862282351151877,7090862282351151877,72,7090862282351151877,original sound - giulixwheeler,cartman 😫✋,6.943634144246679e+18,cartman 😫✋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090862241368640261.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/744bc45f09b44c4e6252735b66e14be6.json,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
7,CO,7071697133266570501,1646507796,Holà 🙃,14616188,moanamunoz,"French & Colombian


Welcome 🧚‍♀️🧿🌈💓🧸🦋
I love emojis",0,False,https://www.tiktok.com/@moanamunoz/video/7071697133266570501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071697133266570501&source=h5_m,10884404,3623,7862,2181,365003,7057739817069267759,7057739817069267759,72,7057739817069267759,toma tussi (Contains music from: Mi Gata - Standly & El Barto),"Contains music from: ""Mi Gata""",6.822375090220434e+18,key 💋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7057739848668678958.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0142754e7b4a77df46fa045fc39c0298.json,False,False,[],0,0,Standly & El Barto,Mi Gata,toma tussi (Contains music from: Mi Gata - Standly & El Barto),"Contains music from: ""Mi Gata""",Italy,,0,0,0,0,0,0,0,0,0,0
0,US,7102515776422284587,1653683321,Lil man put on a SHOW 🤣😂 (via @Crystallou),6670556298780835845,House of Highlights,"Follow for the BEST content on TikTok 🤝
Say hi, we reply to comments 👀",2,False,https://www.tiktok.com/@houseofhighlights/video/7102515776422284587?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102515776422284587&source=h5_m,3508177,2710,17777,172,559339,7100196130360691461,7100196130360691461,72,7100196130360691461,Sleepy GOAT (Contains music from: Michael - Sheff G),"Contains music from: ""Michael""",7.035653956512531e+18,bradshafi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100196131535129350.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f554232b4a783fce180de159bb08016.json,False,False,[],0,0,Sheff G,Michael,Sleepy GOAT (Contains music from: Michael - Sheff G),"Contains music from: ""Michael""",Italy,,0,0,0,0,0,0,0,0,0,0
1,FR,7100167862362410246,1653136656,#wesoffclan💙👑 #experiment,6765510013131015173,𝙒𝙚𝙨.0𝙛𝙛 Experiment,"✅or🧢  🇨🇵 &
Experiment all kinds
partnership link
 ⬇️⬇️⬇️",0,False,https://www.tiktok.com/@wes.0ff/video/7100167862362410246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100167862362410246&source=h5_m,8112599,1085,881,1,585995,7100167862534277894,7100167862534277894,72,7100167862534277894,original sound - wes.0ff,𝙒𝙚𝙨.0𝙛𝙛 Experiment,6.765510013131015e+18,𝙒𝙚𝙨.0𝙛𝙛 Experiment,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100167862799534853.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3cf9df0f56213c2f2409034612dcdfa6.json,False,False,[],0,0,,,,,Italy,#wesoffclan💙👑 #experiment,0,0,0,0,0,0,0,0,0,0
2,GB,7103664152547200262,1653950700,*slow claps*,6665745781687926789,TheStruts,Official TikTok account for British rock and roll band The Struts,0,False,https://www.tiktok.com/@thestruts/video/7103664152547200262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103664152547200262&source=h5_m,35897,10,1,0,825,6817757662952818689,6817757662952818689,10033,6817757662952818689,Summer Background Jazz,Jazz Background Vibes,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8778f5f2662c4af0b5c7617741f129c9,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/54083a0706a74d17b4abb8297f63f0bb,False,True,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
3,US,7102437326864780590,1653665055,Pre and post breast reduction! I love how my clothes fit now! #nonbinary #reductionsurgery #fitcheck,6550809528815140870,Koty,"24
They/them
Venmo @kotykaye 
cashapp $kotykaye",0,False,https://www.tiktok.com/@kotykaye/video/7102437326864780590?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102437326864780590&source=h5_m,11366016,44250,36995,3161,2662562,6976796004557359878,6976796004557359878,72,6976796004557359878,original sound - kaylasxxv (Contains music from: drivers license - Olivia Rodrigo),"Contains music from: ""drivers license""",6.758210379761616e+18,kaylaxxx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6976796118889859845.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d85205cc25e7b87c2652fad8df4b120e.json,False,False,[],0,0,Olivia Rodrigo,drivers license,original sound - kaylasxxv (Contains music from: drivers license - Olivia Rodrigo),"Contains music from: ""drivers license""",Italy,#nonbinary #reductionsurgery #fitcheck,0,0,0,0,0,0,0,0,0,0
4,US,7095850128853962027,1652131353,I was ready but I wasn’t lol. I kept the cast and put it aside for now.,6915219523973399558,HeidiB,(gofund.me/dab24875) (Venmo @Heidi-G04) (cashapp $Hypnotic68),0,False,https://www.tiktok.com/@hypnotic_rydes/video/7095850128853962027?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095850128853962027&source=h5_m,17713443,5331,1868,471,1431955,7095850121371568942,7095850121371568942,72,7095850121371568942,original sound - hypnotic_rydes,HeidiB,6.9152195239734e+18,HeidiB,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095850148806363950.mp3,,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
0,SV,7099054624417516806,1652877460,#parati #foryou #fyp #viral #tiktok,6987808204802081797,Fashion Models,"Puedes contratarnos para tu publicidad al correo
naturalgeo23@gmail.com
🇸🇻",0,False,https://www.tiktok.com/@naturalgeo23/video/7099054624417516806?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099054624417516806&source=h5_m,4105526,4201,9955,5280,219371,7074231256631986950,7074231256631986950,72,7074231256631986950,original sound - federico_412 (Contains music from: La Cripta (Remix) - Cutty Ranks & El Chombo),"Contains music from: ""La Cripta (Remix)""",6.914292857407636e+18,Hola 👀💖,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074231265691552517.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c27d539b828a80f74008c315a214c09b.json,False,False,[],0,0,Cutty Ranks & El Chombo,La Cripta (Remix),original sound - federico_412 (Contains music from: La Cripta (Remix) - Cutty Ranks & El Chombo),"Contains music from: ""La Cripta (Remix)""",Italy,#parati #foryou #fyp #viral #tiktok,0,1,1,0,0,0,0,1,0,1
1,IT,7097259550256008454,1652459512, ,6899814342364267522,Giulia🍀,NON andare su Instagram,0,False,https://www.tiktok.com/@giuliaottorini/video/7097259550256008454?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097259550256008454&source=h5_m,4418163,1234,1843,2538,506658,7087744357444471557,7087744357444471557,10036,7087744357444471557,Gogo Dance,El Alfa & Chael Produciendo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6877039427674a0699970fc9520959ab,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81ec85a194e74eb28259e0335a98b13f,False,True,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
