,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_goviral,hash_tiktok,hash_trending,hash_viral
2,US,7075787881473903918,1647460247,Now I better see all my Africans rep they flag 🤪!!!!! #africantiktok #sierraleonetiktok🇸🇱 #westafricantiktok #fypシ゚viral,6791106862591820805,HeyIt’sKadie,"VA Raised Me ✈️ Philly ✈️ Back To Va 📍
🇸🇱
VCU📚",0,False,https://www.tiktok.com/@_heyitskadie/video/7075787881473903918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075787881473903918&source=h5_m,320852,5217,546,337,60311,6965887414011251462,6965887414011251462,72,6965887414011251462,Christina (Contains music from: Collabo - P-Square),"Contains music from: ""Collabo""",6.639749596866413e+18,Christina Blanche,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6990338261180844801.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6b0d1100f4610c3940b65cbc0fb42889.json,False,False,P-Square,Collabo,Christina (Contains music from: Collabo - P-Square),"Contains music from: ""Collabo""",[],0,0,Equatorial Guinea,#africantiktok #sierraleonetiktok🇸🇱 #westafricantiktok #fypシ゚viral,0,0,0,0,0,1,0,0,0,1
3,ES,7078001295780564229,1647975598,Pipí que os hace eso 🤣 #parati #music #pegar #,6985907630159447046,NENA DREAMS 🏳️‍🌈,Man no wan tock di tory we e no get fo tok pero una no de jelep 🤣🤣🤣🤣,0,False,https://www.tiktok.com/@nenadreams_4_ever/video/7078001295780564229?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078001295780564229&source=h5_m,127627,505,461,1539,11710,7078001285168974597,7078001285168974597,72,7078001285168974597,original sound - nenadreams_4_ever,NENA DREAMS 🏳️‍🌈,6.985907630159447e+18,NENA DREAMS 🏳️‍🌈,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078001289464531717.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,#parati #music #pegar #,0,0,0,0,0,0,0,0,0,0
4,US,7086890935157656875,1650045379,Found this on my memories haha #gaylove #fyp,6908952313705874437,Henry Jiménez,"Mexican Dreamer
Los Angeles",0,False,https://www.tiktok.com/@henryjimenezkerbox/video/7086890935157656875?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086890935157656875&source=h5_m,20673396,2579,6334,13912,1216834,7086890906661473066,7086890906661473066,72,7086890906661473066,original sound - henryjimenezkerbox,Henry Jiménez,6.908952313705874e+18,Henry Jiménez,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086890929894279979.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/eb15b699169c1034f42c988d0f57468b.json,False,False,,,,,[],0,0,Equatorial Guinea,#gaylove #fyp,0,0,0,0,1,0,0,0,0,0
5,NG,7096353323728522501,1652248518,#DearGod #Jesuschrist #Christian #Saved #Prayer #Amen,6806384014015890437,Kosisochukwu Jerome,"Please Follow for Daily prayers and God's word.
🙏🏼 Subscribe To Our YouTube ↕️",0,False,https://www.tiktok.com/@kosi.jerome/video/7096353323728522501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096353323728522501&source=h5_m,4871272,202254,58965,66179,655764,7010167353774574342,7010167353774574342,72,7010167353774574342,original sound - zicolala10,zico,6.835111907788834e+18,zico,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7010167477103545093.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ee4229960dd98645c83f1c1d2f4a0ddd.json,False,False,,,,,[],0,0,Equatorial Guinea,#DearGod #Jesuschrist #Christian #Saved #Prayer #Amen,0,0,0,0,0,0,0,0,0,0
6,DE,7086859695968898310,1650038107,##anotherone #gloryworldtv #foryoupage #viral,6711068934311199749,gloryworldtv,No bio yet,0,False,https://www.tiktok.com/@gloryworldtv/video/7086859695968898310?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086859695968898310&source=h5_m,7596611,391,1385,3101,47919,7086859685840161542,7086859685840161542,72,7086859685840161542,original sound - gloryworldtv,gloryworldtv,6.7110689343112e+18,gloryworldtv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086859685684415238.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,##anotherone #gloryworldtv #foryoupage #viral,0,1,0,0,0,0,0,0,0,1
7,ES,7071215500403019014,1646395659,Amo esta versión 😂💕ig: afedezgarcia_ #fyp,6804422359543432198,Tania Fernández,📨COLLAB : contrataciones@hellosaturday.club,0,False,https://www.tiktok.com/@afedezgarcia/video/7071215500403019014?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071215500403019014&source=h5_m,70763,40,97,437,7876,7066432686939884334,7066432686939884334,72,7066432686939884334,Bong Bing (Dance Routine) (Contains music from: Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi - Megaheart),"Contains music from: ""Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi""",6.788613585909695e+18,Lord Hec,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7066432672196922158.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2fdd33d45ef85efe84a1809ad784514f.json,False,False,Megaheart,Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi,Bong Bing (Dance Routine) (Contains music from: Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi - Megaheart),"Contains music from: ""Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi""",[],0,0,Equatorial Guinea,#fyp,0,0,0,0,1,0,0,0,0,0
0,GQ,7073055746665073925,1646824131,"3 pelucas talla 10 disponibles ya para entregar, alguien necesita? #melenasteraza🎆",6886980616782545922,best wigs.,we have the best vietnam / germany / poska human hair.  we await your requests.,0,False,https://m.tiktok.com/v/7073055746665073925.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073055746665073925&source=h5_m,79697,47,53,20,2237,7071304696543185670,7071304696543185670,72,7071304696543185670,original sound - nenadreams_4_ever,NENA DREAMS 🏳️‍🌈,6.985907630159447e+18,NENA DREAMS 🏳️‍🌈,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7071304705586039557.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,#melenasteraza🎆,0,0,0,0,0,0,0,0,0,0
1,GQ,7076359991170518278,1647593454,😂💔,6788371778920514566,Fadila04,,0,False,https://m.tiktok.com/v/7076359991170518278.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076359991170518278&source=h5_m,105772,133,113,308,3862,7062437470549674758,7062437470549674758,72,7062437470549674758,original sound - renoiselah00,Lah Rënoise❤️❤️‍🔥,6.989665920265668e+18,Lah Rënoise❤️❤️‍🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7062437503118215941.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c0d4450e9017215f36aa1f4c2660a096.json,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
2,US,7078727038689070382,1648144574,Make me laugh for $200😂🔥he scared me #djmer,6672558378680042501,Dj Merr,"Blessed by 2.6 million💕🙏🏽
Support me on IG
BLM",0,False,https://m.tiktok.com/v/7078727038689070382.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078727038689070382&source=h5_m,4873656,2974,1175,4849,209596,7078727006900226858,7078727006900226858,72,7078727006900226858,original sound - dj.merr,Dj Merr,6.672558378680042e+18,Dj Merr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078727036138801966.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/20d968af96ba6584318edafbe164e4be.json,False,False,,,,,[],0,0,Equatorial Guinea,#djmer,0,0,0,0,0,0,0,0,0,0
3,US,7099987644356021550,1653094694,#fyp #vitiligo,6874296643975742470,TrayceeTeaa,"Black w/ vitiligo 🙄
ATL 📍
I’m also a little funny.",0,False,https://m.tiktok.com/v/7099987644356021550.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099987644356021550&source=h5_m,2283969,2633,868,2645,247577,7076144574023928618,7076144574023928618,72,7076144574023928618,pretty girl,ilya/sheila,6.997445339024573e+18,ilya/sheila,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076144592009169707.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6ce06903a959458d15e717e25006c38f.json,False,False,,,,,[],0,0,Equatorial Guinea,#fyp #vitiligo,0,0,0,0,1,0,0,0,0,0
4,DE,7099463631456275718,1652972689,Song: Ramenez la coupe à la maison  Vegedream #fy #fyp #foryou #godtwins #stuttgart #dance #kylianmbappé #vegadream #behindthescenes,6536456115171890191,godtwins_,Creator of Street Dance Session 🕺🏾🕺🏾,0,False,https://m.tiktok.com/v/7099463631456275718.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099463631456275718&source=h5_m,9614445,416,573,502,384966,7099463599375371014,7099463599375371014,72,7099463599375371014,original sound - godtwins_ (Contains music from: Ramenez la coupe à la maison - Vegedream),"Contains music from: ""Ramenez la coupe à la maison""",6.53645611517189e+18,godtwins_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099463630080477958.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/81d2a633e21325f8174ac54756aa16b3.json,False,False,Vegedream,Ramenez la coupe à la maison,original sound - godtwins_ (Contains music from: Ramenez la coupe à la maison - Vegedream),"Contains music from: ""Ramenez la coupe à la maison""",[],0,0,Equatorial Guinea,#fy #fyp #foryou #godtwins #stuttgart #dance #kylianmbappé #vegadream #behindthescenes,1,0,0,1,1,0,0,0,0,0
5,ZM,7083735608643882246,1649310724,fuel 😂#hustlerzambia #restricted #mylifemyrules  how am responding to foolish questions,6970657521884152837,hustler Zambia,Namez greatness-Hus Tler..laughter the best medicine 💉.come sad leave smiling😂,0,False,https://m.tiktok.com/v/7083735608643882246.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083735608643882246&source=h5_m,710706,206,4392,23775,25880,7083735532022270725,7083735532022270725,72,7083735532022270725,original sound - hustler_zambia,hustler Zambia,6.970657521884153e+18,hustler Zambia,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083735546173917957.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/52155c46ee835d3f580713ffa9ecbae0.json,False,False,,,,,[],0,0,Equatorial Guinea,#hustlerzambia #restricted #mylifemyrules,0,0,0,0,0,0,0,0,0,0
6,MW,7099752009661811974,1653039835,tag your gist partner 😂😂✌🏽#tiktokafrica #viral #makemetiktokfamous #fyppppppppppppppppppppppp #tiktokafrica🇨🇮🇬🇭🇳🇬🇹🇬🇧🇫 #tiktoknigeria🇳🇬 #tiktokghana🇬🇭 #Anonymous16❤️ #tiktoknollywood #tiktokzambia🇿🇲 #tiktoksouthafrica🇿🇦,7096086513021535237,Anonymous 16❤️,"if not memes then what??😂
Be happy always ❤️",0,False,https://m.tiktok.com/v/7099752009661811974.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099752009661811974&source=h5_m,287910,1567,2974,14156,35108,7099751987415091973,7099751987415091973,72,7099751987415091973,original sound - memewithme247,Anonymous 16❤️,7.096086513021535e+18,Anonymous 16❤️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099751957862042374.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,#tiktokafrica #viral #makemetiktokfamous #fyppppppppppppppppppppppp #tiktokafrica🇨🇮🇬🇭🇳🇬🇹🇬🇧🇫 #tiktoknigeria🇳🇬 #tiktokghana🇬🇭 #Anonymous16❤️ #tiktoknollywood #tiktokzambia🇿🇲 #tiktoksouthafrica🇿🇦,0,0,0,0,0,0,0,0,0,1
7,GB,7099505181959654661,1652982363,#nickiminaj #foryou #barbz,6953230884780098566,Female Rap,"The #1 page for Female Rap Quotes
from public speaking
concerts and more!",0,False,https://m.tiktok.com/v/7099505181959654661.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099505181959654661&source=h5_m,4353206,239,177,4653,430480,7099505169552968453,7099505169552968453,72,7099505169552968453,original sound - femalerapquotes,Female Rap,6.953230884780099e+18,Female Rap,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099505188314123013.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dbc0e0c7febbefbf3149deaff4ccaf4c.json,False,False,,,,,[],0,0,Equatorial Guinea,#nickiminaj #foryou #barbz,1,0,0,0,0,0,0,0,0,0
0,GQ,7095293360793029893,1652001722, ,7092744186025591813,Mariano Joaquin Nquere Nsue,"ya estoy aquí amadísimos hermanos, feliz dia del trabajador y de la madre",0,False,https://m.tiktok.com/v/7095293360793029893.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095293360793029893&source=h5_m,89533,93,521,2530,1947,7095293312885656325,7095293312885656325,72,7095293312885656325,original sound - marianojoaquinnqu,Mariano Joaquin Nquere Nsue,7.092744186025592e+18,Mariano Joaquin Nquere Nsue,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095293334603844357.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
1,GQ,7085653287583681797,1649757218,Amusement TikTok🍏@coraliemendome @@nchamamusicanddancerevi2  @123456francis1,6823788682711335941,user4501115483451,,0,False,https://m.tiktok.com/v/7085653287583681797.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085653287583681797&source=h5_m,212448,269,585,441,9032,7074573845524384518,7074573845524384518,72,7074573845524384518,original sound - henry_eldiablo (Contains music from: PIED DU BB - TCHAKALA VIP),"Contains music from: ""PIED DU BB""",2.2351076376696422e+17,Henry_eldiablo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074573862738529029.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/42b0b5714dc66037e1e0336d44f8b500.json,False,False,TCHAKALA VIP,PIED DU BB,original sound - henry_eldiablo (Contains music from: PIED DU BB - TCHAKALA VIP),"Contains music from: ""PIED DU BB""",[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
2,US,7088446422085012782,1650407544,She Ready,6624299202426191878,TIFFANY HADDISH,,0,False,https://m.tiktok.com/v/7088446422085012782.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088446422085012782&source=h5_m,4548914,7320,2107,3628,726798,7088446401427835691,7088446401427835691,72,7088446401427835691,original sound - tiffanyhaddish (Contains music from: Dans le vide - funzfbk),"Contains music from: ""Dans le vide""",6.624299202426192e+18,TIFFANY HADDISH,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7088446422026292014.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3e8fb3ce7cc676bd7e5368326dd1fe02.json,False,False,funzfbk,Dans le vide,original sound - tiffanyhaddish (Contains music from: Dans le vide - funzfbk),"Contains music from: ""Dans le vide""",[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
3,KE,7083451348431244550,1649244539,is it a boy or a girl? #fyp #foryoupage #goviral #viral #kenyantiktok #couplegoals❤️,6675891254943319045,Frank_Murugi,Thanks for the 1.3M followers 🙏❤️,0,False,https://m.tiktok.com/v/7083451348431244550.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083451348431244550&source=h5_m,8034692,9049,4250,10885,260882,227302284517642240,227302284517642240,71,227302284517642240,Just the Two of Us,"Grover Washington, Jr.",,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8a81cf6b92854bb2b3e04d1160fd319d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b1f5e7dafcf5421caec0224f99a7e11b,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '321975002', 'external_song_key': 'apple_song_id'}]",0,0,Equatorial Guinea,#fyp #foryoupage #goviral #viral #kenyantiktok #couplegoals❤️,0,1,0,0,1,0,1,0,0,1
4,NG,7101859122135485702,1653530434,After S1 of @MacmillanTokShow I’m going back to School in 🇨🇦 #macmillan #Dgoat🐐,6810554236050605061,MacMillan D GOAT 🐐,"THE GOAT 🐐
@MacMillanTokShow Coming Soon..📌
Mom Lawyer👩🏻‍⚖🇳🇬🇮🇹",0,False,https://m.tiktok.com/v/7101859122135485702.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101859122135485702&source=h5_m,262677,305,36,321,21760,7069150454055848710,7069150454055848710,72,7069150454055848710,original sound - speeeduup,speed songs,7.018616998666814e+18,speed songs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069150445524028165.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7631024733287d76eaa5bcb79aac7f10.json,False,False,,,,,[],0,0,Equatorial Guinea,#macmillan #Dgoat🐐,0,0,0,0,0,0,0,0,0,0
