,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_explore,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_viral,hash_اكسبلور
2,CO,7102689728125799685,1653723826, ,7099778248549237766,💕 You Like My B1O 💟,👇 You Like It 💜,0,False,https://www.tiktok.com/@bsytss/video/7102689728125799685?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102689728125799685&source=h5_m,4189986,404,5733,12271,46931,7094179885190908678,7094179885190908678,72,7094179885190908678,original sound - vvcstk,Tik Toker,7.094174843196868e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094179932762295046.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8cab0bac42836768496beb1b0dc43785.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
3,FR,7098052085052198150,1652644037,#esthetician #blackdots #epilation #ingrownhairremoval #ingrownhair #skincare,6857521913343181829,Polly Pocket,"😶‍🌫️ SkinCare 
📬 blackdotstiktok@gmail.com",0,False,https://www.tiktok.com/@polly_pocket_official/video/7098052085052198150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098052085052198150&source=h5_m,13664916,294,283,1851,120749,6769019970169866241,6769019970169866241,10036,6769019970169866241,MY NEW SONG (LET IT PLAY),CaiNo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/04129605e87143638d3e0d7d2607d790,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ccff3dde41cb4feeb0d3d86914cf34ed,False,True,,,,,[],0,0,Iraq,#esthetician #blackdots #epilation #ingrownhairremoval #ingrownhair #skincare,0,0,0,0,0,0,0,0,0,0
4,BH,7102802112500763906,1653749989,اذا مو احلى خياله😩🤍#تيم_بنات_الكاي⚡️ #قيامة_ارطغرل #حليمه_ارطغرل #اسراء_بيلجيتش #انجين_التان #سرسر🥺💖,6939043151693136897,𝑨𝒍𝒂𝒏𝒐𝒖𝒅🫀🦋.,"“ما شاءالله”
𝑮𝒊𝒓𝒍 🇧🇭🤍
مُحبه للتاريخ🫀🕰
في ممثلات وفي""اسراء""💖•",0,False,https://www.tiktok.com/@qw.330/video/7102802112500763906?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102802112500763906&source=h5_m,2039562,1209,12705,41486,213593,7102802099435571970,7102802099435571970,72,7102802099435571970,original sound - qw.330,𝑨𝒍𝒂𝒏𝒐𝒖𝒅🫀🦋.,6.939043151693137e+18,𝑨𝒍𝒂𝒏𝒐𝒖𝒅🫀🦋.,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102802100639288066.mp3,,False,False,,,,,[],0,0,Iraq,#تيم_بنات_الكاي⚡️ #قيامة_ارطغرل #حليمه_ارطغرل #اسراء_بيلجيتش #انجين_التان #سرسر🥺💖,0,0,0,0,0,0,0,0,0,0
5,IQ,7097615097891261698,1652542293,#دلــەشــیـنـەکـەم💙✨,6872674939788755970,﮼دلەشینەکەم💙✨,"💙الحمداللە علی کل حال💙
.",0,False,https://www.tiktok.com/@kazhin.2/video/7097615097891261698?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097615097891261698&source=h5_m,483007,186,3836,9180,76350,6996941880386669313,6996941880386669313,72,6996941880386669313,original sound - 5eilm,آيـات قـرآنيـة,6.827199921231234e+18,آيـات قـرآنيـة,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6996941773083839233.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/38aa494686e8c9247ce4cdf07f3968b7.json,False,False,,,,,[],0,0,Iraq,#دلــەشــیـنـەکـەم💙✨,0,0,0,0,0,0,0,0,0,0
6,IQ,7103169751354051842,1653835587, ,6867198333163013125,Kurd media magazine,Kurd media magazine,0,False,https://www.tiktok.com/@kurdmediamagazine/video/7103169751354051842?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103169751354051842&source=h5_m,719643,1940,2028,3487,20259,7103169741610650370,7103169741610650370,72,7103169741610650370,original sound - kurdmediamagazine (Contains music from: I Miss You - Hojat Ashrafzade),"Contains music from: ""I Miss You""",6.867198333163013e+18,Kurd media magazine,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103169717699857154.mp3,,False,False,Hojat Ashrafzade,I Miss You,original sound - kurdmediamagazine (Contains music from: I Miss You - Hojat Ashrafzade),"Contains music from: ""I Miss You""",[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
7,TH,7096699449510055195,1652329101,#kimheeae #kdram #aworldofmarriedcouple #hansoohee,6940201730206614530,Korea,,0,False,https://www.tiktok.com/@korea_thai1/video/7096699449510055195?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096699449510055195&source=h5_m,20716881,4066,3845,14818,1442804,7054337172945767214,7054337172945767214,72,7054337172945767214,mount everest sped up (Contains music from: Mount Everest - Labrinth),"Contains music from: ""Mount Everest""",6.733368876640683e+18,xxtristanxo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7054337204486949679.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/82daea190b041af000eaa3ebf3ba3d0d.json,False,False,Labrinth,Mount Everest,mount everest sped up (Contains music from: Mount Everest - Labrinth),"Contains music from: ""Mount Everest""",[],0,0,Iraq,#kimheeae #kdram #aworldofmarriedcouple #hansoohee,0,0,0,0,0,0,0,0,0,0
0,IQ,7103508140871798017,1653914375,##ملتي_مِڼـّي_حياتي🌚💞🦚,7000706594217706502,🦋❤️,🌚🦋,0,False,https://www.tiktok.com/@j4wher__amer/video/7103508140871798017?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103508140871798017&source=h5_m,1140223,27,1332,2757,51312,7102311981142575874,7102311981142575874,72,7102311981142575874,original sound - m1a1lka5,⑅⃝ـمليكهᬼ⃢,7.089431185767613e+18,⑅⃝ـمليكهᬼ⃢,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102311980941183745.mp3,,False,False,,,,,[],0,0,Iraq,##ملتي_مِڼـّي_حياتي🌚💞🦚,0,0,0,0,0,0,0,0,0,0
1,TR,7100899259645480193,1653306946,انتو شفتو فرق الطول بيني وبين الشب 😂😂😂#yara_queen #yara #يارا_كوين @Kiko ghrib,6966253383406519298,its._yara,اميل اعلانات على جميع حساباتي yaraits86@gmail.com   (yara._its) my Instagram 🥰,0,False,https://www.tiktok.com/@its.__yara/video/7100899259645480193?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100899259645480193&source=h5_m,8095721,8046,10228,9817,354651,6833972887548971781,6833972887548971781,10036,6833972887548971781,Marry Me (feat. Toya Wright),Rasheeda,,,False,False,,https://sf16-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/d318fd9f56e84133a521c965d9628b59?x-expires=1653979546&x-signature=x38%2Btzrcb99SgJC2XfiGaVNww8A%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '536632335', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,#yara_queen #yara #يارا_كوين,0,0,0,0,0,0,0,0,0,0
2,GB,7102796731972128006,1653748737,#movie #meme #fypシ #Love #anime,7102349925942494213,moviefilm6789,,0,False,https://www.tiktok.com/@moviefilm6789/video/7102796731972128006?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102796731972128006&source=h5_m,1032787,118,67,259,16785,6876302000137439246,6876302000137439246,10036,6876302000137439246,Paris,斌杨Remix,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/afa6612d4efa4b029fb656f468dd6442,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/02d15d9704e34920abe2d4ec983893f9,False,True,,,,,[],0,0,Iraq,#movie #meme #fypシ #Love #anime,0,0,0,0,0,1,0,0,0,0
3,EC,7103285740703943941,1653862594, ,7064639428841014277,Zz Fake,zzfakes69@gmail.com,0,False,https://www.tiktok.com/@zzfake6.9/video/7103285740703943941?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103285740703943941&source=h5_m,2933138,392,824,1577,112249,6694697147134118661,6694697147134118661,25,6694697147134118661,My Type,Saweetie,,,True,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6fb5a8bbba6248e2a395bf68dd68d080,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d4bdca1f69cc4254873c2761498f62f3,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1457133274', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
4,LB,7095090394395938049,1651954465,هالمرة ٣ متار ارتفعت عن الارض 😉 مين بيقدر يجيبا ؟؟ اللي بيعرف يكتب اسمه 🖤,6659163205053792261,Tamer Akil-تامر عقيل,"تابعوني إنستغرام tamer.akil.1 عم وزع هدايا 🤪
وما تنسوا تشتركوا بقناتي اليوتيوب",0,False,https://www.tiktok.com/@tamer.akil.1/video/7095090394395938049?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095090394395938049&source=h5_m,38726092,27157,60304,68837,1289284,7095090382845135618,7095090382845135618,72,7095090382845135618,original sound - tamer.akil.1,Tamer Akil-تامر عقيل,6.659163205053792e+18,Tamer Akil-تامر عقيل,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095090382555319042.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/892afa07d59102c3d325e52abd36102f.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
5,IQ,7093077889851116801,1651485892,ئا یەکێ لە کۆمێنت تێم گەیەنێ#foryou #Acc #maleko_ryko #edit #tiktok #alightmotion #لایکی_ڤیدیۆکە_بکە_خوا_قەزا_گیان,6941270378708108290,❦︎𝑅𝑖𝑂❦︎𝐸𝐷𝑖𝑇𝑂𝑅♫︎,ئا ئادی ئەم سناپە کەن هی پورزامە بتان بینم چاوتان ئەشێڵم👇😂🥰,0,False,https://www.tiktok.com/@maleko_ryko/video/7093077889851116801?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093077889851116801&source=h5_m,2262456,2638,5522,6788,45103,7093077870993541889,7093077870993541889,72,7093077870993541889,original sound - maleko_ryko (Contains music from: Kavkaze - Black Kavkaz),"Contains music from: ""Kavkaze""",6.941270378708108e+18,❦︎𝑅𝑖𝑂❦︎𝐸𝐷𝑖𝑇𝑂𝑅♫︎,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7093077863162841857.mp3,,False,False,Black Kavkaz,Kavkaze,original sound - maleko_ryko (Contains music from: Kavkaze - Black Kavkaz),"Contains music from: ""Kavkaze""",[],0,0,Iraq,#foryou #Acc #maleko_ryko #edit #tiktok #alightmotion #لایکی_ڤیدیۆکە_بکە_خوا_قەزا_گیان,0,1,0,0,0,0,1,0,0,0
6,EG,7097554858844130566,1652528268,انفخ خليني اتوب #fy #fypシ #foryoupage #fyp #عشاق_الحمام_الزاجل❤️❤️,6710824143158658053,محمد الحاوي Mohamed Al - Hawi,ماتنساش تتابعني على قناه الرسميه من هنا 👆,0,False,https://www.tiktok.com/@mohamedelhawi24/video/7097554858844130566?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097554858844130566&source=h5_m,5589118,726,2031,808,113947,6831879093869398017,6831879093869398017,10033,6831879093869398017,Konvoy,Orheyn,,,False,False,,https://sf16-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/d12bcaf3a3074f9ea8e687ac6a201934?x-expires=1653979546&x-signature=8vfJbLfRCajxTKxLbXl4OaEVqgI%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1515574615', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,#fy #fypシ #foryoupage #fyp #عشاق_الحمام_الزاجل❤️❤️,0,0,1,1,1,1,0,0,0,0
7,GB,7096166704362851590,1652205063,Come dance with me part 2 #doncaster #makeuptransformation,1598258,jordyn,"💜Follow insta, I’ll marry you💜
Management:
jazz@grail-talent.com",0,False,https://www.tiktok.com/@jordynlyne/video/7096166704362851590?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096166704362851590&source=h5_m,5021340,1540,4377,3052,118920,7038982678271544069,7038982678271544069,10036,7038982678271544069,Sway (Sped Up Version),Michael Bublé,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8d38123e3caf473081c33fe9eb11d06b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f97f2b3227bb4a0eb8dd03c8e1e5c693,False,True,,,,,[],0,0,Iraq,#doncaster #makeuptransformation,0,0,0,0,0,0,0,0,0,0
0,MX,7102398547420630277,1653656027, ,7102394819209380869,💝 Check My ВІО 😘,🔥 Priv For You 👇,0,False,https://www.tiktok.com/@thougeh/video/7102398547420630277?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102398547420630277&source=h5_m,5726248,1476,12225,21600,105299,7094179885190908678,7094179885190908678,72,7094179885190908678,original sound - vvcstk,Tik Toker,7.094174843196868e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094179932762295046.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8cab0bac42836768496beb1b0dc43785.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
1,EG,7101732727212346629,1653501004,سيكبر قلبك ♥💚#اكسبلور #fypシ #استوريات,6627528756074823686,سمّير,-ماذا لو عاد معتذراً.،، قناة التلي..,0,False,https://www.tiktok.com/@14ilan/video/7101732727212346629?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101732727212346629&source=h5_m,3783903,870,19883,116430,347296,7101732720916712198,7101732720916712198,72,7101732720916712198,original sound - 14ilan,سمّير,6.627528756074824e+18,سمّير,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101732730106301190.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1e46a4c10d8beeb58309fc5a338c21ea.json,False,False,,,,,[],0,0,Iraq,#اكسبلور #fypシ #استوريات,0,0,0,0,0,1,0,0,0,1
2,IT,7095828518319213829,1652126323,quando ti scappa all improvviso 🙈🤦🏽‍♀️🤣🤣🤣🤣🤣 #neiperte #funnylove #funny #2022tiktok,6779310983971587078,Rosa Della Porta,"❤️Rosa&Emanuele❤️
#funny #happy #love #salerno",0,False,https://www.tiktok.com/@funny.love15/video/7095828518319213829?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095828518319213829&source=h5_m,26594277,3423,10842,38568,495667,7095828509646048005,7095828509646048005,72,7095828509646048005,original sound - funny.love15,Rosa Della Porta,6.779310983971587e+18,Rosa Della Porta,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095828498677385989.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3717f0944e4ce7991f45759d67c0d5ea.json,False,False,,,,,[],0,0,Iraq,#neiperte #funnylove #funny #2022tiktok,0,0,0,0,0,0,0,0,0,0
3,BY,7074992019352931589,1647274947,Самое грустное за сегодня! 🥺,6742797452971869189,MaYoR 👻,"MaYoR 🦸
📸 INST: MAYOROV.L
 ПОДПИШИСЬ/SUBSCRIBE ☝️
 🇺🇦🙏",0,False,https://www.tiktok.com/@mayorov_l/video/7074992019352931589?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074992019352931589&source=h5_m,22425814,2685,2560,10509,1417210,7050095235334015771,7050095235334015771,24,7050095235334015771,Heat Waves Slowed (Contains music from: Heat Waves - Glass Animals),"Contains music from: ""Heat Waves""",6.911966527559042e+18,sadvibes🥀,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7050095237221370650.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cd860c48e5c5011656185a30f5d64650.json,False,False,Glass Animals,Heat Waves,Heat Waves Slowed (Contains music from: Heat Waves - Glass Animals),"Contains music from: ""Heat Waves""",[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
