,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_love,hash_relatable,hash_trending,hash_viral
2,GB,7086874649103011077,1650041587,It’s chewsday innit #fyp #foryou #foryoupage #viral #xyzcba,107354896219152384,Jack Joseph,"Video every day at 5pm
🔻Click the link below🔻",0,False,https://www.tiktok.com/@jackjos3ph/video/7086874649103011077?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086874649103011077&source=h5_m,4502277,7286,6881,9830,577753,7086874635693853446,7086874635693853446,72,7086874635693853446,original sound - jackjos3ph,Jack Joseph,1.0735489621915238e+17,Jack Joseph,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086874655843535621.mp3,,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#fyp #foryou #foryoupage #viral #xyzcba,0,1,1,0,1,0,0,0,0,1
3,US,7071054388294356266,1646358145,Answer The Riddle!! 🤔 Can you do it? @joshvanbatenburg #challenge #foryou,6615741982961041414,The Card Guy,"everyone needs a little magic
business: evan@cardguy.co",0,False,https://www.tiktok.com/@thecardguy/video/7071054388294356266?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071054388294356266&source=h5_m,2655244,1767,251,980,140858,7071054375086525226,7071054375086525226,72,7071054375086525226,original sound - thecardguy,The Card Guy,6.615741982961041e+18,The Card Guy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7071054389171047211.mp3,,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#challenge #foryou,0,1,0,0,0,0,0,0,0,0
4,GB,7098758784348130566,1652808582,#fyp#viral #like#toilets #sing#funny,6832285129298527237,Goal 100k,Ty,0,False,https://www.tiktok.com/@hug3.wonger.3000/video/7098758784348130566?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098758784348130566&source=h5_m,4454196,8398,8280,96,660581,7026792865289029633,7026792865289029633,10033,7026792865289029633,Material Girl (Bass Boosted),Saucy Santana,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2aa077acc23147648b5eb7c9ebe5599a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/856a5f18a66a49659693ca5aaa59d013,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1593727804', 'external_song_key': 'apple_song_id'}]",0,0,Falkland Islands (Malvinas),#fyp#viral #like#toilets #sing#funny,0,0,0,1,1,0,0,0,0,1
5,GB,7094313434715540742,1651773565,Don’t mind me I’m just sobbing that I made it here 🥺😭 so grateful #guillainbarresyndrome #fyp #recovery #graduation #foryou #tiktok,6859687345277895685,Joeyyyyyyyyy,"Just 200k mentally unstable people
Jokes 
📚Study lives 📚
Medical physics 🦠🧪",0,False,https://www.tiktok.com/@joeycantdrive/video/7094313434715540742?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094313434715540742&source=h5_m,3178708,808,307,191,321362,7037428516761226010,7037428516761226010,24,7037428516761226010,original sound - ciksery (Contains music from: The Good Part - AJR),"Contains music from: ""The Good Part""",6.719318660748838e+18,SisLunabelle,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7037428503993699099.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8a986ac827d172598d87b1e9c6da7b3e.json,False,False,AJR,The Good Part,original sound - ciksery (Contains music from: The Good Part - AJR),"Contains music from: ""The Good Part""",[],0,0,Falkland Islands (Malvinas),#guillainbarresyndrome #fyp #recovery #graduation #foryou #tiktok,0,1,0,0,1,0,0,0,0,0
6,GB,7083220224505416966,1649190725,#fyp #Love #bae #simp #fypシ #viral #simphub,7065789270435283973,🤍💍Simp for you💍🤍,"Simp for you 😍
Tysm for 85k 💕
Tysm for 1.0m likes🥺☺️
T+S",0,False,https://www.tiktok.com/@simp.hub.love4/video/7083220224505416966?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083220224505416966&source=h5_m,2706261,9929,13998,27397,485042,7056796312691297071,7056796312691297071,72,7056796312691297071,original sound - marrilovesmilfs,🧸🥀,7.053864095746328e+18,🧸🥀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7056796329028340527.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/83422a7e15ad9e286751a6cc4786505e.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#fyp #Love #bae #simp #fypシ #viral #simphub,0,0,0,0,1,1,1,0,0,1
7,GB,7082773237033127174,1649086652,5-ingredient No-bake Lotus Biscoff cheesecake bars #cheesecake #biscoff #dessert #food #lotusbiscoff,6546240203403564032,fitwaffle,"🙋‍♀️ IG: @EloiseHead
📕 SUNDAY TIMES BESTSELLER 📕
ORDER MY NEW BOOK BELOW",0,False,https://www.tiktok.com/@fitwaffle/video/7082773237033127174?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082773237033127174&source=h5_m,17779886,9264,112734,179331,1120688,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Falkland Islands (Malvinas),#cheesecake #biscoff #dessert #food #lotusbiscoff,0,0,0,0,0,0,0,0,0,0
0,US,7078489053091466539,1648089164,#relate … #able,6749309515509154821,Collin,"Youtube - Cameo - IG - Merch - Podcast

Weight Loss Updates

⬇️⬇️",0,False,https://m.tiktok.com/v/7078489053091466539.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078489053091466539&source=h5_m,8869236,7229,7796,10210,1241148,7041476153470651142,7041476153470651142,72,7041476153470651142,saddddd,A•L•€•X 🫀,6.612602884347691e+18,A•L•€•X 🫀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7068977069408996101.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/14f3a94c19c3e2c9e6023ea3f3a1ed53.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#relate #able,0,0,0,0,0,0,0,0,0,0
1,PH,7097976052076596506,1652626333, ,6982947128394925083,Mochiblossoms890,Face reveal at 1300 srry if I’m not posting that much btw tysm for 1215  follows,0,False,https://m.tiktok.com/v/7097976052076596506.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097976052076596506&source=h5_m,524809,1198,3161,2946,35533,6913401026259290885,6913401026259290885,72,6913401026259290885,This sound is originally syddollasign,Alli McLaren,6.827218886263424e+18,Alli McLaren,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6913401052335295238.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2885ede8450e2065ce2394268608aacf.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),,0,0,0,0,0,0,0,0,0,0
2,GB,7081916139638492421,1648887095, ,7023300231065846790,commentyourname82,🦋🦋🦋,0,False,https://m.tiktok.com/v/7081916139638492421.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081916139638492421&source=h5_m,1665990,13107,3565,5464,245579,6730561130168666886,6730561130168666886,72,6730561130168666886,Theres Nothing Holding Me Back Nightcore (Contains music from: There's Nothing Holdin' Me Back - Shawn Mendes),"Contains music from: ""There's Nothing Holdin' Me Back""",1.6503556588354355e+17,Emily Frost,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1643204032418870.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6c7a966e239d3dfa7f943ea163275d03.json,False,False,Shawn Mendes,There's Nothing Holdin' Me Back,Theres Nothing Holding Me Back Nightcore (Contains music from: There's Nothing Holdin' Me Back - Shawn Mendes),"Contains music from: ""There's Nothing Holdin' Me Back""",[],0,0,Falkland Islands (Malvinas),,0,0,0,0,0,0,0,0,0,0
3,GB,7078690269712928005,1648136013,#fyp #foryou #iceage #family #pov #abandoned #relatable #alone #quote,6788186691243115525,LyricAudios🦋,"love all 1.8mill of u💕
Its just a bad day not a bad life❤️
email to sponsor👇",0,False,https://m.tiktok.com/v/7078690269712928005.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078690269712928005&source=h5_m,3213566,1999,4542,15401,445531,7078690250058484486,7078690250058484486,72,7078690250058484486,original sound - lyricaudios,LyricAudios🦋,6.788186691243116e+18,LyricAudios🦋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078690250515761926.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f41ef3de69da514cddcb0dea9260c2b2.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#fyp #foryou #iceage #family #pov #abandoned #relatable #alone #quote,0,1,0,0,1,0,0,1,0,0
4,GB,7079807162041535750,1648396059,@maddiewallerx,6581493542999883782,Mathilde Barker,🇫🇷 🎭 🇬🇧,0,False,https://m.tiktok.com/v/7079807162041535750.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079807162041535750&source=h5_m,2598983,3567,126,245,173819,7065120684501928709,7065120684501928709,72,7065120684501928709,original sound - frenchspedupsongs,french.sped.up.songs,7.063644344813995e+18,french.sped.up.songs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7065120644543171333.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9cb95ddbca000f5acd309eab3bccf051.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),,0,0,0,0,0,0,0,0,0,0
5,GB,7101346339111406853,1653411041,#duet with @greenkeeper_gardener,7531698,Levi Jed Murphy,"business: henry@cadence-talent.com

👇🏽 MY GAWWJUS MERCH BELOW 👇🏽",0,False,https://m.tiktok.com/v/7101346339111406853.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101346339111406853&source=h5_m,874971,1001,1191,1764,83826,7099729986252262150,7099729986252262150,72,7099729986252262150,Trim your hole,matthewgrainger75,6.98963341678697e+18,matthewgrainger75,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099729987146255109.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/59d25dd9c944090539e314b7ffd9b068.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#duet,0,0,0,0,0,0,0,0,0,0
6,US,7085832190004858158,1649798870,Can y’all relate? 😭 #toddlersoftiktok #toddlermom #fyp #parentsbelike,7071108871492469806,The Tilson Fam,"• Business: Autumneandkeith@gmail.com
• Click the link below 🤍 ⬎",0,False,https://m.tiktok.com/v/7085832190004858158.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085832190004858158&source=h5_m,8260088,12534,41326,12525,1172767,7085832148543965995,7085832148543965995,72,7085832148543965995,original sound - the_tilson_fam,The Tilson Fam,7.07110887149247e+18,The Tilson Fam,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7085832192797985582.mp3,,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#toddlersoftiktok #toddlermom #fyp #parentsbelike,0,0,0,0,1,0,0,0,0,0
7,GB,7076575488696700165,1647643627,#foryou#fypシ#viral#sad#funny#meme#where did he go#😢,6887275485420700674,Spaceorbityt,Hi guys I changed my username can we reach 700k😁😇 join baby yoda,0,False,https://m.tiktok.com/v/7076575488696700165.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076575488696700165&source=h5_m,6734142,11163,13238,17922,704772,7049840402723621634,7049840402723621634,72,7049840402723621634,Suspicious,Monkey,7.03474955391289e+18,Monkey,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7049840391327828738.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1eb4d89d47ebdef88ed424cff137abe6.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#foryou#fypシ#viral#sad#funny#meme#where #😢,0,1,0,1,0,1,0,0,0,1
0,CA,7082900374763441413,1649116254,Damn Goats 😆🤣 #fyp #fypシ #misheardlyrics #sing #song #dance #genx #trend #viral #dad #dadbod #beard #tattoo #Summer #canada #lockdown #funny,6812406859288331269,Grenier,"Personal Support Worker
Generation X
Ontario 🍁",0,False,https://www.tiktok.com/@grenier1975/video/7082900374763441413?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082900374763441413&source=h5_m,11006600,12575,77615,24311,836806,6745161928949106690,6745161928949106690,10033,6745161928949106690,Roses (Imanbek Remix),SAINt JHN,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dddb5efb3d194c858e50f8a8af3bb9ca,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/67fc02149d6b450d8b0576e29a1bc88c,True,True,,,,,[],0,0,Falkland Islands (Malvinas),#fyp #fypシ #misheardlyrics #sing #song #dance #genx #trend #viral #dad #dadbod #beard #tattoo #Summer #canada #lockdown #funny,0,0,0,1,1,1,0,0,0,1
1,GB,7103607129835064582,1653937422,#isaachp,6974166285799556102,Isaac H.P Karaoke Backup,"Pure Karaoke content 🎤
i do personal messages on cameo",0,False,https://www.tiktok.com/@isaac.h.p.karaoke.backup/video/7103607129835064582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103607129835064582&source=h5_m,203691,1538,1222,2581,56261,7103607126798404358,7103607126798404358,72,7103607126798404358,original sound - isaac.h.p.karaoke.backup,Isaac H.P Karaoke Backup,6.974166285799556e+18,Isaac H.P Karaoke Backup,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103607126374976261.mp3,,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#isaachp,0,0,0,0,0,0,0,0,0,0
2,GB,7100282423073705221,1653163329,pt1... #cheating #dating #chloetingchallenge #snap #romeoandjuliet #roseandwill #fyp #foruoupage #snaptexting #snapchat,6932943902211998726,🤍snapchat🤍,"🤟🏽all fake stories🤟🏽
🤍goal: 10,000🤍
🤟🏽going live soon🤟🏽",0,False,https://www.tiktok.com/@.textiing.drama/video/7100282423073705221?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100282423073705221&source=h5_m,979680,467,152,292,46226,6855167779629320965,6855167779629320965,72,6855167779629320965,original sound - 60secondsoundsx,60 Second Sounds🦋,6.852743990275589e+18,60 Second Sounds🦋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6855167728081226502.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3a404741da74005d50e08acf3fe5bc75.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#cheating #dating #chloetingchallenge #snap #romeoandjuliet #roseandwill #fyp #foruoupage #snaptexting #snapchat,0,0,0,0,1,0,0,0,0,0
3,GB,7077529178291195137,1647865675,#fyp #foryou #foryoupage #fypシ #pounds #uk #england,6577577480880816134,Raad,,0,False,https://www.tiktok.com/@alfagurrahmanrehad/video/7077529178291195137?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077529178291195137&source=h5_m,7208315,3644,13653,8,402108,6911471687234013953,6911471687234013953,72,6911471687234013953,original sound - burstfully.kai,Olu Oyelami Bourne,6.812260868807575e+18,Olu Oyelami Bourne,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6911471596091738882.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6c79abcc759a3561715794f3363dcfb3.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#fyp #foryou #foryoupage #fypシ #pounds #uk #england,0,1,1,0,1,1,0,0,0,0
