,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_asmr,hash_food,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_tahiti,hash_viral
2,IT,7092379995263290630,1651323402,DEAD POOL 🔥❗️I'm waiting for your comments .#deadpool #ryanreynolds  #marvel,6810949233991959558,Crisco Art,"The artist who paint the Light 💡🎨
❌instagram : CriscoArt
💙facebook: CriscoArt",0,False,https://www.tiktok.com/@criscoartofficial/video/7092379995263290630?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092379995263290630&source=h5_m,19403774,11610,19141,1695,2990145,6891415259634993154,6891415259634993154,10033,6891415259634993154,﻿Deadpool - X Gon' Give It To Ya - Main Theme,Geek Music,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9de183f4f39143e4b2b1b9e4539f499c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/46d08c1557714bca854886f7840a51ce,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1388341500', 'external_song_key': 'apple_song_id'}]",0,0,French Polynesia,#deadpool #ryanreynolds #marvel,0,0,0,0,0,0,0,0,0,0
3,FR,7092470667366370566,1651344512, ,6701855996283683846,Chrisboy Leduc,"VIDÉO DRÔLE / ZAP ACTU / RAP ACTU 
Abonnez-vous ✨",0,False,https://www.tiktok.com/@chrisboyleduc/video/7092470667366370566?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092470667366370566&source=h5_m,421794,220,498,2,37690,7092470652795439877,7092470652795439877,72,7092470652795439877,original sound - chrisboyleduc,Chrisboy Leduc,6.701855996283684e+18,Chrisboy Leduc,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092470652661189382.mp3,,False,False,,,,,[],0,0,French Polynesia,,0,0,0,0,0,0,0,0,0,0
4,PF,7097028464426929409,1652405710,#oritahiti #aahu #fyp petit délire 😝,7011694522112771078,Dhaysie.official,insta : dhaysie.testevuide,0,False,https://www.tiktok.com/@dhaysie.official/video/7097028464426929409?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097028464426929409&source=h5_m,106778,81,41,174,8196,7052092997395483398,7052092997395483398,72,7052092997395483398,original sound - soupe_bleu,Soupa🍜,6.985595933690119e+18,Soupa🍜,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7052093041426828037.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c472b002d860f0465e28c6177e694164.json,False,False,,,,,[],0,0,French Polynesia,#oritahiti #aahu #fyp,0,0,0,0,1,0,0,0,0,0
5,FR,7099774294741257473,1653045020,Répondre à @hanivais987mzll 😘🇵🇫,6593288042437066758,Vaheana_AMUI,,0,False,https://www.tiktok.com/@pakiriv/video/7099774294741257473?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099774294741257473&source=h5_m,43320,25,1,0,2530,7099774270900931329,7099774270900931329,72,7099774270900931329,original sound - pakiriv,Vaheana_AMUI,6.593288042437067e+18,Vaheana_AMUI,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099774268531051265.mp3,,False,False,,,,,[],0,0,French Polynesia,,0,0,0,0,0,0,0,0,0,0
6,GB,7095429003787504902,1652033303,#SwagStepChallenge,6949581613345178629,JUSTMY,,0,False,https://www.tiktok.com/@justmeandyousempre/video/7095429003787504902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095429003787504902&source=h5_m,8901214,5339,22504,30631,309417,7095429014105459462,7095429014105459462,72,7095429014105459462,original sound - justmeandyousempre (Contains music from: Touch in the Night - Silent Circle),"Contains music from: ""Touch in the Night""",6.949581613345179e+18,JUSTMY,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095429029985127173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ceed0a27749ae246ff277a6e9080f162.json,False,False,Silent Circle,Touch in the Night,original sound - justmeandyousempre (Contains music from: Touch in the Night - Silent Circle),"Contains music from: ""Touch in the Night""",[],0,0,French Polynesia,#SwagStepChallenge,0,0,0,0,0,0,0,0,0,0
7,US,7070953667905522990,1646334695,shaved ice in a pineapple we are ready for summer! #ShavedIce #SnowCone #Snowball #Raspa #Satisfying #Pineapple #summer2022countdown,6826516069970363397,Granny’s Shaved Ice,"all pink, sister ran 💗 
📍TEXAS 
follow along on insta",0,False,https://www.tiktok.com/@grannys_shaved_ice/video/7070953667905522990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070953667905522990&source=h5_m,8592445,2098,13209,258,434326,7057869803842997038,7057869803842997038,10036,7057869803842997038,Cmonnn (Hit It One Time),5Star,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/502bd1a34d004577ba1d7186a4b13c08,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8eca65bc83bf45fea4afa493e0efc849,False,True,,,,,[],0,0,French Polynesia,#ShavedIce #SnowCone #Snowball #Raspa #Satisfying #Pineapple #summer2022countdown,0,0,0,0,0,0,0,0,0,0
0,PF,7103062156756700418,1653810535,Répondre à @la_mzlle_de18 En quoi je dois prouver que je suis chinois rien qu'à ma tête ça se voit #petit_chinois_de_tahiti #polynesiantiktok #tahiti #origines #asiat,6975563169600259073,Petit Chinois 🇵🇫🇨🇳💝,"TikToker, YT
🇵🇫🇨🇳
Mail : petitchinoisdetahiti@gmail.com 
✨🏝️✨",0,False,https://www.tiktok.com/@petit_chinois_de_tahiti/video/7103062156756700418?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103062156756700418&source=h5_m,37593,134,11,17,2682,7103062140201831169,7103062140201831169,72,7103062140201831169,original sound - petit_chinois_de_tahiti,Petit Chinois 🇵🇫🇨🇳💝,6.975563169600259e+18,Petit Chinois 🇵🇫🇨🇳💝,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103062124972608258.mp3,,False,False,,,,,[],0,0,French Polynesia,#petit_chinois_de_tahiti #polynesiantiktok #tahiti #origines #asiat,0,0,0,0,0,0,0,0,1,0
1,PF,7098114922277522690,1652658671,Sympaaaaaaa l’ambiance #morrison #tahitibynight #samedisoir #alaise,6924066181511414786,Les Ma'au,"🤡 Le Zapoop quand on a pas la flemme 🤡
💥 FX Abuser 💥",0,False,https://www.tiktok.com/@lesmaau/video/7098114922277522690?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098114922277522690&source=h5_m,72780,168,82,145,4176,7098114828513921793,7098114828513921793,72,7098114828513921793,original sound - lesmaau,Les Ma'au,6.924066181511415e+18,Les Ma'au,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098114823610698497.mp3,,False,False,,,,,[],0,0,French Polynesia,#morrison #tahitibynight #samedisoir #alaise,0,0,0,0,0,0,0,0,0,0
2,FR,7099032998573657349,1652872426,#fyp #humour #agentkc #enchère #zendaya,7090509018606945285,𝘾𝙤𝙢𝙥𝙩𝙚 𝙖 𝙙𝙚𝙪𝙭 💗,"Yo ♡ moi et ma pote on a crée ce compte 
De wish 👀 on peut percer pls ? 😁",0,False,https://www.tiktok.com/@des_.blg_ta._peur/video/7099032998573657349?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099032998573657349&source=h5_m,74225,36,95,12,5016,7099032959822334725,7099032959822334725,72,7099032959822334725,original sound - des_.blg_ta._peur,𝘾𝙤𝙢𝙥𝙩𝙚 𝙖 𝙙𝙚𝙪𝙭 💗,7.090509018606945e+18,𝘾𝙤𝙢𝙥𝙩𝙚 𝙖 𝙙𝙚𝙪𝙭 💗,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099032974875691781.mp3,,False,False,,,,,[],0,0,French Polynesia,#fyp #humour #agentkc #enchère #zendaya,0,0,0,0,1,0,1,0,0,0
3,FR,7072419366259690758,1646675954,15 secondes Comment faire viandes aux piments verts ?  #recette #asiatique #mamiechinchin @chinchin_mamieasiatique,6889022765212238850,Chinchin_Recette de Mamie,Recette / Resto / Lifestyle👆Collab💌,0,False,https://www.tiktok.com/@chinchin_recettedemamie/video/7072419366259690758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072419366259690758&source=h5_m,564830,87,1815,13,30093,7072419346802330373,7072419346802330373,72,7072419346802330373,original sound - chinchin_recettedemamie,Chinchin_Recette de Mamie,6.889022765212239e+18,Chinchin_Recette de Mamie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072419355287407366.mp3,,False,False,,,,,[],0,0,French Polynesia,#recette #asiatique #mamiechinchin,0,0,0,0,0,0,0,0,0,0
4,US,7103506193334799658,1653913924,Girl vs Boy part1 fallow for more #foryou #tik_tok #trend #trending,6962714589599892485,USA_vs_FRANCE,"🇺🇸 VS 🇫🇷
Follow me ✔️
Like All Videos😘
Goal：2m",0,False,https://www.tiktok.com/@ououy3/video/7103506193334799658?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103506193334799658&source=h5_m,180187,7,24,145,4461,7103506061755239211,7103506061755239211,72,7103506061755239211,original sound - ououy3 (Contains music from: You Can Dance - Maikkis),"Contains music from: ""You Can Dance""",6.962714589599892e+18,USA_vs_FRANCE,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103506160015231790.mp3,,False,False,Maikkis,You Can Dance,original sound - ououy3 (Contains music from: You Can Dance - Maikkis),"Contains music from: ""You Can Dance""",[],0,0,French Polynesia,#foryou #tik_tok #trend #trending,0,0,1,0,0,0,0,0,0,0
5,US,7079274606091128106,1648272064,#thomas #exbestfriend #crush I just like him a little bit,6843968837491786758,.,"Hint number 2 to finding out who I am
Hint:  I'm a Leo ♌",0,False,https://www.tiktok.com/@at_kedits/video/7079274606091128106?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079274606091128106&source=h5_m,189638,519,240,801,13908,7079274549195541294,7079274549195541294,72,7079274549195541294,original sound - at_kedits,.,6.843968837491787e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079274587887881002.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/56996aea5ee428ca3921285b5b96dd6d.json,False,False,,,,,[],0,0,French Polynesia,#thomas #exbestfriend #crush,0,0,0,0,0,0,0,0,0,0
6,IT,7079135721948286214,1648239727,#vincenzoambrosio98,6856008254159160326,vincenzo ambrosio,"👨‍👩‍👧
I fondi di Tik Tok saranno 
devoluti in beneficenza!!",0,False,https://www.tiktok.com/@vincenzoambrosio98/video/7079135721948286214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079135721948286214&source=h5_m,475457,94,36,151,19664,6996359616611322629,6996359616611322629,10036,6996359616611322629,Control,Zoe Wees,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d271acdf4c9a4d36a5e845439335c27e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ba156aa9e7c04eaf91c45a1977d8cbb2,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1500820925', 'external_song_key': 'apple_song_id'}]",0,0,French Polynesia,#vincenzoambrosio98,0,0,0,0,0,0,0,0,0,0
7,PF,7099212496648604929,1652914219,•vient en parle• on vous envoie des good vibes avec la Sisi🥰✨ bombarder les commentaires d’emojis jaunes💛🤍 #fyp@Poeiti🌼,7035115928706696194,Poe Here✨,"Fb: Pearl Here
Insta: Pearlhere10
20yo🔥",0,False,https://www.tiktok.com/@pearl_here/video/7099212496648604929?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099212496648604929&source=h5_m,78026,124,25,951,6051,7094821144234101506,7094821144234101506,72,7094821144234101506,original sound - kpoonesh69_,‘SHYYOWLBAGUYY’❤️🥳,7.052504453487986e+18,‘SHYYOWLBAGUYY’❤️🥳,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094821129432435458.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/40e17372fbc7826a999b629e143259f3.json,False,False,,,,,[],0,0,French Polynesia,#fyp@Poeiti🌼,0,0,0,0,1,0,0,0,0,0
0,PF,7091138355194301697,1651034310,on a tuer la trend (on bégaye) 🤣 #duo #humour #brotherlove #fyp,6979864207361917953,M A N U A R I I 🇵🇫,fb: Manuarii,0,False,https://www.tiktok.com/@manuariiii_/video/7091138355194301697?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091138355194301697&source=h5_m,106508,243,148,0,9759,6819801354941270789,6819801354941270789,72,6819801354941270789,original sound - cel.y.a (Contains music from: Love d'un voyou - Fababy),"Contains music from: ""Love d'un voyou""",1.816337307033518e+17,celya,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/08e8f0e8d88cea94850fbfe64b0a5271.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/49d97a39ec3f0fffb39a5eda56a4f758.json,False,False,Fababy,Love d'un voyou,original sound - cel.y.a (Contains music from: Love d'un voyou - Fababy),"Contains music from: ""Love d'un voyou""",[],0,0,French Polynesia,#duo #humour #brotherlove #fyp,0,0,0,0,1,0,1,0,0,0
1,PF,7098379106357726469,1652720181,"Le goût reste tellement après l’avoir mangé 🤢 bref j’ai goûté du Fafaru, j’avoue que je le referai pas tout les 15 matins 🙊🙈 IG : yolydesmis #fafaru #eating #berk #tahiti",23860198,Yoly,Instagram : @yolydesmis,0,False,https://www.tiktok.com/@yoly__/video/7098379106357726469?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098379106357726469&source=h5_m,107871,167,33,69,5243,7098379107943058182,7098379107943058182,72,7098379107943058182,original sound - yoly__,Yoly,23860198.0,Yoly,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098379125114555142.mp3,,False,False,,,,,[],0,0,French Polynesia,#fafaru #eating #berk #tahiti,0,0,0,0,0,0,0,0,1,0
2,FR,7097236836476603653,1652454222,Si j’avais pas de dents ça y’a 😂😂😂🇵🇫ok thanks  pas faoo les browz partager noa 😂😂😂,6584353377449361413,Shan987,@tuhuka tattoo,0,False,https://www.tiktok.com/@shanyzback987/video/7097236836476603653?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097236836476603653&source=h5_m,132967,128,93,0,7907,7091652816099560198,7091652816099560198,72,7091652816099560198,original sound - freeze.raze (Contains music from: Why Don't U Dance With Me - HRRTZ),"Contains music from: ""Why Don't U Dance With Me""",7.017737846543304e+18,Freeze,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091652815990442757.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b849b63800f9b996828f94826f10180f.json,False,False,HRRTZ,Why Don't U Dance With Me,original sound - freeze.raze (Contains music from: Why Don't U Dance With Me - HRRTZ),"Contains music from: ""Why Don't U Dance With Me""",[],0,0,French Polynesia,,0,0,0,0,0,0,0,0,0,0
3,GB,7102498485559184646,1653679295,"Barbie, Bratz or Monster High makeup! 💀what should I do next?!",127290296282984448,Holly Murray Makeup,"IG: hollymurraymakeup 
MAKEUP 🖤
📧 elisha@connectmgt.com",0,False,https://www.tiktok.com/@hollymurraymakeup/video/7102498485559184646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102498485559184646&source=h5_m,4486943,1477,735,1586,457228,6867261288968391430,6867261288968391430,72,6867261288968391430,Monster high theme song (Contains music from: Monster High Fright Song - Monster High),"Contains music from: ""Monster High Fright Song""",24264313.0,Lorenza🥰,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6867261261332237061.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2949a902748e839e2f4af2def6384d84.json,False,False,Monster High,Monster High Fright Song,Monster high theme song (Contains music from: Monster High Fright Song - Monster High),"Contains music from: ""Monster High Fright Song""",[],0,0,French Polynesia,,0,0,0,0,0,0,0,0,0,0
