,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_johnnydepp,hash_pourtoi,hash_viral,hash_xyzbca
2,SK,7102405234986634501,1653657585,LOL #strangerthings #milliebobbybrown #noahschnapp #viral #foryou #foryoupage #fypシ #fyp #edit #strangerthings4,6850194290732237830,♡︎,"credit in coment's
don't repost 
start-20.dec
tvd,ldp,obx,st",0,False,https://m.tiktok.com/v/7102405234986634501.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102405234986634501&source=h5_m,11453822,6672,5332,69,2125367,7102405226342189829,7102405226342189829,72,7102405226342189829,original sound - .vecnaedits,♡︎,6.850194290732238e+18,♡︎,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102405225210383110.mp3,,False,False,,,,,[],0,0,Belgium,#strangerthings #milliebobbybrown #noahschnapp #viral #foryou #foryoupage #fypシ #fyp #edit #strangerthings4,1,1,0,0,1,1,0,0,1,0
3,DE,7096012404504530182,1652169141,@madisonbeer #madisonbeer #cologne,7062366506491069445,pushinleroy,🅿️,0,False,https://m.tiktok.com/v/7096012404504530182.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096012404504530182&source=h5_m,40231565,18833,5044,122,5910934,7060598220120034053,7060598220120034053,72,7060598220120034053,middle of the night (Contains music from: MIDDLE OF THE NIGHT - Elley Duhé),"Contains music from: ""MIDDLE OF THE NIGHT""",7.043108937957672e+18,</3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7060598252340906758.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/791b661c27f2b3e1a5cbaac4305bc5ec.json,False,False,Elley Duhé,MIDDLE OF THE NIGHT,middle of the night (Contains music from: MIDDLE OF THE NIGHT - Elley Duhé),"Contains music from: ""MIDDLE OF THE NIGHT""",[],0,0,Belgium,#madisonbeer #cologne,0,0,0,0,0,0,0,0,0,0
4,US,7098758431066164522,1652808500,Hahahahaha I’m sorry @andrew.davila,26880250,Lexi Rivera,Lexi Rivera,0,False,https://m.tiktok.com/v/7098758431066164522.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098758431066164522&source=h5_m,11183707,8859,4320,8764,1669027,7065406295415458562,7065406295415458562,72,7065406295415458562,if i cant have u ЪЭ no one can (Contains music from:   - Astor),"Contains music from: "" """,6.897990893841843e+18,кренш,False,True,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7065406291560123138.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/35c4845a1b2dc7ce9d0c66e61fad0130.json,False,False,Astor, ,if i cant have u ЪЭ no one can (Contains music from:   - Astor),"Contains music from: "" """,[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
5,BE,7080163929137138949,1648479126,who will be in Europe this summer? 🙋🏼‍♀️🍕🥖🍷🫒 #europe #europeansummer,6746282137395577862,Laura and Nicolas Herbert,"we’re cooler on
IG & YT: @laurandnicolas
collabs: talent@pontefirm.com",0,False,https://m.tiktok.com/v/7080163929137138949.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080163929137138949&source=h5_m,2758309,2078,13659,10847,379985,7080163896132160261,7080163896132160261,72,7080163896132160261,original sound - laurandnicolas,Laura and Nicolas Herbert,6.746282137395578e+18,Laura and Nicolas Herbert,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080163911705627398.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d10a17362741434451a821873d97beb6.json,False,False,,,,,[],0,0,Belgium,#europe #europeansummer,0,0,0,0,0,0,0,0,0,0
6,BE,7100134892058496262,1653128979,#donelltotti,6866872586073867270,Donell Totti,"▪️Fact or Cap 🧢🇧🇪
▪️DM on IG For ADs
▪️YouTube ⤵️
         👇🏾",0,False,https://m.tiktok.com/v/7100134892058496262.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100134892058496262&source=h5_m,13282777,1424,482,392,753949,7100134871237921542,7100134871237921542,72,7100134871237921542,original sound - d_totti,Donell Totti,6.866872586073867e+18,Donell Totti,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100134871263103749.mp3,,False,False,,,,,[],0,0,Belgium,#donelltotti,0,0,0,0,0,0,0,0,0,0
7,US,7103302780193918254,1653866559,Evina Westbrook’s first WNBA start 🙌 #WNBA #minnesota #lynx,6857859510606906374,Minnesota Lynx,Official TikTok of the Minnesota Lynx.,2,False,https://m.tiktok.com/v/7103302780193918254.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103302780193918254&source=h5_m,13997,8,5,9,281,7103302743606971178,7103302743606971178,72,7103302743606971178,original sound - minnesotalynx,Minnesota Lynx,6.857859510606906e+18,Minnesota Lynx,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103302777656347438.mp3,,False,False,,,,,[],0,0,Belgium,#WNBA #minnesota #lynx,0,0,0,0,0,0,0,0,0,0
0,US,7084752592978398465,1649547509,don't look at me i'm very shy 🙈,6642278666289135622,zavali,"team@wow-media.ru
Cooperation
TRANSITION QUEEN 
I’m here
⬇️⬇️⬇️",0,False,https://www.tiktok.com/@za_vali/video/7084752592978398465?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084752592978398465&source=h5_m,53033479,18817,72882,88742,5654037,6973521888035228417,6973521888035228417,24,6973521888035228417,Wiggle Remix,2005🔥😎,6.896077193240856e+18,2005🔥😎,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6973521929785330433.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/00b5b4da70c86a560697c8e100b98067.json,False,False,,,,,[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
1,GB,7101622700438785285,1653475387,@Lauren Alexis 😂,6847651386713703429,OSHU,"📬: joshrobinsonmedia@gmail.com
I Do More On Youtube!👇",0,False,https://www.tiktok.com/@joshua.robinson/video/7101622700438785285?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101622700438785285&source=h5_m,5058125,3029,1318,3273,371647,7101622655064787717,7101622655064787717,72,7101622655064787717,original sound - joshua.robinson,OSHU,6.847651386713703e+18,OSHU,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101622659180071685.mp3,,False,False,,,,,[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
2,VN,7084571778453949722,1649505408,their voices have changed - Young Sheldon (Season 2-5) #mckennagrace #iainarmitage #izisluu,6949276348162720769,Luuizs 🤿,🦌 hab dich immer lieb 🇻🇳,0,False,https://www.tiktok.com/@izisluur/video/7084571778453949722?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084571778453949722&source=h5_m,54731757,25004,17592,117331,7506797,6715211915750017025,6715211915750017025,10033,6715211915750017025,Night Changes,One Direction,,,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/97e0fc09411d4deaaf2d57c3cc074047,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b39f869b0df94386ae0639cbfab91efb,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1524680849', 'external_song_key': 'apple_song_id'}]",0,0,Belgium,#mckennagrace #iainarmitage #izisluu,0,0,0,0,0,0,0,0,0,0
3,SG,7078975568166833409,1648202439,Back when he was just 2. Old but gold 😂 #fyp,268861292592181248,Naomi,Just human,0,False,https://www.tiktok.com/@naomineo/video/7078975568166833409?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078975568166833409&source=h5_m,49758931,50872,117114,132724,7091786,7078975562047736578,7078975562047736578,24,7078975562047736578,original sound - naomineo,Naomi,2.6886129259218125e+17,Naomi,False,True,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7078975557903436545.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/aec528a8e782e428069c8eef0e3d4a78.json,False,False,,,,,[],0,0,Belgium,#fyp,0,0,0,0,1,0,0,0,0,0
4,US,7082891299610840366,1649114141,this song is out now everywhere. Iink in bio :),6537863870449456128,JVKE 🌩,this is what heartbreak feels like 💔👇🏼,0,False,https://www.tiktok.com/@jvke/video/7082891299610840366?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082891299610840366&source=h5_m,10461405,9793,16618,26988,1195630,7073230101285980162,7073230101285980162,10033,7073230101285980162,this is what heartbreak feels like,JVKE,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a60a3979d7b54fdeaa59e724da507472,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f1e23a335e104d02b4b78261f5986b5d,True,True,,,,,[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
5,BE,7091008436183256326,1651004059,"#JustinBieber sings with his little sister when he was young 🥺 Follow for more #interviews, #tvshows and more. 👀",6949560465019307014,maisa,"hi, welcome 👋
🎥- interviews, comedy’s -🎤
and more! 👀🌎
Enjoy watching ☺️🍿",0,False,https://www.tiktok.com/@roomaisae/video/7091008436183256326?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091008436183256326&source=h5_m,13410925,7681,5981,24133,1994679,7091008434014833413,7091008434014833413,72,7091008434014833413,original sound - roomaisae,maisa,6.949560465019307e+18,maisa,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091008436456557318.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cb6ad145b8b573649cae013b2dc6b47e.json,False,False,,,,,[],0,0,Belgium,"#JustinBieber #interviews, #tvshows",0,0,0,0,0,0,0,0,0,0
6,BE,7102402979461975302,1653657060,#ad #ad this is a new world @xiaomi.belgium @MediaMarkt.SPL #foryou #pourtoi #goviral #humor #dadjokes #scooter,2048983,Shauna Dewit,"💫Voila Voila 💫 
CEO of Cringe 
I’m NOT French, I’m Belgian
More on the gram",0,False,https://www.tiktok.com/@shaunadewit/video/7102402979461975302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102402979461975302&source=h5_m,401085,369,141,217,36040,7102402948558605062,7102402948558605062,72,7102402948558605062,original sound - shaunadewit,Shauna Dewit,2048983.0,Shauna Dewit,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102402950257609478.mp3,,False,False,,,,,[],0,0,Belgium,#ad #ad #foryou #pourtoi #goviral #humor #dadjokes #scooter,1,0,0,0,0,0,0,1,0,0
7,TH,7094937714541219074,1651918918,Google my name SolaZola 😉,6886113456118924290,🌸SolaZola🌸,Follow my Instagram  ⬆️,0,False,https://www.tiktok.com/@baby_sola/video/7094937714541219074?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094937714541219074&source=h5_m,9305622,5721,5746,8508,609395,7054389232877554478,7054389232877554478,72,7054389232877554478,original sound - simp_hubofficiall (Contains music from: Space Cadet - Metro Boomin),"Contains music from: ""Space Cadet""",7.034611217013294e+18,YOUR LOCAL ✨SIMP✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7054389235629804334.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5b6d3107c39b60ec78db407a3f34a418.json,False,False,Metro Boomin,Space Cadet,original sound - simp_hubofficiall (Contains music from: Space Cadet - Metro Boomin),"Contains music from: ""Space Cadet""",[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
0,US,7093265968939486510,1651529682,i learned a lot today #teacher #funny #fyp #class #school,6712261424112714757,Jener D,"Yes, my name is Jener no I’m not a Kardashian 
      🔥👀peep the link👀🔥",0,False,https://www.tiktok.com/@jener.d/video/7093265968939486510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093265968939486510&source=h5_m,25033076,40892,40807,68165,3848642,7093265954066631470,7093265954066631470,72,7093265954066631470,original sound - jener.d (Contains music from: Legacy - Caribbean Snake),"Contains music from: ""Legacy""",6.712261424112715e+18,Jener D,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093265976669571886.mp3,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/623b085949af1df86bcebc6abe1566da.json,False,False,Caribbean Snake,Legacy,original sound - jener.d (Contains music from: Legacy - Caribbean Snake),"Contains music from: ""Legacy""",[],0,0,Belgium,#teacher #funny #fyp #class #school,0,0,1,0,1,0,0,0,0,0
1,BE,7095280847019920646,1651998809, ,6834679551676072965,Milos,<3,0,False,https://www.tiktok.com/@givememilka/video/7095280847019920646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095280847019920646&source=h5_m,651111,1258,324,667,84358,7072756285149563649,7072756285149563649,24,7072756285149563649,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",6.976755863927686e+18,aypiks,False,True,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
2,DE,7072692493929827589,1646739548,mad to see how many of you are loving this cover!! @AnnenMayKantereit,6782923779771581445,Giant Rooks,NORTH AMERICA & EUROPE tourtickets on sale now,0,False,https://www.tiktok.com/@giantrooks/video/7072692493929827589?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072692493929827589&source=h5_m,116721037,143371,437928,5157,16828429,7039358292132367109,7039358292132367109,10036,7039358292132367109,Tom's Diner,AnnenMayKantereit & Giant Rooks,,,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a7ac14e3658340eb8a54bac83aee0fc9,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/00df4bc0c0a64c0abbd9f0eb4fc8f3ac,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1469197651', 'external_song_key': 'apple_song_id'}]",0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
3,DE,7102780193747569926,1653744886,my bad - restroom struggle #nonbinary,6812682022265390086,Gialu | Gio,"🌈as queer as it can get🦋
🇩🇪| 23 |🇮🇹
he/they
Berlin",0,False,https://www.tiktok.com/@mx.gialu/video/7102780193747569926?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102780193747569926&source=h5_m,4317455,2357,1013,90,697909,7017976767587584773,7017976767587584773,72,7017976767587584773,original sound - irxpley,Ripley,6.828970137766626e+18,Ripley,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7017976838660197125.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fc23de33850da8ee4a9c707430a97fa5.json,False,False,,,,,[],0,0,Belgium,#nonbinary,0,0,0,0,0,0,0,0,0,0
4,US,7103241594635046150,1653852314,never judge a book by its cover,6592567199944474629,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,"actress
Los angeles📍
✨18 ✨
don’t judge a book by its cover🤪🤫",0,False,https://www.tiktok.com/@fabiola.baglieri/video/7103241594635046150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103241594635046150&source=h5_m,937121,1639,332,327,145609,7089265858454981422,7089265858454981422,72,7089265858454981422,House of Memories with guitar christianrlocke (Contains music from: How - Legacy Hits),"Contains music from: ""How""",6.711890683365508e+18,Christian,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7089270214277483310.mp3,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/882c380e4106038fef29a4219687fdc0.json,False,False,Legacy Hits,How,House of Memories with guitar christianrlocke (Contains music from: How - Legacy Hits),"Contains music from: ""How""",[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
