,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_korean,hash_movie,hash_viral,hash_xyzbca,hash_이어찍기,hash_추천
2,CL,7103643816816643333,1653945964,otra vez pero diferente😳,6787021968165471238,Jorge Chacón✨,"Libre y sin etiquetas.
@jorgechaconh en Instagram. 
🇻🇪🇨🇱",0,False,https://t.tiktok.com/i18n/share/video/7103643816816643333/?region=US&mid=7095881487107377925&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103643816816643333&source=h5_t,522013,501,1107,1350,86929,7095881487107377925,7095881487107377925,72,7095881487107377925,GUY.exe (Remix) (Contains music from: GUY.exe - Superfruit),"Contains music from: ""GUY.exe""",6.751045764854072e+18,daizy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095881481117092614.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/76125d3c01abcea4ff10f5353cee6278.json,False,False,Superfruit,GUY.exe,GUY.exe (Remix) (Contains music from: GUY.exe - Superfruit),"Contains music from: ""GUY.exe""",[],0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
3,KR,7097222814545022209,1652450957,😎,6609104341016526849,BEDDY,"P.I CO
IG:choehyeokgeun
📩 business@picorp.co.kr",0,False,https://t.tiktok.com/i18n/share/video/7097222814545022209/?region=US&mid=7090106050497579777&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097222814545022209&source=h5_t,10144799,26157,34415,62655,2270599,7090106050497579777,7090106050497579777,72,7090106050497579777,guy.exe (Contains music from: Say Techno - Blazy),"Contains music from: ""Say Techno""",7.046608758293726e+18,🍪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7090106058831579906.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bbe17574021f92e49ea9fbd912ad2c51.json,False,False,Blazy,Say Techno,guy.exe (Contains music from: Say Techno - Blazy),"Contains music from: ""Say Techno""",[],0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
4,KR,7090509825561349377,1650887968,📷 ZOOM IN ZOOM OUT  #ATEEZ #에이티즈 #성화 #SEONGHWA #산 #SAN #제시 #JESSIE #ZOOMCHALLENGE #ZOOMINZOOMOUTCHALLENGE,6768988370171741186,ATEEZ_Official,ATEEZ(에이티즈) Official TikTok,0,False,https://t.tiktok.com/i18n/share/video/7090509825561349377/?region=US&mid=7084201528721950722&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090509825561349377&source=h5_t,1131763,11630,11212,18609,364767,7084201528721950722,7084201528721950722,10033,7084201528721950722,ZOOM,Jessi,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a21f6b2234c40bcacb6b20b16bafea4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0178575dfdbc44dca2d9734720d2f8d5,False,True,,,,,[],0,0,"Korea, Republic of",#ATEEZ #에이티즈 #성화 #SEONGHWA #산 #SAN #제시 #JESSIE #ZOOMCHALLENGE #ZOOMINZOOMOUTCHALLENGE,0,0,0,0,0,0,0,0,0,0
5,KR,7091143616495668482,1651035534,Would you be my Soulmate?💍❤🫢#TWICE #트와이스,6805697443515663361,TWICE,"One in a Million! Hello We are TWICE💖
Let’s TikTok with TWICE!",0,False,https://t.tiktok.com/i18n/share/video/7091143616495668482/?region=US&mid=6833972887548971781&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091143616495668482&source=h5_t,43711485,70647,84813,191885,7202836,6833972887548971781,6833972887548971781,10036,6833972887548971781,Marry Me (feat. Toya Wright),Rasheeda,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6451d37d7406466694e79d004d0fd20e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d318fd9f56e84133a521c965d9628b59,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '536632335', 'external_song_key': 'apple_song_id'}]",0,0,"Korea, Republic of",#TWICE #트와이스,0,0,0,0,0,0,0,0,0,0
6,IT,7103651957306297605,1653947859,I #tortellini con la PANNA! Vi piace la #pasta ? A me fa IMPAZZIRE! Ovviamente questa è la mia VERSIONE #slime #gtcreationslime,6832328024281760773,Giovanni T. 🇮🇹,Per il MIO SHOP cliccate qui sotto,0,False,https://t.tiktok.com/i18n/share/video/7103651957306297605/?region=US&mid=7092395731911215878&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103651957306297605&source=h5_t,582499,374,194,836,74301,7092395731911215878,7092395731911215878,72,7092395731911215878,i wanna i wanna ridee,quentin’,7.091964324415948e+18,quentin’,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092395735131360006.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51c18e4eedd89224941c3d0f95076293.json,False,False,,,,,[],0,0,"Korea, Republic of",#tortellini #pasta #slime #gtcreationslime,0,0,0,0,0,0,0,0,0,0
7,KR,7096339157672348929,1652245217,돼끼의 첫 틱톡.. 쓰리라차와 함께 #StrayKids #스트레이키즈,6662859609184976902,Stray Kids,"Stray Kids(스트레이 키즈) <ODDINARY>
2022.03.18 FRI 1PM (KST) | 0AM (EST)",0,False,https://t.tiktok.com/i18n/share/video/7096339157672348929/?region=US&mid=6897654966907833090&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096339157672348929&source=h5_t,8278389,47892,34682,110216,2541617,6897654966907833090,6897654966907833090,10036,6897654966907833090,Edge,REZZ,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f7d21c2eb65d491bb882a51978feb869,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0cfc55ff234845538156f63f5956b221,True,True,,,,,[],0,0,"Korea, Republic of",#StrayKids #스트레이키즈,0,0,0,0,0,0,0,0,0,0
0,KR,7076905491632377090,1647720462,#fyp#upordownchallenge #추천떠라 #parati#fypage,6550538579507134466,Norajoy 노라조이,"virgo who went ""F**k it""
INTP trying to get more F
but oppa want me nanka only",0,False,https://www.tiktok.com/@norajoy_official/video/7076905491632377090?_r=1&u_code=0&region=US&mid=7032124951645801221&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076905491632377090&source=h5_t,1127909,383,937,4100,80076,7032124951645801221,7032124951645801221,72,7032124951645801221,"original sound - noemie (Contains music from: Skinny Girl Challenge, Pt. 2 (Go Up Go Down) - Mvntana)","Contains music from: ""Skinny Girl Challenge, Pt. 2 (Go Up Go Down)""",6.983352548586735e+18,noemie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7032125068541004549.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1c6d9d8ccdabaee98fa83100f088c2e7.json,False,False,Mvntana,"Skinny Girl Challenge, Pt. 2 (Go Up Go Down)","original sound - noemie (Contains music from: Skinny Girl Challenge, Pt. 2 (Go Up Go Down) - Mvntana)","Contains music from: ""Skinny Girl Challenge, Pt. 2 (Go Up Go Down)""",[],0,0,"Korea, Republic of",#fyp#upordownchallenge #추천떠라 #parati#fypage,0,0,1,0,0,0,0,0,0,0
1,KR,7074863581086420225,1647245043,내가 봐도 많이 바꼈네;;#01 #추천 #숏컷여자 #그린스크린 #fyp,6544522737779965954,김나연YeON,Insta:081_napose_180,0,False,https://www.tiktok.com/@081_napose/video/7074863581086420225?_r=1&u_code=0&region=US&mid=7069492613170072326&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074863581086420225&source=h5_t,17879405,31238,17966,31549,3080279,7069492613170072326,7069492613170072326,72,7069492613170072326,House of the Rising Sun (Contains music from: House of the Rising Sun - Remastered - The Animals),"Contains music from: ""House of the Rising Sun - Remastered""",6.909952097623983e+18,sourwing_anti_cancer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069492609358760709.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b7c158eb1b317a3429c2b1caaa7b9500.json,False,False,The Animals,House of the Rising Sun - Remastered,House of the Rising Sun (Contains music from: House of the Rising Sun - Remastered - The Animals),"Contains music from: ""House of the Rising Sun - Remastered""",[],0,0,"Korea, Republic of",#01 #추천 #숏컷여자 #그린스크린 #fyp,0,0,1,0,0,0,0,0,0,1
2,KR,7103086652226112770,1653816239,Kiggle Kiggle #hook 💕,6760448102815351810,아이키 Aiki,SOONent,0,False,https://www.tiktok.com/@aiki_kr/video/7103086652226112770?_r=1&u_code=0&region=US&mid=6941249468143306754&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103086652226112770&source=h5_t,3061150,1214,1443,3287,443810,6941249468143306754,6941249468143306754,25,6941249468143306754,How`s Your Day,aAp Vision,6.931253322281305e+18,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3f612f18507646f7a561d7153d67d28c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7e936eb7e24944eb927a3cd8a46606d5,True,True,,,,,[],0,0,"Korea, Republic of",#hook,0,0,0,0,0,0,0,0,0,0
3,KR,7102272963466087682,1653626789,ohhhhhh l insta : _apricity.blair,6535971056037134338,B L A I R,🇰🇷,0,False,https://www.tiktok.com/@aesthete_blair/video/7102272963466087682?_r=1&u_code=0&region=US&mid=6827596374440200965&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102272963466087682&source=h5_t,430899,137,158,23,43437,6827596374440200965,6827596374440200965,72,6827596374440200965,"give me credit whores (Contains music from: Hold on let me get glasses on so I can see it, - Bytes)","Contains music from: ""Hold on let me get glasses on so I can see it,""",6.604872097838186e+18,Sam,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/08e0494e2ef9cd842a31a2e2304e3848.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9c329d6fc0feee55b1c89bd1266ccc69.json,False,False,Bytes,"Hold on let me get glasses on so I can see it,","give me credit whores (Contains music from: Hold on let me get glasses on so I can see it, - Bytes)","Contains music from: ""Hold on let me get glasses on so I can see it,""",[],0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
4,JP,7102322204427275522,1653638255,リクエストいっぱいもらったポチャッコ作ったよ！#キャラ弁 #お弁当 #ポチャッコ #cooking #pochacco,6589571023343108098,momo🍑🍙キャラ弁料理家,"momo キャラ弁料理家
ファンマ作ったよ→🍑🍙
TicTok creator academy1期生
詳しいレシピはInstagram
問い合わせはDMで",0,False,https://www.tiktok.com/@momokyaraben/video/7102322204427275522?_r=1&u_code=0&region=US&mid=7098357866586867714&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102322204427275522&source=h5_t,3731568,800,2877,8,177620,7098357866586867714,7098357866586867714,10033,7098357866586867714,Dance Hall,Mrs. GREEN APPLE,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1f2ad203c04c49988289f0ab664e30fa,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8830ed70a47e4c6cae9af4abc0b7ceca,False,True,,,,,[],0,0,"Korea, Republic of",#キャラ弁 #お弁当 #ポチャッコ #cooking #pochacco,0,0,0,0,0,0,0,0,0,0
5,AU,7101929567190781186,1653546834,Who wins this dance battle? #fyp #introvert,6982370580311213058,Onyedika,"✨CEO OF VIBES✨
Follow me on Instagram 👆🏾
Sydney, Australia 🇳🇬",0,False,https://www.tiktok.com/@onyedkwe/video/7101929567190781186?_r=1&u_code=0&region=US&mid=7095809133735103274&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101929567190781186&source=h5_t,6162632,9371,37284,24640,1505549,7095809133735103274,7095809133735103274,72,7095809133735103274,original sound - Doja Cat,Doja Cat,6.656913964248089e+18,Doja Cat,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095809199535524654.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/01a9fd0cbdf3f35a6e86c696d079fa79.json,False,False,,,,,[],0,0,"Korea, Republic of",#fyp #introvert,0,0,1,0,0,0,0,0,0,0
6,RO,7094326476807408902,1651776602,I wanna ask the cashier to fill it with popcorn😅 #plastic3d #doctorstrange #marvel #mcu #popcorn #cinema,6897294724613309446,Plastic3D,"🖨Let’s 3D Print stuff Together 

📨plastic3d.ro@gmail.com

Bio links below⬇️😃",0,False,https://www.tiktok.com/@plastic3d/video/7094326476807408902?_r=1&u_code=0&region=US&mid=6972140255629559810&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094326476807408902&source=h5_t,19709454,7857,2055,1602,1890543,6972140255629559810,6972140255629559810,10033,6972140255629559810,Money Rain - Phonk Remix,VTORNIK,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f06dade35ce7450188d9f3564be9d77e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d6e2d9ce4ad84a61a82c8ae9e9c27f2c,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1571734024', 'external_song_key': 'apple_song_id'}]",0,0,"Korea, Republic of",#plastic3d #doctorstrange #marvel #mcu #popcorn #cinema,0,0,0,0,0,0,0,0,0,0
7,KR,7102986979817590017,1653793033,이 음원엔... 므싯는 사람뿐... 나는 응애...,6918414589655106562,연서,"2002 🇰🇷
피아이코퍼레이션
business@picorp.co.kr
옷 정보 답장 없으면 빈티지, 보세 제품이에요 ◡̈",0,False,https://www.tiktok.com/@10382aaaabc/video/7102986979817590017?_r=1&u_code=0&region=US&mid=7090106050497579777&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102986979817590017&source=h5_t,532862,638,525,1576,126285,7090106050497579777,7090106050497579777,72,7090106050497579777,guy.exe (Contains music from: Say Techno - Blazy),"Contains music from: ""Say Techno""",7.046608758293726e+18,🍪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7090106058831579906.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bbe17574021f92e49ea9fbd912ad2c51.json,False,False,Blazy,Say Techno,guy.exe (Contains music from: Say Techno - Blazy),"Contains music from: ""Say Techno""",[],0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
0,KR,7081693280101993730,1648835205,so cute ㅎㅎ,6844320620197823489,zion,spams,0,False,https://www.tiktok.com/@cozyygirlll/video/7081693280101993730?_r=1&u_code=0&region=US&mid=7076278610289543978&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081693280101993730&source=h5_t,404587,371,394,459,41842,7076278610289543978,7076278610289543978,72,7076278610289543978,I WANNA RIDE (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",6.971310566104417e+18,♡︎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076278638555056942.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/199e1472b8ac1256a43e0bb853b41ad9.json,False,False,Joseline Hernandez,Vegas (I Wanna Ride),I WANNA RIDE (Contains music from: Vegas (I Wanna Ride) - Joseline Hernandez),"Contains music from: ""Vegas (I Wanna Ride)""",[],0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
1,GB,7103535707347488005,1653920793,#itkmovie #movies,7050516891362755590,LondonMovieDay,"Thank you for your like 🥳
Update every day 🥰
Vx:JULY172018",0,False,https://www.tiktok.com/@londonmovieday/video/7103535707347488005?_r=1&u_code=0&region=US&mid=6817450080614746114&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103535707347488005&source=h5_t,76397,16,4,36,3034,6817450080614746114,6817450080614746114,10036,6817450080614746114,Happy Up Beat (Medium),TimTaj,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/53dd7e5d406641619086a9a0deff927c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/96aa323b13c44dd0ba3ba945e93d37f6,False,True,,,,,[],0,0,"Korea, Republic of",#itkmovie #movies,0,0,0,0,0,0,0,0,0,0
