,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_comedia,hash_ecuador,hash_foryou,hash_fyp,hash_fypシ,hash_humor,hash_parati,hash_paratii,hash_tiktok,hash_viral
6,EC,7099646749844786438,1653015326,los pasos insanos 😈#cucharaok0 #fyp #1rexulx #1rexulx😒 #rexulx_ff,7038747174075925509,cuchara,"solo,es,una,cuenta,para,.... te amo💔 (68),tacmntdmq?una, palabra,deletreada🙂",0,False,https://www.tiktok.com/@cucharaok0/video/7099646749844786438?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099646749844786438&source=h5_m,318382,139,592,2279,17672,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Ecuador,#cucharaok0 #fyp #1rexulx #1rexulx😒 #rexulx_ff,0,0,0,1,0,0,0,0,0,0
7,EC,7085864529153854725,1649806400,Cuando un cliente me compra solo por coquetearme 😂#parati #fyp #santodomingoecuador  #viral,6928836731861255173,Karlita,"Sígueme en Instagram 👆
Trabajadora y sonriente 🥰✨",0,False,https://www.tiktok.com/@karlita.sofia/video/7085864529153854725?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085864529153854725&source=h5_m,19944345,3812,5330,13685,1651534,6833972887548971781,6833972887548971781,10036,6833972887548971781,Marry Me (feat. Toya Wright),Rasheeda,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6451d37d7406466694e79d004d0fd20e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d318fd9f56e84133a521c965d9628b59,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '536632335', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Ecuador,#parati #fyp #santodomingoecuador #viral,0,0,0,1,0,0,1,0,0,1
0,EC,7092867635079073030,1651436939,Quien se viene? 🫣 #parati #humor #viral #fypシ,6612402248603697158,Gio Andrade🍉,"Ecuatoriana 🇪🇨❤️ Sígueme en Instagram: @gioandrade_oficial 
Amo hacer reír 🤪",0,False,https://www.tiktok.com/@gioandrade_oficial/video/7092867635079073030?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092867635079073030&source=h5_m,786722,240,466,1707,65488,7046092639648828206,7046092639648828206,72,7046092639648828206,original sound - kgponce_,KAREN PONCE⚡️,6.686840926034265e+18,KAREN PONCE⚡️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7046092669155855150.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0a19c4f2a5315c832f4ff7b7f9f0071f.json,False,False,[],0,0,,,,,Ecuador,#parati #humor #viral #fypシ,0,0,0,0,1,1,1,0,0,1
1,EC,7077033158197234950,1647750188,Con mi pelo de loca no se puede ser sexi,7072615091766199301,Solangeangel11,"Ecuatoriana, 20 añitos, ig: sol_angel2001",0,False,https://www.tiktok.com/@solangeangel2001c/video/7077033158197234950?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077033158197234950&source=h5_m,916255,361,1006,347,95314,6553924203177841664,6553924203177841664,74,6553924203177841664,River,Bishop Briggs,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7b3b793fc785405aa151e1cc7f4d483d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0bb92b13eb1d45c9b0aa966672cf2fa9,False,True,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
2,EC,7085161242301598982,1649642653,Famosos antes y después 🤣 #foryou #viral #fyp #parati #willywonka #cosplay #guayaquil #ecuador,6803780689290560518,Lokote Kucho 🔥,"Falso modelo,me pagan por divertirme si no me crees sígueme en Instagram 🔝",0,False,https://www.tiktok.com/@lokotekucho1/video/7085161242301598982?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085161242301598982&source=h5_m,1306600,1342,6581,17110,167629,7085161202959108869,7085161202959108869,72,7085161202959108869,original sound - lokotekucho1,Lokote Kucho 🔥,6.803780689290561e+18,Lokote Kucho 🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085161228997937925.mp3,,False,False,[],0,0,,,,,Ecuador,#foryou #viral #fyp #parati #willywonka #cosplay #guayaquil #ecuador,0,1,1,1,0,0,1,0,0,1
3,EC,7083585531749158149,1649275780,#dúo con @theactorsvow.esp 🇪🇨🇪🇨 #ecuador🇪🇨 #colombia #mexico #chuchaqui #switchthechobaniflip,8133667,Alex Enriquez,"Esto es joda, joda & joda 🤪",0,False,https://www.tiktok.com/@alexenriquez2/video/7083585531749158149?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083585531749158149&source=h5_m,1087715,1254,4446,10269,116349,6841255111478478849,6841255111478478849,10033,6841255111478478849,Sad Emotional Piano,DS Productions,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/bb742665754a4cdcb2f92d774a7e4fac,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a79029b4930049888944c5bc5fecc263,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1519846562', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Ecuador,#dúo #ecuador🇪🇨 #colombia #mexico #chuchaqui #switchthechobaniflip,0,1,0,0,0,0,0,0,0,0
4,EC,7097326936556457221,1652475201,Etiqueta a tu amigo que te acolita siempre en tus Mozerias 😂#Kikejav #Fyp #eltrip #nancyrisol #mozas,6963794534387991558,KikeCuy,"Tik tok oficial de: @kikeJav 
Made in Ecuador 
2 tik toks diarios 🍻",0,False,https://www.tiktok.com/@elcuy.ec/video/7097326936556457221?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097326936556457221&source=h5_m,1533358,654,2247,4334,137431,7097326935319055109,7097326935319055109,72,7097326935319055109,original sound - elcuy.ec,KikeCuy,6.963794534387992e+18,KikeCuy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097326951895026437.mp3,,False,False,[],0,0,,,,,Ecuador,#Kikejav #Fyp #eltrip #nancyrisol #mozas,0,0,0,1,0,0,0,0,0,0
5,EC,7102873214883319046,1653766544,No hagan eso😂 #fyp #f #fy,6783126008225874949,Gigi Mieles,"Sígueme en IG 📷 ✨
Allá también reímos mucho💕",0,False,https://www.tiktok.com/@miel.mieles/video/7102873214883319046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102873214883319046&source=h5_m,393143,222,626,2112,52213,7095557645389597446,7095557645389597446,72,7095557645389597446,original sound - chrisrenaudd (Contains music from: ULTRA SOLO - Polimá Westcoast & Pailita),"Contains music from: ""ULTRA SOLO""",1.1637315271201997e+17,Christian Renaud 😈,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095557655757916934.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9647c5a9e07c969ca566e1555890db0a.json,False,False,[],0,0,Polimá Westcoast & Pailita,ULTRA SOLO,original sound - chrisrenaudd (Contains music from: ULTRA SOLO - Polimá Westcoast & Pailita),"Contains music from: ""ULTRA SOLO""",Ecuador,#fyp #f #fy,0,0,0,1,0,0,0,0,0,0
6,EC,7097028843126492422,1652405796,Por eso mejor no pienso mucho 😅🤣😚,7000445087969330181,El Revi,Síganme en Instagram los estaré saludando en los videos 👾,0,False,https://www.tiktok.com/@revishhhh/video/7097028843126492422?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097028843126492422&source=h5_m,3920888,2266,24380,41413,290591,7097028798285089541,7097028798285089541,72,7097028798285089541,original sound - revishhhh,El Revi,7.00044508796933e+18,El Revi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097028803075083014.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6bc7231fd595de90e82a49bad05d573e.json,False,False,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
7,US,7087673115207060779,1650227494,My parents are tired of me hahaha,26880250,Lexi Rivera,Lexi Rivera,0,False,https://www.tiktok.com/@lexibrookerivera/video/7087673115207060779?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087673115207060779&source=h5_m,16498147,8531,3906,13155,1578665,7063008678978456367,7063008678978456367,72,7063008678978456367,La mama de la mama (Contains music from: Move Your Feet - Sterium),"Contains music from: ""Move Your Feet""",7.055444277678671e+18,𝔧 ❦,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7063008812168629038.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7bae7784d990f3021b9f9410bd4d3fa9.json,False,False,[],0,0,Sterium,Move Your Feet,La mama de la mama (Contains music from: Move Your Feet - Sterium),"Contains music from: ""Move Your Feet""",Ecuador,,0,0,0,0,0,0,0,0,0,0
0,GB,7103263096814226693,1653857321,#duet with @akamztwenty20 I think that fire was scared too 😂,7050617080755799045,Fabio Jackson,No bio yet,0,False,https://www.tiktok.com/@theefabiojackson/video/7103263096814226693?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103263096814226693&source=h5_m,2139761,1902,977,5813,237320,7101717929498102534,7101717929498102534,72,7101717929498102534,original sound - akamztwenty20,Akamz,7.963910428337766e+16,Akamz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101717927988251397.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd5db39a37ecf55411aa39134b486b48.json,False,False,[],0,0,,,,,Ecuador,#duet,0,0,0,0,0,0,0,0,0,0
1,EC,7079490830674824453,1648322408,Nuevo lugar desbloqueado 😍❤️,6865333590004532225,Gisaventura 🧳✈️,"CEO de encontrar lugares recónditos de 🇪🇨 y el 🌍
DESBLOQUEANDO NUEVOS SPOTS💕",0,False,https://www.tiktok.com/@gisaventura_/video/7079490830674824453?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079490830674824453&source=h5_m,3741629,3656,11731,19597,363877,7075534292511689498,7075534292511689498,72,7075534292511689498,Cool for summer x Pony (Contains music from: Pony - Ginuwine),"Contains music from: ""Pony""",6.768412728564254e+18,Kuya Magik,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7075534269686369050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d652b7d2c3a023db6f701ec06bf98baa.json,False,False,[],0,0,Ginuwine,Pony,Cool for summer x Pony (Contains music from: Pony - Ginuwine),"Contains music from: ""Pony""",Ecuador,,0,0,0,0,0,0,0,0,0,0
2,BO,7073440499910069510,1646913706,💔😭,98899992324591616,Ale Pinedo,Sígueme en mi página de Facebook fb.com/alepinedotv 🇧🇴😁,0,False,https://www.tiktok.com/@alepinedotv/video/7073440499910069510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073440499910069510&source=h5_m,15100558,23490,66123,137345,1139439,7073440461607684870,7073440461607684870,72,7073440461607684870,original sound - alepinedotv,Ale Pinedo,9.889999232459162e+16,Ale Pinedo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073440439658941190.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5be287bebd7e53bf1bb48a579eda2381.json,False,False,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
3,EC,7074770542464716038,1647223381,No superable JAJAJA😂❤ #mamaescuchoborroso #mamametameenarroz #viral #parati #amistadessinceras #weyimaginate,6974584393566258181,Adri Chamorro,,0,False,https://www.tiktok.com/@adrichamorro01/video/7074770542464716038?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074770542464716038&source=h5_m,29683851,16873,69789,105262,1465824,7035800396849220358,7035800396849220358,72,7035800396849220358,original sound - melynandrea (Contains music from: El culo de tu jefa - Sadock),"Contains music from: ""El culo de tu jefa""",6.923620591262156e+18,Melynandrea,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7035800467552750341.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30ab4cc8a7a9ddabc196c4dedcf1832d.json,False,False,[],0,0,Sadock,El culo de tu jefa,original sound - melynandrea (Contains music from: El culo de tu jefa - Sadock),"Contains music from: ""El culo de tu jefa""",Ecuador,#mamaescuchoborroso #mamametameenarroz #viral #parati #amistadessinceras #weyimaginate,0,0,0,0,0,0,1,0,0,1
4,EC,7075836660679740677,1647471605,Reply to @andreitapincay93  #viajes #tips #puntacana #republicadominicana #fyp,6809449739789698054,Marian Daniela,"Un poco de esto…un poco de aquello 🤓
Instagram: @mariandaniela98
Nuevo video ⬇️",0,False,https://www.tiktok.com/@mariandaniela98/video/7075836660679740677?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075836660679740677&source=h5_m,2200196,2049,20081,27293,175516,7075836687401945862,7075836687401945862,72,7075836687401945862,original sound - mariandaniela98,Marian Daniela,6.809449739789698e+18,Marian Daniela,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075836676295215878.mp3,,False,False,[],0,0,,,,,Ecuador,#viajes #tips #puntacana #republicadominicana #fyp,0,0,0,1,0,0,0,0,0,0
5,EC,7075553309498625286,1647405635,#parati 🤣,6812835219986416646,Giomy,,0,False,https://www.tiktok.com/@giomayrafreire/video/7075553309498625286?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075553309498625286&source=h5_m,7967619,4318,48973,51335,320501,7075553178560891653,7075553178560891653,72,7075553178560891653,original sound - giomayrafreire,Giomy,6.812835219986417e+18,Giomy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075553238392556294.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ea9398997e0d73f0c056bbbabca46726.json,False,False,[],0,0,,,,,Ecuador,#parati,0,0,0,0,0,0,1,0,0,0
6,EC,7091358725214113030,1651085618,Si ven algo raro avísenme porfa,6834606743910548485,Kardations,Visita mi Instagram y habla conmigo❤️,0,False,https://www.tiktok.com/@kardations/video/7091358725214113030?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091358725214113030&source=h5_m,1274507,1094,4707,8377,79251,7083525328743729925,7083525328743729925,72,7083525328743729925,original sound - doraemonofficial_,DoraemonOfficial_,6.953653679401879e+18,DoraemonOfficial_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083525331876956933.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3d5eb73e9edd4de3dfb66daf9fc918f4.json,False,False,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
