,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_duet,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_ghanatiktok,hash_tiktok,hash_tiktokghana,hash_trending,hash_viral
0,GH,7100166587474365701,1653136360,Is the attitude for meeee😂😂😂😂😂😂😂😂😂#realolisa #fyp @SERWAA AMIHERE miss u mommy ❤️💕😘🔌,6986902896118793222,RealOlisa,,0,False,https://www.tiktok.com/@realolisa/video/7100166587474365701?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100166587474365701&source=h5_m,801907,1407,433,2783,63410,7095264131733555973,7095264131733555973,72,7095264131733555973,original sound - blackishstylish4,Blackish stylish,6.877129845634811e+18,Blackish stylish,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095264123927251718.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e29c59806c5b3772cba0d296c68a171a.json,False,False,,,,,[],0,0,Ghana,#realolisa #fyp,0,0,0,1,0,0,0,0,0,0
1,GH,7096556096680152325,1652295725,Be minding your business 😂😂😂 @emmaifeanyi,6816226357635564550,FellaMakafui,"Actress,BUSINESS MOGUL !!",0,False,https://www.tiktok.com/@fella_makafui/video/7096556096680152325?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096556096680152325&source=h5_m,7340286,6501,21432,120685,401537,7096556103365872390,7096556103365872390,72,7096556103365872390,original sound - fella_makafui (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",6.816226357635565e+18,FellaMakafui,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096556112568126214.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7285d7e62b529e586da9186e3ec0af78.json,False,False,Kizz Daniel & Tekno,Buga (Lo Lo Lo),original sound - fella_makafui (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
2,GH,7103556279527935237,1653925583,Give and Take…😂😂😂❤️#verifydemandandsupply1,6814765482471080966,demandandsupply,Two funny boys.🤣😀🥰..feel free to chat.,0,False,https://www.tiktok.com/@demandandsupplyd_s/video/7103556279527935237?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103556279527935237&source=h5_m,182590,1708,494,2115,20585,7103556304588802822,7103556304588802822,72,7103556304588802822,original sound - demandandsupplyd_s,demandandsupply,6.814765482471081e+18,demandandsupply,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103556305562323717.mp3,,False,False,,,,,[],0,0,Ghana,#verifydemandandsupply1,0,0,0,0,0,0,0,0,0,0
3,NG,7100978723565866246,1653325449,@Camidoh performs #sugarcaneremix on Glitchafrica & it’s litt🤩🥳🔥… #fyp #fypシ #sugarcanechallenge #viral #trending #mayorkun #tiktoknigeria #ghana #ghanatiktok,6993829809470587909,glitchafrica,"For the love of Music, Arts, Podcasts and more",0,False,https://www.tiktok.com/@glitchafrica/video/7100978723565866246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100978723565866246&source=h5_m,2026985,2566,12854,98072,254500,7100978733745474309,7100978733745474309,72,7100978733745474309,original sound - glitchafrica,glitchafrica,6.993829809470588e+18,glitchafrica,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100978730507471622.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/932f65c08ad222fa019002bc5fad82fb.json,False,False,,,,,[],0,0,Ghana,#sugarcaneremix #fyp #fypシ #sugarcanechallenge #viral #trending #mayorkun #tiktoknigeria #ghana #ghanatiktok,0,0,0,1,1,1,0,0,1,1
4,GH,7073488923200277766,1646924979,😏 #emmaifeanyi,6890732833414775814,Emma Ifeanyi,"Welcome to my page🥰
WE ALMOST THERE GUYS😩❤️
A follow 4rm U will make it work🙏",0,False,https://www.tiktok.com/@emmaifeanyi/video/7073488923200277766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073488923200277766&source=h5_m,2803439,4139,5095,31955,291406,6895446692632562433,6895446692632562433,72,6895446692632562433,Another Number,mum,6.718678335486117e+18,mum,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6895446621065415426.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9039a06f078a5b077dcdee7f624e6fc9.json,False,False,,,,,[],0,0,Ghana,#emmaifeanyi,0,0,0,0,0,0,0,0,0,0
5,US,7101685257547599105,1653489951,#fyp #fypシ #fakebody⚠️,6705993644383405062,Sky,"your favorite latina 💕
SP!CY L!NK on my insta 🌶🔗 @shantskyxo",0,False,https://www.tiktok.com/@skyshantal/video/7101685257547599105?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101685257547599105&source=h5_m,1070895,623,701,2166,44185,6811968697339579141,6811968697339579141,72,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6.601044405204779e+18,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0,0,Ghana,#fyp #fypシ #fakebody⚠️,0,0,0,1,1,0,0,0,0,0
6,GH,7099481274305334534,1652976797,Can’t wait to get there 😮‍💨 #erkuahofficial #carrymedeygo #fyp #viral,6679886495132910597,erkuahofficial 🤪,"This is my only account!!!
I’m here to make you smile ☺️
Thank you for 2.7M 🎉",0,False,https://www.tiktok.com/@erkuahofficial/video/7099481274305334534?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099481274305334534&source=h5_m,2391226,3867,3784,26286,254498,7098293211214465835,7098293211214465835,72,7098293211214465835,Carry Me Dey Go (Contains music from: Carry Me Dey Go My Husband House - O'tion),"Contains music from: ""Carry Me Dey Go My Husband House""",7.017152403180307e+18,Naijadove.tv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098293326113229614.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6eb535c39c53250468348d3144cf6162.json,False,False,O'tion,Carry Me Dey Go My Husband House,Carry Me Dey Go (Contains music from: Carry Me Dey Go My Husband House - O'tion),"Contains music from: ""Carry Me Dey Go My Husband House""",[],0,0,Ghana,#erkuahofficial #carrymedeygo #fyp #viral,0,0,0,1,0,0,0,0,0,1
7,CM,7102167861418020101,1653602317,#nigeriantiktok #viralvideo #trending,6934755490664678405,user5577838391963,"Content creator , cruise , gossip sports 
Present goal 100k🇨🇲🇳🇬",0,False,https://www.tiktok.com/@mrbaldykayafa/video/7102167861418020101?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102167861418020101&source=h5_m,4287192,2343,3685,33494,203929,7102167856095890181,7102167856095890181,72,7102167856095890181,original sound - mrbaldykayafa,user5577838391963,6.934755490664678e+18,user5577838391963,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102167837304720134.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6fea4ad027b6f6ed8361697b2cba6b5c.json,False,False,,,,,[],0,0,Ghana,#nigeriantiktok #viralvideo #trending,0,0,0,0,0,0,0,0,1,0
0,GH,7102057921638419717,1653576719,Boss Lawyer 😂😂😂 @kejetiavsmakola #trending #viral #fyp #silimarket,7041166342103729157,Kejetia Vs Makola,Live Before You die ♥🎁,0,False,https://www.tiktok.com/@kejetiavsmakola/video/7102057921638419717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102057921638419717&source=h5_m,106448,41,166,1350,6078,7102057927053363974,7102057927053363974,72,7102057927053363974,original sound - kejetiavsmakola,Kejetia Vs Makola,7.041166342103729e+18,Kejetia Vs Makola,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102057919188880134.mp3,,False,False,,,,,[],0,0,Ghana,#trending #viral #fyp #silimarket,0,0,0,1,0,0,0,0,1,1
1,GH,7100901137892543750,1653307385,School is scam😂😂🤣🤣#fyp #viral #morelikes,6920892778705175557,Caron❤️✨,Just dm for your advertisement ❤️💔,0,False,https://www.tiktok.com/@caron_zoe/video/7100901137892543750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100901137892543750&source=h5_m,759012,571,244,4050,70969,7100901094410291973,7100901094410291973,72,7100901094410291973,original sound - caron_zoe,Caron❤️✨,6.920892778705176e+18,Caron❤️✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100901123220884230.mp3,,False,False,,,,,[],0,0,Ghana,#fyp #viral #morelikes,0,0,0,1,0,0,0,0,0,1
2,DO,7101464137640824069,1653438469,#parati #paratii #paratitiktok #paraty #viral #viralditiktok #viralvideos #typing #typ #moreviews #bandidas,6938843682356806662,Thais🦋,"Dominicana 🇩🇴
Aries ♈️
Instagram: thais_0911",0,False,https://www.tiktok.com/@thaisrosario8/video/7101464137640824069?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101464137640824069&source=h5_m,6160209,5856,20132,72112,302565,7101464129763805957,7101464129763805957,72,7101464129763805957,original sound - thaisrosario8 (Contains music from: Parra Sin Doncon - El Alfa),"Contains music from: ""Parra Sin Doncon""",6.938843682356807e+18,Thais🦋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101464118850276101.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/593c61a97c5ed6620a842a49a7f45860.json,False,False,El Alfa,Parra Sin Doncon,original sound - thaisrosario8 (Contains music from: Parra Sin Doncon - El Alfa),"Contains music from: ""Parra Sin Doncon""",[],0,0,Ghana,#parati #paratii #paratitiktok #paraty #viral #viralditiktok #viralvideos #typing #typ #moreviews #bandidas,0,0,0,0,0,0,0,0,0,1
3,GH,7099116377222466822,1652891837,😏😏😇😇,6768515019991876614,Bintu_Hajia,"IG@Bintu_hajia
Snap @h_bintu2019
Twitter @bintuhajia1
YouTube-hajiabintugh
🇬🇭",0,False,https://www.tiktok.com/@bintu_hajia/video/7099116377222466822?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099116377222466822&source=h5_m,1066377,369,561,5738,60459,7084941389771197189,7084941389771197189,72,7084941389771197189,original sound - speedingup.afrobeats,Yahooze😕,7.043863493116265e+18,Yahooze😕,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084941382921767686.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6cc5fb30716f1ff6f21b263d84dda55f.json,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
4,GH,7099804234111028485,1653051992,Akabenezer spoil der 🤣🤣🤣 #Akabenezer #akabenezer #akabenezertv #kunkra #kunkrachallenge #buga #bugachallenge #totobikwakye #odoyewuperpetual #adwenfi #adwenpa_ba,7098971460916511749,Akabenezer,We here to support Akabenezer let’s all like n share the videos 🥰🥺😘,0,False,https://www.tiktok.com/@we_loves_akabenezer/video/7099804234111028485?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099804234111028485&source=h5_m,1124069,267,2239,33134,64612,7087639935687199493,7087639935687199493,72,7087639935687199493,original sound - officialstarter_ (Contains music from: Kids choir - Syp),"Contains music from: ""Kids choir""",7.046761783016752e+18,Officialstarter_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087639943485000453.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/968e2a1b8ffa58c0a8906279bf3c0631.json,False,False,Syp,Kids choir,original sound - officialstarter_ (Contains music from: Kids choir - Syp),"Contains music from: ""Kids choir""",[],0,0,Ghana,#Akabenezer #akabenezer #akabenezertv #kunkra #kunkrachallenge #buga #bugachallenge #totobikwakye #odoyewuperpetual #adwenfi #adwenpa_ba,0,0,0,0,0,0,0,0,0,0
5,GH,7079150347314384133,1648243132,😂,6786539522182087685,Nana Abena Korkor Ad,"Biz on IG
@missabenakorkor
@naturalbyabk
@fashionbyabk",0,False,https://www.tiktok.com/@missabenakorkor_/video/7079150347314384133?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079150347314384133&source=h5_m,344982,290,158,582,21718,7079150328918100741,7079150328918100741,72,7079150328918100741,original sound - missabenakorkor_,Nana Abena Korkor Ad,6.786539522182088e+18,Nana Abena Korkor Ad,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079150320765111046.mp3,,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
6,GH,7083162664876248326,1649177323,😁😁 #lgbt🌈 #trending,7011039306748609541,Urp_Kharming_Phaceking,Spread love everywhere you go.Let no one ever come to you without leaving happie,0,False,https://www.tiktok.com/@urp_kharming_phaceking/video/7083162664876248326?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083162664876248326&source=h5_m,1071025,1486,2379,1167,74012,7035607588838443782,7035607588838443782,72,7035607588838443782,original sound - stagaprince,Staga Prince,6.930271379640452e+18,Staga Prince,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7035607701694548741.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/93314d353c61217f060f60fc1f8d7410.json,False,False,,,,,[],0,0,Ghana,#lgbt🌈 #trending,0,0,0,0,0,0,0,0,1,0
7,IT,7102834961610181894,1653757637, ,6831040628182746117,Lamin Colley,"COLLEY CL7🙍
Gambian🇬🇲
proud Muslim 🕌🕋
Feb gme football ⚽
6 may🎂🎂🎂",0,False,https://www.tiktok.com/@colley.cl7/video/7102834961610181894?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102834961610181894&source=h5_m,2347163,2201,1001,7627,120726,6841964608417237766,6841964608417237766,72,6841964608417237766,original sound - starboo95,Star Boo,6.798869420532041e+18,Star Boo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6841964572224572166.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/80e4fe1b55a883b05059fb1bbd16adab.json,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
0,GH,7102798962767219974,1653749256,#viral #answer #fyn #trend #fyyyyyp #goviral #viralvideos #fypシ #fypシ゚viral #duet,7022783661695468550,Pretty_Demon,"IG: jennytyra_
Actress 
Fashion Model
Video Vixen
Dm 4 ya ADS….Endorsement",0,False,https://www.tiktok.com/@jennytyra12/video/7102798962767219974?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102798962767219974&source=h5_m,179828,250,85,783,16503,7101326178790689541,7101326178790689541,72,7101326178790689541,original sound - marhme_barnes,Marhme Barnes,6.799179121375741e+18,Marhme Barnes,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101326178639825670.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c45868ec8be61c6ff8823c8ee7137b2b.json,False,False,,,,,[],0,0,Ghana,#viral #answer #fyn #trend #fyyyyyp #goviral #viralvideos #fypシ #fypシ゚viral #duet,1,0,0,0,2,0,0,0,0,2
1,GH,7102453251253030149,1653668764, ,7102132570557187077,PLEASE REPEND,"Join our daily cashout group 
🇬🇭🇳🇬",0,False,https://www.tiktok.com/@save_ghana/video/7102453251253030149?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102453251253030149&source=h5_m,211827,0,423,3627,5078,7018268929202063361,7018268929202063361,10033,7018268929202063361,Adaka Tea,Daddy Lumba,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/bc26c8e82b1a453f8cd0f48e7f5634fe,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/eab2f53219574422998e5e791b636362,False,True,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
2,GH,7100989168590802182,1653327880,Reply to @mrproskid I love u😩❤️,6980348694362031110,Akua Sarpomah,Please no one should like 4 of my videos at a time 🥺🙏or I will block you ❗️,0,False,https://www.tiktok.com/@akua_03/video/7100989168590802182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100989168590802182&source=h5_m,191136,401,61,438,16194,7091395652629859078,7091395652629859078,72,7091395652629859078,Abonten By BJ Breezy ft Blacko and Kwesi Arthur,Show lyrics🇳🇬💝🇬🇭,7.049864345329092e+18,Show lyrics🇳🇬💝🇬🇭,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091395645047114502.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fa26249a77f415396e87d2152b305675.json,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
3,NG,7101637254275157254,1653478775,#question from @queenjamescfr2 which country killed it 🇬🇳🇬🇭 . #queenjamescfr #guinea #ghana #ghanatiktok #ghanatiktok🇬🇭 #ghanafuodotcom #guineaecuatorial🇬🇶 #guineaecuatorial #dancechallege #challenges_tiktok #win #chooseone,7062671216801481733,Queen👑 🔱⚜️,"Brand influencer 
DM for Promotion
Join my live to grow ur TikTok 🔱
Giveaway💯",0,False,https://www.tiktok.com/@queenjamescfr2/video/7101637254275157254?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101637254275157254&source=h5_m,236532,1268,135,604,7290,7101637230850706181,7101637230850706181,72,7101637230850706181,original sound - queenjamescfr2 (Contains music from: Body Breaker - DJ KAYSMART),"Contains music from: ""Body Breaker""",7.062671216801482e+18,Queen👑 🔱⚜️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101637236348685061.mp3,,False,False,DJ KAYSMART,Body Breaker,original sound - queenjamescfr2 (Contains music from: Body Breaker - DJ KAYSMART),"Contains music from: ""Body Breaker""",[],0,0,Ghana,#question #queenjamescfr #guinea #ghana #ghanatiktok #ghanatiktok🇬🇭 #ghanafuodotcom #guineaecuatorial🇬🇶 #guineaecuatorial #dancechallege #challenges_tiktok #win #chooseone,0,0,0,0,0,2,0,0,0,0
4,GH,7103535573440138502,1653920762,NB: The last one unless May you’re an online vendor then it’s fine :( but if you’re not and you post like that bruh,317451338010005505,PRINCE CHARMING 🌎❤️💦,"Follow my IG :Alusty_sheen 
Snapchat:@alustysheen1
DM for paid Ads & Promos👇🏽",0,False,https://www.tiktok.com/@alustysheen/video/7103535573440138502?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103535573440138502&source=h5_m,153915,486,414,4143,13888,6780105155212740610,6780105155212740610,10033,6780105155212740610,Laughing,Gianluca Marino,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8737cfed1275419995af77c0f6f22195,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/3138c37d97094ba99dff97a80603d76f,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1390061916', 'external_song_key': 'apple_song_id'}]",0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
5,GH,7102949693247835397,1653784352,Advice from @lhogy #celebritybismark #marcopadochi1 #lhogy,6833754146627159046,OheneGudNews,"Music Lover 
Mood Activator 
 🕺VIBES",0,False,https://www.tiktok.com/@celebritybismark/video/7102949693247835397?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102949693247835397&source=h5_m,97418,189,679,5886,10625,7102949663245994758,7102949663245994758,72,7102949663245994758,original sound - celebritybismark,OheneGudNews,6.833754146627159e+18,OheneGudNews,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102949700705340165.mp3,,False,False,,,,,[],0,0,Ghana,#celebritybismark #marcopadochi1 #lhogy,0,0,0,0,0,0,0,0,0,0
6,GH,7100227272979795205,1653150487,@alishaskincaregh @emmaifeanyi @trimudeee #viral,6816636336691348486,musah.23,"Movie Actor TikTok influencer 
Follow me on IG @Officialmusah.23
Follow on
 👇",0,False,https://www.tiktok.com/@musah.23/video/7100227272979795205?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100227272979795205&source=h5_m,2401594,3421,2735,32446,217093,7100227266948467462,7100227266948467462,72,7100227266948467462,original sound - musah.23 (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",6.816636336691348e+18,musah.23,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100227282412784390.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6dd6c16c65da0d675572edaacc784d90.json,False,False,Kizz Daniel & Tekno,Buga (Lo Lo Lo),original sound - musah.23 (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",[],0,0,Ghana,#viral,0,0,0,0,0,0,0,0,0,1
7,GN,7101163941769874694,1653368577, ,6727038654987387910,Aissatou de Mariame,,0,False,https://www.tiktok.com/@aissatousanoh/video/7101163941769874694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101163941769874694&source=h5_m,6519219,1459,9860,3691,553554,263900964263170048,263900964263170048,71,263900964263170048,African Queen,2 Face Idibia,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f127e1d816a6412a8c5c51db01703b70,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/336151a752d24a9186d17c998c788761,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '967764304', 'external_song_key': 'apple_song_id'}]",0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
0,GH,7103448945724050694,1653900595,#foryoupage #ghanatiktok🇬🇭 #nigeriantiktok,6863448190805820421,The_bene,African Movies 🍿,0,False,https://www.tiktok.com/@mawuvinyo/video/7103448945724050694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103448945724050694&source=h5_m,79569,52,22,250,4506,7103448908428282629,7103448908428282629,72,7103448908428282629,original sound - mawuvinyo,The_bene,6.86344819080582e+18,The_bene,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103448874550954758.mp3,,False,False,,,,,[],0,0,Ghana,#foryoupage #ghanatiktok🇬🇭 #nigeriantiktok,0,0,1,0,0,1,0,0,0,0
1,UG,7103464828877999365,1653904292,Hair and beauty Expo 🔥#model #Runway #fashion #passion #enjoy,6958342535296287750,Lumbu Gaspard,C.E.O & founder of JUST PUSH💪|Personal trainer|Fitnessmodel|Actor| videoKing 😎,0,False,https://www.tiktok.com/@gaspard_official01/video/7103464828877999365?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103464828877999365&source=h5_m,152674,172,80,761,11503,7086565365081328390,7086565365081328390,10036,7086565365081328390,Sugarcane - Remix,Camidoh & Mayorkun & Darkoo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7c00fc9fc4e6447d855a50d83cd3a261,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ab1bb18c75314d4bbc95d0c495e5fd4f,False,True,,,,,[],0,0,Ghana,#model #Runway #fashion #passion #enjoy,0,0,0,0,0,0,0,0,0,0
2,GH,7089357504764742917,1650619675,Everybody say kun kura 😂😂#laasu #jackline_mensah #donmama🤑 #donmama🤑 #ghanatiktok #kunkura #viral,6671946882523643910,THE TIKTOK GODDESS 🧝🏻‍♀️,"Tap on the link below to follow me on Instagram 🥰❤️
2M?🥺🥺
I luv y’all 😻",0,False,https://www.tiktok.com/@jackline_mensah/video/7089357504764742917?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089357504764742917&source=h5_m,494487,795,197,2676,67503,7089004561331211013,7089004561331211013,72,7089004561331211013,original sound - jackline_mensah (Contains music from: Kids choir - Syp),"Contains music from: ""Kids choir""",6.671946882523644e+18,THE TIKTOK GODDESS 🧝🏻‍♀️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089004572438039301.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c52f87a47c49fd036e2fd4836bcdc540.json,False,False,Syp,Kids choir,original sound - jackline_mensah (Contains music from: Kids choir - Syp),"Contains music from: ""Kids choir""",[],0,0,Ghana,#laasu #jackline_mensah #donmama🤑 #donmama🤑 #ghanatiktok #kunkura #viral,0,0,0,0,0,1,0,0,0,1
3,DE,7092394773809614086,1651326843,Reply to @select_gh @ama_geld @misslatinogh222 @miss_ann3,6746485274706904069,Yaa baby,"Having fun with family 
Please add me on IG @yaa___bab",0,False,https://www.tiktok.com/@yaa__baby/video/7092394773809614086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092394773809614086&source=h5_m,500355,669,238,186,51074,7092394765677120261,7092394765677120261,72,7092394765677120261,original sound - yaa__baby,Yaa baby,6.746485274706904e+18,Yaa baby,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092394782168713989.mp3,,False,False,,,,,[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
4,US,7094065999405763882,1651715953,#answer to @lagaff5 #viralvideo #fyp #ex #obsessedwithit,6680251181162251269,SHENYENGofficial,Artiste 🎶 ALPHA  march 11 🐉 TRUST GOD 🙏🏼,0,False,https://www.tiktok.com/@shenseea/video/7094065999405763882?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094065999405763882&source=h5_m,4746051,6434,16121,35059,625611,7094065969265462058,7094065969265462058,72,7094065969265462058,original sound - shenseea,SHENYENGofficial,6.680251181162251e+18,SHENYENGofficial,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7094065989301848878.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c34cf5e4f8dc72768f03cca16a3e80c8.json,False,False,,,,,[],0,0,Ghana,#answer #viralvideo #fyp #ex #obsessedwithit,0,0,0,1,0,0,0,0,0,0
