,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_gaming,hash_minecraft,hash_minecraftbuilding,hash_pourtoi,hash_trend,hash_viral
5,FR,7093911239373360389,1651679922,Tips du jour quand vous filmez au smartphone ✌️ #smartphonetricks #smartphonephotography #phototutorial #tiktokacademie,6778063147225547782,BEN FILMS,"📸 Photographe & Vidéaste Voyage
🚀 1 TikTok chaque jour !
👉 Go sur Insta 👈",0,False,https://www.tiktok.com/@ben_films/video/7093911239373360389?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093911239373360389&source=h5_m,3354972,904,6536,625,216985,6756177818679265281,6756177818679265281,10033,6756177818679265281,Chill Day,LAKEY INSPIRED,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0885d3a1cfa94c93a3d0c7e79e0a88a4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d91f04ab9d6c4437bdfd57af025f868f,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1370620271', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#smartphonetricks #smartphonephotography #phototutorial #tiktokacademie,0,0,0,0,0,0,0,0,0,0
6,MG,7092722989220809990,1651403261, ,6861341288106705926,Quëen Camie,,0,False,https://www.tiktok.com/@randrianjafy/video/7092722989220809990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092722989220809990&source=h5_m,243497,135,532,1100,16165,7057213702919015173,7057213702919015173,72,7057213702919015173,original sound - mrrrtom,Mrrr Tom,6.901030270196729e+18,Mrrr Tom,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7057213725681634054.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7620a7f00720d978688bf752da970726.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
7,ES,7077270898482482438,1647805539,Draft / cannot record new videos :(,6516436310796801039,Juanpe,"💀 Live matches 😈 / from Barcelona
Juvnpe@gmail.com",0,False,https://www.tiktok.com/@juvnpe/video/7077270898482482438?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077270898482482438&source=h5_m,2438540,1241,1776,10594,188618,7025041963099409154,7025041963099409154,72,7025041963099409154,original sound - leca0319 (Contains music from: Touch It - KiDi),"Contains music from: ""Touch It""",6.799498563674031e+18,Carol,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7025041989456513793.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/be0cb2132ad6ad92ed8948e7a1083376.json,False,False,[],0,0,KiDi,Touch It,original sound - leca0319 (Contains music from: Touch It - KiDi),"Contains music from: ""Touch It""",Madagascar,,0,0,0,0,0,0,0,0,0,0
0,US,7098016046568820014,1652635645,That one kid at Church 😂 #fypシ #unbanthemanniishow #themannii,11956846,The Mannii Show,"ʕ•̫͡•ʔ🙏🏼Follow my YouTube⤴️ iNstaGram⤴️ʕ•̫͡•ʔ
✨BLM✨
Merch Coming S♾N 🧢🔥",0,False,https://www.tiktok.com/@the_mannii/video/7098016046568820014?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098016046568820014&source=h5_m,2807671,6848,5168,12664,376964,6926421229222071041,6926421229222071041,72,6926421229222071041,Our God is an awesome God (Contains music from: Awesome God - Hillsong UNITED),"Contains music from: ""Awesome God""",6.869283976847361e+18,Genevieve,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6926421173844708098.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6a0b9d6e2b721711001d6d0c83e8d8f8.json,False,False,[],0,0,Hillsong UNITED,Awesome God,Our God is an awesome God (Contains music from: Awesome God - Hillsong UNITED),"Contains music from: ""Awesome God""",Madagascar,#fypシ #unbanthemanniishow #themannii,0,0,0,1,0,0,0,0,0,0
1,DE,7097258882828995846,1652470200,:),6859025323972920325,daniel.ux,"📚 | Motivational & Educational Content
👇🏼 | Start making money online",0,False,https://www.tiktok.com/@daniel.ux/video/7097258882828995846?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097258882828995846&source=h5_m,2106760,916,7527,976,188740,7097305439116806917,7097305439116806917,72,7097305439116806917,original sound - daniel.ux,daniel.ux,6.85902532397292e+18,daniel.ux,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097305463968074502.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e00b7497145a29f4514d2c67b482c657.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
2,US,7091802377275133226,1651188913,Listen to this one all the way through… So wholesome 😌 #motivationalquotes #benicetoeveryone #wholesomecontent #treatotherswithrespect #virall,7021250691378693125,Motivation | Inspiration,"🧠 Helping You With Daily Motivation
👆 Follow To Join The Family",0,False,https://www.tiktok.com/@wealthlock/video/7091802377275133226?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091802377275133226&source=h5_m,5007348,3353,41626,120742,439707,7087753845555612459,7087753845555612459,72,7087753845555612459,original sound - foryousage,Chad Kawalec 😉 Dᴀɪʟʏ Qᴜᴏᴛᴇs,2.3425583692622643e+17,Chad Kawalec 😉 Dᴀɪʟʏ Qᴜᴏᴛᴇs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7087753863142312750.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/eaa900788f4009455f3a903e603062f0.json,False,False,[],0,0,,,,,Madagascar,#motivationalquotes #benicetoeveryone #wholesomecontent #treatotherswithrespect #virall,0,0,0,0,0,0,0,0,0,0
3,NG,7091649169852468485,1651153242,I always thought I sounded really good 😂😂😂 #Roommate #singing #whatithinkisoundlike #teamtennie,6707711898941473797,I_am_tjan,"🇳🇬 
GOD first 🤍
African
Very DYNAMIC 
Follow my Instagram @i_am_tjan",0,False,https://www.tiktok.com/@i_am_tjan/video/7091649169852468485?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091649169852468485&source=h5_m,1983166,1634,5401,8843,186609,7031187298913962757,7031187298913962757,72,7031187298913962757,original sound - slightproduction,Slightproduction,6.799747386072761e+18,Slightproduction,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7031187365972429573.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b28329ae595dc9a2c7be95192b4a4aee.json,False,False,[],0,0,,,,,Madagascar,#Roommate #singing #whatithinkisoundlike #teamtennie,0,0,0,0,0,0,0,0,0,0
4,CA,7085439081546566918,1649707343,My neighbours probably think I’m weird #dance #dancechallenge #tutorial  #tutorials,206449984714461184,Bizzy Boom,"Dance/Lifestyle
Inquiries: bizzy@viralnationtalent.com
🇨🇦🇬🇭🇬🇩",0,False,https://www.tiktok.com/@bizzyboom/video/7085439081546566918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085439081546566918&source=h5_m,577449,252,665,3864,40082,6978936259662154501,6978936259662154501,72,6978936259662154501,Look At Me Now (Contains music from: Look At Me Now (feat. Lil' Wayne & Busta Rhymes) - Chris Brown),"Contains music from: ""Look At Me Now (feat. Lil' Wayne & Busta Rhymes)""",6.917466274193262e+18,Daniiel Ortegaa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6978936356449848069.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6cedb62f4aa35770a92432a4106bede0.json,False,False,[],0,0,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Look At Me Now (Contains music from: Look At Me Now (feat. Lil' Wayne & Busta Rhymes) - Chris Brown),"Contains music from: ""Look At Me Now (feat. Lil' Wayne & Busta Rhymes)""",Madagascar,#dance #dancechallenge #tutorial #tutorials,0,0,0,0,0,0,0,0,0,0
5,MG,7101959061687569670,1653553704, ,6988795184130720774,fanirysoa316,Je suis là pour m’amuser 💕😅,0,False,https://www.tiktok.com/@fanirysoa316/video/7101959061687569670?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101959061687569670&source=h5_m,21213,23,27,77,597,7099365850180356869,7099365850180356869,72,7099365850180356869,original sound - sophie_randria,Sophie Randria,6.7821751275482e+18,Sophie Randria,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099365859033991941.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dc8aaa63445f211860aaff9f06a617b6.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
6,MG,7084967306287189253,1649597499,@shawnmendes 🥺 #shawnmendes #camilacabello #shawmila #whenyouregone #fy #fyp #foryou,7075006361516557318,Lix and Faci ✨,love is everything,0,False,https://www.tiktok.com/@ilitsm/video/7084967306287189253?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084967306287189253&source=h5_m,378240,131,250,470,29526,7081094993158342657,7081094993158342657,10033,7081094993158342657,When You're Gone,Shawn Mendes,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8067986f306c49749ecd1e4d5c837df7,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1cd3b2cd1d7445eab345fd26894751ba,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1616186939', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#shawnmendes #camilacabello #shawmila #whenyouregone #fy #fyp #foryou,1,0,1,0,0,0,0,0,0,0
7,IT,7101350936471244038,1653412111, ,144247351811911680,irene,ig: em.ire,0,False,https://www.tiktok.com/@em.ire/video/7101350936471244038?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101350936471244038&source=h5_m,1410894,1561,3678,20638,226613,6902868608632769285,6902868608632769285,72,6902868608632769285,7 bill ppl and not one crush (Contains music from: Pargoy Tak Jelas - Yang Lagi Viral),"Contains music from: ""Pargoy Tak Jelas""",6.718850535833585e+18,kat,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6902868462834666245.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5cbea879d60fa27150ec1d8fb8f2c652.json,False,False,[],0,0,Yang Lagi Viral,Pargoy Tak Jelas,7 bill ppl and not one crush (Contains music from: Pargoy Tak Jelas - Yang Lagi Viral),"Contains music from: ""Pargoy Tak Jelas""",Madagascar,,0,0,0,0,0,0,0,0,0,0
0,ZA,7077632834084654341,1647889809, ,6809328737747895302,immanuelmakuse,Co owner at @off_duty_za shop online at www.offduty.shop 🇿🇦 subscribe to R&I,0,False,https://www.tiktok.com/@immanuelmakuse/video/7077632834084654341?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077632834084654341&source=h5_m,2238578,1483,8732,49415,231935,6905915318615476998,6905915318615476998,72,6905915318615476998,original sound - ariel.fitz,Ariel Fitz,6.75226634622034e+18,Ariel Fitz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6905915373736987398.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/63693d4d9813e7eb8d569d519be84a67.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
1,FR,7074883566743686406,1647249698,#devinelapersonne #pourtoi #fypシ #malgache🇲🇬 #malgache #,6846967326559896581,donovannnbzl,🇲🇬🇷🇪,0,False,https://www.tiktok.com/@donovannnbzl/video/7074883566743686406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074883566743686406&source=h5_m,51622,140,92,0,4894,7070511827846826757,7070511827846826757,72,7070511827846826757,OUH IH OUH AH AH (Contains music from: Bintou - D0wzy),"Contains music from: ""Bintou""",7.013355404747359e+18,RapLife,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070511844100360965.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5ab82e3ac9e5e6e233d686feef4edf5d.json,False,False,[],0,0,D0wzy,Bintou,OUH IH OUH AH AH (Contains music from: Bintou - D0wzy),"Contains music from: ""Bintou""",Madagascar,#devinelapersonne #pourtoi #fypシ #malgache🇲🇬 #malgache #,0,0,0,1,0,0,0,1,0,0
2,FR,7090941801753824518,1650988546, ,6842731600107717638,Annaëlle 💫,"j'ai 17 ans pas 13
Allez sur insta ⬆️⬆️
📥 elleanna.dream@gmail.com",0,False,https://www.tiktok.com/@elleanna.d/video/7090941801753824518?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090941801753824518&source=h5_m,1118597,613,169,16,147137,6880939595882580738,6880939595882580738,72,6880939595882580738,original sound - noemie3563,noemie,6.82254698941232e+18,noemie,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6880939530661284610.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/108ba6ab4999116056a098fad94807b2.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
