,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_movie,hash_oscarsathome,hash_polytiktok,hash_viral
2,GB,7084574102639480069,1649505950,It was at this moment that she knew she f*cked up😂😂😂#foryou #mrkebs24 #pourtoi #foryoupage #blowthisup #viral #reaction #duet,6646050010156105733,Itsyourboymrkebs,"Say nothin 
Vid/creator 
Youtb:istyourboymrkebs
IG: Keliank24 
🤴🏽",0,False,https://www.tiktok.com/@officialmrkebs24/video/7084574102639480069?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084574102639480069&source=h5_m,9452015,6295,25512,12908,1396839,7084574081927957254,7084574081927957254,72,7084574081927957254,original sound - officialmrkebs24,Itsyourboymrkebs,6.646050010156106e+18,Itsyourboymrkebs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084574081340672773.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/23f77513d0f8359a54f1bb8884efc53b.json,False,False,,,,,[],0,0,American Samoa,#foryou #mrkebs24 #pourtoi #foryoupage #blowthisup #viral #reaction #duet,0,1,1,0,0,0,0,0,0,1
3,US,7076148811042950446,1647544283,Gonna start making rotis at midnight in the dark brb #roti #rotimaker #indianfood #sound,6832346131881821190,Maya A,"What’s this? A mother, caught off her guard?",0,False,https://www.tiktok.com/@that_maya_girl_/video/7076148811042950446?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076148811042950446&source=h5_m,5862665,1875,3232,200,147112,7076148784459172651,7076148784459172651,72,7076148784459172651,original sound - that_maya_girl_,Maya A,6.832346131881821e+18,Maya A,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076148804290087726.mp3,,False,False,,,,,[],0,0,American Samoa,#roti #rotimaker #indianfood #sound,0,0,0,0,0,0,0,0,0,0
4,US,7080527713802620206,1648563827,Nobody got hurt everything is Protected no Danger no Violation everything is Staged and Fake #fypシ #trynottolaugh #memes,6828995128557356038,Clone commando,Posts random videos and and I like to thank everyone for 27k followers,0,False,https://www.tiktok.com/@officialecho1/video/7080527713802620206?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080527713802620206&source=h5_m,4806178,2254,4675,638,259651,7080527642101156651,7080527642101156651,72,7080527642101156651,original sound - officialecho1,Clone commando,6.828995128557356e+18,Clone commando,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080527692088544043.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/cdba834dfb76974c5de2415af28a62de.json,False,False,,,,,[],0,0,American Samoa,#fypシ #trynottolaugh #memes,0,0,0,0,0,1,0,0,0,0
5,US,7080039502009470250,1648450158,Queen Zendaya has arrived 👑 #oscars #redcarpet #vanityfair #vanityfairoscarparty #zendaya #euphoria,6929027340957697030,Kevin,"my pop favorites on vinyl 
and some pop culture 
🏳️‍🌈",0,False,https://www.tiktok.com/@kevin.vinyls/video/7080039502009470250?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080039502009470250&source=h5_m,12559853,7844,6298,10857,2155663,7080039461366778670,7080039461366778670,72,7080039461366778670,original sound - kevin.vinyls,Kevin,6.929027340957697e+18,Kevin,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080039482640108331.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/05c420adb1b2c9179da294f3450395eb.json,False,False,,,,,[],0,0,American Samoa,#oscars #redcarpet #vanityfair #vanityfairoscarparty #zendaya #euphoria,0,0,0,0,0,0,0,0,0,0
6,TH,7103184378926206234,1653838991,ทิชชู่ถูกและดี#TikTokshop #medusashopping,6751273949558866946,ใบแอ้มอิอิ,"ฝากติดตามไอจีร้านด้วยค้าบบ
Tomesee__",0,False,https://www.tiktok.com/@baiamp/video/7103184378926206234?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103184378926206234&source=h5_m,661,0,0,0,13,7100187251178588933,7100187251178588933,72,7100187251178588933,original sound - spxedupsongs,Esteve <3,7.037579377487594e+18,Esteve <3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100187262982015749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3a77dd0bfa4d765bca0f8f1f58474970.json,False,False,,,,,[],0,0,American Samoa,#TikTokshop #medusashopping,0,0,0,0,0,0,0,0,0,0
7,US,7101313696483347755,1653403441,#stitch with @axolotlplanet,6651006606749450246,Mojo the monkey,"📧Mymojothemonkey@gmail
📫PO BOX 2363 Madison Al 35758
👨‍💻mymojomonkey.com",0,False,https://www.tiktok.com/@mojothemonkey/video/7101313696483347755?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101313696483347755&source=h5_m,2637097,945,513,31,283954,7101313622466399019,7101313622466399019,72,7101313622466399019,original sound - mojothemonkey,Mojo the monkey,6.65100660674945e+18,Mojo the monkey,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7101313687968811818.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/974faae029a35267395cd3a6951c69a0.json,False,False,,,,,[],0,0,American Samoa,#stitch,0,0,0,0,0,0,0,0,0,0
0,AS,7090918720838683946,1650983172,meet shua🤭 #onlyinmycalvins #Totinos425 #fyp,6781686434149745670,𝓼𝓾𝓵𝓾𝓪𝓶𝓪,attracting better😉,0,False,https://www.tiktok.com/@kandyevol/video/7090918720838683946?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090918720838683946&source=h5_m,1492,5,0,0,48,6941986827163142913,6941986827163142913,24,6941986827163142913,Touch X Dougie Remix Challenge (Contains music from: Touch - Little Mix),"Contains music from: ""Touch""",6.794102846188275e+18,Joshua Mijares,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6941986782519053057.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1763110b2a1677ed11ccb7bd59f773b5.json,False,False,Little Mix,Touch,Touch X Dougie Remix Challenge (Contains music from: Touch - Little Mix),"Contains music from: ""Touch""",[],0,0,American Samoa,#onlyinmycalvins #Totinos425 #fyp,0,0,0,0,1,0,0,0,0,0
1,AS,7084638900173458689,1649521037,😎😎😎#realestate #villa #luxury #mansion #design #interiordesign #housetour #house #foryou #houseparty #for,6899273834404119557,Curry,There will always be a set of interest design schemes you like!,0,False,https://www.tiktok.com/@interior_design1989/video/7084638900173458689?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084638900173458689&source=h5_m,1108088,536,1516,2873,141716,6914711053674760193,6914711053674760193,10033,6914711053674760193,drivers license,Olivia Rodrigo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/71eb68a50dfd4877b0a5660a415f5655,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/18cfafce206040b1a727937bf39ed91f,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1545051686', 'external_song_key': 'apple_song_id'}]",0,0,American Samoa,#realestate #villa #luxury #mansion #design #interiordesign #housetour #house #foryou #houseparty #for,0,1,0,0,0,0,0,0,0,0
2,AU,7101604186600557826,1653471075,#fyp#polytok#samoa#samoan#polynesian#skit#comedy,6680309980023948294,Safar Bros,📧 safarbrothers@gmail.com,0,False,https://www.tiktok.com/@safarbrosofficial/video/7101604186600557826?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101604186600557826&source=h5_m,2042050,695,1112,2450,200152,7101604172075649793,7101604172075649793,72,7101604172075649793,original sound - safarbrosofficial,Safar Bros,6.680309980023948e+18,Safar Bros,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101604173594053378.mp3,,False,False,,,,,[],0,0,American Samoa,#fyp#polytok#samoa#samoan#polynesian#skit#comedy,0,0,0,0,1,0,0,0,0,0
3,US,7078426642510630187,1648074632,Aūga lava o le gofo fale ma le kapega fale😂 o mai loa e fai le kakou krump battle 😂😂 #lessgooooo💯🔥🙌🏽,163492980232855552,Patsy Taope Afualo,"fb- Patsy Taope Afualo
ig- Pat._15
sc- patafualo_15
💔",0,False,https://www.tiktok.com/@patsytaopeafualo/video/7078426642510630187?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078426642510630187&source=h5_m,158503,213,46,574,9748,7055576493233146650,7055576493233146650,24,7055576493233146650,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",6.806190479093941e+18,♡🆂🅴🆈 Y-THR3E♡,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7055576499734219546.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed38b24bb516fc7ca2d72dd0197cb9c9.json,False,False,Mary J. Blige,Family Affair,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",[],0,0,American Samoa,#lessgooooo💯🔥🙌🏽,0,0,0,0,0,0,0,0,0,0
4,CA,7074782216571702533,1647226100,All the girls doing this dance on my fyp r 😍😍 ….. DC: @Moanarita🌺  #fyp #sivasamoa #fijian,6794695018139436037,Lewa🌺,"🇫🇯
N.S💍",0,False,https://www.tiktok.com/@_.smk_/video/7074782216571702533?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074782216571702533&source=h5_m,62495,336,20,21,8110,7064498397805759234,7064498397805759234,72,7064498397805759234,original sound - johnnyk.44 (Contains music from: Osana - Vaniah Toloa),"Contains music from: ""Osana""",6.761726376989476e+18,JohnnyK44,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7064498414859815681.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f1513779355680872cff9314a4966a1.json,False,False,Vaniah Toloa,Osana,original sound - johnnyk.44 (Contains music from: Osana - Vaniah Toloa),"Contains music from: ""Osana""",[],0,0,American Samoa,#fyp #sivasamoa #fijian,0,0,0,0,1,0,0,0,0,0
5,AU,7070345624230628610,1646193125,@raider_0203 @millyfuamiki 💯,6721174984474100741,@sammiboi.685,👋🏽👋🏽,0,False,https://www.tiktok.com/@sammiboi.685/video/7070345624230628610?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070345624230628610&source=h5_m,3441027,2277,2388,4934,368934,7064884950239070977,7064884950239070977,72,7064884950239070977,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",7.042141458783487e+18,❤️‍🔥,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7064887206300666626.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8b0b64d91ba02c2dcb7c2850cc3026c2.json,False,False,Justin Bieber,Love Yourself,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",[],0,0,American Samoa,,0,0,0,0,0,0,0,0,0,0
6,US,7098056165837540654,1652644986,yktv🔥💯 @_.jmon._  #fyp #polyvibes #LENOVOJUSTBEYOU￼ #samoatiktokers🇦🇸🇼🇸 #faifiafia,6781465815645815814,L A i G O,"🇦🇸
WA📍",0,False,https://www.tiktok.com/@laigo_21/video/7098056165837540654?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098056165837540654&source=h5_m,65292,52,38,821,8526,7090016065333365546,7090016065333365546,72,7090016065333365546,original sound - itss.mailos (Contains music from: Follow - John Blaq),"Contains music from: ""Follow""",7.01101914669564e+18,itss.mailos,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7090595490924088110.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/106033c8e8ca057f47bb8649c97e1e1f.json,False,False,John Blaq,Follow,original sound - itss.mailos (Contains music from: Follow - John Blaq),"Contains music from: ""Follow""",[],0,0,American Samoa,#fyp #polyvibes #LENOVOJUSTBEYOU￼ #samoatiktokers🇦🇸🇼🇸 #faifiafia,0,0,0,0,1,0,0,0,0,0
7,US,7088588259290484014,1650440572, ,6976928443179942918,Fun games,,0,False,https://www.tiktok.com/@fruitandvegetablecarving/video/7088588259290484014?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088588259290484014&source=h5_m,258339,79,25,8,2877,7088588095532190506,7088588095532190506,72,7088588095532190506,original sound - fruitandvegetablecarving,Fun games,6.976928443179943e+18,Fun games,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7088588199332743979.mp3,,False,False,,,,,[],0,0,American Samoa,,0,0,0,0,0,0,0,0,0,0
0,AS,7095193379708996907,1651978442,"Bye,fat tummy#fyp #foryou #facemassage #skincare #guasha #massage #weightloss #health #trending",7085276193752974382,Become beautiful together,"Make TCM serve more people
👇Link to get it 👇",0,False,https://www.tiktok.com/@tcmcicihealth/video/7095193379708996907?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095193379708996907&source=h5_m,420159,53,189,2065,5300,6597330635507910662,6597330635507910662,10009,6597330635507910662,Always Remember Us This Way,Lady Gaga,,,True,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b7e9511eec864f948f9d7d7959d868c5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/fe493fe2d31d4389b24e636beb8e197e,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1437668523', 'external_song_key': 'apple_song_id'}]",0,0,American Samoa,#fyp #foryou #facemassage #skincare #guasha #massage #weightloss #health #trending,0,1,0,0,1,0,0,0,0,0
1,AS,7076388225085902123,1647600030,"fit & hair = giving, but that filter ≠ giving #VenmoSpringBreak #AerieREAL #foryoupage",6643570063650652166,vibing,,0,False,https://www.tiktok.com/@dorrin_tiktok/video/7076388225085902123?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076388225085902123&source=h5_m,6449,7,0,4,233,7064760168793262895,7064760168793262895,72,7064760168793262895,Streets X blood sweat tears (Contains music from: Blood Sweat & Tears - BTS),"Contains music from: ""Blood Sweat & Tears""",6.945976025101239e+18,🤨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7064760181472791342.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/09e9f49b8594e2ab577d3c8d46534285.json,False,False,BTS,Blood Sweat & Tears,Streets X blood sweat tears (Contains music from: Blood Sweat & Tears - BTS),"Contains music from: ""Blood Sweat & Tears""",[],0,0,American Samoa,#VenmoSpringBreak #AerieREAL #foryoupage,0,0,1,0,0,0,0,0,0,0
2,DE,7102896310004518150,1653771921, ,6928036397187548165,🔥Forged in Fire🔥,"🔥Forged in Fire🔥
Any Kind of weapons
⚔️🗡️🛡️🏹🎯 
you are welcome to tip",0,False,https://www.tiktok.com/@xxx.forged.in.fire.2021/video/7102896310004518150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102896310004518150&source=h5_m,243565,7,1,0,9177,6760955508250658817,6760955508250658817,10033,6760955508250658817,River Flows in You,Thomas Swanson,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b27ff94f1a7a43bf9c325163cd9eb4e5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/36a30449e7924321b0b97cf7e710bcc0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1263273230', 'external_song_key': 'apple_song_id'}]",0,0,American Samoa,,0,0,0,0,0,0,0,0,0,0
