,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_movie,hash_tiktok,hash_viral,hash_xyzbca,hash_zepeto
2,GB,7103325331976637701,1653871812,Stripper in your family you just hope not your who#ElectrifyTheMini#familyfeud#steveharvey#holidaymodeactivated#uk#usa#laugh#fypシ#viral@refreshmind93,6990098311698301957,crazygirl_773,"Thank you for the 100.0k followers 🙏🏽
Drama Queen 👸 
A moment of the day!",0,False,https://www.tiktok.com/@crazygirl_773/video/7103325331976637701?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103325331976637701&source=h5_m,1615686,263,130,7,130581,7.103325333789937e+18,7.103325333789937e+18,72.0,7.103325333789937e+18,original sound - crazygirl_773,crazygirl_773,6.990098311698302e+18,crazygirl_773,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103325329783114501.mp3,,False,False,,,,,[],0.0,0,Bouvet Island,#ElectrifyTheMini#familyfeud#steveharvey#holidaymodeactivated#uk#usa#laugh#fypシ#viral@refreshmind93,0,0,0,0,1,0,0,1,0,0
3,SG,7098299633918577925,1652701676, ,7079708177550410758,Assets_investing,#1 Advice and Business Content from Billionaires 👇🏼,0,False,https://www.tiktok.com/@assets_investing/video/7098299633918577925?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098299633918577925&source=h5_m,6608781,1180,7689,32810,310054,7.098299607754673e+18,7.098299607754673e+18,72.0,7.098299607754673e+18,original sound - assets_investing,Assets_investing,7.079708177550411e+18,Assets_investing,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098299613764979462.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/409b52b6935b2d578232751b8a88a637.json,False,False,,,,,[],0.0,0,Bouvet Island,,0,0,0,0,0,0,0,0,0,0
4,GB,7102529148479900934,1653686434,Reply to @random1238376 how much would apple charge for it? 🤨,7058975937094648838,Pod cleaner | airpod cleaner,"never have dirty airpods again 🤢
free worldwide shipping 🌎
shop now ⬇️",0,False,https://www.tiktok.com/@podcleaner.com/video/7102529148479900934?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102529148479900934&source=h5_m,6990253,5983,891,1175,527555,7.073036425435844e+18,7.073036425435844e+18,24.0,7.073036425435844e+18,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Leiner,Fury,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",[],0.0,0,Bouvet Island,,0,0,0,0,0,0,0,0,0,0
5,GB,7096944450076806406,1652386147,Shameless #recomendations #netflix #foyoupage #shameless,6922457277668803589,𝗇𝖾𝗍𝖿𝗅𝗂𝗑,Netflix shows/movies 💕✨🌿,0,False,https://www.tiktok.com/@netflix.moviesss3/video/7096944450076806406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096944450076806406&source=h5_m,15186692,7106,3625,357,1726719,7.096944430044761e+18,7.096944430044761e+18,72.0,7.096944430044761e+18,original sound - netflix.moviesss3,𝗇𝖾𝗍𝖿𝗅𝗂𝗑,6.922457277668804e+18,𝗇𝖾𝗍𝖿𝗅𝗂𝗑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096944452304685829.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3c8df01c0efd5058f9473b8f0725997e.json,False,False,,,,,[],0.0,0,Bouvet Island,#recomendations #netflix #foyoupage #shameless,0,0,0,0,0,0,0,0,0,0
6,GB,7102759091210030341,1653739973,#answer to @guto apple juice is a no🤭 #capcut #fyp #foryou #blowup #viral #adoptme #roblox,7078022675537642502,ELLIANA🛍🏝🤩 // 🫶🏼LYDIA💍🌎,"💝🌎💍👙🌈🫶
💕FAV: LYDIA💁‍♀️💍💕
🪺R: ASK ME!!🪺
ABI=🌎😾
🌈anes>>>you💍",0,False,https://www.tiktok.com/@ellianasadoptme/video/7102759091210030341?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102759091210030341&source=h5_m,561871,25065,93,319,40987,7.087564445030911e+18,7.087564445030911e+18,72.0,7.087564445030911e+18,dive in,🫶🏾,6.90968180560049e+18,🫶🏾,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7087564490526477099.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f461e81d4238aa84e954c4ab065f974.json,False,False,,,,,[],0.0,0,Bouvet Island,#answer #capcut #fyp #foryou #blowup #viral #adoptme #roblox,1,0,0,1,0,0,0,1,0,0
7,GB,7103253051917569286,1653854983,#POV : 3 friends are arguing about the sudden change of one | #fyp #viral #xyzbca,6781110079338791941,Daniela Estefania 🌙,"Hi :) 
💌: destefania.camar@gmail.com
IG: dan_estefaniaa
London",0,False,https://www.tiktok.com/@daniela_estefaniaa/video/7103253051917569286?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103253051917569286&source=h5_m,207192,157,31,189,31526,7.085878113229344e+18,7.085878113229344e+18,72.0,7.085878113229344e+18,original sound - cliptok777,ClipTok777,6.984133299539297e+18,ClipTok777,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085878121224391430.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2933d78a2d0ee9d4cb309416ba211061.json,False,False,,,,,[],0.0,0,Bouvet Island,#POV #fyp #viral #xyzbca,0,0,0,1,0,0,0,1,1,0
0,US,7081863581226290478,1648874857,Hiiii new TikTok lol #curvygirls #thicktok #thickasian #asiangirls #curvyasian,7063256723050169390,Kai,"all panic, no disco   
IG @peachykaix",0,False,https://www.tiktok.com/@itspeachykai/video/7081863581226290478?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081863581226290478&source=h5_m,9840905,7185,6417,13951,1530423,7.00488618467348e+18,7.00488618467348e+18,72.0,7.00488618467348e+18,hot people is using this sound,sol 💋,6.871780815048328e+18,sol 💋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7004886243809168133.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6735947c3d634cb1da2c03541f24624b.json,False,False,,,,,[],0.0,0,Bouvet Island,#curvygirls #thicktok #thickasian #asiangirls #curvyasian,0,0,0,0,0,0,0,0,0,0
1,US,7101818916896312618,1653521070,When cuddling isn’t enough #FashionNova #couplestiktok,6647965498569293829,FashionNova,"#FashionNova
🌎Global Fashion Brand 
📬 DM us for Collabs",0,False,https://www.tiktok.com/@fashionnova/video/7101818916896312618?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101818916896312618&source=h5_m,6115045,633,12479,31616,163814,6.856519789666504e+18,6.856519789666504e+18,72.0,6.856519789666504e+18,original sound - akandrose,Ak & Rose,6.794973595246249e+18,Ak & Rose,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6856519742514105094.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d20eaee6b9f56cd77f11d21657d1db2e.json,False,False,,,,,[],0.0,0,Bouvet Island,#FashionNova #couplestiktok,0,0,0,0,0,0,0,0,0,0
2,FR,7100888409782209798,1653304424,ate and left no crumbs 💅🏽 #rihanna #sia #diamonds #singer #performance @rihannatoday,6869450088650114049,Rihanna,"biggest rihanna source
📧 : misterfenty2016@gmail.com",0,False,https://www.tiktok.com/@rihannatoday/video/7100888409782209798?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100888409782209798&source=h5_m,4518285,1807,466,877,348066,6.728562975734516e+18,6.728562975734516e+18,10036.0,6.728562975734516e+18,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0.0,0,Bouvet Island,#rihanna #sia #diamonds #singer #performance,0,0,0,0,0,0,0,0,0,0
3,US,7096734133090618667,1652337181,Wait for it.. so many things happened in one tiktok 😂 the result is super funny!,90589081520246784,Andra Gogan,"voice actor singer dancer  
CEO of Escalator Vids
andragogan@yahoo.com
⬇️SONG⬇️",0,False,https://www.tiktok.com/@andragogan/video/7096734133090618667?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096734133090618667&source=h5_m,15697238,1118,812,2195,2288704,7.086201843973622e+18,7.086201843973622e+18,10033.0,7.086201843973622e+18,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0.0,0,Bouvet Island,,0,0,0,0,0,0,0,0,0,0
4,US,7103370546234035502,1653882337,#pridemonth 🏳️‍🌈,6763517179218330630,otakoyakisoba,"Your favorite Family of EEDJIOTS.
⬇️ TRY EXPRESS VPN 7 DAYS FREE TRIAL NOW!",0,False,https://www.tiktok.com/@otakoyakisoba/video/7103370546234035502?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103370546234035502&source=h5_m,478908,492,578,320,92085,7.103370522548768e+18,7.103370522548768e+18,72.0,7.103370522548768e+18,original sound - otakoyakisoba,otakoyakisoba,6.763517179218331e+18,otakoyakisoba,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103370532816522026.mp3,,False,False,,,,,[],0.0,0,Bouvet Island,#pridemonth,0,0,0,0,0,0,0,0,0,0
5,US,7096542528169659650,1652292566,What's going on in the background? 😄,6806648197319820294,XO Team,"XO TEAM FAMILY 
INST: @the_xo_team 
✉️ xoteam@xoagency.co
OUR REALITY 👇🏼",0,False,https://www.tiktok.com/@xoteam/video/7096542528169659650?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096542528169659650&source=h5_m,3890814,1796,1886,14318,303467,7.082370286401703e+18,7.082370286401703e+18,24.0,7.082370286401703e+18,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",6.508494589473112e+18,Duckhead Dj Kasur,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082370305552829210.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/241863689ab47c011269273c5f206d17.json,False,False,WILLOW,Wait a Minute!,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",[],0.0,0,Bouvet Island,,0,0,0,0,0,0,0,0,0,0
6,US,7102916268914740526,1653776567,👖👕👟😎,6676444377277023237,Pierre,🧸coucou🥺❤️,0,False,https://www.tiktok.com/@itspierreboo/video/7102916268914740526?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102916268914740526&source=h5_m,1117353,1324,614,1144,236435,7.092395731911216e+18,7.092395731911216e+18,72.0,7.092395731911216e+18,i wanna i wanna ridee,quentin’,7.091964324415948e+18,quentin’,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092395735131360006.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51c18e4eedd89224941c3d0f95076293.json,False,False,,,,,[],0.0,0,Bouvet Island,,0,0,0,0,0,0,0,0,0,0
7,US,7094375289459019054,1651787966,@lillybketchman,29120922,sweetyhigh,"Where Gen Z Dreams BIG
TEXT US 833.417.0685",0,False,https://www.tiktok.com/@sweetyhigh/video/7094375289459019054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094375289459019054&source=h5_m,1489047,667,509,1537,137933,7.085895229773073e+18,7.085895229773073e+18,72.0,7.085895229773073e+18,drowning aboogie (Contains music from: Drowning (feat. Kodak Black) - A Boogie Wit da Hoodie),"Contains music from: ""Drowning (feat. Kodak Black)""",6.956230481967121e+18,zoe🧏🏽‍♀️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7085895252493683502.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/376e1be913b27c5f27351958ec126895.json,False,False,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),drowning aboogie (Contains music from: Drowning (feat. Kodak Black) - A Boogie Wit da Hoodie),"Contains music from: ""Drowning (feat. Kodak Black)""",[],0.0,0,Bouvet Island,,0,0,0,0,0,0,0,0,0,0
0,CA,7102639457001622789,1653712124,#answer to @guto  #fyp,7073673106040439814,[⭐️] nad1ne,"nadine 💋
arab🧛‍♀️🇪🇬
r; NAD1NESV1BE💌❤️
follow for bomb content😻💣",0,False,https://www.tiktok.com/@cvrxqa/video/7102639457001622789?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102639457001622789&source=h5_m,91777,4725,17,0,5919,7.097163556914777e+18,7.097163556914777e+18,72.0,7.097163556914777e+18,original sound - vayec,vayec,6.990374421439301e+18,vayec,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097163590410488581.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a75576e16c186f4e57dd4270cad2ac7a.json,False,False,,,,,[],0.0,0,Bouvet Island,#answer #fyp,0,0,0,1,0,0,0,0,0,0
1,US,7083971898123554094,1649365737,i might never get mornings 💋 anymore 🤣😩 #viral,6904127094813737990,DL GANG,"Danny and Lynn 🥰
Biz- dlgang123a@gmail.com
Samesies game 👇🏽🔥",0,False,https://www.tiktok.com/@dl_gang/video/7083971898123554094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083971898123554094&source=h5_m,19654350,14201,51655,80441,1686139,7.083971879861718e+18,7.083971879861718e+18,72.0,7.083971879861718e+18,original sound - dl_gang,DL GANG,6.904127094813738e+18,DL GANG,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083971902901013294.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/059b1235c35391e871783290f2a67d46.json,False,False,,,,,[],0.0,0,Bouvet Island,#viral,0,0,0,0,0,0,0,1,0,0
2,US,7093937533427387694,1651686043,🚨Green man face reveal🚨😜 #wowyoucanreallydance,6808739390341694470,Kelli,"Hi :)
📧: hello@happykelli.com",0,False,https://www.tiktok.com/@happykelli/video/7093937533427387694?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093937533427387694&source=h5_m,33227718,7792,3826,16871,2623737,6.518300055936439e+18,6.518300055936439e+18,10036.0,6.518300055936439e+18,Coincidance,Handsome Dancer,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/abb63284905e43e89affb9a6f3b35acf,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/359fa105a5a3414b9bf9154288ad8ae0,False,True,,,,,[],0.0,0,Bouvet Island,#wowyoucanreallydance,0,0,0,0,0,0,0,0,0,0
3,GB,7103169875203443974,1653835617,Incredible 😍,6751002390029272070,Caitlin and Leah,"Kindness is free ✨
💌 caitlinandleah@outreachagency.co.uk
IVF QUESTIONS ⬇️❤️",0,False,https://www.tiktok.com/@caitlinandleahh/video/7103169875203443974?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103169875203443974&source=h5_m,867824,974,107,96,95730,7.073036425435844e+18,7.073036425435844e+18,24.0,7.073036425435844e+18,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Leiner,Fury,taehyun is so bf (Contains music from: Fury - Leiner),"Contains music from: ""Fury""",[],0.0,0,Bouvet Island,,0,0,0,0,0,0,0,0,0,0
