,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_duet,hash_ethiopia,hash_ethiopian_tik_tok,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_habesha,hash_habeshatiktok,hash_viral
3,DE,7097300243359812870,1652468985,#habeshagirl #ethiopia #vira #habeshatiktok @ethiopian_tik_tok @habesha_dance @hagere64 @ethiopia_eritrea #habeshatweets #live #ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹 #ሀበሻ🇪🇹🇪🇹🇪🇹tiktok,6748431521356874758,ቢንዳው ፩,,0,False,https://www.tiktok.com/@bindawu/video/7097300243359812870?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097300243359812870&source=h5_m,1079016,1821,1870,342,20094,7097300238867745541,7097300238867745541,72,7097300238867745541,original sound - bindawu,ቢንዳው ፩,6.748431521356875e+18,ቢንዳው ፩,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097300244399917830.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/25648849cae05b9ac71c5a99ede34ee1.json,False,False,[],0,0,,,,,Ethiopia,#habeshagirl #ethiopia #vira #habeshatiktok #habeshatweets #live #ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹 #ሀበሻ🇪🇹🇪🇹🇪🇹tiktok,0,1,0,0,0,0,0,0,1,0
4,CA,7075765147628784901,1647454954,Reply to @betiworku16 #foryoupage,6578212003076571141,Nardos Kebede,"Follow me on IG nardos_k
Subscribe to our YouTube channel",0,False,https://www.tiktok.com/@nardos_et/video/7075765147628784901?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075765147628784901&source=h5_m,1189782,697,146,1563,34716,7075765106655333126,7075765106655333126,72,7075765106655333126,original sound - nardos_et,Nardos Kebede,6.578212003076571e+18,Nardos Kebede,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075765130998467334.mp3,,False,False,[],0,0,,,,,Ethiopia,#foryoupage,0,0,0,0,1,0,0,0,0,0
5,AE,7081627797004815618,1648819959, ,6746245128099103749,efi efi,My Instagram Account Is 👉Efrata_Abebe,0,False,https://www.tiktok.com/@efrata.abebe/video/7081627797004815618?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081627797004815618&source=h5_m,328818,109,72,481,10786,6970240822730164998,6970240822730164998,72,6970240822730164998,original sound - mita_yo12,Mita2425,6.853727327295129e+18,Mita2425,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6970240988170160901.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1b0c8e7976a99daf12e59af25418efa2.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
6,ET,7095751200863210758,1652108321,#duet with @vvs.natti,6821438966522479621,Yishak Sedik,,0,False,https://www.tiktok.com/@yishaksedik/video/7095751200863210758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095751200863210758&source=h5_m,282192,182,215,2565,19081,7094637767946177285,7094637767946177285,72,7094637767946177285,original sound - vvs.natti,Natnael,6.725304197862032e+18,Natnael,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094637785616861957.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7a2bae21ab17d668cebd1b0c1482b3cf.json,False,False,[],0,0,,,,,Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
7,ET,7103222641120627974,1653847902,Reply to @user6153837570206 #jspbeautyandfation #jspmall #jspbeautyandfation2,6889928364736971778,JSP beauty and fashion,Am legend of the century my tg channel 👇👇original product for humble customers,0,False,https://www.tiktok.com/@jsp.beauty.and.fashion/video/7103222641120627974?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103222641120627974&source=h5_m,101379,387,33,52,4111,7103222639543552773,7103222639543552773,72,7103222639543552773,original sound - jsp.beauty.and.fashion,JSP beauty and fashion,6.889928364736972e+18,JSP beauty and fashion,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103222649786960645.mp3,,False,False,[],0,0,,,,,Ethiopia,#jspbeautyandfation #jspmall #jspbeautyandfation2,0,0,0,0,0,0,0,0,0,0
0,ET,7098705178664242437,1652796098, ,7025174905809372165,@bitu love,.........,0,False,https://www.tiktok.com/@bitulove09/video/7098705178664242437?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098705178664242437&source=h5_m,162685,367,164,1185,6829,7057407740934720257,7057407740934720257,24,7057407740934720257,original sound - orthodox_gold,Orthodox enate,6.862241917141501e+18,Orthodox enate,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7057407733510720258.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c6fc7e49849247eee41b8ffa0d4153ac.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
1,ET,7079811447995256069,1648397057,whaa#ethiopian_tik_tok #ethiopia @#yutinass #ethiogirl #habeshantiktok,6794822075326039045,ha_yuti,"🇪🇹 ♊️ 
no limit baby 😎",0,False,https://www.tiktok.com/@yuti_nass/video/7079811447995256069?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079811447995256069&source=h5_m,2638812,1417,1887,21562,114932,7075824292365355782,7075824292365355782,72,7075824292365355782,original sound - mafye19,ግፍ ሞልቶ ፈሰሰ ጎርፉን ግን ፈራሁላችሁ‼,6.820015060200228e+18,ግፍ ሞልቶ ፈሰሰ ጎርፉን ግን ፈራሁላችሁ‼,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075824300619533062.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/33786ece084082793e9de064b2cdfdc5.json,False,False,[],0,0,,,,,Ethiopia,#ethiopian_tik_tok #ethiopia #yutinass #ethiogirl #habeshantiktok,0,1,1,0,0,0,0,0,0,0
2,FI,7094592719481244933,1651838591,የዳቦ ስም😂 #fypシ,6816641213090661381,Tomas,TORPA,0,False,https://www.tiktok.com/@torpamatos/video/7094592719481244933?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094592719481244933&source=h5_m,222223,163,254,1415,18174,6884859824035646209,6884859824035646209,72,6884859824035646209,original sound - samueltesfamichael,Samuel Tesfamichael,6.871139118648591e+18,Samuel Tesfamichael,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6884859756603869953.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/aedec23e7db8750fba4c9d65c168b8e7.json,False,False,[],0,0,,,,,Ethiopia,#fypシ,0,0,0,0,0,0,1,0,0,0
3,ET,7102109452832148741,1653588717,#duet with @greenmitmita,6651281889100005382,Adam Sandler is bae,"God first ✝️
Roasting y’all second 🙂",0,False,https://www.tiktok.com/@sambusachick/video/7102109452832148741?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102109452832148741&source=h5_m,379547,110,16,39,15866,7076186213304109829,7076186213304109829,72,7076186213304109829,original sound - mateofurtado_ (Contains music from: Pibes - Original Mix - DJ Low Low),"Contains music from: ""Pibes - Original Mix""",6.751748087369582e+18,Mateo Furtado,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076186223618116357.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7451b5a7d8a72fba85d2247393777c33.json,False,False,[],0,0,DJ Low Low,Pibes - Original Mix,original sound - mateofurtado_ (Contains music from: Pibes - Original Mix - DJ Low Low),"Contains music from: ""Pibes - Original Mix""",Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
4,ET,7100549819004947717,1653225587,እስከ መጨረሻ እዩትማ #ሐበሻ🇪🇹💚💛❤️👌❤ #ሐበሻ💛❤ #ሐበሻ_ቲክቶክ #foru #ethiopiatiktok #daily_were #ሐበሻ_ቲክቶክ,6939149277537158149,Ethiopia film,"አዳዲስ የሚወጡ መዝናኛ እና ዜና ነክ መረጃ በፍጥነት 🚴🚴
Daily were",0,False,https://www.tiktok.com/@daily_were/video/7100549819004947717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100549819004947717&source=h5_m,216185,187,449,3388,16159,7100549946608290565,7100549946608290565,72,7100549946608290565,original sound - daily_were,Ethiopia film,6.939149277537158e+18,Ethiopia film,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100549945672944389.mp3,,False,False,[],0,0,,,,,Ethiopia,#ሐበሻ🇪🇹💚💛❤️👌❤ #ሐበሻ💛❤ #ሐበሻ_ቲክቶክ #foru #ethiopiatiktok #daily_were #ሐበሻ_ቲክቶክ,0,0,0,0,0,0,0,0,0,0
5,US,7099813116585823534,1653054060,#duet with @black_queen_habesha,6834876186742490118,Motta Keranyo,No bio yet,0,False,https://www.tiktok.com/@mottakeranyo/video/7099813116585823534?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099813116585823534&source=h5_m,760245,513,231,2383,30552,7049368552679164677,7049368552679164677,72,7049368552679164677,original sound - ab_shash,ab_ሻሽ,7.001116399154464e+18,ab_ሻሽ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7049368571125828357.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ba45f3161a777e254a25b824bd97ea54.json,False,False,[],0,0,,,,,Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
6,ET,7103158983673810182,1653833080,Motivation Roast 😂 #danitadesse #የእናንተገፅ @danitadesse,6785849360334259206,Dani Tadesse,"YouTube Subscribe እያረጋችሁ አናዱኝ 🥺
🚨 You Tube Link in the Bio 👆👆",0,False,https://www.tiktok.com/@danitadesse/video/7103158983673810182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103158983673810182&source=h5_m,219646,799,174,422,12565,7103158970059115270,7103158970059115270,72,7103158970059115270,original sound - danitadesse,Dani Tadesse,6.785849360334259e+18,Dani Tadesse,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103158972059896582.mp3,,False,False,[],0,0,,,,,Ethiopia,#danitadesse #የእናንተገፅ,0,0,0,0,0,0,0,0,0,0
7,CO,7102706004151799045,1653727615, ,7088643605610726405,😚 Check Me Babe 🧡,💋 Priv For You 👇,0,False,https://www.tiktok.com/@sstk88/video/7102706004151799045?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102706004151799045&source=h5_m,2957984,243,2075,2414,60649,7094179885190908678,7094179885190908678,72,7094179885190908678,original sound - vvcstk,Tik Toker,7.094174843196868e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094179932762295046.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8cab0bac42836768496beb1b0dc43785.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
0,ET,7073084249007525126,1646830760,TikTokethiopia 🇪🇹 😅😅 #yeti #ethiopian_tik_tok #habeshatiktok #ethiopia #habesha,6677442875460551685,Yetnayet Taye,"ኩሩ ኢትዮጵያዊ ት💚💛❤️
United we stand divided we fall
Awaqi’s theme song",0,False,https://m.tiktok.com/v/7073084249007525126.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073084249007525126&source=h5_m,484765,454,315,122,36943,7071950930152803078,7071950930152803078,72,7071950930152803078,original sound - engle_today,Engle,7.011584139683235e+18,Engle,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7071950942861675270.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d86123d0fb14daf168467f4c9242bae7.json,False,False,[],0,0,,,,,Ethiopia,#yeti #ethiopian_tik_tok #habeshatiktok #ethiopia #habesha,0,1,1,0,0,0,0,1,1,0
1,ET,7103148360432913670,1653830606,1 or 2 #bekover20 #ethiopianhairstylist #hairstyle #,6833462126138344453,Susu,"90’s music 💘
CEO of መገልፈጥ
Dm for paid promotion",0,False,https://m.tiktok.com/v/7103148360432913670.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103148360432913670&source=h5_m,205405,137,57,1092,15766,7102802676677004038,7102802676677004038,72,7102802676677004038,original sound - mahider_k,mahi keb,6.816302649844712e+18,mahi keb,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102802681387551493.mp3,,False,False,[],0,0,,,,,Ethiopia,#bekover20 #ethiopianhairstylist #hairstyle #,0,0,0,0,0,0,0,0,0,0
2,DO,7080194335702060293,1648486205,#dance #challenge,7006485353146729478,lisettrey,"🇩🇴
Follow me on Instagram: lisettrey ⬆️💋🫶🏾
Tik tok alterna: lisettrey1 🤎",0,False,https://m.tiktok.com/v/7080194335702060293.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080194335702060293&source=h5_m,1825806,1010,2420,14391,62675,7063156396161878789,7063156396161878789,72,7063156396161878789,original sound - marianacadavid45,Mariana Cadavid,6.844699082133865e+18,Mariana Cadavid,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7063156420031597317.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bf4a56e41155d93c74cae8b1c3467ac8.json,False,False,[],0,0,,,,,Ethiopia,#dance #challenge,0,0,0,0,0,0,0,0,0,0
3,ET,7102065741557468421,1653578540,@yonimagnaa #amharatiktok #abiyahmed,6859925403482555398,Ermi-solo,Orthodox tewahdo Forever ✝✝✝✝,0,False,https://m.tiktok.com/v/7102065741557468421.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102065741557468421&source=h5_m,616077,1145,1852,234,15922,7102065727917558534,7102065727917558534,72,7102065727917558534,original sound - ermi276,Ermi-solo,6.859925403482555e+18,Ermi-solo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102065747140053765.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/aaaf0eef1795546d78bb63443ba20dae.json,False,False,[],0,0,,,,,Ethiopia,#amharatiktok #abiyahmed,0,0,0,0,0,0,0,0,0,0
4,US,7099835360095685934,1653059238,yes i do speak Oromo Language￼ 😉👏👏,6822038826204300294,𝚀𝚞𝚎𝚎𝚗👸𝚘𝚏𝚖𝚢 𝚘𝚠𝚗🌍,"🇪🇹
𝚃𝚛𝚊𝚟𝚎𝚕☞ 🇦🇪🇪🇸 🇫🇷🇮🇹🇵🇹🇧🇱🇻🇦🇨🇷🇴🇲🇹🇭🇩🇰🇨🇮🇺🇸🇨🇺",0,False,https://m.tiktok.com/v/7099835360095685934.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099835360095685934&source=h5_m,612877,1373,122,602,34822,7099835284061342510,7099835284061342510,72,7099835284061342510,original sound - solyana2020,𝚀𝚞𝚎𝚎𝚗👸𝚘𝚏𝚖𝚢 𝚘𝚠𝚗🌍,6.8220388262043e+18,𝚀𝚞𝚎𝚎𝚗👸𝚘𝚏𝚖𝚢 𝚘𝚠𝚗🌍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099835336385334062.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
5,ET,7099805127372000518,1653052200,🙆‍♂️ድንቅነሽ😂 ወይ ማቶስ🥴 #Mati_Tube #ማትያስ #matiyas #ይሄ_ህይወት_ሚዛናዊ_አይደለም,6810304471782147078,💉ማ_ት_ያ_ስ👅,"📺 hay! check out my YouTube ☝️
📩 Instagram👇👇 DM me for paid promotion💰",0,False,https://m.tiktok.com/v/7099805127372000518.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099805127372000518&source=h5_m,353334,348,263,3201,35837,7099805108589955845,7099805108589955845,72,7099805108589955845,original sound - _.matiyas_,💉ማ_ት_ያ_ስ👅,6.810304471782147e+18,💉ማ_ት_ያ_ስ👅,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099805108170590982.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7f364cdbbc522a040aa3efc4b4090403.json,False,False,[],0,0,,,,,Ethiopia,#Mati_Tube #ማትያስ #matiyas #ይሄ_ህይወት_ሚዛናዊ_አይደለም,0,0,0,0,0,0,0,0,0,0
6,SA,7090679372998364417,1650927445,Reply to @nnathy00  …Your enemy enemy 😂 @carlos_beber,7033805710341538817,Carlos Biber💪🏽,🔵▀▄▀▄▀▄ 🅲🅰🆁🅻🅾🆂 ▀▄▀▄▀▄🔵,0,False,https://m.tiktok.com/v/7090679372998364417.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090679372998364417&source=h5_m,682857,574,1018,4943,7724,7090679346075110145,7090679346075110145,72,7090679346075110145,original sound - carlos_biber,Carlos Biber💪🏽,7.033805710341539e+18,Carlos Biber💪🏽,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7090679314936515329.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b483e95ff0f8800899b106557f320dfe.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
7,ET,7093118316042030342,1651495305,እኩል አዲስ hip hop ሙዚቃ #habesha_famous #አስር_challenge,7008873869817725957,Habesha Famous,👉 100K እንግባ 🙏,0,False,https://m.tiktok.com/v/7093118316042030342.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093118316042030342&source=h5_m,307785,361,305,4665,12524,7093118298430163718,7093118298430163718,72,7093118298430163718,original sound - habesha_famous,Habesha Famous,7.008873869817726e+18,Habesha Famous,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093118306369964806.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2517ef0006bfac1fb9f4ec2a7fae6853.json,False,False,[],0,0,,,,,Ethiopia,#habesha_famous #አስር_challenge,0,0,0,0,0,0,0,0,0,0
0,ET,7096828951061892357,1652359255,Abel tesfaye & tedy afro go Hard. @Idea credit for this mush up : @Saron & @KEY #yonzima #habeshatiktok,6743111690727244805,YONZIMA,"Lets have an existential crisis together 🇪🇹
# ድንገተኛ",0,False,https://www.tiktok.com/@yonzima/video/7096828951061892357?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096828951061892357&source=h5_m,394414,535,553,3862,44682,7096828898977778437,7096828898977778437,72,7096828898977778437,Weeknd X TEDY AFRO,YONZIMA,6.743111690727245e+18,YONZIMA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096828929486572293.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8cd94e47cc309260b20469fffc053ffc.json,False,False,[],0,0,,,,,Ethiopia,#yonzima #habeshatiktok,0,0,0,0,0,0,0,0,1,0
1,ET,7097581545313012998,1652534481,#ethiopian_tik_tok #የእናንተገፅ #fuunyvideo,6904565530570966017,TEDY_4MK,🤣😂🤣😂,0,False,https://www.tiktok.com/@tedy_4mk/video/7097581545313012998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097581545313012998&source=h5_m,1390448,496,5198,775,71750,7097581541689166597,7097581541689166597,72,7097581541689166597,original sound - tedy_4mk,TEDY_4MK,6.904565530570966e+18,TEDY_4MK,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097581541148101381.mp3,,False,False,[],0,0,,,,,Ethiopia,#ethiopian_tik_tok #የእናንተገፅ #fuunyvideo,0,0,1,0,0,0,0,0,0,0
2,US,7103286782170647854,1653862834,#duet with @user8092688999684,6813470108453192710,Yonas M Muluneh,,0,False,https://www.tiktok.com/@yonimagna_1/video/7103286782170647854?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103286782170647854&source=h5_m,74358,661,385,781,2279,7102787283358944002,7102787283358944002,72,7102787283358944002,original sound - user8092688999684,Hiwe fkr,6.980421155485238e+18,Hiwe fkr,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102787284646906625.mp3,,False,False,[],0,0,,,,,Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
3,SA,7103495819671637249,1653911505,#duet with,7023218246283363334,🇪🇹ኢትዮጵያዊ  ነኝ🇪🇹,🇪🇹ኢትዮጵያዊ  ነኝ,0,False,https://www.tiktok.com/@zuza__50/video/7103495819671637249?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103495819671637249&source=h5_m,94215,23,18,6,1304,7103495810511276801,7103495810511276801,72,7103495810511276801,original sound - zuza__50,🇪🇹ኢትዮጵያዊ  ነኝ🇪🇹,7.023218246283363e+18,🇪🇹ኢትዮጵያዊ  ነኝ🇪🇹,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103495810079263490.mp3,,False,False,[],0,0,,,,,Ethiopia,#duet,1,0,0,0,0,0,0,0,0,0
4,FR,7085712030350576902,1649770894,Thanks for 300K !!! 😍😍😍😍 #ethiopia #amhara #foryou #traditional,6813261475596977158,Leethiopienne,📍 Natural Beauty 📍,0,False,https://www.tiktok.com/@leethiopienne_/video/7085712030350576902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085712030350576902&source=h5_m,1469648,2115,1660,278,86421,6895344333428443905,6895344333428443905,72,6895344333428443905,original sound - tsige30 (Contains music from: Wey Finkich - Dagne Walle & Various Artists),"Contains music from: ""Wey Finkich""",6.697259573667055e+18,Tsige t❤️❤️❤️አገሬ ለኔ ውስጤ ንሽ ❤,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6895344288515885826.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c4939680dcc39236137a80c913b51209.json,False,False,[],0,0,Dagne Walle & Various Artists,Wey Finkich,original sound - tsige30 (Contains music from: Wey Finkich - Dagne Walle & Various Artists),"Contains music from: ""Wey Finkich""",Ethiopia,#ethiopia #amhara #foryou #traditional,0,1,0,1,0,0,0,0,0,0
5,ZA,7096703191999319301,1652329978, ,7051204241176822790,NTOKOZO WASEMBO,Tiler the Tiler👌,0,False,https://www.tiktok.com/@ntokozosphesihle/video/7096703191999319301?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096703191999319301&source=h5_m,930775,872,2172,10548,28967,7096703107467463429,7096703107467463429,72,7096703107467463429,original sound - ntokozosphesihle,NTOKOZO WASEMBO,7.051204241176823e+18,NTOKOZO WASEMBO,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096703141667752709.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
6,ET,7101747752949845254,1653504501,Happyy Birthday Nardiye✨❤️,6838912999265321989,Dani,Love Always Wins🇪🇹,0,False,https://www.tiktok.com/@dani_mekbib/video/7101747752949845254?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101747752949845254&source=h5_m,693323,141,148,1447,16230,7101747746020805381,7101747746020805381,72,7101747746020805381,original sound - dani_mekbib,Dani,6.838912999265322e+18,Dani,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101747743571430149.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
7,AU,7096092407917219074,1652187764,His shoe really came off 😱😂 #fyp #vrial #funny #prank #tvd,6905769774745601026,Oxlee,"Listen to my new song it
 just came out today 🥺😱
⬇️",0,False,https://www.tiktok.com/@oxlee/video/7096092407917219074?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096092407917219074&source=h5_m,1960441,427,777,3922,71439,7096092404737903362,7096092404737903362,72,7096092404737903362,original sound - oxlee (Contains music from: Milou - Milou),"Contains music from: ""Milou""",6.905769774745601e+18,Oxlee,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096092381560310529.mp3,,False,False,[],0,0,Milou,Milou,original sound - oxlee (Contains music from: Milou - Milou),"Contains music from: ""Milou""",Ethiopia,#fyp #vrial #funny #prank #tvd,0,0,0,0,0,1,0,0,0,0
0,ET,7084203633289596165,1649419693,ሙዝ በ ዳቦ 😁😁😁 #ethiopian_tik_tok #habeshatiktok #የእናንተገፅ #neba4kilo  #ethiofunny @neba4kiloo @danitadesse @jossey61,6806245731789046790,Abel Et,"አቤላላላላ ዝፈነውው!
Instagram- @abel.et 
   youtube 👇",0,False,https://www.tiktok.com/@abela.et/video/7084203633289596165?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084203633289596165&source=h5_m,2118132,5456,18808,55952,173653,7084203781264657158,7084203781264657158,72,7084203781264657158,original sound - abela.et (Contains music from: Des Yebelino - Solomon Haile),"Contains music from: ""Des Yebelino""",6.806245731789047e+18,Abel Et,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084203814018239238.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fa9deb49da90a3548f2474e2807a4217.json,False,False,[],0,0,Solomon Haile,Des Yebelino,original sound - abela.et (Contains music from: Des Yebelino - Solomon Haile),"Contains music from: ""Des Yebelino""",Ethiopia,#ethiopian_tik_tok #habeshatiktok #የእናንተገፅ #neba4kilo #ethiofunny,0,0,1,0,0,0,0,0,1,0
1,ET,7096850045223357701,1652364166,Sugar lovers 🙌🏻🤷🏻‍♀️ #tsiongech #ethiopia,6791573869327565830,Tsiongech,"🇪🇹
90k…🛻...80k
  New YouTube vid ❤️ 👇🏻",0,False,https://www.tiktok.com/@tsiongech/video/7096850045223357701?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096850045223357701&source=h5_m,409999,65,44,1004,19250,7093427359458282245,7093427359458282245,72,7093427359458282245,original sound - becca_lulu123,Lulu❤,6.854825528487364e+18,Lulu❤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093427337647213318.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dda8e7a26e8e57718a1e739507777876.json,False,False,[],0,0,,,,,Ethiopia,#tsiongech #ethiopia,0,1,0,0,0,0,0,0,0,0
