,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_bulgaria,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_viral,hash_българия,hash_ергенът
2,BG,7083964632771218693,1649364046,#foryou #foryoupag #bulgaria #photo #fan #fanny #ергенът,6645373299042975750,A.Atanasow,"⚠️Много мило, 🌹⚠️много сладко, 🌹⚠️много меко, 🌹⚠️Много смело, 🌹",0,False,https://www.tiktok.com/@a.atanasow/video/7083964632771218693?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083964632771218693&source=h5_m,1005991,356,1706,681,46845,7083964608117033733,7083964608117033733,72,7083964608117033733,original sound - a.atanasow,A.Atanasow,6.645373299042976e+18,A.Atanasow,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083964624818703110.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b4c88fb7ea47f90f80b6dbb86dabbb61.json,False,False,,,,,[],0,0,Bulgaria,#foryou #foryoupag #bulgaria #photo #fan #fanny #ергенът,1,1,0,0,0,0,0,0,0,1
3,DE,7101334696449019142,1653408330,Mission failed…🤣 #fyp #bodybuilding #muscle #gym,114594966600925184,Johnesen Münster,"FIRST SONG
„Gib nicht auf“
OUT NOW",0,False,https://www.tiktok.com/@johnymuenster/video/7101334696449019142?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101334696449019142&source=h5_m,12152204,3951,9231,1047,914278,6764217897637136386,6764217897637136386,10033,6764217897637136386,AirplaneMode,BONES,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/59e9a89d3e5c4f5592e9850c007b8aca,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f34af59515144408bc01c1078243a2b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1489541288', 'external_song_key': 'apple_song_id'}]",0,0,Bulgaria,#fyp #bodybuilding #muscle #gym,0,0,0,0,0,1,0,0,0,0
4,BG,7073814977408273669,1647000896,#fyp,6971460150545908741,EssNaKonq,🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬,0,False,https://www.tiktok.com/@essnakonq/video/7073814977408273669?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073814977408273669&source=h5_m,428085,376,1258,1671,30518,7073814933506493189,7073814933506493189,72,7073814933506493189,original sound - essnakonq (Contains music from: Pro kuchek - Ork Djodji Bend),"Contains music from: ""Pro kuchek""",6.971460150545909e+18,EssNaKonq,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073814943304289029.mp3,,False,False,Ork Djodji Bend,Pro kuchek,original sound - essnakonq (Contains music from: Pro kuchek - Ork Djodji Bend),"Contains music from: ""Pro kuchek""",[],0,0,Bulgaria,#fyp,0,0,0,0,0,1,0,0,0,0
5,BG,7075238648030973190,1647332370,Искам салам pt2,6682984813992199173,anissta,"22y
Instagram: @aniissta 🦋",0,False,https://www.tiktok.com/@anissta/video/7075238648030973190?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075238648030973190&source=h5_m,468349,32,285,0,41613,7053796065208339205,7053796065208339205,72,7053796065208339205,original sound - chalga.ltd,chalga.ltd,6.917289998509983e+18,chalga.ltd,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7053796061248375557.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9453608dda83e4671bbf71d0a79b8074.json,False,False,,,,,[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
6,BG,7084209117153201413,1649420970,#Оригинален в кеш ОВ...!💋💯🖤#Няма лизинг#черен_кошмар_🔥😈⬆🏁👌💎 #GLE #63 #S #AMG #xubzka #foryou #fuppp #viral #fu,6958164388725572614,monika.ninova⚜🖤👸,"Може да излеждам груба и студена!!😨
Но за важните ми хора горя!!🔥☺❤",0,False,https://www.tiktok.com/@monika.ninova/video/7084209117153201413?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084209117153201413&source=h5_m,629247,307,887,1,23358,7045345066893789957,7045345066893789957,72,7045345066893789957,original sound - patroncheto_2003,Toshko Patrona,6.586169136250159e+18,Toshko Patrona,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7045345082941262597.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5afd61430d996e2f1b3053f4baf46ce1.json,False,False,,,,,[],0,0,Bulgaria,#Оригинален #Няма #черен_кошмар_🔥😈⬆🏁👌💎 #GLE #63 #S #AMG #xubzka #foryou #fuppp #viral #fu,0,1,0,0,0,0,0,1,0,0
7,US,7100609125779885355,1653239394,so advanced,7064470359649207343,fgewjkhrtwje3tr,,0,False,https://www.tiktok.com/@passionflame1/video/7100609125779885355?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100609125779885355&source=h5_m,10151696,2111,21167,37491,870975,7100609088765348654,7100609088765348654,72,7100609088765348654,original sound - passionflame1,fgewjkhrtwje3tr,7.064470359649207e+18,fgewjkhrtwje3tr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100609125112924974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/97005d19e5af4f5c4e4e22c541581a8e.json,False,False,,,,,[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
0,BG,7100251404484365573,1653156106,#fyp,7098982263497589766,MEDUSA & GIBO,"ОБЩ Tik-Tok акаунт на 
Gibo Baby и SK Medusa
Профила е реален и не е фейк✅",0,False,https://www.tiktok.com/@medusagibo/video/7100251404484365573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100251404484365573&source=h5_m,170527,191,166,30,5858,7089145566499818246,7089145566499818246,72,7089145566499818246,original sound - daarkskinshawty,Darkskinshawty,6.796282451678217e+18,Darkskinshawty,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089145559323364101.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e51aebbac6125ad1343eb0d3f404364a.json,False,False,,,,,[],0,0,Bulgaria,#fyp,0,0,0,0,0,1,0,0,0,0
1,BG,7084237309830368518,1649427534,#много мило#велигеоргиева #veligeorgieva #fyp #fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #velichannel #velifans #fun,6904634338806105090,veligeorgievanew,"Нов и единствен акаунт ✌️
velifans.com
velichannel.com",0,False,https://www.tiktok.com/@veligeorgievanew/video/7084237309830368518?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084237309830368518&source=h5_m,509149,145,954,483,18923,7084237287323732741,7084237287323732741,72,7084237287323732741,original sound - veligeorgievanew,veligeorgievanew,6.904634338806105e+18,veligeorgievanew,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084237282466728709.mp3,,False,False,,,,,[],0,0,Bulgaria,#много #велигеоргиева #veligeorgieva #fyp #fyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfyfy #velichannel #velifans #fun,0,0,0,0,0,1,0,0,0,0
2,BR,7091460660025986309,1651109353, ,6870655627422811141,nelzv15,,0,False,https://www.tiktok.com/@nelzv15/video/7091460660025986309?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091460660025986309&source=h5_m,3143626,353,721,2891,131472,7091460638546955014,7091460638546955014,72,7091460638546955014,original sound - nelzv15 (Contains music from: Boombastic - Shaggy),"Contains music from: ""Boombastic""",6.870655627422811e+18,nelzv15,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091460632351968005.mp3,,False,False,Shaggy,Boombastic,original sound - nelzv15 (Contains music from: Boombastic - Shaggy),"Contains music from: ""Boombastic""",[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
3,BG,7087528611078606086,1650193850,#болгария #лидл #украинцывболгарии,230545197032529920,Карина Луценко,Одеситочка🇺🇦,0,False,https://www.tiktok.com/@karinalutsenko6/video/7087528611078606086?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087528611078606086&source=h5_m,428076,729,120,0,11228,7087528589121391365,7087528589121391365,72,7087528589121391365,original sound - karinalutsenko6,Карина Луценко,2.3054519703252992e+17,Карина Луценко,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087528614870141701.mp3,,False,False,,,,,[],0,0,Bulgaria,#болгария #лидл #украинцывболгарии,0,0,0,0,0,0,0,0,0,0
4,GB,7099207874936720646,1652913142,who won!? 😂,6639636011294244870,Kristenhanby,the craziest family on the internet 😂,0,False,https://www.tiktok.com/@kristenhanby123/video/7099207874936720646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099207874936720646&source=h5_m,23603491,2706,15561,14105,811141,7099207858633394950,7099207858633394950,72,7099207858633394950,original sound - kristenhanby123,Kristenhanby,6.639636011294245e+18,Kristenhanby,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099207857560275718.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/82cf69ab793d0be6485923182990cb0c.json,False,False,,,,,[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
5,BG,7083903505798335749,1649349814,#българиятикток💪🏽 #бгтиктокъри #fypシ,6896128105006793734,Isabeldessamour,"Insta :  @izibizzz @desislava_trichkova
                    Thank you 55k",0,False,https://www.tiktok.com/@isabeldessamour/video/7083903505798335749?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083903505798335749&source=h5_m,466549,256,401,403,38239,7083903492720790278,7083903492720790278,72,7083903492720790278,original sound - isabeldessamour,Isabeldessamour,6.896128105006794e+18,Isabeldessamour,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083903490187741957.mp3,,False,False,,,,,[],0,0,Bulgaria,#българиятикток💪🏽 #бгтиктокъри #fypシ,0,0,0,0,0,0,1,0,0,0
6,BG,7083434110869425414,1649240526,#man #kamion #girldrive,6803092596378993669,Елинка Несторова,❤️Plovdiv ❤️,0,False,https://www.tiktok.com/@ellinkkanestorowa/video/7083434110869425414?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083434110869425414&source=h5_m,1371718,916,1566,955,66603,7050063027572918274,7050063027572918274,10033,7050063027572918274,Pi Raki,AsxLiLabeats,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e33d00f7ee3744ce97f436a2d42016b2,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/939fa529a5474e16a2df3e24865bc8bd,False,True,,,,,[],0,0,Bulgaria,#man #kamion #girldrive,0,0,0,0,0,0,0,0,0,0
7,GE,7090658278211931398,1650922533,#angelinajolie #shilohjoliepitt #zaharajoliepitt #foryou #viral #eternals #foryoupage #fypシ #xyzbca,6992477167210087430,JOLIE,🤍,0,False,https://www.tiktok.com/@abbjolie/video/7090658278211931398?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090658278211931398&source=h5_m,12033426,2112,1620,6669,1412816,7081404214387148802,7081404214387148802,10033,7081404214387148802,As It Was,Harry Styles,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e699783897654046896f169cb2309b7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/616d44d29c8948ee81c935f5ad1ae371,False,True,,,,,[],0,0,Bulgaria,#angelinajolie #shilohjoliepitt #zaharajoliepitt #foryou #viral #eternals #foryoupage #fypシ #xyzbca,0,1,1,0,0,0,1,1,0,0
0,BG,7083775305860566277,1649319967,"😂 “Пърформанс кажи да те разбера!”., проф Кантарджиев#БългарияТърсиТалант #Изумление",7052674633527297029,България търси талант,"😮 #БългарияТърсиТалант: #Изумление
📺 Всяка неделя от 20:00 по #bTV",0,False,https://www.tiktok.com/@talant.btv/video/7083775305860566277?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083775305860566277&source=h5_m,91857,8,18,35,5112,7083775336235682566,7083775336235682566,72,7083775336235682566,original sound - talant.btv,България търси талант,7.052674633527297e+18,България търси талант,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083775333018716933.mp3,,False,False,,,,,[],0,0,Bulgaria,#БългарияТърсиТалант #Изумление,0,0,0,0,0,0,0,0,0,0
1,RS,7101355431271910662,1653413158,😂 #habibti #habibi #fyp #foryoupage #foryou #viral #dubai,6912976013300466693,Viktorija,"📍Belgrade, Serbia 🇷🇸 
♌️",0,False,https://www.tiktok.com/@vikk.9/video/7101355431271910662?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101355431271910662&source=h5_m,10830883,3766,13310,11833,348950,7101355421819292421,7101355421819292421,72,7101355421819292421,original sound - vikk.9,Viktorija,6.912976013300467e+18,Viktorija,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101355426763033350.mp3,,False,False,,,,,[],0,0,Bulgaria,#habibti #habibi #fyp #foryoupage #foryou #viral #dubai,0,1,1,0,0,1,0,1,0,0
2,BR,7099580248609656069,1652999841,#thermasdoslaranjais #parqueaquatico #sp #fyp,6825727139280602118,Larissa Dos Santos J,"🇧🇷 - SP
27 anos 
Apenas me divertindo !
Instagram: @larissajacintho",0,False,https://www.tiktok.com/@larissaasj/video/7099580248609656069?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099580248609656069&source=h5_m,8940294,562,1474,2703,202777,7099580234445441798,7099580234445441798,72,7099580234445441798,original sound - larissaasj,Larissa Dos Santos J,6.825727139280602e+18,Larissa Dos Santos J,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099580226200111878.mp3,,False,False,,,,,[],0,0,Bulgaria,#thermasdoslaranjais #parqueaquatico #sp #fyp,0,0,0,0,0,1,0,0,0,0
3,BG,7077152192234376454,1647777902,"Еее да, ама не 😃🤣😃 #preslava #😂",6782090476923077637,Preslava,Bulgarian singer 🎵,0,False,https://www.tiktok.com/@preslava_tiktok/video/7077152192234376454?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077152192234376454&source=h5_m,806011,613,237,0,46981,7070167676089305861,7070167676089305861,72,7070167676089305861,original sound - victoriakapitonova,ПОЛЕЗЕН БЛОГЪР ✌️🥰,6.780065835191092e+18,ПОЛЕЗЕН БЛОГЪР ✌️🥰,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070167696788572933.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/26230db612add060c838c9ed385cda1a.json,False,False,,,,,[],0,0,Bulgaria,#preslava #😂,0,0,0,0,0,0,0,0,0,0
4,BG,7070422173986376966,1646210948,😅😅😅,6555497432086544390,Suzie&Reni,"We love you all!❤️
twins 👯🇧🇬
Дебютната ни книга DUENDE
Спечели награди от⬇️",0,False,https://www.tiktok.com/@suzieandreni/video/7070422173986376966?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070422173986376966&source=h5_m,801537,544,247,944,77311,6915203636926613506,6915203636926613506,10033,6915203636926613506,Mafia,Pasha Music,,,False,False,,https://sf16-music-sign.tiktokcdn.com/obj/tos-useast2a-v-2774/53734cdc6e854772821d188b2bd9687e?x-expires=1653918589&x-signature=2W4XW%2B2hGcjGXgwW6k2cbnOV1K0%3D,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1548080853', 'external_song_key': 'apple_song_id'}]",0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
