,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_cotedivoire,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_tiktok,hash_trending,hash_viral
2,CI,7079343155081907462,1648288025,🤣🤣🤣 #poutoi #tiktok #😂 #tiktokcotedivoire🇨🇮tiktok225,6903158663315260422,Karaba la sorcière 💘,"Karaba ❤️💍
Ivoirienne et fière 🇨🇮😍
Insta: stephie_milane15",0,False,https://www.tiktok.com/@stephie_milane/video/7079343155081907462?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079343155081907462&source=h5_m,733156,649,905,6271,36260,7043454665127971590,7043454665127971590,72,7043454665127971590,original sound - djtiktokofficiel,thierry yake,6.813353721998837e+18,thierry yake,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7043454675663751941.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c29cc1c7ad431fb3b99d957ac779e460.json,False,False,[],0,0,,,,,Côte d'Ivoire,#poutoi #tiktok #😂 #tiktokcotedivoire🇨🇮tiktok225,0,0,0,0,0,0,0,1,0,0
3,NG,7100631119644675333,1653244516, ,7093824327888634885,King Splendid,,0,False,https://www.tiktok.com/@kingsplendid890/video/7100631119644675333?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100631119644675333&source=h5_m,2179770,1800,7814,44319,191836,7100631232068717318,7100631232068717318,72,7100631232068717318,original sound - kingsplendid890 (Contains music from: Kwaku the Traveller - Black Sherif),"Contains music from: ""Kwaku the Traveller""",7.093824327888635e+18,King Splendid,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100631231410342662.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7007eea0c0cc91689a3a28138dde584f.json,False,False,[],0,0,Black Sherif,Kwaku the Traveller,original sound - kingsplendid890 (Contains music from: Kwaku the Traveller - Black Sherif),"Contains music from: ""Kwaku the Traveller""",Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
4,NG,7102748658914856198,1653737551,#hopebyxxxtentacion #ripx #xxx_kutti #LLJ #ripxxxtentacion #rip,7098729142686401541,xxx_kutti,,0,False,https://www.tiktok.com/@xxx_kutti/video/7102748658914856198?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102748658914856198&source=h5_m,2584917,0,566,7940,83137,7102748662916598533,7102748662916598533,72,7102748662916598533,original sound - xxx_kutti (Contains music from: Hope - XXXTENTACION),"Contains music from: ""Hope""",7.098729142686402e+18,xxx_kutti,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102748672932563717.mp3,,False,False,[],0,0,XXXTENTACION,Hope,original sound - xxx_kutti (Contains music from: Hope - XXXTENTACION),"Contains music from: ""Hope""",Côte d'Ivoire,#hopebyxxxtentacion #ripx #xxx_kutti #LLJ #ripxxxtentacion #rip,0,0,0,0,0,0,0,0,0,0
5,GH,7103152852532595974,1653831653,Is Djay in love? #fypシ #fyp #balanceitchallenge,6896064799949341702,THE PEBBIE,Ano dey do TikTok.,0,False,https://www.tiktok.com/@pebbiejay/video/7103152852532595974?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103152852532595974&source=h5_m,286206,117,55,609,35603,7079358091573086209,7079358091573086209,10033,7079358091573086209,Balance It,D Jay,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e4fca0a5bba6441d8e3e6780eb7908e3,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e34d18a246454820beb642d92df10428,False,True,[],0,0,,,,,Côte d'Ivoire,#fypシ #fyp #balanceitchallenge,0,0,0,1,1,0,0,0,0,0
6,CI,7091335149761187077,1651080129, ,6933569586516395014,𝑅𝑒𝑛𝑜𝑖🔝🔝🔝,,0,False,https://www.tiktok.com/@____renoi.13/video/7091335149761187077?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091335149761187077&source=h5_m,1134103,547,1321,20210,97260,7088381292525456133,7088381292525456133,72,7088381292525456133,original sound - oc_evne,Oc_evne,7.035717186581906e+18,Oc_evne,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088381299395775238.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/44717b18bd3da5592d7a3306df665af3.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
7,CI,7082495114471296262,1649021897, ,6958816659511870469,bigodjibril,,0,False,https://www.tiktok.com/@bigodjibril/video/7082495114471296262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082495114471296262&source=h5_m,7631073,8505,11256,8350,131147,7082495096209427205,7082495096209427205,72,7082495096209427205,original sound - bigodjibril,bigodjibril,6.95881665951187e+18,bigodjibril,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082495094456158982.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f669a9799009fa29e0a96bd951d243d1.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
0,GH,7102713615161003270,1653729385, ,7036111947020125189,NanaHemaa270,,0,False,https://www.tiktok.com/@user9068311034561/video/7102713615161003270?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102713615161003270&source=h5_m,1081470,573,4750,2284,30056,7085421715492178694,7085421715492178694,72,7085421715492178694,original sound - emmaifeanyi (Contains music from: Kwaku - Lekinzee),"Contains music from: ""Kwaku""",6.890732833414776e+18,Emma Ifeanyi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085421711679638278.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/75cdfc611d3b0538d43e8eaff32a3bd1.json,False,False,[],0,0,Lekinzee,Kwaku,original sound - emmaifeanyi (Contains music from: Kwaku - Lekinzee),"Contains music from: ""Kwaku""",Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
1,CI,7095052680879508741,1651945684,@yomiiniicooper27 🤣❤️,6920071578201916422,Amira Somé,"🇨🇮🇧🇫🇲🇱 
Instagram @the_amirasome
amiras412.as@gmail.com
MEÏTAMTV/AÏCHALDV",0,False,https://www.tiktok.com/@amirasome/video/7095052680879508741?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095052680879508741&source=h5_m,1222475,797,431,5796,75482,7092444166134811397,7092444166134811397,72,7092444166134811397,original sound - david__afd,DAVID ✪,7.039522308146972e+18,DAVID ✪,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092444173969820422.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c22e3462567af67538b6b27f96e01218.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
2,NG,7101675311804271877,1653487636,For maximum enjoyment refrigerate for few minutes after toasting 🤤🤤Enjoy very chilled 🥵🤝Thank me later 😻 #sweettooth #olowokolo #specialrecipies #eatwithmetoday #learnhowtocookwithme #foodtikok #sweetmeal,7028925800801305602,Executive chef omo_jeje 👩‍🍳,"Follow us on instagram🙏🏾
 @olowokolo_kitchen 
@_omo_jeje
We love you 😌❤️",0,False,https://www.tiktok.com/@olowokolo_kitchen/video/7101675311804271877?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101675311804271877&source=h5_m,1317480,702,718,6375,90729,7089077972057049861,7089077972057049861,72,7089077972057049861,Young Jonn Dada Accapella Ak Joel version,youngjonn,6.807087678518724e+18,youngjonn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089101681014655749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bdb8b920da04decc3857f2ac3fbcb27d.json,False,False,[],0,0,,,,,Côte d'Ivoire,#sweettooth #olowokolo #specialrecipies #eatwithmetoday #learnhowtocookwithme #foodtikok #sweetmeal,0,0,0,0,0,0,0,0,0,0
3,GB,7102773581968313605,1653743347,sub to the YT channel (ZP4L) SAKWADO MUSIC VID coming soon 🕺🏾🕺🏾🕺🏾#zalapose #sakwado #africandance #viral,6909896231314392065,Mwizz,"Mike 
ZP4L 🕺🏾
👻:M_wizzy1
SAKWADO lyric video OUT NOW",0,False,https://www.tiktok.com/@kingmikethe1st/video/7102773581968313605?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102773581968313605&source=h5_m,1479942,1681,956,4782,272513,7102773558699100934,7102773558699100934,72,7102773558699100934,original sound - kingmikethe1st (Contains music from: Sakwado (feat. Mwizz & Gbandz) - George Kipa),"Contains music from: ""Sakwado (feat. Mwizz & Gbandz)""",6.909896231314392e+18,Mwizz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102773565279324933.mp3,,False,False,[],0,0,George Kipa,Sakwado (feat. Mwizz & Gbandz),original sound - kingmikethe1st (Contains music from: Sakwado (feat. Mwizz & Gbandz) - George Kipa),"Contains music from: ""Sakwado (feat. Mwizz & Gbandz)""",Côte d'Ivoire,#zalapose #sakwado #africandance #viral,0,0,0,0,0,0,0,0,0,1
4,GH,7100227272979795205,1653150487,@alishaskincaregh @emmaifeanyi @trimudeee #viral,6816636336691348486,musah.23,"Movie Actor TikTok influencer 
Follow me on IG @Officialmusah.23
Follow on
 👇",0,False,https://www.tiktok.com/@musah.23/video/7100227272979795205?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100227272979795205&source=h5_m,2385158,3410,2705,32122,216046,7100227266948467462,7100227266948467462,72,7100227266948467462,original sound - musah.23 (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",6.816636336691348e+18,musah.23,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100227282412784390.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6dd6c16c65da0d675572edaacc784d90.json,False,False,[],0,0,Kizz Daniel & Tekno,Buga (Lo Lo Lo),original sound - musah.23 (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",Côte d'Ivoire,#viral,0,0,0,0,0,0,0,0,0,1
5,FR,7101323839774133509,1653405802,"Et franchement, c‘est trop cool #fyp #viral",7017741000743371781,Bons plans & astuces,"Compte officiel ✔️
Des bons plans & astuces ⌚️👟
1 jour 1 bon plan ⤵️",0,False,https://www.tiktok.com/@dealabs.com/video/7101323839774133509?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101323839774133509&source=h5_m,1346779,304,67253,232,53644,7101323830894889734,7101323830894889734,72,7101323830894889734,original sound - dealabs.com,Bons plans & astuces,7.017741000743372e+18,Bons plans & astuces,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101323817397603077.mp3,,False,False,[],0,0,,,,,Côte d'Ivoire,#fyp #viral,0,0,0,1,0,0,0,0,0,1
6,US,7081812247781182766,1648862904,😬🔥🔥#cardi #bardigang #kayFlock #freekayflock #bronx #sturdyvibes #fypシ゚ #fypシ゚viral #bloody #newmusic #fypシ゚viral #fypシ゚ #fypシ゚ #fypシ゚viral #fypシ゚viral #fypシ゚ #fyp #fypシ゚viral #fypシ゚ #fyp #fypシ゚viral #fypシ゚viral #fypシ゚viral #fypシ゚viral #fypシ゚ #fypシ゚viral #fypシ゚ #fyp #fyp #fyp #fyp,6981922374988678149,Bardi 💕,"NEW USERNAME!! 💕
Stream Shake IT !!! 🎶🎧 
I’M NOT CARDI
Stop reporting me",0,False,https://www.tiktok.com/@bardib_/video/7081812247781182766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081812247781182766&source=h5_m,2580161,878,445,3984,385160,7081812232182500139,7081812232182500139,72,7081812232182500139,original sound - bardib_,Bardi 💕,6.981922374988678e+18,Bardi 💕,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7081812244866140970.mp3,,False,False,[],0,0,,,,,Côte d'Ivoire,#cardi #bardigang #kayFlock #freekayflock #bronx #sturdyvibes #fypシ゚ #fypシ゚viral #bloody #newmusic #fypシ゚viral #fypシ゚ #fypシ゚ #fypシ゚viral #fypシ゚viral #fypシ゚ #fyp #fypシ゚viral #fypシ゚ #fyp #fypシ゚viral #fypシ゚viral #fypシ゚viral #fypシ゚viral #fypシ゚ #fypシ゚viral #fypシ゚ #fyp #fyp #fyp #fyp,0,0,0,6,17,0,0,0,0,10
7,CI,7092894263700180230,1651443139,@Dominique Beyoncé Dear allons vous aller expliquer entouca 👌🏾,6828490105688245253,Hassan Fofana,"Abonne toi à mon INSTAGRAM 👆👆
Hassanfofana225 ❤️",0,False,https://www.tiktok.com/@hassanfofana04/video/7092894263700180230?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092894263700180230&source=h5_m,567003,447,503,5827,26783,7080557621438073605,7080557621438073605,72,7080557621438073605,original sound - jojojoli15,jojojoli15,6.973258751911757e+18,jojojoli15,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080557634033634053.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/448e2f869c3e107ba41f97d8a936c51f.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
0,GH,7093064795179601157,1651482845,@jusstprince I don’t like onions 😒 #emmaifeanyi,6890732833414775814,Emma Ifeanyi,"Welcome to my page🥰
WE ALMOST THERE GUYS😩❤️
A follow 4rm U will make it work🙏",0,False,https://www.tiktok.com/@emmaifeanyi/video/7093064795179601157?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093064795179601157&source=h5_m,3139276,3127,1677,14962,222982,7084698939630308101,7084698939630308101,72,7084698939630308101,original sound - iam_davidryan,David🥹,6.607787730096538e+18,David🥹,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084698948455222022.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/12e51c0d815e32ee2ca24d5b3961ad5b.json,False,False,[],0,0,,,,,Côte d'Ivoire,#emmaifeanyi,0,0,0,0,0,0,0,0,0,0
1,CI,7098772843558636806,1652811851, ,6964523174894257158,Inesdejilaaa,,0,False,https://www.tiktok.com/@inesdejila/video/7098772843558636806?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098772843558636806&source=h5_m,374193,176,1684,14742,29558,7092327539489655558,7092327539489655558,72,7092327539489655558,JUICY x BEKA x EXO BIBERON,Bekagyal,5.206018499862118e+16,Bekagyal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092327527922207494.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1dc779b10d5cd36a89ba29143d2c1a1a.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
2,NG,7102496797301525766,1653678903, ,7075373839891072006,abk_maina,,0,False,https://www.tiktok.com/@abk_maina/video/7102496797301525766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102496797301525766&source=h5_m,6907953,1438,7640,41958,203171,7102496790360951557,7102496790360951557,72,7102496790360951557,original sound - abk_maina,abk_maina,7.075373839891072e+18,abk_maina,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102496797980904197.mp3,,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
3,FR,7101619596465147142,1653474667, ,6592683121001644038,NT.4REAL 😂🎥,"Dieu m’aime ! ❤️

📥 : nataxdrmpro@gmail.com",0,False,https://www.tiktok.com/@natax.drm/video/7101619596465147142?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101619596465147142&source=h5_m,247352,223,172,24,19668,7101619580400929541,7101619580400929541,72,7101619580400929541,original sound - natax.drm,NT.4REAL 😂🎥,6.592683121001644e+18,NT.4REAL 😂🎥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101619574780480262.mp3,,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
4,US,7100717704885046533,1653264676,#stitch with @elsazabk,6692078549949957126,EHIZ,"Actor
LA 🌴 
INSTA: ehizufuah
YT: EHIZ
✉️:ehizufuah@gmail.com",0,False,https://www.tiktok.com/@_ehiz/video/7100717704885046533?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100717704885046533&source=h5_m,1338111,1358,4820,3529,167098,7100717675738860293,7100717675738860293,72,7100717675738860293,original sound - _ehiz (Contains music from: Si Te Sabes El TikTok Baila 11 - Dj Morant),"Contains music from: ""Si Te Sabes El TikTok Baila 11""",6.692078549949957e+18,EHIZ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100717691913456390.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f27533dba940ed1bc0d2debac77caad6.json,False,False,[],0,0,Dj Morant,Si Te Sabes El TikTok Baila 11,original sound - _ehiz (Contains music from: Si Te Sabes El TikTok Baila 11 - Dj Morant),"Contains music from: ""Si Te Sabes El TikTok Baila 11""",Côte d'Ivoire,#stitch,0,0,0,0,0,0,0,0,0,0
5,CI,7096504194005306629,1652283642, ,7096058784728515590,Chinoise Danger,Libre ….🥹 épanouie ……❤️‍🩹🧸,0,False,https://www.tiktok.com/@chinoisedanger/video/7096504194005306629?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096504194005306629&source=h5_m,1074546,464,183,2194,37041,7088381292525456133,7088381292525456133,72,7088381292525456133,original sound - oc_evne,Oc_evne,7.035717186581906e+18,Oc_evne,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088381299395775238.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/44717b18bd3da5592d7a3306df665af3.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
