,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_bolivia,hash_comedia,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humor,hash_parati,hash_tiktok,hash_viral
2,GB,7101053236009897222,1653342797,#nickiminaj #foryou #barbz #kimkardashian #jenniferlopez #ritaora,6953230884780098566,Female Rap,"The #1 page for Female Rap Quotes
from public speaking
concerts and more!",0,False,https://m.tiktok.com/v/7101053236009897222.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101053236009897222&source=h5_m,15236304,2752,1290,10549,1770718,7101053209535466245,7101053209535466245,72,7101053209535466245,original sound - femalerapquotes,Female Rap,6.953230884780099e+18,Female Rap,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101053244462795525.mp3,,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#nickiminaj #foryou #barbz #kimkardashian #jenniferlopez #ritaora,0,0,1,0,0,0,0,0,0,0
3,EC,7085032667623738630,1649612717,Confirman?😅 #fyp #viral #parati,7046978776655496198,Gabriela 3⭐❤,"Colombiana🇨🇴
✨Tercera cuenta✨",0,False,https://m.tiktok.com/v/7085032667623738630.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085032667623738630&source=h5_m,48090455,27086,191717,240190,4421516,7085032647923829510,7085032647923829510,72,7085032647923829510,original sound - gabrielaaa0622,Gabriela 3⭐❤,7.046978776655496e+18,Gabriela 3⭐❤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085032644890643206.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b9541876b2e3a7bfa3791dcf77ff05d.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#fyp #viral #parati,0,0,0,0,1,0,0,1,0,1
4,CO,7076184606562602245,1647552617,"JOROBA, GIBA, CORCOVA, DEFORMIDAD O CIFOSIS MIRA COMO TRATAMOS DE MANERA EFECTIVA ESTÁ PATOLOGÍA 🔥👏 #drhassan #colombia #dolordeespalda #dolorcronico #quiropraxia #quiropractico #espalda #dolordecuello #dolordeespalda #joroba #giba #cali #valledelcauca #colombia #viral #asmr #cifosis #ajustequiropractico #ajustecervical #cuello #cabeza #columnavertebral",6924067763825329158,Drhassanquiropraxia,"Aliviamos tus dolores, síguenos IG👆💪 citas : wsp 3187304352",0,False,https://m.tiktok.com/v/7076184606562602245.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076184606562602245&source=h5_m,41558088,12796,68957,71108,1893386,7076184620563827461,7076184620563827461,72,7076184620563827461,original sound - drhassanquiropraxia,Drhassanquiropraxia,6.924067763825329e+18,Drhassanquiropraxia,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076184611839085318.mp3,,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#drhassan #colombia #dolordeespalda #dolorcronico #quiropraxia #quiropractico #espalda #dolordecuello #dolordeespalda #joroba #giba #cali #valledelcauca #colombia #viral #asmr #cifosis #ajustequiropractico #ajustecervical #cuello #cabeza #columnavertebral,0,0,0,0,0,0,0,0,0,1
5,BO,7091697444240510214,1651164482,JAJAJAJA ptm,6914694480659956741,Kevin🔥🇳🇬,"bolero a muerte 🍃🔥
🇧🇴🇳🇬
19
seguime en mi otra cuenta @kevintajata",0,False,https://m.tiktok.com/v/7091697444240510214.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091697444240510214&source=h5_m,1851273,840,2659,15366,73060,7031605325854100229,7031605325854100229,72,7031605325854100229,original sound - doomercamba (Contains music from: Colla e Mierda - Sylon Lord),"Contains music from: ""Colla e Mierda""",6.620137553344004e+18,Doomer Camba,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7031605434331269893.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/04a92e525e359753e15dd3fcf2f498b6.json,False,False,Sylon Lord,Colla e Mierda,original sound - doomercamba (Contains music from: Colla e Mierda - Sylon Lord),"Contains music from: ""Colla e Mierda""",[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
6,BO,7092171116814388485,1651274768,cómo comer pito fácil 🤤 #recetas #faciles,6916873939981517829,Albertina Sacaca Cal,bienvenidos esta es mi única cuenta  en tik tok ❤😊,0,False,https://m.tiktok.com/v/7092171116814388485.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092171116814388485&source=h5_m,29973411,61114,125851,3325,3534801,7092171209185512197,7092171209185512197,72,7092171209185512197,original sound - albertinasacaca1,Albertina Sacaca Cal,6.916873939981518e+18,Albertina Sacaca Cal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092171218215848710.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ad5a28f7007f975227cf155958795b65.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#recetas #faciles,0,0,0,0,0,0,0,0,0,0
7,US,7097313938114907438,1652472174,the fear of someone walking in,6762609913108005894,Leana Deeb,"Here to inspire 🖤
🇵🇸 🇺🇾",0,False,https://m.tiktok.com/v/7097313938114907438.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097313938114907438&source=h5_m,15425884,4237,5923,12433,2184857,7076062511933901573,7076062511933901573,72,7076062511933901573,Sweet Giirrrrllll face beat x Father Philis (Contains music from: Face Beat - Father Philis),"Contains music from: ""Face Beat""",6.808628320147654e+18,Phil,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076062516677364486.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/502e849a96f04fa9417d1c14e78c983d.json,False,False,Father Philis,Face Beat,Sweet Giirrrrllll face beat x Father Philis (Contains music from: Face Beat - Father Philis),"Contains music from: ""Face Beat""",[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
0,US,7101476393040579842,1653441325,⚠️fake body⚠️  auch..,6642278666289135622,zavali,"team@wow-media.ru
Cooperation
TRANSITION QUEEN 
I’m here
⬇️⬇️⬇️",0,False,https://www.tiktok.com/@za_vali/video/7101476393040579842?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101476393040579842&source=h5_m,7572093,1776,8476,10291,861913,7101476393292221185,7101476393292221185,72,7101476393292221185,original sound - za_vali (Contains music from: Party - Bad Bunny & Rauw Alejandro),"Contains music from: ""Party""",6.642278666289136e+18,zavali,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101476314271501058.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/15bb5fe482c94a92231caff4e6a88908.json,False,False,Bad Bunny & Rauw Alejandro,Party,original sound - za_vali (Contains music from: Party - Bad Bunny & Rauw Alejandro),"Contains music from: ""Party""",[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
1,AR,7097398425108434182,1652491848,👀✨ nonononononono bueno si #destacamee #xzyb,6942908245862630405,Hana senpai,❀Cosplayer ❀Gamer ❀Tu Hokage ❀Argentina🇦🇷❀twitch”hana_c4”❀IG:hana_c4 ❀te amo✨,0,False,https://www.tiktok.com/@hana._c4/video/7097398425108434182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097398425108434182&source=h5_m,30410824,3043,210150,53595,1189198,7081432046052117254,7081432046052117254,72,7081432046052117254,original sound - c4mirodd,𝕮𝖆𝖒𝖎,7.080311544660526e+18,𝕮𝖆𝖒𝖎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081430578511301381.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/19111a0e69c48ebfcfcf50d37e4c3a0e.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#destacamee #xzyb,0,0,0,0,0,0,0,0,0,0
2,GB,7090876818684710150,1650973416, ,7057586112973898758,CLOVER CLIPS,"BEST CLIPS ON TIKTOK /
POSTING DAILY",0,False,https://www.tiktok.com/@clover.clips/video/7090876818684710150?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090876818684710150&source=h5_m,50383553,12176,54539,74350,2348359,7052845982941334318,7052845982941334318,72,7052845982941334318,original sound - tyb_x_duke (Contains music from: Ay Miguel - DJ FLAJ),"Contains music from: ""Ay Miguel""",6.797556379172308e+18,☔️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7052846006630927151.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e5ddc4153738181508f7d90cfe3e018e.json,False,False,DJ FLAJ,Ay Miguel,original sound - tyb_x_duke (Contains music from: Ay Miguel - DJ FLAJ),"Contains music from: ""Ay Miguel""",[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
3,US,7093504028650310914,1651585109,#foodie #food#flavour #gourmet #foodtiktok,7063182821220697094,Foodie,Love life love food,0,False,https://www.tiktok.com/@ltsdelicious/video/7093504028650310914?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093504028650310914&source=h5_m,95811902,15612,331164,885467,4186559,6932970571534469121,6932970571534469121,10033,6932970571534469121,Ay Rico Rico Rico,Rico,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/efe07de472de4ed0a10005c6e0110504,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/3e7c3d54662e4dff945283b8d57a96c6,False,True,,,,,[],0,0,"Bolivia, Plurinational State of",#foodie #food#flavour #gourmet #foodtiktok,0,0,0,0,0,0,0,0,0,0
4,EC,7095135505586720006,1651964968,@faulox y la #empresariamultimillonaria se lo esperaban ?? 🇵🇪🇪🇨.   #parati #conmasluzquenunca #viral,6800954787443393541,Maria Jose Villavicencio Celi,La empresaria multimillonaria de su corazón ♥️,0,False,https://www.tiktok.com/@mariajose.villavicencio/video/7095135505586720006?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095135505586720006&source=h5_m,57860503,21272,30677,67039,3540216,7089940822535277318,7089940822535277318,10036,7089940822535277318,PROVENZA,KAROL G,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2bddd5d934ad4f96a4af4d197087052f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1e86ce603e0b41f6a5240e4d246cc045,True,True,,,,,[],0,0,"Bolivia, Plurinational State of",#empresariamultimillonaria #parati #conmasluzquenunca #viral,0,0,0,0,0,0,0,1,0,1
5,BO,7095873417533984005,1652136777,En el bañito #clasicocruceño #colegio #fyp,6766264923473642501,_sofianunuez_,"30k👉🏻👈🏻🇧🇴
SOFÍA NÚÑEZ
Sígueme en Instagram",0,False,https://www.tiktok.com/@_sofianunez_/video/7095873417533984005?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095873417533984005&source=h5_m,355021,353,156,508,30340,7084303665602775814,7084303665602775814,10036,7084303665602775814,"ULTRA SOLO (Solo y coronao ¿De qué sirve? Si no estás a mi lao' Por ti paso el día conectau, pendiente al cel, pendiente a ti, pendiente si subes una story)",Polimá Westcoast & Pailita,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/4eaf8f22e4f543c08688d97f17b01b7c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/fa51ec760d654f8caff512250d732b6d,False,True,,,,,[],0,0,"Bolivia, Plurinational State of",#clasicocruceño #colegio #fyp,0,0,0,0,1,0,0,0,0,0
6,BO,7081702222974749958,1648837287,🤣,6689943733708047362,Lia brb,"Mas allá de lo que ves 💪🏼🖤
#Bolivia #Beni 🍃",0,False,https://www.tiktok.com/@oferivero/video/7081702222974749958?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081702222974749958&source=h5_m,7269588,9381,77322,161726,797603,7081702210119174918,7081702210119174918,72,7081702210119174918,original sound - oferivero,Lia brb,6.689943733708047e+18,Lia brb,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081702213818534662.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ba307caea2241e7987f8694ac49ca995.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
7,US,7102857470002973958,1653762878,"I told in the telegram : KIRA SMRN 🖤, what 's on my stomach",6666866281516728325,Kira Simurina lips baby🦋,👇🏼Subscribe please 👇🏼,0,False,https://www.tiktok.com/@kira_smrn/video/7102857470002973958?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102857470002973958&source=h5_m,1956116,1477,141,397,114124,7072756285149563649,7072756285149563649,24,7072756285149563649,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",6.976755863927686e+18,aypiks,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
0,AR,7085375889143368966,1649692630,Qué tal nos salió del 1 al 10? @babysalomerivas13,192830514221719552,Emir Abdul Gani,Instagram : @emirabdulgani TRIPLE TTT PARTE II COMPLETO LINK Acá abajo 👇,0,False,https://m.tiktok.com/v/7085375889143368966.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085375889143368966&source=h5_m,98452235,62680,275992,105102,7828555,7053505294643170053,7053505294643170053,10036,7053505294643170053,Jordan,Ryan Castro,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/96671f3ce8884b808a2edf088abcb19e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/702d3d8cc2844491961243fd6e32619d,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1564505115', 'external_song_key': 'apple_song_id'}]",0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
1,CA,7091807714799602949,1651190158,For those requesting 🤠 content on my livestream today 😏 #fyp #cowboy #canadian,6781453305577276421,Jake Andrich / Jakipz,"My Instagram & YouTube 👆
Full-time weirdo 😛🍁
Twitter: @Jakipz",0,False,https://m.tiktok.com/v/7091807714799602949.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091807714799602949&source=h5_m,11842240,11524,63599,62419,1030070,7056374191741881094,7056374191741881094,72,7056374191741881094,dont x do i wanna know,i love aedamonx,6.925718782796531e+18,i love aedamonx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7056374224994241286.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/defb39f52b87ec10b4d619d57c03daa3.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#fyp #cowboy #canadian,0,0,0,0,1,0,0,0,0,0
2,BO,7075101345912605954,1647300403,#greenscreen  😂🤤,6779352170669523974,Chloelaurafernandes,🇫🇷/🇵🇹,0,False,https://m.tiktok.com/v/7075101345912605954.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075101345912605954&source=h5_m,3172159,516,584,1878,252499,7065105133709118214,7065105133709118214,72,7065105133709118214,SE HIZO FAMOSO MI AUDIO jajajaj (Contains music from: La Trampa es Ley - LIT killah),"Contains music from: ""La Trampa es Ley""",7.022014885178787e+18,Wattpad✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7065105111882025733.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f033686271628f045086d21372d9a438.json,False,False,LIT killah,La Trampa es Ley,SE HIZO FAMOSO MI AUDIO jajajaj (Contains music from: La Trampa es Ley - LIT killah),"Contains music from: ""La Trampa es Ley""",[],0,0,"Bolivia, Plurinational State of",#greenscreen,0,0,0,0,0,0,0,0,0,0
3,MX,7091723015393725701,1651170435, ,105228084252979200,Sury Sadai,Actriz y Cantante ❤️ SÍGUEME EN INSTA ✨ surysadaiof,0,False,https://m.tiktok.com/v/7091723015393725701.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091723015393725701&source=h5_m,25688250,7747,59999,127728,2671109,7057574736699804463,7057574736699804463,72,7057574736699804463,original sound - alimusicpr,Ali Berdiel,17384773.0,Ali Berdiel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7057574779418676015.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5897a1b0ec45330c87f46001fcc5bc60.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
