,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_jamaicatiktok,hash_love,hash_movie,hash_trending,hash_viral
2,US,7076305623184444718,1647580796,My wild child✨ #babiesoftiktok #newbornchallenge #fyp #foryourpage #babygirl #wildchild #toddlersoftiktok #waitforit,6807826973000631302,Summer💕,"✨50 Shades of a Single Mother✨

IG: @prettysummer_xoxo",0,False,https://m.tiktok.com/v/7076305623184444718.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076305623184444718&source=h5_m,8724276,13966,109416,17857,1741193,7076305581102943019,7076305581102943019,72,7076305581102943019,original sound - prettysummer_xoxo,Summer💕,6.807826973000631e+18,Summer💕,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076305614460226347.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8d25419025e9e00b679082417d9cab90.json,False,False,,,,,[],0,0,Antigua and Barbuda,#babiesoftiktok #newbornchallenge #fyp #foryourpage #babygirl #wildchild #toddlersoftiktok #waitforit,0,0,0,1,0,0,0,0,0,0
3,US,7082822353297820974,1649098089,#CoupleGoals 😍🥰💕 @amber Mitchell,56742238751301632,DanceOn,"#WhereDanceLives
Instagram 👉 @danceon
Facebook 👉 @danceonnetwork",0,False,https://m.tiktok.com/v/7082822353297820974.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082822353297820974&source=h5_m,3165785,6237,38816,8044,534165,7001105526515828737,7001105526515828737,10033,7001105526515828737,Essence (feat. Justin Bieber & Tems),WizKid,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/64dd4e6cf87b421b94a773c3df6704b5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1815d18e160b4db7b4281532543964d6,False,True,,,,,[],0,0,Antigua and Barbuda,#CoupleGoals,0,0,0,0,0,0,0,0,0,0
4,US,7082134484472188202,1648937931,#stitch with @spilling_the_sweet_tea all jokes 💯🔥 #caribbean #caribbeantiktokeurs #guyanesetiktok #trinidad #jamaica #fyp,237182979389677568,Alex,"💯💪Bodybuilder💪💯
🔥📷Content creator📷🔥
🇬🇾📍🇺🇸",0,False,https://m.tiktok.com/v/7082134484472188202.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082134484472188202&source=h5_m,336381,648,963,39,43791,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Antigua and Barbuda,#stitch #caribbean #caribbeantiktokeurs #guyanesetiktok #trinidad #jamaica #fyp,0,0,0,1,0,0,0,0,0,0
5,AU,7098207384065133826,1652680196,This audio fit so well 😂 #puppy #americanbully #americanbullyofficial #puppies #americanbullypuppy #americanbullypup,6568178744586403841,Ｐｅｔａ,"Endo & Adeno/hysterectomy 
Build A Brotherhood
IG @peta.xoxo
@_buildabrotherhood",0,False,https://m.tiktok.com/v/7098207384065133826.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098207384065133826&source=h5_m,2148961,1947,10539,209,113040,7055606896622881582,7055606896622881582,72,7055606896622881582,original sound - hotrod552,HotRod,6.843013172267877e+18,HotRod,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7055606971008830254.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/53556d5d8d3f157542559cafa2719380.json,False,False,,,,,[],0,0,Antigua and Barbuda,#puppy #americanbully #americanbullyofficial #puppies #americanbullypuppy #americanbullypup,0,0,0,0,0,0,0,0,0,0
6,US,7080309846012153134,1648513099,It’s her face expressions for me 🤣😂 #SmellLikeIrishSpring #UnsealTheMeal #i#lizzosbiggrrrls #foryoupage #foryou #fyp,6591241845697740806,Ms Lopez pg -All about Alaina,"💖NJ
Lopez pg-All about Alaina,she 2
Staged videos made by me mom
$itsalaina0621",0,False,https://m.tiktok.com/v/7080309846012153134.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080309846012153134&source=h5_m,1168598,1795,3100,170,83190,7014868732271004417,7014868732271004417,72,7014868732271004417,Kingdanzz and FingerDanceMusic Remix Bow Bow Bow,FingerDanceMusic,6.958351653893309e+18,FingerDanceMusic,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7014868738247805697.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/11f042a39eba9a0bee69019cf10979bc.json,False,False,,,,,[],0,0,Antigua and Barbuda,#SmellLikeIrishSpring #UnsealTheMeal #i#lizzosbiggrrrls #foryoupage #foryou #fyp,1,1,0,1,0,0,0,0,0,0
7,CA,7101170550503984389,1653370115,#her,7086064419143386118,G+M=❤️,"✨HER✨
******",0,False,https://m.tiktok.com/v/7101170550503984389.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101170550503984389&source=h5_m,1363946,4734,14613,7338,338757,6923623664533375750,6923623664533375750,72,6923623664533375750,original sound - milanesa_frita,no hay emoji de milanesa 😾,6.767681908408714e+18,no hay emoji de milanesa 😾,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6923623684502473478.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0c9a202f6265c708c9fb4a6c6f337ab6.json,False,False,,,,,[],0,0,Antigua and Barbuda,#her,0,0,0,0,0,0,0,0,0,0
0,US,7075314555756236075,1647350044,#Fyp #ForYou #ForYouPage #BlackTikTok #Kids #School,6767379185255531525,VS,Vh1’s V Slayer Aka Alex 💙💫,0,False,https://www.tiktok.com/@therealvaginaslayer/video/7075314555756236075?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075314555756236075&source=h5_m,3534764,2044,26054,784,357036,7060947485514255151,7060947485514255151,72,7060947485514255151,original sound - k.lanoire (Contains music from: Spell Juice - Juice),"Contains music from: ""Spell Juice""",15923381.0,K.LaNoiré,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7060947508964444974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e2ae44b9e20be15abfd5c105ade998c0.json,False,False,Juice,Spell Juice,original sound - k.lanoire (Contains music from: Spell Juice - Juice),"Contains music from: ""Spell Juice""",[],0,0,Antigua and Barbuda,#Fyp #ForYou #ForYouPage #BlackTikTok #Kids #School,1,1,0,1,0,0,0,0,0,0
1,AU,7084083763692473602,1649391786,#fyp#foryou#foryoupage#funny#kids#viral#getthisviral#xyzcba#trend,7082987313835344897,Halle <33,"Emmy <3
Milla <3
Mills <3
Liv <3
Tysm for 20K ——-> 30K??",0,False,https://www.tiktok.com/@halemogal/video/7084083763692473602?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084083763692473602&source=h5_m,4993946,11747,9704,23367,831314,6881784054627224325,6881784054627224325,72,6881784054627224325,original sound - calebrownn (Contains music from: Drip Like ME - Kenndog),"Contains music from: ""Drip Like ME""",6.80728670138468e+18,Cale Brown,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6881784005352606469.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a9d3952939d1ed4a364e0811032c3694.json,False,False,Kenndog,Drip Like ME,original sound - calebrownn (Contains music from: Drip Like ME - Kenndog),"Contains music from: ""Drip Like ME""",[],0,0,Antigua and Barbuda,#fyp#foryou#foryoupage#funny#kids#viral#getthisviral#xyzcba#trend,1,1,1,1,0,0,0,0,0,1
2,US,7100637453291097387,1653245989,Like Keep It Low Over There🙄🫣 #fyp #loving #trending @therealdomodanny,6882427042039612421,DOMO,FOLLOW MY INSTAGRAM ✨ Domodannybooking@gmail.com,0,False,https://www.tiktok.com/@domothetwinn/video/7100637453291097387?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100637453291097387&source=h5_m,153029,62,43,148,26120,6834272476256635653,6834272476256635653,72,6834272476256635653,original sound - only1shxyg,Shay G,6.826328984613602e+18,Shay G,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6834272477821045510.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/05e551ca5e2acd5c2a54d28029c19411.json,False,False,,,,,[],0,0,Antigua and Barbuda,#fyp #loving #trending,0,0,0,1,0,0,0,0,1,0
3,GB,7095126724530294021,1651962924,Ain’t no one getting near @skillibenng if I’m his guard 🤣🇯🇲#fyp #fypシ #trending #blowthisup #jamaicatiktok #jamaica #viral #sb🔫walk #skillibeng #skoobnba,6808866413144065029,SBSB,"Big Slee⛷
Artist 🎤
WapwapTrendSetter🇯🇲
For Promo £ dm me 📲  
10k My insta !",0,False,https://www.tiktok.com/@skoobnba/video/7095126724530294021?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095126724530294021&source=h5_m,344768,345,784,1768,29696,7073876545902775046,7073876545902775046,10036,7073876545902775046,Whap Whap (feat. F.S.),Skillibeng,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16c8c26b1d7144b184b1b942fc6d0eb4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a76529d24f6f4094a8ae2c40b7ac3db6,False,True,,,,,[],0,0,Antigua and Barbuda,#fyp #fypシ #trending #blowthisup #jamaicatiktok #jamaica #viral #sb🔫walk #skillibeng #skoobnba,0,0,0,1,1,1,0,0,1,1
4,US,7101821548876565802,1653521683,When she says she likes a man who can clean up🤧😮‍💨 I think me & pops clean up nice😁 @mystakinfolk,6587810284089278470,SauceyAustin✨💦,"Business 📧: SauceyAustinmgmt@gmail.com
Snap: austinhines1✨",0,False,https://www.tiktok.com/@saucey_austin/video/7101821548876565802?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101821548876565802&source=h5_m,234800,222,72,233,36518,7094462807567108907,7094462807567108907,72,7094462807567108907,original sound - king.jodey,king.jodey🦁,6.781330943674156e+18,king.jodey🦁,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7094462861195430699.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/648159af4ac25bdbeaba54ff3489faae.json,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
5,GB,7099084059510443269,1652884314,No but I like this version 😍 #fyp,6754566573250528262,msbanks,#WeGoUpFreestyle OUT NOW❗️,0,False,https://www.tiktok.com/@bigbanks/video/7099084059510443269?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099084059510443269&source=h5_m,367836,255,104,404,78499,7091124261821205254,7091124261821205254,72,7091124261821205254,BIG MOOD,💀,7.077681250995668e+18,💀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091124250890832646.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a7cc60fc146b66628df18d57edf32c84.json,False,False,,,,,[],0,0,Antigua and Barbuda,#fyp,0,0,0,1,0,0,0,0,0,0
6,GB,7102374278552653061,1653650378,#fyp #zyxcba #dogsoftiktok #trending #viral,6816465561540346886,Solemangal,,0,False,https://www.tiktok.com/@solemangal/video/7102374278552653061?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102374278552653061&source=h5_m,2648217,1814,6729,23,529977,7086264752310684421,7086264752310684421,72,7086264752310684421,"original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",6.893700174443906e+18,OTP Control,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086264749293619974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/614543879cadfc6e569b382661515aca.json,False,False,1Biggs Don,"Bwoii Affi"" Watch Eh Style","original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",[],0,0,Antigua and Barbuda,#fyp #zyxcba #dogsoftiktok #trending #viral,0,0,0,1,0,0,0,0,1,1
7,US,7101763461704895790,1653508159,@niaskincareline,6779030077289710598,Nia,"YouTube: Jay and Nia⤴️
IG: @jayandniaa
📧:niaainquiry@gmail.com
Shop Now❤️",0,False,https://www.tiktok.com/@iamjust_nia1/video/7101763461704895790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101763461704895790&source=h5_m,117321,17,11,93,9525,7096122699445029675,7096122699445029675,72,7096122699445029675,Jhacari Come Over (Contains music from: Come Over (Sped Up - TikTok Version) - Jhacari),"Contains music from: ""Come Over (Sped Up - TikTok Version)""",6.863127814377768e+18,Tonio,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7096122758043732782.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0944e4ecaf84290fc2e37a970107802f.json,False,False,Jhacari,Come Over (Sped Up - TikTok Version),Jhacari Come Over (Contains music from: Come Over (Sped Up - TikTok Version) - Jhacari),"Contains music from: ""Come Over (Sped Up - TikTok Version)""",[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
0,CA,7101772462207110405,1653510255,Amber Heard just gave up #johnnydepp #amberheard #lawyer #foryou,6867154931577897989,Michael Bernardi,"Instagram: michaelbernardi10
YouTube:   michaelbernardi10",0,False,https://www.tiktok.com/@michaelbernardi10/video/7101772462207110405?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101772462207110405&source=h5_m,771838,281,137,137,69547,7096192169278441473,7096192169278441473,10033,7096192169278441473,Cooped Up,Post Malone,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f103390403d14366be53bc23c075657f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/883c3e79e82e4dea8358589881417a2d,True,True,,,,,[],0,0,Antigua and Barbuda,#johnnydepp #amberheard #lawyer #foryou,1,0,0,0,0,0,0,0,0,0
1,AE,7098681989292756225,1652790698,#patrickrules #accents #comedy #fyp,6817476703910429701,Patrick Rules,"Standup🎤 | Affiliate Marketer💰 
📍Dubai 🇦🇪
Click this Link
⬇️",0,False,https://www.tiktok.com/@patrick.rules/video/7098681989292756225?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098681989292756225&source=h5_m,2069733,2393,13987,14173,267153,7098681988420340481,7098681988420340481,72,7098681988420340481,original sound - patrick.rules,Patrick Rules,6.81747670391043e+18,Patrick Rules,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098681953578224385.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a893b6439e8b266c50bef1c67e7c820c.json,False,False,,,,,[],0,0,Antigua and Barbuda,#patrickrules #accents #comedy #fyp,0,0,0,1,0,0,0,0,0,0
2,US,7080344924893302059,1648521266,@natalie.curryy would’ve I’m this was my last straw??,6659856271212675077,Grace Hunter 👸🏽✨,"Jesus❤️
Business -gracehunter@longhaulmgmt.com",0,False,https://www.tiktok.com/@amazinggrace_xoxo/video/7080344924893302059?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080344924893302059&source=h5_m,407043,168,47,56,70180,7080344920686398254,7080344920686398254,72,7080344920686398254,original sound - amazinggrace_xoxo,Grace Hunter 👸🏽✨,6.659856271212675e+18,Grace Hunter 👸🏽✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080344933080615726.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
